600776 东方通信 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.11	5.14	5.01	5.03	2044674	10829390.00
2011/10/11	5.19	5.23	4.98	5.05	2596201	13774617.00
2011/10/12	5.01	5.32	4.96	5.27	5774059	31305568.00
2011/10/13	5.30	5.56	5.30	5.45	12419497	70594400.00
2011/10/14	5.39	5.50	5.31	5.41	4747314	26678528.00
2011/10/17	5.41	5.60	5.41	5.51	7558778	43517696.00
2011/10/18	5.50	5.50	5.29	5.32	4106676	23017320.00
2011/10/19	5.30	5.43	5.26	5.32	3176066	17666872.00
2011/10/20	5.30	5.33	5.09	5.19	3078843	16598766.00
2011/10/21	5.20	5.23	5.08	5.16	2366310	12720208.00
2011/10/24	5.13	5.33	5.08	5.33	4080287	22188904.00
2011/10/25	5.35	5.58	5.29	5.51	7654251	43399420.00
2011/10/26	5.46	5.68	5.41	5.56	9665877	55880572.00
2011/10/27	5.53	5.67	5.44	5.51	7149905	40964420.00
2011/10/28	5.57	5.62	5.50	5.59	7442242	43093384.00
2011/10/31	5.58	5.59	5.46	5.54	5917475	33946864.00
2011/11/01	5.50	5.61	5.46	5.57	6584937	37940228.00
2011/11/02	5.49	5.85	5.43	5.82	15184021	89510432.00
2011/11/03	5.82	6.23	5.80	5.85	21044636	129560152.00
2011/11/04	5.91	6.01	5.86	5.91	8967566	55055992.00
2011/11/07	5.94	5.96	5.81	5.82	5668735	34549168.00
2011/11/08	5.86	5.88	5.68	5.70	6006078	35959456.00
2011/11/09	5.74	5.84	5.66	5.84	5725025	34295080.00
2011/11/10	5.77	5.92	5.73	5.83	7350410	44501640.00
2011/11/11	5.83	5.90	5.76	5.83	5080730	30766112.00
2011/11/14	5.88	6.02	5.87	5.98	8206512	50762804.00
2011/11/15	5.98	6.27	5.96	6.16	13747327	87247856.00
2011/11/16	6.11	6.46	6.02	6.07	22773533	147305392.00
2011/11/17	6.09	6.16	5.85	5.92	11378427	70662256.00
2011/11/18	5.88	6.06	5.79	5.83	8815099	53991712.00
2011/11/21	5.85	5.89	5.69	5.82	4983910	29818674.00
2011/11/22	5.78	5.86	5.72	5.84	4653927	28073420.00
2011/11/23	5.85	5.88	5.76	5.79	3536058	21326584.00
2011/11/24	5.74	5.85	5.68	5.78	4319703	25811964.00
2011/11/25	5.78	5.82	5.50	5.53	4922732	28988540.00
2011/11/28	5.56	5.56	5.38	5.43	4451252	25214612.00
2011/11/29	5.48	5.53	5.44	5.53	3740391	21351770.00
2011/11/30	5.52	5.53	5.19	5.23	5647513	31431846.00
