600782 新钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.53	5.60	5.48	5.54	1359165	7546397.00
2011/10/11	5.60	5.76	5.52	5.58	5584868	31478272.00
2011/10/12	5.54	5.81	5.50	5.77	13462017	76819832.00
2011/10/13	5.76	5.90	5.69	5.76	6291642	36538064.00
2011/10/14	5.70	5.76	5.63	5.67	3044887	17413720.00
2011/10/17	5.67	5.84	5.62	5.67	2094291	11995283.00
2011/10/18	5.63	5.64	5.49	5.50	2491500	13925730.00
2011/10/19	5.50	5.54	5.45	5.46	2151155	11869039.00
2011/10/20	5.49	5.49	5.26	5.30	2417983	13022705.00
2011/10/21	5.30	5.32	5.23	5.23	1166850	6189832.00
2011/10/24	5.26	5.33	5.17	5.33	2604509	13787135.00
2011/10/25	5.31	5.43	5.29	5.41	2737540	14771272.00
2011/10/26	5.40	5.48	5.36	5.45	3560062	19446364.00
2011/10/27	5.44	5.52	5.38	5.49	3483478	19099142.00
2011/10/31	5.51	5.55	5.36	5.42	6359071	34728648.00
2011/11/01	5.37	5.44	5.36	5.42	2231595	12133378.00
2011/11/02	5.34	5.46	5.33	5.46	3681088	19940016.00
2011/11/03	5.46	5.60	5.46	5.52	7415583	41350176.00
2011/11/04	5.55	5.61	5.50	5.56	7538161	42076332.00
2011/11/07	5.57	5.67	5.54	5.59	5832565	32827244.00
2011/11/08	5.59	5.67	5.50	5.65	5276675	29512322.00
2011/11/09	5.58	5.64	5.53	5.63	4069686	22817976.00
2011/11/10	5.58	5.73	5.54	5.63	10353346	58939048.00
2011/11/11	5.63	5.72	5.50	5.51	4364068	24349276.00
2011/11/14	5.54	5.57	5.50	5.56	6680800	37183544.00
2011/11/15	5.55	5.58	5.51	5.55	5269879	29310928.00
2011/11/16	5.55	5.55	5.37	5.39	4718256	25889332.00
2011/11/17	5.39	5.44	5.38	5.40	3158230	17168096.00
2011/11/18	5.40	5.41	5.26	5.30	4121849	22129770.00
2011/11/21	5.30	5.34	5.27	5.33	1876709	10002136.00
2011/11/22	5.32	5.34	5.28	5.33	1872274	9996347.00
2011/11/23	5.33	5.37	5.29	5.29	1597992	8541854.00
2011/11/24	5.31	5.33	5.20	5.30	3093360	16346217.00
2011/11/25	5.27	5.30	5.22	5.25	1462600	7734469.00
2011/11/28	5.27	5.27	5.15	5.22	2659584	13918705.00
2011/11/29	5.24	5.27	5.17	5.26	2171270	11395652.00
