600785 新华百货 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	21.64	21.64	20.13	20.72	1146056	24888492.00
2011/10/11	21.07	21.10	20.50	20.67	1240184	26870000.00
2011/10/12	20.40	21.76	20.40	21.70	1796712	39969680.00
2011/10/13	21.75	22.55	21.36	22.39	1444088	33441944.00
2011/10/14	22.35	22.76	22.19	22.66	1181979	27779916.00
2011/10/17	22.32	23.09	22.32	22.98	1106670	26190126.00
2011/10/18	22.60	22.90	22.10	22.12	955339	22416012.00
2011/10/19	22.15	22.45	21.51	21.59	346110	7877241.00
2011/10/20	21.46	21.82	21.10	21.51	486009	10777847.00
2011/10/21	21.31	21.50	21.11	21.40	167206	3710769.00
2011/10/24	21.20	21.79	20.60	21.75	1377207	30279104.00
2011/10/25	21.55	22.65	21.37	22.42	635017	14697826.00
2011/10/26	22.30	23.60	22.11	22.98	1373464	33053312.00
2011/10/27	23.30	23.99	23.20	23.54	2211598	54072444.00
2011/10/28	23.54	23.70	23.32	23.55	1247780	30463908.00
2011/10/31	23.60	24.53	23.60	24.05	2040151	51459044.00
2011/11/01	23.91	24.69	23.65	24.54	1462556	37121436.00
2011/11/02	24.21	24.60	24.02	24.58	592277	14943908.00
2011/11/03	24.60	25.37	24.60	24.82	1314811	34177432.00
2011/11/04	24.76	25.09	24.41	24.60	557181	14268533.00
2011/11/07	24.70	24.90	24.23	24.54	338525	8634131.00
2011/11/08	24.55	24.55	23.90	24.05	493662	12370077.00
2011/11/09	24.39	24.39	23.90	24.28	310296	7762699.00
2011/11/10	24.11	24.25	23.30	23.41	1921913	47116764.00
2011/11/11	23.41	23.69	23.26	23.45	1025522	24988936.00
2011/11/14	23.50	24.18	23.50	24.05	1128317	28048092.00
2011/11/15	24.07	24.08	23.67	23.92	533966	13206941.00
2011/11/16	23.72	23.91	23.41	23.54	374550	9165004.00
2011/11/17	23.55	23.66	23.13	23.30	494400	12017430.00
2011/11/21	22.90	23.58	22.08	23.41	966712	22819060.00
2011/11/22	23.03	23.45	22.60	23.42	782975	18656268.00
2011/11/23	23.39	23.40	22.90	23.12	533612	12808079.00
2011/11/24	22.81	23.19	22.62	22.94	229818	5478278.00
2011/11/25	22.75	23.15	22.75	23.06	190202	4538918.00
2011/11/28	23.18	23.30	22.82	23.20	350135	8391869.00
