600790 轻纺城 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.41	6.46	6.25	6.28	3121206	21342368.00
2011/10/11	6.49	6.51	6.08	6.20	4865872	33348672.00
2011/10/12	6.20	6.86	6.12	6.67	9227502	65115188.00
2011/10/13	6.55	6.92	6.55	6.81	6546496	47602240.00
2011/10/14	6.77	7.00	6.68	6.85	6007736	44247848.00
2011/10/17	6.85	7.04	6.75	6.94	9120748	67541848.00
2011/10/18	6.95	7.08	6.74	6.84	6825882	50632800.00
2011/10/19	6.86	6.90	6.66	6.80	4486686	32628184.00
2011/10/20	6.80	6.80	6.36	6.57	3682806	26065430.00
2011/10/21	6.58	6.58	6.36	6.37	1906160	13348156.00
2011/10/24	6.39	6.77	6.32	6.66	5363580	38129960.00
2011/10/25	6.63	6.89	6.53	6.87	8661626	63343952.00
2011/10/26	6.80	6.98	6.80	6.86	9936843	73740232.00
2011/10/27	6.98	6.98	6.81	6.90	7941011	59185448.00
2011/10/28	6.98	7.13	6.91	7.12	9509406	71808840.00
2011/10/31	7.16	7.19	6.96	7.11	7576981	57618340.00
2011/11/01	6.99	7.16	6.98	7.05	6857830	52143244.00
2011/11/02	6.97	7.12	6.86	7.12	8783021	66229420.00
2011/11/03	7.12	7.48	7.12	7.31	10352286	80735976.00
2011/11/04	7.39	7.43	7.19	7.31	6779017	53013152.00
2011/11/07	7.24	7.31	7.20	7.22	3439652	26704036.00
2011/11/08	7.22	7.29	7.07	7.22	7108845	54889568.00
2011/11/09	7.21	7.68	7.18	7.64	20498477	163377744.00
2011/11/10	7.49	7.56	7.39	7.43	7617821	60917872.00
2011/11/11	7.47	7.57	7.38	7.48	4408697	35319276.00
2011/11/14	7.51	7.73	7.51	7.59	5048434	41011816.00
2011/11/15	7.60	7.73	7.55	7.70	8323673	68089096.00
2011/11/16	7.71	7.76	7.39	7.46	6228860	50569880.00
2011/11/17	7.46	7.62	7.40	7.49	5072415	40657508.00
2011/11/18	7.45	7.46	7.13	7.20	4077873	31711420.00
2011/11/21	7.19	7.25	6.98	7.20	4172785	31953740.00
2011/11/22	7.17	7.27	7.08	7.24	5107423	39387732.00
2011/11/23	7.23	7.32	7.16	7.18	3397128	26370952.00
2011/11/24	7.02	7.15	6.86	7.03	6054415	45595852.00
2011/11/25	7.07	7.12	6.91	6.93	3074448	23175218.00
2011/11/28	6.94	6.98	6.64	6.81	5774468	42450336.00
2011/11/29	6.88	7.06	6.81	7.00	7509639	56107904.00
2011/11/30	7.06	7.06	6.58	6.73	5129192	37345168.00
