600800 天津磁卡 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.95	5.09	4.94	4.99	2593337	13002914.00
2011/10/11	5.15	5.15	4.96	5.00	2593851	13036622.00
2011/10/12	4.99	5.20	4.95	5.17	2740713	13987952.00
2011/10/13	5.15	5.33	5.12	5.32	4498435	23454626.00
2011/10/14	5.30	5.41	5.26	5.35	4621668	24693532.00
2011/10/17	5.35	5.39	5.24	5.31	2103399	11161409.00
2011/10/18	5.29	5.29	5.04	5.08	3142035	16250693.00
2011/10/19	5.07	5.14	5.04	5.10	1436705	7328579.00
2011/10/20	5.07	5.08	4.96	5.01	2324382	11652011.00
2011/10/21	5.04	5.04	4.95	5.00	1312376	6531546.00
2011/10/24	5.01	5.04	4.90	5.02	2797547	13936717.00
2011/10/25	5.00	5.15	4.98	5.14	2710020	13769547.00
2011/10/26	5.10	5.23	5.05	5.16	3920124	20189476.00
2011/10/27	5.12	5.23	5.00	5.10	4290445	22050372.00
2011/10/28	5.13	5.32	5.10	5.24	5293671	27608044.00
2011/10/31	5.20	5.27	5.18	5.21	2913221	15188267.00
2011/11/01	5.20	5.47	5.14	5.47	12189775	66160816.00
2011/11/02	5.35	5.54	5.31	5.48	8998881	48817632.00
2011/11/03	5.50	5.55	5.42	5.42	8333866	45633368.00
2011/11/04	5.46	5.56	5.40	5.50	7316702	40019824.00
2011/11/07	5.50	5.55	5.36	5.39	3742955	20316528.00
2011/11/08	5.41	5.42	5.25	5.30	3985947	21300930.00
2011/11/09	5.28	5.42	5.27	5.42	3513055	18785044.00
2011/11/10	5.35	5.42	5.15	5.18	7306199	38643036.00
2011/11/11	5.20	5.23	5.12	5.17	4761250	24658556.00
2011/11/14	5.20	5.30	5.18	5.28	4543043	23839084.00
2011/11/15	5.28	5.33	5.25	5.33	4681528	24824564.00
2011/11/16	5.33	5.33	5.09	5.14	6166735	32045666.00
2011/11/17	5.15	5.20	5.10	5.13	4391563	22631768.00
2011/11/18	5.10	5.15	4.95	5.03	4929420	24812650.00
2011/11/21	5.01	5.04	4.94	5.02	2275716	11345831.00
2011/11/22	4.96	5.00	4.89	4.93	3955449	19478526.00
2011/11/23	4.90	4.95	4.88	4.89	2214600	10880144.00
2011/11/24	4.85	4.89	4.80	4.85	2682211	12979903.00
2011/11/25	4.84	4.84	4.70	4.72	3983909	18928376.00
2011/11/28	4.71	4.77	4.65	4.72	1880753	8846625.00
2011/11/29	4.73	4.78	4.71	4.76	2370478	11256524.00
2011/11/30	4.77	4.78	4.52	4.52	3727900	17127210.00
2011/12/01	4.60	4.63	4.50	4.53	4061911	18582080.00
2011/12/02	4.50	4.52	4.30	4.33	6733430	29222956.00
2011/12/05	4.31	4.31	4.11	4.11	4829117	20013680.00
2011/12/06	4.02	4.10	4.00	4.07	2865095	11615342.00
2011/12/07	4.07	4.11	4.04	4.06	1876430	7651318.00
2011/12/08	4.06	4.08	3.86	3.92	5901892	23176964.00
2011/12/09	3.86	3.91	3.75	3.77	4653641	17731266.00
2011/12/12	3.75	3.75	3.61	3.65	4343219	15984721.00
2011/12/13	3.62	3.68	3.47	3.47	7859574	27641938.00
2011/12/14	3.40	3.41	3.30	3.30	5793519	19296564.00
2011/12/15	3.22	3.22	3.14	3.14	7434801	23403222.00
2011/12/16	3.11	3.16	2.98	3.10	11781415	35503904.00
2011/12/19	3.04	3.04	2.95	3.03	8616595	25618596.00
2011/12/20	3.03	3.18	3.00	3.18	6934595	21856806.00
2011/12/21	3.20	3.28	3.02	3.04	11730415	37395504.00
2011/12/22	2.96	3.07	2.89	3.05	7555555	22359452.00
2011/12/23	3.02	3.20	3.00	3.19	6791297	21145544.00
2011/12/26	3.12	3.22	3.11	3.14	4214477	13328016.00
2011/12/27	3.14	3.15	3.00	3.03	3570790	10916858.00
2011/12/28	3.03	3.08	2.90	3.06	2972421	8869307.00
2011/12/29	3.02	3.13	3.02	3.06	3007481	9281395.00
2011/12/30	3.06	3.16	3.06	3.14	3380588	10547130.00
2012/01/04	3.14	3.23	3.14	3.16	4975212	15829063.00
2012/01/05	3.14	3.15	3.00	3.02	3283456	10022215.00
2012/01/06	2.99	3.15	2.90	3.14	3232725	9907549.00
2012/01/09	3.16	3.25	3.05	3.24	4068701	12982435.00
2012/01/10	3.22	3.40	3.21	3.40	7596473	25248948.00
2012/01/11	3.40	3.40	3.29	3.36	5803777	19381122.00
2012/01/12	3.32	3.39	3.30	3.34	2971482	9949425.00
2012/01/13	3.33	3.33	3.17	3.18	3108335	10038421.00
2012/01/16	3.13	3.17	3.08	3.10	1335910	4171905.00
2012/01/17	3.05	3.26	3.02	3.25	3987006	12727509.00
2012/01/18	3.26	3.29	3.18	3.19	2502551	8093835.00
2012/01/19	3.20	3.29	3.16	3.26	2625387	8541099.00
2012/01/20	3.26	3.35	3.22	3.28	2964929	9738971.00
2012/01/30	3.29	3.38	3.26	3.34	3622836	12070260.00
2012/01/31	3.33	3.50	3.30	3.49	7181994	24767912.00
2012/02/01	3.45	3.61	3.38	3.42	6745431	23603792.00
2012/02/02	3.37	3.43	3.31	3.42	3224841	10873742.00
2012/02/03	3.40	3.54	3.38	3.50	5647522	19705148.00
2012/02/06	3.50	3.63	3.50	3.63	7397537	26515536.00
2012/02/07	3.55	3.60	3.45	3.47	6674582	23299780.00
2012/02/08	3.42	3.52	3.41	3.52	4100874	14254737.00
2012/02/09	3.52	3.56	3.46	3.51	3970969	13982584.00
2012/02/10	3.48	3.61	3.48	3.56	4370607	15475193.00
2012/02/13	3.54	3.64	3.50	3.59	5333681	19096210.00
2012/02/14	3.59	3.68	3.58	3.67	6083869	22119656.00
2012/02/15	3.66	3.85	3.63	3.85	14676164	56086556.00
2012/02/16	3.86	3.95	3.72	3.79	12310972	46809988.00
2012/02/17	3.76	3.85	3.73	3.81	6173926	23460736.00
2012/02/20	3.82	3.86	3.73	3.76	5753086	21765608.00
2012/02/21	3.74	3.80	3.65	3.77	4269502	15944152.00
2012/02/22	3.77	3.83	3.72	3.81	4920585	18657072.00
2012/02/23	3.80	3.80	3.72	3.76	4618145	17364316.00
2012/02/24	3.75	3.80	3.72	3.78	5771226	21720846.00
2012/02/27	3.78	3.84	3.76	3.78	6943886	26456176.00
2012/02/28	3.78	3.79	3.70	3.74	4405193	16456359.00
2012/02/29	3.73	3.73	3.57	3.59	4849938	17693000.00
2012/03/01	3.59	3.69	3.53	3.67	4515894	16368630.00
2012/03/02	3.66	3.70	3.62	3.69	4299133	15794211.00
2012/03/05	3.68	3.80	3.68	3.71	4618110	17228554.00
2012/03/06	3.72	3.82	3.60	3.79	8383194	31288912.00
2012/03/07	3.73	3.82	3.71	3.77	4958491	18689572.00
2012/03/08	3.76	3.81	3.74	3.79	4500312	17017196.00
2012/03/09	3.80	3.82	3.74	3.77	4246651	15993896.00
2012/03/12	3.77	3.80	3.73	3.77	3969477	14966817.00
2012/03/13	3.78	3.78	3.70	3.77	3601423	13485332.00
2012/03/14	3.77	3.84	3.58	3.59	10893096	40690896.00
2012/03/15	3.53	3.61	3.41	3.44	6502318	22572484.00
2012/03/16	3.45	3.55	3.40	3.55	3870149	13501266.00
2012/03/19	3.55	3.56	3.50	3.55	2718024	9574679.00
2012/03/20	3.53	3.53	3.43	3.43	3372665	11698360.00
2012/03/21	3.42	3.47	3.27	3.40	4042239	13658057.00
2012/03/22	3.39	3.43	3.33	3.38	2613509	8794246.00
2012/03/23	3.37	3.44	3.30	3.36	3809066	12835914.00
2012/03/26	3.36	3.38	3.30	3.33	2057276	6867379.00
2012/03/27	3.35	3.37	3.28	3.30	2363944	7871077.00
2012/03/28	3.30	3.30	3.14	3.14	5156954	16323860.00
2012/03/29	3.08	3.10	2.99	3.07	4269655	13022264.00
2012/03/30	3.02	3.22	3.02	3.22	4904241	15440286.00
2012/04/05	3.15	3.30	3.15	3.24	3809168	12338855.00
2012/04/06	3.24	3.34	3.21	3.28	3172343	10452303.00
2012/04/09	3.27	3.36	3.26	3.27	2701500	8926371.00
2012/04/10	3.26	3.30	3.13	3.28	2933271	9430407.00
2012/04/11	3.25	3.28	3.18	3.26	2382012	7726280.00
2012/04/12	3.25	3.34	3.25	3.32	3444560	11369457.00
2012/04/13	3.34	3.44	3.31	3.36	4891551	16466720.00
2012/04/16	3.33	3.47	3.32	3.42	4847570	16560340.00
2012/04/17	3.41	3.51	3.35	3.38	4589059	15748440.00
2012/04/18	3.41	3.45	3.35	3.43	3339377	11397632.00
2012/04/19	3.40	3.44	3.38	3.41	2708919	9226710.00
2012/04/20	3.41	3.44	3.37	3.43	3028823	10323240.00
2012/04/23	3.43	3.47	3.30	3.33	3734442	12605529.00
2012/04/24	3.27	3.30	3.16	3.19	6008542	19237132.00
2012/04/25	3.14	3.29	3.14	3.23	3674495	11806789.00
2012/04/27	3.21	3.23	3.12	3.18	3751562	11850029.00
2012/05/02	3.12	3.12	3.02	3.02	9929140	30077378.00
2012/05/03	2.90	2.98	2.87	2.90	9948544	28907200.00
2012/05/04	2.89	3.01	2.89	3.00	5549923	16456568.00
2012/05/07	3.00	3.02	2.94	3.01	5130316	15319244.00
2012/05/08	3.02	3.09	2.98	3.07	4387986	13314384.00
2012/05/09	3.06	3.06	2.98	3.00	3346605	10057351.00
2012/05/10	2.99	3.04	2.98	3.02	2255580	6796939.00
2012/05/11	3.02	3.05	3.00	3.03	2659289	8067136.00
2012/05/14	3.04	3.07	3.02	3.02	2735979	8317415.00
