600804 鹏博士 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.83	7.01	6.75	6.92	4773717	33541648.00
2011/10/11	7.05	7.15	6.84	6.95	6345243	45443912.00
2011/10/12	6.87	7.16	6.83	7.09	15532254	111654448.00
2011/10/13	7.05	7.20	7.02	7.10	11102900	80642968.00
2011/10/14	7.12	7.12	6.80	6.93	12887160	91143952.00
2011/10/17	6.95	7.13	6.92	7.03	9091986	65223476.00
2011/10/18	7.04	7.25	6.96	6.99	16247561	117877480.00
2011/10/19	7.02	7.04	6.86	6.92	5809189	41129608.00
2011/10/20	6.86	6.93	6.52	6.57	7170876	49033496.00
2011/10/21	6.64	6.64	6.28	6.34	7592749	49828456.00
2011/10/24	6.34	6.54	6.30	6.48	9816527	64611804.00
2011/10/25	6.42	6.75	6.42	6.66	12037685	81432080.00
2011/10/26	6.67	6.99	6.64	6.90	16127927	112668368.00
2011/10/27	6.85	6.91	6.78	6.85	7220184	50510920.00
2011/10/28	6.95	7.02	6.83	6.98	14374925	101960856.00
2011/10/31	6.94	7.32	6.91	7.18	19825523	145774496.00
2011/11/01	7.18	7.35	7.11	7.21	13197291	97403696.00
2011/11/02	7.10	7.64	7.06	7.55	24790560	186221344.00
2011/11/03	7.54	7.76	7.40	7.41	23419420	180855408.00
2011/11/04	7.47	7.71	7.45	7.56	18149286	139768640.00
2011/11/07	7.67	7.77	7.56	7.58	17342151	135384768.00
2011/11/08	7.68	7.68	7.32	7.35	14115869	107146448.00
2011/11/09	7.43	7.87	7.34	7.79	30304844	236125712.00
2011/11/10	7.74	8.58	7.68	8.14	75846983	634782336.00
2011/11/11	8.14	8.21	7.86	8.07	24712681	201495072.00
2011/11/14	8.06	8.21	8.00	8.07	17950225	147677008.00
2011/11/15	8.03	8.21	8.03	8.10	12868127	106387024.00
2011/11/16	8.20	8.25	7.86	7.95	15996374	130393840.00
2011/11/17	7.96	8.18	7.93	7.96	21711184	177761920.00
2011/11/18	7.92	8.04	7.58	7.60	21244358	169780720.00
2011/11/21	7.60	7.76	7.55	7.74	8426701	65676928.00
2011/11/22	7.65	7.89	7.63	7.84	12391033	98269696.00
2011/11/23	7.77	7.93	7.74	7.77	8716265	69598304.00
2011/11/24	7.77	8.35	7.71	8.18	35128273	288451968.00
2011/11/25	8.11	8.25	7.94	8.05	18679881	154270576.00
2011/11/28	8.10	8.10	7.34	7.35	30360646	233366048.00
2011/11/29	7.43	7.48	7.32	7.42	12568802	94998144.00
2011/11/30	7.45	7.70	7.21	7.35	15305986	116503312.00
2011/12/01	7.52	7.70	7.35	7.45	22603435	174678752.00
2011/12/02	7.37	7.53	7.15	7.17	11599364	87053336.00
2011/12/05	7.23	7.23	6.82	6.85	13765522	97772944.00
2011/12/06	6.86	6.98	6.85	6.95	6994237	49419964.00
2011/12/07	6.98	7.00	6.86	6.89	6177817	43588132.00
2011/12/08	6.90	7.13	6.75	7.06	13484214	96301232.00
2011/12/09	6.99	7.07	6.94	7.01	4778770	34160256.00
2011/12/13	6.95	6.95	6.50	6.55	13426269	91308992.00
2011/12/14	6.60	6.63	6.38	6.45	5826303	38787532.00
2011/12/15	6.41	6.50	6.34	6.44	11625456	76444392.00
2011/12/16	6.45	6.65	6.39	6.65	9907617	65984488.00
2011/12/19	6.66	6.76	6.48	6.74	15350183	104042448.00
2011/12/20	6.74	6.80	6.54	6.56	10392512	71085552.00
2011/12/21	6.65	6.79	6.55	6.56	12660374	86662136.00
2011/12/22	6.45	6.48	5.95	6.25	18718518	118800672.00
2011/12/23	6.20	6.35	6.11	6.30	10975666	70192896.00
2011/12/26	6.43	6.45	6.20	6.22	8833656	57273688.00
2011/12/27	6.17	6.20	5.79	5.83	15130026	92492696.00
2011/12/28	5.83	5.85	5.47	5.63	13307282	76390984.00
2011/12/29	5.62	5.67	5.53	5.62	9713187	55874704.00
2011/12/30	5.62	5.74	5.56	5.66	10148063	58951724.00
2012/01/04	5.72	5.76	5.26	5.28	19027701	107027376.00
2012/01/05	5.25	5.35	5.05	5.09	11214794	60026016.00
