600805 悦达投资 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	11.91	12.06	11.42	11.46	6388894	91987472.00
2011/10/11	11.85	11.96	10.42	10.76	21126751	291801984.00
2011/10/12	10.60	11.25	10.35	11.21	13238844	180420688.00
2011/10/13	11.20	11.56	11.04	11.26	11151211	157289616.00
2011/10/14	11.21	11.31	10.92	11.27	7125503	98424496.00
2011/10/17	11.11	11.43	11.00	11.10	7386249	102493616.00
2011/10/18	11.05	11.08	10.77	10.80	5872189	79895512.00
2011/10/19	10.80	11.01	10.73	10.83	2900761	39175688.00
2011/10/20	10.71	10.81	10.39	10.40	8670921	113928656.00
2011/10/21	10.43	10.48	9.56	9.64	19217472	236313376.00
2011/10/24	9.75	9.97	9.19	9.93	10180696	122420040.00
2011/10/25	9.74	10.33	9.74	10.24	8600580	108515920.00
2011/10/26	10.18	10.98	10.11	10.73	13405597	178490336.00
2011/10/27	10.79	10.99	10.63	10.73	7152900	95886480.00
2011/10/28	10.98	11.20	10.93	11.13	11233783	154383984.00
2011/10/31	11.26	11.26	10.96	11.06	7913727	108862680.00
2011/11/01	10.92	11.18	10.85	10.92	7978240	108762776.00
2011/11/02	10.68	11.00	10.54	10.99	12843961	171373472.00
2011/11/03	11.02	11.33	10.93	10.96	13903261	192028576.00
2011/11/04	11.03	11.17	10.74	10.90	10536623	143110592.00
2011/11/07	10.87	11.07	10.70	10.75	8892642	120136072.00
2011/11/08	10.77	10.83	10.55	10.58	9392054	124694672.00
2011/11/09	10.67	10.77	10.52	10.76	9998151	132774760.00
2011/11/10	10.64	10.66	10.36	10.38	11291942	147812544.00
2011/11/11	10.43	10.49	10.10	10.23	13595104	174686352.00
2011/11/14	10.32	10.48	10.31	10.45	12075157	156693296.00
2011/11/15	10.48	10.68	10.36	10.68	9775223	127749064.00
2011/11/16	10.73	10.74	10.32	10.46	10865828	142828208.00
2011/11/17	10.42	10.56	10.32	10.39	6274806	81512728.00
2011/11/18	10.19	10.33	9.83	10.03	8810921	110656368.00
2011/11/21	10.03	10.13	9.92	10.10	3605791	45087312.00
2011/11/22	9.95	10.07	9.83	9.99	3384956	42056272.00
2011/11/23	10.06	10.07	9.83	9.83	4000546	49449792.00
2011/11/24	9.73	9.91	9.60	9.77	4919066	59699076.00
2011/11/25	9.72	9.81	9.62	9.65	3273577	39621484.00
2011/11/28	9.66	9.78	9.59	9.61	3825114	46291416.00
2011/11/29	9.74	9.88	9.64	9.88	5718976	69730168.00
2011/11/30	9.83	9.88	9.35	9.52	6264913	75200608.00
2011/12/01	9.85	10.04	9.74	9.77	13910678	172073696.00
2011/12/02	9.82	9.85	9.58	9.70	4234242	51350488.00
2011/12/05	9.70	9.74	9.20	9.26	6685811	78591912.00
2011/12/06	9.18	9.34	9.14	9.27	3629713	42112708.00
2011/12/07	9.28	9.42	9.23	9.39	3346218	39151492.00
2011/12/08	9.36	9.82	9.23	9.62	6944283	83189464.00
2011/12/09	9.52	9.83	9.48	9.70	5441725	66120152.00
2011/12/12	9.68	9.77	9.43	9.50	5677539	67893384.00
2011/12/13	9.39	9.56	9.31	9.35	4660947	54918200.00
2011/12/15	9.19	9.25	8.98	8.98	5286674	60331864.00
2011/12/16	9.01	9.34	8.97	9.34	5485425	62926856.00
2011/12/19	9.23	9.33	9.02	9.29	5463831	62915160.00
2011/12/20	9.29	9.50	9.21	9.30	5090319	59816648.00
2011/12/21	9.43	9.64	9.19	9.20	10604562	125845024.00
2011/12/22	9.14	9.50	9.02	9.42	6633268	76584872.00
2011/12/23	9.39	9.87	9.35	9.83	12817220	155609600.00
2011/12/26	9.75	10.13	9.70	9.84	9508953	118094760.00
2011/12/27	9.77	9.89	9.60	9.63	5252978	63744064.00
2011/12/28	9.58	9.62	9.26	9.60	7063309	83374608.00
2011/12/29	9.55	9.85	9.49	9.73	10590172	128722704.00
2011/12/30	9.73	9.93	9.73	9.84	7058052	86727200.00
2012/01/04	9.94	10.09	9.52	9.54	8245597	101148768.00
2012/01/05	9.44	9.80	9.35	9.60	10890772	131074608.00
2012/01/06	9.47	9.64	9.08	9.48	10251522	119967528.00
2012/01/09	9.53	10.18	9.44	10.14	16735219	206604528.00
2012/01/10	10.17	10.52	10.08	10.42	17231117	222398048.00
2012/01/11	10.42	10.60	10.30	10.36	11425467	148827232.00
2012/01/12	10.33	10.54	10.27	10.31	9399952	121840240.00
2012/01/13	10.32	10.39	9.93	9.98	9514919	119796400.00
2012/01/16	9.86	10.23	9.84	9.97	7374553	92495536.00
2012/01/17	10.00	10.73	10.00	10.72	17581496	228639568.00
2012/01/18	10.70	10.98	10.42	10.64	14877278	200115680.00
2012/01/19	10.63	10.97	10.56	10.83	7988076	107553808.00
2012/01/20	10.83	11.21	10.73	11.08	11589650	159040368.00
2012/01/30	11.05	11.15	10.58	10.64	12582816	170818880.00
2012/01/31	10.65	10.65	9.54	9.57	41335928	506572736.00
2012/02/01	9.35	9.73	9.28	9.58	11519428	138088096.00
2012/02/02	9.65	9.73	9.48	9.71	10240497	122988952.00
2012/02/03	9.71	9.79	9.62	9.75	10366495	125978200.00
2012/02/06	9.77	9.82	9.68	9.73	9114000	110786520.00
2012/02/07	9.66	9.67	9.42	9.56	7936573	94731952.00
2012/02/08	9.56	9.87	9.50	9.83	15709913	191338528.00
2012/02/09	9.83	10.05	9.78	9.88	13325508	165088704.00
2012/02/10	9.88	10.07	9.84	9.98	10563031	131470488.00
2012/02/13	9.91	10.01	9.83	9.95	9952909	123312368.00
2012/02/14	9.93	10.00	9.80	9.86	10926199	134881840.00
2012/02/15	9.85	9.93	9.69	9.93	18751338	230119872.00
2012/02/16	9.99	10.13	9.83	9.92	15268841	190218336.00
2012/02/17	9.96	9.99	9.78	9.82	9682540	119071696.00
2012/02/20	9.93	9.98	9.80	9.80	9608671	118486184.00
2012/02/21	9.80	9.82	9.63	9.81	12528889	152117248.00
2012/02/22	9.81	10.41	9.75	10.36	34169433	431556224.00
2012/02/23	10.36	10.39	10.21	10.26	18380661	235822848.00
2012/02/24	10.23	10.47	10.18	10.38	16847759	216977568.00
2012/02/27	10.47	10.77	10.39	10.43	25922512	339518496.00
2012/02/28	10.38	10.74	10.33	10.68	29303864	387004704.00
2012/02/29	10.68	10.68	10.33	10.36	14612542	191586736.00
2012/03/01	10.28	10.57	10.27	10.44	11642209	151112784.00
2012/03/02	10.46	10.94	10.43	10.90	23744453	317254912.00
2012/03/05	10.96	11.08	10.68	10.76	18510982	250507744.00
2012/03/06	10.68	10.73	10.51	10.66	11308385	149410032.00
2012/03/07	10.52	11.11	10.46	11.09	21981289	297113376.00
2012/03/08	11.03	11.31	10.98	11.04	18505777	256104976.00
2012/03/09	11.12	11.25	10.94	11.19	11252795	155269136.00
2012/03/12	11.18	11.21	10.90	11.04	9329959	128177272.00
2012/03/13	11.05	11.09	10.92	11.09	7418905	101532640.00
2012/03/14	11.17	11.20	10.39	10.41	38922896	520364160.00
2012/03/15	10.39	10.51	10.08	10.12	17508935	222660528.00
2012/03/16	10.13	10.31	9.81	10.20	23390646	293659488.00
2012/03/19	10.17	10.27	10.07	10.26	13744127	174530912.00
2012/03/20	10.23	10.23	9.85	9.88	14998813	186780768.00
2012/03/21	9.98	10.09	9.83	10.03	9058955	112481624.00
2012/03/22	10.03	10.07	9.89	9.98	5820154	72443584.00
2012/03/23	9.96	9.96	9.67	9.73	10560406	129013984.00
2012/03/26	9.68	9.83	9.67	9.80	4302803	52452760.00
2012/03/27	9.86	10.02	9.78	9.88	6721775	83151504.00
2012/03/28	9.87	9.87	9.44	9.50	9707223	116278648.00
2012/03/29	9.35	9.38	8.92	9.03	16273060	185727504.00
2012/03/30	8.97	9.08	8.85	8.96	15478535	173926032.00
2012/04/05	9.00	9.28	8.98	9.24	9632039	110843248.00
2012/04/06	9.27	9.42	9.15	9.30	9596368	111357616.00
2012/04/09	9.31	9.33	9.15	9.18	4625334	53506632.00
2012/04/10	9.13	9.31	9.02	9.30	8868414	101696552.00
2012/04/11	9.19	9.38	9.15	9.33	7823881	90877504.00
2012/04/12	9.36	9.51	9.33	9.50	9132845	107692144.00
2012/04/13	9.53	9.64	9.43	9.55	9179065	109343896.00
2012/04/16	9.48	9.56	9.36	9.46	6736529	79713104.00
2012/04/17	9.46	9.51	9.33	9.33	4891506	57461768.00
2012/04/18	9.37	9.58	9.31	9.52	9868044	117008320.00
2012/04/19	9.55	9.64	9.48	9.50	10102128	120885488.00
2012/04/23	9.61	9.75	9.48	9.53	9674119	116125496.00
2012/04/24	9.46	9.59	9.17	9.31	7900643	92666168.00
2012/04/25	9.33	9.53	9.33	9.53	8842480	104528496.00
2012/04/26	9.54	9.67	9.43	9.54	9557548	114370448.00
2012/04/27	9.52	9.58	9.39	9.45	8427069	100173040.00
2012/05/02	9.60	9.91	9.51	9.84	18083198	220060160.00
2012/05/03	9.78	9.94	9.78	9.84	9751085	120099808.00
2012/05/04	9.83	10.08	9.79	10.00	14584475	182212304.00
2012/05/07	9.93	10.09	9.90	10.03	9408653	117382240.00
2012/05/08	10.02	10.08	9.79	9.85	7725206	95360048.00
2012/05/09	9.81	9.83	9.58	9.64	9121713	110348176.00
2012/05/10	9.61	9.68	9.53	9.61	6827912	81960800.00
2012/05/11	9.61	9.75	9.48	9.50	5728748	68890584.00
2012/05/14	9.62	9.63	9.39	9.40	9397430	111614904.00
2012/05/15	9.28	9.52	9.18	9.50	11002087	128042272.00
2012/05/16	9.42	9.46	9.27	9.30	4750804	55569680.00
2012/05/17	9.30	9.58	9.23	9.49	6495201	76591072.00
2012/05/18	9.40	9.49	9.28	9.34	4104937	48076568.00
2012/05/21	9.38	9.38	9.23	9.30	2944589	33813204.00
2012/05/22	9.35	9.45	9.33	9.43	4327678	50192184.00
2012/05/23	9.41	9.47	9.27	9.34	4242991	49047280.00
2012/05/24	9.31	9.37	8.95	8.98	16683643	187088640.00
2012/05/25	9.01	9.04	8.92	8.98	5302291	58815864.00
2012/05/28	8.94	9.41	8.80	9.38	13829977	156751440.00
2012/05/29	9.34	9.56	9.25	9.41	15716302	182727296.00
2012/05/30	9.38	9.43	9.26	9.28	8809428	101295648.00
2012/05/31	9.21	9.23	9.08	9.10	8811170	99791656.00
2012/06/01	9.11	9.21	9.08	9.13	4803900	54286200.00
2012/06/04	8.98	9.00	8.79	8.79	7508393	82704688.00
2012/06/05	8.80	8.88	8.71	8.73	6339322	68894776.00
2012/06/06	8.77	8.80	8.54	8.60	6370540	68243448.00
2012/06/07	8.65	8.73	8.45	8.48	6836841	72612944.00
2012/06/08	8.61	8.62	8.45	8.52	6929203	73205056.00
2012/06/11	8.55	8.63	8.46	8.61	4233330	44962416.00
2012/06/12	8.55	8.58	8.34	8.35	6817481	71225352.00
2012/06/13	8.39	8.46	8.26	8.45	9817602	101870216.00
2012/06/14	8.43	8.58	8.36	8.38	8121528	85468128.00
2012/06/15	8.41	8.48	8.33	8.45	5426445	56666204.00
2012/06/18	8.53	8.59	8.50	8.55	5641886	59758080.00
2012/06/19	8.56	8.63	8.48	8.52	4982489	52866096.00
2012/06/20	8.55	8.58	8.50	8.53	2935372	31040500.00
2012/06/21	8.54	8.55	8.06	8.11	11294350	114954736.00
2012/06/25	8.08	8.08	7.62	7.63	12579532	121638376.00
2012/06/26	7.55	7.71	7.52	7.67	4720555	44653688.00
2012/06/27	7.68	7.70	7.56	7.62	3944415	37436484.00
2012/06/28	7.62	7.67	7.56	7.62	4469330	42381128.00
2012/06/29	7.61	7.61	7.34	7.50	9377903	87045104.00
2012/07/02	7.54	7.56	6.89	6.97	24529197	219384464.00
2012/07/04	6.98	7.06	6.78	6.81	16850274	144581008.00
2012/07/05	6.83	6.83	6.45	6.57	15889974	130459088.00
2012/07/06	6.58	6.88	6.42	6.84	21786864	180585296.00
2012/07/09	6.73	6.76	6.54	6.57	10772013	89326728.00
2012/07/10	6.55	6.66	6.53	6.63	8119817	67076436.00
2012/07/11	6.61	6.78	6.61	6.76	7555001	63226780.00
2012/07/12	6.73	6.98	6.63	6.88	11877655	101177280.00
2012/07/13	6.83	6.93	6.74	6.75	7519574	64059616.00
2012/07/16	6.73	6.77	6.43	6.50	9183489	75203744.00
2012/07/17	6.48	6.66	6.46	6.65	5265948	43360544.00
2012/07/18	6.64	6.81	6.55	6.80	6933317	57769580.00
2012/07/19	6.77	6.94	6.74	6.83	11238166	96400208.00
2012/07/20	6.81	6.83	6.64	6.66	7103059	59713656.00
2012/07/23	6.64	6.64	6.45	6.58	4770551	39054636.00
2012/07/24	6.52	6.66	6.46	6.60	4461474	36737684.00
2012/07/25	6.59	6.66	6.58	6.60	4538674	37514728.00
2012/07/26	6.60	6.68	6.53	6.56	5118140	42176680.00
2012/07/27	6.61	6.73	6.58	6.64	5874937	48890888.00
2012/07/30	6.64	6.87	6.64	6.75	9425862	79654848.00
2012/07/31	6.75	6.81	6.59	6.77	8001493	67051872.00
2012/08/01	6.74	7.10	6.73	7.06	18178509	158282672.00
2012/08/02	7.03	7.15	6.93	6.98	10320423	90201136.00
2012/08/03	6.99	7.08	6.83	7.05	11296024	97694392.00
2012/08/06	6.91	7.11	6.91	7.08	11965574	104685200.00
2012/08/07	7.06	7.06	6.96	7.00	8712022	76098392.00
2012/08/08	6.99	7.09	6.93	7.06	9450459	82876968.00
2012/08/09	7.06	7.26	6.99	7.23	16025540	143075456.00
2012/08/10	7.18	7.23	7.11	7.13	8464771	75436448.00
2012/08/13	7.11	7.11	6.85	6.86	7483537	65030336.00
2012/08/14	6.88	6.90	6.69	6.87	5385658	45755880.00
2012/08/15	6.83	6.83	6.73	6.76	3162562	26782544.00
2012/08/16	6.73	6.80	6.73	6.75	2846777	24043056.00
2012/08/17	6.74	6.79	6.68	6.76	2857624	24050582.00
2012/08/20	6.73	6.73	6.50	6.63	6051617	49978388.00
2012/08/21	6.66	6.92	6.65	6.91	10115082	86095240.00
2012/08/22	6.93	6.93	6.70	6.82	8328525	70742152.00
2012/08/23	6.94	7.36	6.94	7.22	22587345	202647280.00
2012/08/24	7.10	7.20	7.08	7.09	10655193	94693712.00
2012/08/27	7.12	7.12	6.81	6.82	9736475	83932472.00
2012/08/28	6.76	6.88	6.69	6.83	8452743	71616960.00
2012/08/29	6.81	6.83	6.71	6.75	5295158	44729300.00
2012/08/30	6.73	6.77	6.61	6.73	6429349	53891444.00
2012/08/31	6.70	6.88	6.67	6.81	5786702	49051644.00
2012/09/03	6.75	7.04	6.75	6.96	10151383	87411312.00
2012/09/04	6.90	6.98	6.77	6.80	7429005	63738416.00
2012/09/05	6.77	6.88	6.73	6.83	4320977	36699804.00
2012/09/06	6.85	6.92	6.78	6.87	7229422	61671968.00
2012/09/07	6.93	7.33	6.93	7.12	26807579	238437296.00
2012/09/10	7.13	7.38	7.07	7.37	23884099	215181424.00
2012/09/11	7.31	7.42	7.23	7.41	18126995	165406064.00
2012/09/12	7.44	7.61	7.32	7.39	17334127	160884144.00
2012/09/13	7.38	7.44	7.17	7.18	13561498	123460256.00
2012/09/14	7.28	7.38	7.06	7.28	13269117	119779728.00
2012/09/17	7.31	7.43	7.13	7.13	16387555	148893504.00
2012/09/18	7.02	7.13	6.77	7.00	8547706	74867416.00
2012/09/19	7.03	7.12	6.98	7.11	5893868	51791676.00
2012/09/20	7.11	7.11	6.77	6.77	8954051	77021136.00
2012/09/21	6.73	6.90	6.73	6.77	6503067	55368732.00
2012/09/24	6.80	6.88	6.63	6.83	6598710	55615900.00
2012/09/25	6.78	6.84	6.68	6.78	5395938	45598332.00
2012/09/26	6.73	6.79	6.58	6.63	5894031	49160184.00
2012/09/27	6.62	6.92	6.60	6.83	9210129	77734160.00
2012/09/28	6.77	7.10	6.74	7.08	13468256	117362456.00
2012/10/08	7.05	7.27	7.03	7.18	15925839	142631072.00
2012/10/09	7.18	7.37	7.15	7.32	13482490	122421408.00
2012/10/10	7.30	7.63	7.27	7.42	28109903	262078448.00
2012/10/11	7.38	7.45	7.24	7.25	13963374	127341240.00
2012/10/12	7.26	7.38	7.19	7.35	10386612	94610664.00
2012/10/15	7.37	7.37	7.13	7.22	9367126	84234056.00
2012/10/16	7.24	7.35	7.16	7.23	8718658	78893536.00
2012/10/17	7.26	7.51	7.24	7.46	14646766	134544272.00
2012/10/18	7.53	7.74	7.43	7.67	25837308	245289936.00
2012/10/19	7.66	7.68	7.53	7.57	10680753	100746208.00
2012/10/22	7.58	7.70	7.53	7.70	13181861	125200976.00
2012/10/23	7.69	7.99	7.69	7.79	27470964	268172224.00
2012/10/24	7.73	7.98	7.69	7.84	17191029	168043744.00
2012/10/25	7.72	7.83	7.43	7.44	23297263	221504256.00
2012/10/26	7.43	7.53	7.32	7.47	11576426	106689648.00
2012/10/29	7.37	7.68	7.37	7.54	11342273	106792560.00
2012/10/30	7.54	7.86	7.54	7.73	12521718	120097200.00
2012/10/31	7.73	7.87	7.67	7.83	12265672	118321144.00
2012/11/01	7.85	7.99	7.74	7.78	18386163	179967952.00
2012/11/02	7.78	7.96	7.78	7.95	11873285	116296552.00
2012/11/05	7.92	8.22	7.85	8.10	23563960	235821056.00
2012/11/06	8.07	8.30	8.02	8.25	26842081	272327296.00
2012/11/07	8.28	8.44	8.13	8.18	24336214	250562416.00
2012/11/08	8.09	8.28	7.93	8.04	15220600	153340368.00
