600809 山西汾酒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	34.74	34.74	31.10	31.11	7765094	517253152.00
2011/10/11	31.60	31.86	30.18	30.95	4065802	261195856.00
2011/10/12	30.60	31.49	30.23	31.46	1952362	126980120.00
2011/10/13	31.33	32.35	30.54	31.93	3844537	251998400.00
2011/10/14	31.60	31.75	30.81	31.30	1994403	130622368.00
2011/10/17	31.23	32.22	31.23	31.94	1868811	124640672.00
2011/10/18	31.64	32.10	30.73	30.89	1857697	121780456.00
2011/10/19	30.63	31.35	30.40	30.58	1335133	86289712.00
2011/10/20	30.46	30.58	29.60	29.68	1249894	78319392.00
2011/10/21	29.57	30.39	28.39	30.06	1735961	107084368.00
2011/10/24	30.05	30.71	29.55	30.70	1070818	67664944.00
2011/10/25	30.75	32.53	30.20	32.12	2353538	155083520.00
2011/10/26	32.10	32.37	31.68	32.11	1534797	102977000.00
2011/10/27	32.09	32.42	31.66	32.05	399866	26797272.00
2011/10/28	32.30	32.85	32.10	32.67	1085157	73661320.00
2011/10/31	32.67	33.05	32.20	32.29	1230460	83329936.00
2011/11/01	32.25	32.35	31.93	32.07	1282685	85865336.00
2011/11/02	31.79	33.45	31.38	33.16	921992	62518376.00
2011/11/03	33.45	33.85	33.10	33.17	1531463	106788184.00
2011/11/04	33.43	33.60	32.78	32.85	744132	51490492.00
2011/11/07	32.61	33.10	32.49	32.56	797416	54598412.00
2011/11/08	32.49	33.35	32.49	33.06	1119883	77046024.00
2011/11/09	33.26	34.65	33.12	34.35	1101258	77440416.00
2011/11/10	33.93	34.32	33.77	34.05	1145415	81133168.00
2011/11/11	34.04	34.24	33.45	33.52	717994	50636436.00
2011/11/14	33.58	34.20	33.47	33.85	788372	55791540.00
2011/11/15	33.85	34.25	33.85	33.87	811163	57566136.00
2011/11/16	33.86	34.23	32.44	33.28	1307461	89989592.00
2011/11/17	33.09	33.24	32.73	32.94	418254	28775052.00
2011/11/18	32.62	32.93	32.14	32.15	638725	43211068.00
2011/11/21	32.11	32.99	32.11	32.95	509897	34820620.00
2011/11/22	32.72	33.58	32.72	33.30	844803	58547928.00
2011/11/23	33.30	34.18	32.90	34.10	1296414	90899760.00
2011/11/24	33.95	34.01	33.51	33.93	810619	57070580.00
2011/11/25	33.93	35.20	33.63	35.00	2475575	178782896.00
2011/11/28	34.98	35.47	34.51	34.75	1904568	138563120.00
2011/11/29	34.93	35.08	34.15	34.33	1287803	92445640.00
2011/11/30	34.24	34.60	33.15	33.60	988635	69850440.00
2011/12/01	34.25	34.46	33.62	33.84	1313700	92934192.00
2011/12/02	33.64	34.35	33.50	33.75	1144970	80754928.00
2011/12/05	33.62	33.90	31.38	32.63	2143803	144967984.00
2011/12/06	32.11	32.25	31.59	32.09	1379155	91671040.00
2011/12/07	31.66	32.10	31.53	32.09	639031	42523016.00
2011/12/08	31.93	32.57	31.72	32.10	490549	32975144.00
2011/12/09	31.89	32.28	30.48	30.74	1655965	107757152.00
2011/12/12	30.60	31.04	30.10	30.76	881130	56036608.00
2011/12/13	30.77	30.77	29.88	30.21	942602	59518648.00
2011/12/14	30.08	30.45	29.61	29.98	702959	44185880.00
2011/12/15	29.40	30.04	29.31	29.83	672467	41975904.00
2011/12/16	30.01	30.92	29.85	30.78	785661	50110608.00
2011/12/19	30.77	31.75	29.90	31.41	860099	55118580.00
2011/12/20	31.59	31.68	30.71	31.10	562945	36511956.00
2011/12/21	31.28	31.28	30.10	30.55	339015	21677872.00
2011/12/22	30.19	30.90	29.92	30.49	531589	33686388.00
2011/12/23	30.46	30.84	30.15	30.57	376985	24040414.00
2011/12/26	29.93	30.50	29.10	30.19	1327353	82271120.00
2011/12/27	30.09	30.09	28.60	28.69	1069758	65235952.00
2011/12/28	28.65	28.80	27.10	28.10	2561061	148973536.00
2011/12/29	27.58	28.85	27.58	28.36	1118265	66750456.00
2011/12/30	28.38	30.24	28.28	30.17	1337496	82030696.00
2012/01/04	30.10	30.12	27.28	27.50	2890250	169595664.00
2012/01/05	27.10	27.35	25.60	26.12	2998887	166460704.00
2012/01/06	25.77	26.09	25.17	25.45	2219477	119255440.00
2012/01/09	25.45	25.90	24.99	25.90	2893349	154934016.00
2012/01/10	25.85	27.54	25.50	27.10	2209674	124781648.00
2012/01/11	27.35	27.53	26.87	27.44	1981347	113243616.00
2012/01/12	27.38	27.38	26.54	26.55	1476116	83587624.00
2012/01/13	26.84	26.89	25.28	25.59	2106598	114247744.00
2012/01/16	25.53	25.53	23.77	23.99	2021236	104302536.00
2012/01/17	23.62	25.03	23.60	24.93	1667144	85971424.00
2012/01/18	24.91	25.05	24.35	24.41	1017719	52794464.00
2012/01/19	24.74	25.35	24.11	25.02	971814	51270132.00
