600811 东方集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.72	5.82	5.67	5.70	3347669	19288004.00
2011/10/11	5.87	5.90	5.67	5.75	4867887	28240722.00
2011/10/12	5.69	5.95	5.69	5.93	9303903	54917804.00
2011/10/13	5.93	6.11	5.71	6.02	12149190	73505008.00
2011/10/14	6.02	6.03	5.92	5.99	5491715	32964414.00
2011/10/17	6.01	6.05	5.92	5.95	4612813	27726248.00
2011/10/18	5.91	6.00	5.82	5.83	7700141	45893540.00
2011/10/19	5.85	5.94	5.80	5.83	3457644	20334100.00
2011/10/20	5.79	5.81	5.49	5.55	8672804	48959936.00
2011/10/21	5.58	5.65	5.52	5.52	4061652	22736312.00
2011/10/24	5.55	5.74	5.49	5.69	6338738	35998200.00
2011/10/25	5.64	5.85	5.63	5.78	8554736	49617556.00
2011/10/26	5.77	5.98	5.75	5.87	14108421	83517056.00
2011/10/27	5.89	5.93	5.85	5.88	5356915	31679132.00
2011/10/28	5.97	6.01	5.89	6.00	9626580	57610112.00
2011/10/31	6.15	6.18	6.04	6.09	17519289	107359856.00
2011/11/01	6.03	6.14	6.01	6.09	9384876	57292600.00
2011/11/02	5.99	6.22	5.96	6.19	15249572	93690888.00
2011/11/03	6.81	6.81	6.81	6.81	25073493	171502688.00
2011/11/04	7.22	7.49	7.18	7.49	215206415	1606175360.00
2011/11/07	7.42	7.53	7.33	7.51	104508233	780082624.00
2011/11/08	7.50	7.52	7.07	7.12	82853653	604094016.00
2011/11/09	7.13	7.29	6.94	7.22	79329327	568650240.00
2011/11/10	7.06	7.15	6.94	6.96	58704848	414862080.00
2011/11/11	6.98	7.22	6.93	7.06	55027176	391617984.00
2011/11/14	7.14	7.25	7.04	7.14	43019965	308535488.00
2011/11/15	7.13	7.19	7.04	7.16	31969666	228547824.00
2011/11/16	7.12	7.15	6.75	6.80	42746079	297163104.00
2011/11/17	6.83	6.89	6.73	6.77	25889476	177065904.00
2011/11/18	6.65	6.75	6.54	6.57	23922755	159559056.00
2011/11/21	6.57	6.64	6.53	6.61	15970132	105543320.00
2011/11/22	6.54	6.62	6.44	6.57	18004101	118421120.00
2011/11/23	6.59	6.60	6.44	6.49	15944809	104393112.00
