600814 杭州解百 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.67	6.76	6.58	6.68	712260	4890739.00
2011/10/11	6.78	6.80	6.57	6.63	1359013	9403693.00
2011/10/12	6.54	6.86	6.51	6.84	1604352	11195218.00
2011/10/13	6.86	6.94	6.78	6.92	2344777	16610230.00
2011/10/14	6.88	6.91	6.80	6.85	971656	6857414.00
2011/10/17	6.85	6.90	6.82	6.86	773227	5465521.00
2011/10/18	6.79	6.84	6.62	6.62	1273850	8812290.00
2011/10/19	6.67	6.76	6.60	6.65	674975	4637846.00
2011/10/20	6.61	6.68	6.37	6.45	970610	6533651.00
2011/10/21	6.51	6.51	6.41	6.45	424610	2826560.00
2011/10/24	6.40	6.54	6.31	6.54	964354	6421974.00
2011/10/25	6.49	6.66	6.47	6.63	1688534	11458157.00
2011/10/26	6.62	6.74	6.59	6.67	1721596	11848685.00
2011/10/27	6.72	6.87	6.64	6.69	1294684	8971309.00
2011/10/28	6.70	6.83	6.70	6.79	1446033	10093347.00
2011/10/31	6.75	6.81	6.74	6.79	929180	6489575.00
2011/11/01	6.74	6.83	6.67	6.78	1835216	12782732.00
2011/11/02	6.70	6.87	6.62	6.83	2457422	17066548.00
2011/11/03	6.84	6.93	6.81	6.83	2574034	18215004.00
2011/11/04	6.87	6.90	6.79	6.89	3089082	21782704.00
2011/11/07	6.84	6.92	6.74	6.78	2833643	19937768.00
2011/11/08	6.78	6.78	6.65	6.67	3919190	27106314.00
2011/11/09	6.69	6.74	6.62	6.73	2328679	16039953.00
2011/11/10	6.65	6.74	6.59	6.63	2093196	14372233.00
2011/11/11	6.65	6.70	6.62	6.63	1085294	7455567.00
2011/11/14	6.69	6.79	6.66	6.78	2700148	18783516.00
2011/11/15	6.78	6.86	6.74	6.85	2633609	18482426.00
2011/11/16	6.84	6.89	6.76	6.78	4552499	32107192.00
2011/11/17	6.78	6.99	6.77	6.88	4893476	34852504.00
2011/11/18	6.88	6.91	6.64	6.67	3328131	23239740.00
2011/11/21	6.64	6.73	6.61	6.70	1403643	9666543.00
2011/11/22	6.66	6.74	6.55	6.74	1399446	9606703.00
2011/11/23	6.77	6.78	6.69	6.73	1363835	9483444.00
2011/11/24	6.61	6.75	6.60	6.73	1438151	9927890.00
2011/11/25	6.78	6.78	6.65	6.69	874600	6056684.00
2011/11/28	6.69	6.73	6.64	6.69	933836	6432262.00
2011/11/29	6.74	6.88	6.68	6.87	2679073	18739984.00
2011/11/30	6.84	6.96	6.70	6.75	5960448	41917028.00
2011/12/01	6.89	7.06	6.76	6.76	10725902	76283336.00
2011/12/02	6.69	6.77	6.35	6.66	7182252	48429516.00
2011/12/05	6.59	6.78	6.40	6.41	4955440	33387012.00
2011/12/06	6.47	6.47	6.27	6.38	2066237	13530284.00
2011/12/07	6.38	6.43	6.31	6.40	1021040	6725707.00
2011/12/08	6.43	6.43	6.29	6.37	934028	6141211.00
2011/12/09	6.37	6.38	6.24	6.25	1054420	6879656.00
2011/12/12	6.25	6.31	6.19	6.21	485920	3136906.00
2011/12/13	6.15	6.21	5.93	5.95	1235389	7709041.00
2011/12/14	5.94	5.95	5.78	5.81	2754825	16676160.00
2011/12/15	5.77	5.87	5.64	5.72	2074093	12366678.00
2011/12/16	5.75	5.98	5.47	5.92	7791789	45650884.00
2011/12/19	5.76	6.38	5.69	6.23	7301249	45041800.00
