600820 隧道股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.99	4.01	3.95	3.98	1358527	11548176.00
2011/10/11	4.10	4.11	3.91	3.98	1541657	13226884.00
2011/10/12	3.96	4.14	3.93	4.11	3070261	26770456.00
2011/10/13	4.09	4.16	4.07	4.15	3075237	27160064.00
2011/10/14	4.16	4.23	4.14	4.17	3315154	29619882.00
2011/10/17	4.13	4.19	4.12	4.15	1564287	13879289.00
2011/10/18	4.11	4.16	4.02	4.04	2005272	17503952.00
2011/10/19	4.03	4.09	3.97	4.01	1814792	15597545.00
2011/10/20	4.00	4.00	3.88	3.92	2436418	20478740.00
2011/10/21	3.94	3.94	3.87	3.92	1421384	11899105.00
2011/10/24	3.92	3.99	3.88	3.97	1598891	13511051.00
2011/10/25	3.97	4.09	3.94	4.06	2204874	19009976.00
2011/10/26	4.07	4.12	4.04	4.09	2543647	22215244.00
2011/10/27	4.13	4.17	4.09	4.13	2994078	26453728.00
2011/10/28	4.17	4.18	4.13	4.17	3614097	32088556.00
2011/10/31	4.16	4.17	4.12	4.15	2342052	20707148.00
2011/11/01	4.11	4.15	4.10	4.14	1930357	17015672.00
2011/11/02	4.07	4.21	4.05	4.20	2979404	26335884.00
2011/11/03	4.22	4.28	4.20	4.22	5602400	50644760.00
2011/11/04	4.22	4.30	4.22	4.25	3171908	28783006.00
2011/11/07	4.26	4.27	4.20	4.21	1938500	17502216.00
2011/11/08	4.22	4.23	4.14	4.17	2365563	21085940.00
2011/11/09	4.20	4.21	4.13	4.20	2809675	24992028.00
2011/11/10	4.15	4.17	4.11	4.15	2843498	25154252.00
2011/11/11	4.13	4.19	4.13	4.16	1771439	15738974.00
2011/11/14	4.19	4.24	4.18	4.24	3224357	29051572.00
2011/11/15	4.24	4.25	4.21	4.25	2171660	19597604.00
2011/11/16	4.26	4.26	4.14	4.18	2297453	20519528.00
2011/11/17	4.15	4.19	4.14	4.14	1591796	14144734.00
2011/11/18	4.12	4.12	4.00	4.03	2635559	22859956.00
2011/11/21	3.99	4.05	3.98	4.04	1354612	11609868.00
2011/11/22	4.02	4.02	3.96	4.02	1037944	8870132.00
2011/11/23	4.03	4.04	4.00	4.02	1245596	10710312.00
2011/11/24	4.02	4.03	3.97	4.01	1944654	16638583.00
2011/11/25	4.01	4.04	3.99	4.03	1371425	11769276.00
2011/11/28	4.03	4.05	4.01	4.03	891852	7685551.00
2011/11/29	4.07	4.18	4.06	4.15	4702309	41561184.00
2011/11/30	4.12	4.21	4.00	4.07	7053719	62132760.00
2011/12/01	4.17	4.24	4.09	4.12	6388681	56866820.00
2011/12/02	4.12	4.17	4.09	4.12	2625493	23124492.00
2011/12/05	4.12	4.12	3.92	4.00	2375128	20482600.00
2011/12/06	4.02	4.02	3.88	3.93	2675980	22487542.00
2011/12/07	3.92	3.93	3.88	3.92	1286354	10775719.00
2011/12/08	3.92	3.94	3.88	3.92	1124637	9420396.00
2011/12/09	3.92	3.95	3.89	3.93	1592950	13406596.00
2011/12/12	3.91	3.93	3.87	3.91	978963	8178991.00
2011/12/13	3.91	3.91	3.73	3.77	1952838	15860780.00
2011/12/14	3.76	3.80	3.66	3.71	1546610	12396320.00
2011/12/15	3.72	3.73	3.57	3.62	2233286	17540368.00
2011/12/16	3.61	3.74	3.60	3.73	2718922	21559752.00
2011/12/19	3.73	3.74	3.63	3.73	1454935	11520157.00
2011/12/20	3.72	3.76	3.71	3.74	1289102	10357424.00
2011/12/21	3.77	3.77	3.66	3.69	1067585	8537244.00
2011/12/22	3.66	3.66	3.54	3.63	1620332	12566680.00
2011/12/23	3.63	3.69	3.58	3.61	1784812	13943999.00
2011/12/26	3.62	3.66	3.59	3.65	1550664	12164868.00
2012/01/04	3.79	3.79	3.58	3.60	2443295	19303880.00
2012/01/05	3.56	3.56	3.47	3.51	1832764	13893626.00
2012/01/06	3.47	3.57	3.47	3.56	1901799	14564784.00
2012/01/09	3.55	3.66	3.54	3.65	2421586	18900572.00
2012/01/10	3.66	3.75	3.64	3.75	3461148	27615382.00
2012/01/11	3.76	3.76	3.68	3.71	2287958	18300636.00
