600825 新华传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.19	6.44	6.19	6.42	10099741	64440720.00
2011/10/11	6.44	6.59	6.10	6.19	14510243	93462920.00
2011/10/12	6.09	6.51	5.94	6.50	10733548	68543808.00
2011/10/13	6.53	6.91	6.49	6.77	20168339	137683840.00
2011/10/14	6.75	6.99	6.67	6.80	14327696	99158128.00
2011/10/17	6.83	6.88	6.62	6.82	17673396	120876424.00
2011/10/18	6.71	6.74	6.57	6.69	6845114	46114524.00
2011/10/19	6.76	7.05	6.60	6.62	21378214	148708928.00
2011/10/20	6.55	6.57	6.29	6.38	9616133	62499680.00
2011/10/21	6.31	6.40	6.18	6.21	4825804	30677640.00
2011/10/24	6.26	6.66	6.09	6.64	12290923	80223960.00
2011/10/25	6.61	7.31	6.54	7.31	78108369	569226432.00
2011/10/26	7.22	7.81	7.13	7.53	69449555	522692608.00
2011/10/27	7.41	7.47	7.23	7.35	28778301	213671456.00
2011/10/28	7.37	7.86	7.34	7.54	50813266	389314464.00
2011/10/31	7.49	8.09	7.41	7.87	48593696	383778464.00
2011/11/01	7.72	7.88	7.59	7.73	32602152	255201056.00
2011/11/02	7.50	8.49	7.50	8.47	63960571	515594368.00
2011/11/03	8.39	8.54	8.11	8.15	60091802	501057440.00
2011/11/04	8.15	8.34	7.87	7.99	34991940	286170624.00
2011/11/07	8.01	8.13	7.85	8.07	19684396	159612736.00
2011/11/08	8.08	8.11	7.71	7.74	30143876	240699424.00
2011/11/09	7.76	8.14	7.56	8.10	40758520	325620608.00
2011/11/10	7.95	8.02	7.59	7.63	29292953	232182112.00
2011/11/11	7.66	8.40	7.63	8.20	81221556	675469632.00
2011/11/14	8.20	8.49	8.11	8.37	68384080	576161600.00
2011/11/16	8.43	8.45	7.92	8.07	36467166	300558976.00
2011/11/17	8.11	8.17	7.91	7.95	22277709	180288768.00
2011/11/18	7.90	8.08	7.72	7.78	24578122	196353856.00
2011/11/21	7.86	8.01	7.73	7.95	23653439	188747792.00
2011/11/22	7.80	8.09	7.70	7.88	23782971	189614768.00
2011/11/23	7.82	7.95	7.58	7.84	18679497	146864144.00
2011/11/24	7.76	7.80	7.51	7.59	31812807	246399280.00
2011/11/25	7.54	7.69	7.41	7.52	23830008	182229264.00
2011/11/28	7.52	7.77	7.44	7.55	17273159	132766008.00
2011/11/29	7.65	7.68	7.43	7.60	13397660	102300936.00
2011/11/30	7.59	7.65	6.89	7.02	21404429	155614544.00
2011/12/01	7.29	7.61	7.05	7.07	20806221	153240080.00
2011/12/02	7.05	7.30	6.90	7.10	15146103	108933008.00
2011/12/05	7.11	7.19	6.75	6.80	12419667	88060568.00
2011/12/06	6.79	7.02	6.59	6.93	17076422	118318896.00
2011/12/07	6.91	6.99	6.76	6.85	11587205	80694888.00
2011/12/08	6.85	7.26	6.73	7.04	22462647	160372896.00
2011/12/09	6.94	7.06	6.81	6.86	10804624	75692584.00
2011/12/12	6.86	6.93	6.67	6.68	7209470	49751088.00
2011/12/13	6.63	6.84	6.28	6.62	15053130	100045592.00
2011/12/14	6.54	6.65	6.27	6.35	10208434	67077140.00
