600828 成商集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.55	7.89	7.23	7.31	1116130	10990871.00
2011/10/11	7.46	7.53	7.23	7.40	2445819	23990784.00
2011/10/12	7.40	7.72	7.27	7.66	1060900	10653079.00
2011/10/13	7.66	7.98	7.61	7.96	1880560	19684024.00
2011/10/14	7.89	7.97	7.80	7.92	675695	7046557.00
2011/10/17	8.06	8.10	7.90	8.04	1033883	10965029.00
2011/10/18	7.82	8.03	7.82	7.99	1217851	12804155.00
2011/10/19	7.93	7.93	7.73	7.90	599548	6229629.00
2011/10/20	7.77	7.86	7.40	7.46	2257621	22381762.00
2011/10/21	7.45	7.45	6.96	7.07	943242	9001480.00
2011/10/24	6.98	7.40	6.96	7.35	1452778	13808945.00
2011/10/25	7.36	7.66	7.19	7.57	1080435	10680094.00
2011/10/26	7.50	8.04	7.46	7.96	2265525	23610424.00
2011/10/27	7.99	8.16	7.89	8.00	1891398	20104728.00
2011/10/28	8.13	8.17	7.85	8.09	2832783	29946636.00
2011/10/31	8.08	8.13	7.98	8.13	1164800	12422021.00
2011/11/01	8.06	8.16	7.93	8.02	2078294	22088072.00
2011/11/02	7.87	8.31	7.77	8.26	1470282	15619474.00
2011/11/03	8.17	8.45	8.17	8.33	3858232	42506620.00
2011/11/04	8.37	8.43	8.23	8.27	1377902	15183032.00
2011/11/07	8.24	8.36	8.10	8.13	919793	10031834.00
2011/11/08	8.13	8.13	7.90	7.97	2635783	27966160.00
2011/11/09	8.02	8.09	7.96	8.03	1446237	15386585.00
2011/11/10	7.99	7.99	7.82	7.90	1659759	17338216.00
2011/11/11	7.93	7.94	7.78	7.90	3822925	39657792.00
2011/11/14	7.97	8.32	7.93	8.18	1316618	14242447.00
2011/11/15	8.20	8.23	8.12	8.21	627031	6786722.00
2011/11/16	8.23	8.30	7.85	8.03	1026900	10876924.00
2011/11/17	8.00	8.00	7.89	7.97	415360	4368621.00
2011/11/18	7.85	7.92	7.68	7.84	1009097	10399724.00
2011/11/21	7.77	7.77	7.51	7.63	1700053	17080290.00
2011/11/22	7.52	7.61	7.43	7.58	1697232	16838864.00
2011/11/23	7.62	7.64	7.53	7.56	385953	3884103.00
2011/11/24	7.53	7.68	7.35	7.61	517698	5200329.00
2011/11/25	7.60	7.69	7.43	7.56	670893	6716979.00
2011/11/28	7.60	7.60	7.39	7.49	898600	8944630.00
2011/11/29	7.50	7.66	7.46	7.58	1224651	12301188.00
2011/11/30	7.58	7.58	7.38	7.45	1592411	15780246.00
2011/12/01	7.56	7.74	7.50	7.64	3640339	36585288.00
2011/12/02	7.54	7.64	7.43	7.61	1201916	12012359.00
2011/12/05	7.54	7.61	7.36	7.40	410481	4063679.00
2011/12/06	7.44	7.44	7.13	7.28	1982177	18998420.00
2011/12/07	7.30	7.30	7.07	7.16	1596526	15227101.00
2011/12/08	7.23	7.27	7.07	7.15	682084	6471393.00
2011/12/09	7.14	7.16	7.03	7.07	516413	4880427.00
2011/12/12	7.15	7.23	7.04	7.20	879404	8349788.00
2011/12/13	7.18	7.18	6.96	7.00	789778	7347000.00
2011/12/14	7.08	7.10	6.83	6.90	421869	3905137.00
2011/12/15	6.95	6.95	6.79	6.83	557120	5092166.00
2011/12/16	6.83	7.00	6.83	6.95	253794	2331637.00
2011/12/19	7.03	7.03	6.60	6.76	1176310	10546916.00
2011/12/20	6.68	6.85	6.40	6.53	2447454	21319900.00
2011/12/21	6.56	6.56	6.39	6.52	1536852	13280208.00
2011/12/22	6.45	6.53	6.10	6.34	989239	8303476.00
2011/12/23	6.41	6.54	6.23	6.36	1789178	15216834.00
2011/12/26	6.37	6.37	6.02	6.04	1273324	10550585.00
2011/12/27	6.00	6.25	5.90	6.00	3266131	26189184.00
2011/12/28	5.92	6.13	5.84	6.00	1942992	15520419.00
2011/12/29	5.96	6.36	5.96	6.32	3324025	27544584.00
2012/01/04	6.38	6.42	6.10	6.23	951362	7954140.00
2012/01/05	6.16	6.33	6.08	6.13	1044080	8631640.00
2012/01/06	6.10	6.15	5.93	6.11	712923	5720629.00
2012/01/09	6.13	6.28	6.00	6.27	2007398	16465809.00
2012/01/10	6.21	6.54	6.21	6.49	1841658	15644459.00
2012/01/11	6.45	6.59	6.36	6.41	1162569	9927821.00
2012/01/12	6.43	6.46	6.35	6.38	691830	5882590.00
2012/01/13	6.38	6.40	6.08	6.15	710484	5854929.00
2012/01/16	6.04	6.16	5.95	5.97	653084	5307786.00
2012/01/17	6.07	6.26	5.85	6.23	1290651	10409190.00
2012/01/18	6.23	6.30	6.01	6.04	590498	4847388.00
2012/01/19	6.06	6.21	6.00	6.20	591179	4850528.00
2012/01/20	6.30	6.30	6.16	6.26	1328722	11004429.00
2012/01/30	6.26	6.28	6.13	6.25	455577	3775302.00
2012/01/31	6.18	6.28	6.18	6.27	432602	3596816.00
2012/02/01	6.22	6.40	6.22	6.26	629000	5296494.00
2012/02/02	6.26	6.35	6.20	6.33	925523	7730583.00
2012/02/03	6.30	6.49	6.29	6.43	845437	7200124.00
2012/02/06	6.42	6.65	6.39	6.53	1726036	15064459.00
2012/02/07	6.54	6.54	6.38	6.42	357788	3055561.00
2012/02/08	6.42	6.58	6.35	6.55	918346	7890606.00
2012/02/09	6.52	6.59	6.47	6.53	827879	7185535.00
2012/02/10	6.40	6.58	6.40	6.56	1036821	9010646.00
2012/02/13	6.53	6.60	6.44	6.58	1095854	9499127.00
2012/02/14	6.60	6.66	6.45	6.53	811082	7035580.00
2012/02/15	6.53	6.63	6.49	6.60	1347730	11752339.00
2012/02/16	6.61	6.74	6.54	6.70	3792252	33392536.00
2012/02/17	6.68	6.73	6.58	6.63	1491367	13157725.00
2012/02/20	6.71	6.71	6.53	6.54	2364776	20779110.00
2012/02/21	6.54	6.60	6.45	6.59	909508	7898171.00
2012/02/22	6.56	6.70	6.56	6.67	4436902	39164896.00
2012/02/23	6.70	6.80	6.66	6.76	3608747	32273914.00
2012/02/24	6.93	7.43	6.86	7.16	9249584	87678296.00
2012/02/27	7.14	7.30	7.08	7.16	5372516	51321480.00
2012/02/28	7.12	7.12	6.96	7.01	3624273	33751180.00
2012/02/29	7.01	7.10	6.91	6.93	2673803	24939192.00
2012/03/01	6.91	7.00	6.91	6.96	1742674	16089814.00
2012/03/02	7.00	7.07	6.95	7.06	2245057	20928788.00
2012/03/05	7.06	7.13	6.96	7.06	2525775	23590716.00
2012/03/06	7.05	7.05	6.86	6.90	1899331	17476646.00
2012/03/07	6.86	7.07	6.86	6.94	2084298	19275528.00
2012/03/08	6.94	7.12	6.94	7.08	2620308	24471448.00
2012/03/09	7.10	7.21	7.04	7.17	3746592	35439848.00
2012/03/12	7.23	7.23	7.10	7.19	2645765	25124344.00
2012/03/13	7.19	7.23	7.13	7.22	3507348	33485324.00
2012/03/14	7.26	7.27	6.80	6.86	3981485	37533536.00
2012/03/16	6.87	7.14	6.87	7.14	2624600	24545024.00
2012/03/19	7.20	7.54	7.14	7.45	4721091	46068532.00
2012/03/20	7.44	7.44	7.16	7.18	3450478	33266700.00
2012/03/21	7.19	7.31	6.96	7.22	1943839	18450416.00
2012/03/22	7.22	7.22	7.06	7.09	1114653	10533160.00
2012/03/23	7.03	7.15	6.89	6.94	1255132	11639330.00
2012/03/26	6.93	6.96	6.83	6.88	540003	4954203.00
2012/03/27	6.94	7.06	6.90	6.96	746060	6891574.00
2012/03/28	6.86	6.87	6.40	6.50	1828199	16124111.00
2012/03/29	6.45	6.51	6.28	6.38	1211309	10340797.00
2012/03/30	6.39	6.46	6.30	6.45	1033101	8760532.00
2012/04/05	6.43	6.63	6.41	6.54	4527402	39052832.00
2012/04/06	6.51	6.51	6.39	6.43	4098707	35182632.00
2012/04/09	6.40	6.41	6.27	6.35	1810409	15306827.00
2012/04/10	6.35	6.39	6.09	6.36	1859660	15428563.00
2012/04/11	6.20	6.36	6.20	6.29	1788189	14904138.00
2012/04/12	6.30	6.53	6.30	6.49	2575086	22017404.00
2012/04/13	6.49	6.55	6.44	6.52	2305252	19938882.00
2012/04/16	6.50	6.60	6.41	6.57	1723366	14982084.00
2012/04/17	6.56	6.59	6.45	6.50	1890964	16453498.00
2012/04/18	6.53	6.66	6.48	6.63	1810518	15900757.00
2012/04/19	6.63	6.70	6.47	6.52	2323445	20284558.00
2012/04/20	6.50	6.62	6.48	6.52	2153781	18775452.00
2012/04/23	6.55	6.58	6.33	6.40	2504269	21590660.00
2012/04/24	6.38	6.43	6.12	6.27	1994065	16635344.00
2012/04/25	6.27	6.45	6.24	6.42	1586990	13496596.00
2012/04/26	6.43	6.69	6.43	6.56	8329034	72787192.00
2012/04/27	6.54	6.62	6.51	6.53	2129023	18557594.00
2012/05/02	6.63	6.63	6.40	6.52	3879582	33496840.00
2012/05/03	6.50	6.66	6.46	6.66	3173967	27867600.00
2012/05/04	6.65	6.69	6.58	6.63	3080522	27192816.00
2012/05/07	6.63	6.67	6.52	6.66	1582480	10640446.00
2012/05/08	6.63	6.66	6.55	6.57	2149318	14421011.00
2012/05/09	6.58	6.58	6.41	6.43	2083126	13689638.00
2012/05/10	6.47	6.47	6.35	6.38	2590068	16901876.00
2012/05/11	6.42	6.44	6.29	6.39	2075929	13466699.00
2012/05/14	6.41	6.58	6.34	6.36	1893609	12421654.00
2012/05/15	6.33	6.48	6.28	6.42	1858141	12068590.00
2012/05/16	6.42	6.42	6.29	6.31	910786	5886915.00
2012/05/17	6.31	6.38	6.19	6.33	1318059	8447951.00
2012/05/18	6.32	6.32	6.17	6.20	1514766	9595830.00
2012/05/22	6.21	6.26	6.17	6.21	1396601	8825715.00
2012/05/23	6.19	6.20	5.58	5.65	19807096	115558152.00
2012/05/24	5.48	5.92	5.44	5.88	11414433	66758616.00
2012/05/25	5.76	5.99	5.75	5.98	9571952	57667676.00
2012/05/28	6.08	6.23	6.05	6.12	9047881	56648856.00
2012/05/29	6.18	6.25	6.06	6.24	7446364	46920920.00
2012/05/30	6.20	6.22	6.13	6.17	3487218	21925058.00
2012/05/31	6.10	6.14	5.96	6.06	3479901	21439436.00
2012/06/01	6.03	6.09	6.00	6.03	1646557	10158981.00
2012/06/04	5.93	5.98	5.77	5.79	3110060	18601924.00
2012/06/05	5.85	5.85	5.68	5.80	1738891	10211064.00
2012/06/06	5.78	5.81	5.73	5.76	1724621	10149979.00
2012/06/07	5.78	6.08	5.78	5.84	3367669	20249502.00
2012/06/08	5.92	5.92	5.73	5.75	1596918	9436458.00
2012/06/11	5.83	5.83	5.63	5.78	1606073	9383665.00
2012/06/12	5.73	5.80	5.69	5.75	1174793	6888937.00
2012/06/13	5.75	5.88	5.74	5.83	1899316	11312242.00
2012/06/14	5.85	5.95	5.82	5.86	2520313	15101704.00
2012/06/15	5.87	5.89	5.78	5.85	965689	5750838.00
2012/06/18	5.88	6.00	5.83	5.93	3575803	21614660.00
2012/06/19	5.94	6.28	5.90	6.06	5580807	34787456.00
2012/06/20	6.08	6.36	6.08	6.24	7893439	50402944.00
2012/06/21	6.23	6.30	6.07	6.15	5135850	32405548.00
2012/06/25	6.04	6.14	5.85	5.88	2159545	13169398.00
2012/06/26	5.88	5.96	5.76	5.93	1460943	8747767.00
2012/06/27	5.95	5.96	5.77	5.82	2260971	13441587.00
2012/06/28	5.84	5.85	5.62	5.67	1913695	11131503.00
2012/06/29	5.63	5.85	5.58	5.83	1722465	10023585.00
2012/07/02	5.83	5.90	5.72	5.90	1550117	9205102.00
2012/07/03	5.84	5.97	5.78	5.82	1301555	7810996.00
2012/07/04	5.82	5.86	5.68	5.71	1397302	8204417.00
2012/07/05	5.69	5.72	5.45	5.48	2911555	16414091.00
2012/07/06	5.48	5.58	5.38	5.58	1884786	10596263.00
2012/07/09	5.54	5.60	5.46	5.49	1346702	7599060.00
2012/07/10	5.44	5.48	5.06	5.18	3698582	19891248.00
2012/07/11	5.15	5.28	5.10	5.17	2975278	15705248.00
2012/07/12	5.15	5.15	4.88	5.11	6132818	31553356.00
2012/07/13	5.06	5.11	4.93	4.99	4503655	23156212.00
2012/07/16	5.00	5.00	4.76	4.77	1971337	9790605.00
2012/07/17	4.79	4.86	4.73	4.82	1863335	9149168.00
2012/07/18	4.82	4.98	4.75	4.93	3565032	17806638.00
2012/07/19	4.96	5.12	4.92	5.01	3677594	18963940.00
2012/07/20	5.00	5.04	4.93	4.96	1297567	6613859.00
2012/07/23	4.94	4.97	4.86	4.96	1171468	5888374.00
2012/07/24	4.90	5.05	4.84	4.96	2124588	10811960.00
2012/07/25	4.94	4.98	4.81	4.85	2785517	13934231.00
2012/07/26	4.83	4.84	4.74	4.80	3282231	16094048.00
2012/07/27	4.83	4.83	4.74	4.81	1401218	6862809.00
2012/07/30	4.80	4.84	4.74	4.76	1544748	7561435.00
2012/07/31	4.76	4.76	4.63	4.66	1608694	7701072.00
2012/08/01	4.68	4.77	4.64	4.73	1105955	5357263.00
2012/08/02	4.71	4.78	4.67	4.75	1181535	5731362.00
2012/08/03	4.76	4.84	4.69	4.82	1646163	8050607.00
2012/08/06	4.79	4.97	4.79	4.95	2765874	13836763.00
2012/08/07	4.95	5.03	4.88	5.01	3547360	17928990.00
2012/08/08	4.97	5.04	4.91	5.01	2598254	13259421.00
2012/08/09	5.03	5.09	4.95	5.06	1951705	10055195.00
2012/08/10	5.09	5.09	4.97	4.99	1738634	8970441.00
2012/08/13	5.00	5.00	4.83	4.83	2200074	11073524.00
2012/08/14	4.81	4.90	4.76	4.89	1646610	8155568.00
2012/08/15	4.89	4.91	4.83	4.87	904375	4511306.00
2012/08/16	4.88	4.92	4.77	4.83	3044150	15102942.00
2012/08/17	4.83	4.87	4.77	4.86	1328848	6544602.00
2012/08/20	4.79	4.84	4.75	4.83	1333428	6558586.00
2012/08/21	4.81	4.92	4.80	4.89	4248634	21214340.00
2012/08/22	4.88	4.93	4.79	4.82	1609747	8000669.00
2012/08/23	4.81	4.85	4.70	4.83	2176557	10712155.00
2012/08/24	4.82	4.86	4.73	4.74	1590913	7801950.00
2012/08/27	4.73	4.74	4.60	4.62	1143567	5449800.00
2012/08/28	4.61	4.66	4.51	4.62	1321381	6220141.00
2012/08/29	4.60	4.67	4.52	4.54	1885825	8852216.00
2012/08/30	4.56	4.60	4.42	4.50	1746748	8066910.00
2012/08/31	4.49	4.56	4.46	4.51	1233344	5692439.00
2012/09/03	4.47	4.56	4.47	4.54	3085750	14310665.00
2012/09/04	4.54	4.61	4.51	4.55	3765779	17645608.00
2012/09/05	4.56	4.57	4.49	4.54	1801737	8379595.00
2012/09/06	4.56	4.62	4.56	4.62	1457478	6870416.00
2012/09/07	4.63	4.89	4.56	4.78	6214378	30419776.00
2012/09/10	4.80	4.88	4.75	4.86	2598764	12862826.00
2012/09/11	4.83	4.83	4.76	4.81	1914976	9403028.00
2012/09/12	4.83	4.85	4.78	4.84	2123258	10497472.00
2012/09/13	4.83	4.90	4.77	4.78	2945495	14548942.00
2012/09/14	4.80	4.83	4.68	4.77	2452275	11959877.00
2012/09/17	4.74	4.75	4.58	4.60	2481531	11867851.00
2012/09/18	4.60	4.62	4.54	4.58	1022523	4798331.00
2012/09/19	4.61	4.72	4.56	4.70	1613133	7683134.00
2012/09/20	4.70	4.70	4.49	4.54	1854902	8698293.00
2012/09/21	4.55	4.59	4.48	4.55	1067869	4978913.00
2012/09/24	4.56	4.60	4.46	4.57	884418	4122815.00
2012/09/25	4.51	4.66	4.51	4.66	1935068	9178638.00
2012/09/26	4.64	4.68	4.53	4.54	1520404	7142465.00
2012/09/27	4.54	4.66	4.51	4.65	2166902	10249429.00
2012/09/28	4.75	5.13	4.70	4.94	10991695	55882948.00
2012/10/08	4.88	4.93	4.68	4.79	6183388	30413242.00
2012/10/09	4.77	4.92	4.74	4.91	5687619	28308504.00
