600830 香溢融通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.62	8.62	8.13	8.20	1575624	13486250.00
2011/10/11	8.57	8.63	8.23	8.39	1824638	15807800.00
2011/10/12	8.30	8.73	8.30	8.70	1715396	15171181.00
2011/10/13	8.70	8.92	8.63	8.78	1238785	11181995.00
2011/10/14	8.83	9.33	8.69	9.13	5568001	51483732.00
2011/10/17	9.03	9.23	8.97	8.99	3113407	28869724.00
2011/10/18	8.88	8.90	8.20	8.38	2886524	25274926.00
2011/10/19	8.37	8.43	8.18	8.18	1434528	12211816.00
2011/10/20	8.08	8.18	7.93	7.99	1130166	9333518.00
2011/10/21	8.23	8.23	7.94	7.99	962912	7946232.00
2011/10/24	8.00	8.07	7.76	7.98	1751014	14286572.00
2011/10/25	8.08	8.43	8.03	8.16	4182665	35282832.00
2011/10/26	8.21	8.29	8.09	8.18	3073826	25889786.00
2011/10/27	8.23	8.37	8.18	8.22	1985954	16809360.00
2011/10/28	8.33	8.49	8.24	8.41	3008098	25787348.00
2011/10/31	8.45	8.45	8.28	8.38	1718590	14730920.00
2011/11/01	8.33	8.52	8.22	8.43	3247712	27896366.00
2011/11/02	8.30	8.62	8.23	8.50	2727519	23518182.00
2011/11/03	8.59	8.66	8.44	8.54	4634260	40768476.00
2011/11/04	8.61	8.69	8.52	8.66	3683107	32518864.00
2011/11/07	8.66	8.73	8.51	8.57	2182234	19230496.00
2011/11/08	8.56	8.61	8.40	8.43	1659175	14454950.00
2011/11/09	8.67	8.67	8.40	8.55	1796921	15785194.00
2011/11/10	8.47	8.56	8.33	8.34	1547529	13414504.00
2011/11/11	8.34	9.20	8.34	8.68	10462552	94639984.00
2011/11/14	8.68	8.96	8.54	8.82	4963022	44756704.00
2011/11/15	8.74	8.88	8.63	8.79	3129304	28062272.00
2011/11/16	8.78	8.78	8.46	8.53	3818794	33590440.00
2011/11/17	8.49	8.67	8.49	8.54	2521497	22193136.00
2011/11/18	8.57	8.65	8.30	8.43	2012817	17420788.00
2011/11/21	8.43	8.52	8.35	8.46	1392295	11997925.00
2011/11/22	8.39	8.56	8.33	8.47	1111235	9624748.00
2011/11/23	8.54	8.54	8.33	8.39	1185137	10227089.00
2011/11/24	8.33	8.46	8.25	8.32	1258687	10776258.00
2011/11/25	8.37	8.37	8.12	8.18	1427980	12097004.00
2011/11/28	8.18	8.26	8.06	8.19	1447211	12125126.00
2011/11/29	8.29	8.36	8.21	8.30	2029576	17240048.00
