600832 东方明珠 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.45	5.52	5.45	5.48	2914191	17198740.00
2011/10/11	5.60	5.67	5.46	5.48	5429329	32501068.00
2011/10/12	5.46	5.69	5.46	5.68	13810285	83355936.00
2011/10/13	5.68	5.83	5.64	5.79	19657542	121651824.00
2011/10/14	5.78	5.81	5.63	5.70	14320152	87709080.00
2011/10/17	5.74	5.83	5.68	5.71	12237527	75415416.00
2011/10/18	5.65	5.69	5.48	5.50	10880099	65191924.00
2011/10/19	5.55	5.72	5.54	5.62	14151406	85946176.00
2011/10/20	5.57	5.57	5.41	5.43	9946599	58518744.00
2011/10/21	5.44	5.47	5.35	5.40	4973310	29005816.00
2011/10/24	5.43	5.55	5.23	5.54	12956908	75558096.00
2011/10/25	5.54	5.94	5.50	5.81	41680948	258910032.00
2011/10/26	5.76	6.43	5.74	6.43	86277899	571167680.00
2011/10/27	6.40	6.48	6.16	6.23	52608644	353160800.00
2011/10/28	6.29	6.54	6.18	6.28	53203985	359660896.00
2011/10/31	6.27	6.50	6.23	6.37	42192684	286674816.00
2011/11/01	6.28	6.57	6.24	6.40	32730426	224213504.00
2011/11/02	6.28	6.78	6.24	6.77	64732503	448925312.00
2011/11/03	6.70	6.72	6.51	6.52	51943296	366173952.00
2011/11/04	6.52	6.62	6.33	6.43	32066120	220435984.00
2011/11/07	6.38	6.48	6.34	6.38	12765760	87111600.00
2011/11/08	6.38	6.42	6.20	6.24	19035262	128182224.00
2011/11/09	6.24	6.44	6.18	6.40	27006920	182515328.00
2011/11/10	6.29	6.53	6.27	6.29	27009477	183671968.00
2011/11/11	6.29	6.66	6.24	6.42	35827777	246785168.00
2011/11/14	6.45	6.53	6.41	6.49	19534073	134543504.00
2011/11/15	6.49	6.50	6.32	6.42	19289656	131555976.00
2011/11/16	6.43	6.43	6.16	6.19	19316925	129229104.00
2011/11/17	6.20	6.25	6.08	6.09	13254310	87382000.00
2011/11/18	6.08	6.13	5.81	5.86	19853494	126408448.00
2011/11/21	5.88	5.94	5.83	5.93	8519257	53744468.00
2011/11/22	5.88	5.98	5.70	5.84	12952464	81088584.00
2011/11/23	5.89	5.90	5.76	5.78	6453332	40276848.00
2011/11/24	5.73	5.84	5.66	5.70	10705472	65936104.00
2011/11/25	5.70	5.84	5.69	5.73	9567822	59234920.00
2011/11/28	5.74	5.80	5.70	5.73	4863375	30016164.00
2011/11/29	5.78	5.80	5.69	5.78	7967435	49106732.00
2011/11/30	5.78	5.78	5.37	5.42	14731272	87627592.00
2011/12/01	5.58	5.68	5.50	5.50	12477736	74998176.00
2011/12/02	5.49	5.57	5.40	5.47	6845740	40416104.00
2011/12/05	5.49	5.49	5.39	5.42	4995641	29287404.00
2011/12/06	5.43	5.53	5.37	5.50	4856923	28519592.00
2011/12/07	5.50	5.53	5.46	5.50	4569496	27043718.00
2011/12/08	5.50	5.69	5.42	5.60	11627979	69834720.00
2011/12/09	5.54	5.61	5.50	5.55	4476304	26713832.00
2011/12/12	5.55	5.57	5.37	5.40	4745709	27952292.00
2011/12/13	5.40	5.42	5.25	5.30	8049368	46172048.00
2011/12/14	5.29	5.34	5.18	5.19	4455136	25361668.00
2011/12/15	5.19	5.24	5.09	5.11	6882259	38361924.00
2011/12/16	5.14	5.25	5.07	5.22	6540713	36376400.00
2011/12/19	5.17	5.33	5.01	5.30	10276609	57312560.00
2011/12/20	5.25	5.30	5.09	5.11	8799453	49456032.00
2011/12/21	5.18	5.20	4.96	4.97	8705167	47988348.00
2011/12/22	4.97	4.97	4.72	4.83	10365622	54483940.00
2011/12/23	4.83	4.92	4.81	4.86	4656352	24602528.00
2011/12/26	4.84	4.90	4.80	4.84	4043926	21302548.00
2011/12/27	4.85	4.98	4.76	4.81	7448825	39392376.00
2011/12/28	4.78	4.87	4.76	4.86	6546925	34216728.00
2011/12/29	4.83	4.89	4.80	4.87	4806571	25313500.00
2011/12/30	4.87	4.96	4.85	4.86	8361287	44511284.00
2012/01/04	4.88	4.93	4.74	4.78	5914089	31244832.00
2012/01/05	4.76	4.76	4.64	4.65	6056448	30961516.00
2012/01/06	4.65	4.71	4.59	4.69	4857111	24626476.00
2012/01/09	4.69	4.88	4.65	4.88	9134884	47453940.00
2012/01/10	4.87	5.07	4.83	5.04	12705706	68438776.00
2012/01/11	5.06	5.11	5.01	5.04	12510058	68535088.00
2012/01/12	5.03	5.09	4.96	5.00	8059674	43843008.00
2012/01/13	4.98	5.05	4.80	4.86	7372894	39363256.00
2012/01/16	4.86	4.86	4.75	4.77	4997188	26161560.00
2012/01/17	4.76	5.03	4.76	5.01	8670788	46314656.00
2012/01/18	5.02	5.05	4.91	4.92	8412090	45485232.00
2012/01/19	4.96	5.03	4.90	4.97	5941518	32047470.00
2012/01/20	4.99	5.06	4.98	5.04	5504564	30009704.00
2012/01/30	5.06	5.11	5.00	5.01	6215245	33971368.00
2012/01/31	5.03	5.07	4.96	5.06	4748218	25762892.00
2012/02/01	5.05	5.07	4.94	4.95	4698011	25468040.00
2012/02/02	4.98	5.05	4.94	5.04	4332667	23480550.00
2012/02/03	5.03	5.18	5.00	5.14	11954526	66045932.00
2012/02/06	5.16	5.18	5.08	5.10	7681180	42600616.00
2012/02/07	5.08	5.09	4.97	4.99	7318400	39768024.00
2012/02/08	4.97	5.14	4.97	5.13	7572997	41584912.00
2012/02/09	5.11	5.20	5.10	5.14	10347933	57656196.00
2012/02/10	5.12	5.20	5.10	5.14	7545081	42059192.00
2012/02/13	5.13	5.23	5.06	5.18	9819284	54889428.00
2012/02/14	5.16	5.20	5.12	5.16	5709906	31812356.00
2012/02/15	5.16	5.45	5.13	5.43	28034559	160962592.00
2012/02/16	5.40	5.61	5.38	5.47	32811800	193885744.00
2012/02/17	5.49	5.49	5.39	5.42	11265084	65941588.00
2012/02/20	5.48	5.48	5.35	5.36	14026693	81816224.00
2012/02/21	5.40	5.59	5.38	5.57	23457699	138999056.00
2012/02/22	5.56	5.62	5.50	5.60	17721714	106110416.00
2012/02/23	5.58	5.58	5.51	5.53	12337270	73555096.00
2012/02/24	5.53	5.85	5.52	5.76	35879871	220775856.00
2012/02/27	5.75	5.84	5.73	5.74	18223294	113080224.00
2012/02/28	5.71	5.78	5.66	5.72	10607527	65111340.00
2012/02/29	5.74	5.80	5.65	5.65	9494646	58374080.00
2012/03/01	5.61	5.71	5.58	5.66	12056383	73085424.00
2012/03/02	5.68	5.81	5.64	5.79	12355070	76191864.00
2012/03/05	5.80	5.83	5.74	5.75	7686870	47645432.00
2012/03/06	5.76	5.88	5.70	5.72	13000719	80735152.00
2012/03/07	5.66	5.75	5.57	5.59	12833711	77869056.00
2012/03/08	5.63	5.83	5.59	5.77	14566033	89664456.00
2012/03/09	5.78	5.91	5.77	5.86	17572542	110146592.00
2012/03/12	5.87	5.98	5.81	5.84	14122594	88952840.00
2012/03/13	5.84	5.92	5.80	5.90	9763312	61254328.00
2012/03/14	5.95	5.98	5.61	5.64	19859216	124109704.00
2012/03/15	5.66	5.71	5.51	5.55	13750090	82751656.00
2012/03/16	5.60	5.74	5.52	5.69	10241790	61983212.00
2012/03/19	5.65	6.27	5.65	5.92	23964455	151552304.00
2012/03/20	5.87	5.92	5.71	5.72	15898048	98578000.00
