600833 第一医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.68	10.63	9.57	10.12	26444892	273932512.00
2011/10/11	10.20	10.44	9.93	10.40	23768699	245545056.00
2011/10/12	10.19	10.75	10.00	10.67	21931721	232917840.00
2011/10/13	10.59	10.90	10.37	10.52	17475589	187232672.00
2011/10/14	10.43	10.49	10.12	10.35	11408729	119235576.00
2011/10/17	10.35	10.82	10.30	10.80	17745628	190342720.00
2011/10/18	10.63	10.68	9.83	9.84	14135154	147489408.00
2011/10/19	9.94	10.03	9.48	9.74	7400751	72968264.00
2011/10/20	9.67	9.67	8.93	9.22	8627431	81032696.00
2011/10/21	9.12	9.25	8.94	9.12	4369362	40424744.00
2011/10/24	9.13	9.23	8.63	9.18	7481726	68424632.00
2011/10/25	9.16	9.45	8.90	9.40	8525083	79986552.00
2011/10/26	9.25	9.53	9.20	9.28	9132089	86888720.00
2011/10/27	9.31	9.68	9.27	9.37	9005309	86577136.00
2011/10/28	9.42	9.51	9.18	9.47	9359441	89042096.00
2011/10/31	9.44	9.45	9.23	9.40	7204663	68381000.00
2011/11/01	9.30	9.74	9.25	9.70	13255836	129300184.00
2011/11/02	9.58	9.76	9.33	9.72	10742447	104205880.00
2011/11/03	9.75	10.11	9.55	9.85	15182122	152008928.00
2011/11/04	9.85	10.51	9.81	10.31	23166551	239802896.00
2011/11/07	10.20	10.39	10.15	10.32	11371922	118557008.00
2011/11/08	10.29	10.51	10.21	10.45	12584464	132897576.00
2011/11/09	10.55	11.51	10.48	11.51	43462482	492766208.00
2011/11/10	11.68	11.69	11.31	11.35	35354499	411054176.00
2011/11/11	11.25	11.46	11.14	11.27	20862853	238897056.00
2011/11/14	11.30	12.18	11.15	12.09	51182791	607228224.00
2011/11/15	12.75	12.75	11.74	12.54	50576454	622405760.00
2011/11/16	12.65	12.65	12.13	12.39	43266787	539745216.00
2011/11/17	12.34	12.51	12.16	12.26	36989279	463218432.00
2011/11/18	12.29	12.29	11.03	11.48	33668357	392235808.00
2011/11/21	11.65	11.65	10.76	10.98	18084627	201079984.00
2011/11/22	10.75	11.20	10.66	11.14	14690209	163404640.00
2011/11/23	11.07	11.12	10.76	10.77	10426309	115160840.00
2011/11/24	10.61	10.87	10.46	10.81	9017400	97771896.00
2011/11/25	10.81	10.85	10.30	10.46	9210122	99071136.00
2011/11/28	10.41	10.73	10.27	10.70	9097161	96872880.00
2011/11/29	10.75	11.10	10.65	10.90	13562309	150042064.00
2011/11/30	10.85	10.97	9.85	10.11	11425417	120483600.00
2011/12/01	10.45	10.55	10.13	10.18	10752832	113047304.00
2011/12/02	10.13	10.13	9.72	9.79	7708225	77038584.00
2011/12/05	9.63	9.77	9.35	9.36	4976109	47989680.00
2011/12/06	9.36	9.64	9.34	9.54	6970558	67489896.00
2011/12/07	9.53	9.84	9.46	9.83	7220452	70808544.00
2011/12/08	9.85	10.01	9.57	9.69	7521025	74573808.00
2011/12/09	9.53	9.91	9.47	9.75	6824185	67695112.00
2011/12/12	9.78	9.92	9.50	9.52	4801034	47543304.00
2011/12/13	9.37	9.48	8.73	8.81	8204457	74784744.00
2011/12/14	8.63	8.93	8.56	8.58	4162043	36903440.00
2011/12/15	8.58	8.63	7.95	8.01	6544690	54876952.00
2011/12/16	8.04	8.40	7.61	8.36	8403031	68398296.00
2011/12/19	8.15	8.29	7.91	8.19	5833864	48106960.00
2011/12/20	8.14	8.40	8.07	8.21	4982034	41980008.00
2011/12/21	8.34	8.37	7.76	7.79	5063775	41885416.00
2011/12/22	7.68	7.69	7.22	7.45	5788184	44068912.00
2011/12/23	7.41	7.68	7.36	7.53	3959195	30532044.00
2011/12/26	7.60	7.61	7.41	7.45	3108937	23768684.00
2011/12/27	7.41	7.43	6.98	7.00	4779616	34897992.00
2011/12/28	6.94	6.97	6.62	6.92	4726837	32715176.00
2011/12/29	6.80	7.13	6.78	6.99	3840849	27412350.00
