600834 申通地铁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.13	8.70	8.13	8.25	636326	5383109.00
2011/10/11	8.35	8.45	8.09	8.17	3737636	31677652.00
2011/10/12	8.19	8.60	8.03	8.38	9400792	79927072.00
2011/10/13	8.30	8.49	8.24	8.27	6751509	57446904.00
2011/10/14	8.28	8.28	8.04	8.06	2761873	22958828.00
2011/10/17	8.03	8.14	8.02	8.04	1289022	10645092.00
2011/10/18	8.00	8.04	7.70	7.72	1896417	15245493.00
2011/10/19	7.73	7.78	7.62	7.63	1157101	9109332.00
2011/10/20	7.64	7.64	7.34	7.37	1162951	8862262.00
2011/10/21	7.36	7.51	7.30	7.31	639382	4827736.00
2011/10/24	7.36	7.42	7.25	7.41	936605	7065639.00
2011/10/25	7.41	7.55	7.37	7.54	1171176	9000037.00
2011/10/26	7.51	7.63	7.47	7.59	1577661	12259711.00
2011/10/27	7.95	8.20	7.70	7.79	4151508	33915088.00
2011/10/28	7.78	7.88	7.71	7.82	2468191	19722324.00
2011/10/31	7.80	7.83	7.74	7.81	1062681	8490628.00
2011/11/01	7.76	7.83	7.72	7.78	973312	7768346.00
2011/11/02	7.71	7.85	7.60	7.84	1533212	12174261.00
2011/11/03	7.85	7.95	7.82	7.88	2089842	16909740.00
2011/11/04	7.88	7.95	7.85	7.92	1377051	11159337.00
2011/11/07	7.92	7.92	7.81	7.82	1131201	9115669.00
2011/11/08	7.83	7.86	7.63	7.66	1253938	9982296.00
2011/11/09	7.68	7.74	7.60	7.72	1449417	11400481.00
2011/11/10	7.67	7.67	7.56	7.56	1184441	9250976.00
2011/11/11	7.57	7.66	7.55	7.59	866027	6760356.00
2011/11/14	7.63	7.80	7.62	7.78	1653220	13115638.00
2011/11/15	7.78	7.88	7.74	7.87	1374580	11026385.00
2011/11/16	7.89	7.89	7.61	7.63	1251585	9918668.00
2011/11/17	7.63	7.70	7.62	7.64	618526	4856142.00
2011/11/18	7.71	7.74	7.51	7.52	1226880	9588001.00
2011/11/21	7.48	7.58	7.44	7.51	516871	3968294.00
2011/11/22	7.44	7.49	7.40	7.44	633160	4835913.00
2011/11/23	7.48	7.48	7.39	7.41	451089	3438236.00
2011/11/24	7.33	7.46	7.33	7.38	514528	3898984.00
2011/11/25	7.31	7.47	7.31	7.41	749664	5714621.00
2011/11/28	7.38	7.59	7.38	7.58	1017602	7831383.00
2011/11/29	7.64	7.74	7.55	7.60	1399575	10894744.00
2011/11/30	7.60	7.60	7.10	7.13	1614455	12109243.00
2011/12/01	7.30	7.35	7.22	7.23	1028605	7711141.00
2011/12/02	7.22	7.31	7.10	7.10	1000390	7390335.00
2011/12/05	7.11	7.15	6.89	6.90	897023	6444278.00
2011/12/06	6.91	6.93	6.78	6.85	748671	5277146.00
2011/12/07	6.87	6.90	6.79	6.86	399540	2814476.00
