600839 四川长虹 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	2.59	2.61	2.57	2.58	22681803	59320684.00
2011/10/11	2.63	2.65	2.55	2.58	50139951	131808400.00
2011/10/12	2.57	2.64	2.55	2.64	72671869	191898928.00
2011/10/13	2.63	2.70	2.62	2.66	67404093	181013552.00
2011/10/14	2.65	2.66	2.61	2.64	37008311	98509840.00
2011/10/17	2.66	2.66	2.62	2.63	35024111	93536536.00
2011/10/18	2.62	2.62	2.57	2.58	44022217	115162072.00
2011/10/19	2.59	2.59	2.55	2.57	23293084	60555632.00
2011/10/20	2.57	2.57	2.45	2.47	49322471	124467992.00
2011/10/21	2.46	2.49	2.46	2.46	23291849	58313000.00
2011/10/24	2.47	2.50	2.40	2.49	49749523	123607344.00
2011/10/25	2.49	2.53	2.44	2.52	58360977	147396272.00
2011/10/26	2.50	2.62	2.48	2.56	94538081	243649664.00
2011/10/27	2.55	2.57	2.52	2.53	56263643	144646000.00
2011/10/28	2.56	2.59	2.55	2.58	67626156	175633776.00
2011/10/31	2.57	2.62	2.56	2.59	48331733	126396736.00
2011/11/01	2.59	2.71	2.59	2.66	127686826	344568672.00
2011/11/02	2.62	2.69	2.61	2.69	61392215	164177552.00
2011/11/03	2.69	2.75	2.67	2.68	91807167	251284336.00
2011/11/04	2.70	2.73	2.69	2.71	70790831	193835632.00
2011/11/07	2.70	2.71	2.67	2.67	34786602	94421120.00
2011/11/08	2.67	2.68	2.64	2.65	29020959	78093936.00
2011/11/09	2.66	2.69	2.63	2.66	29809185	79922752.00
2011/11/10	2.63	2.65	2.59	2.59	38604789	102261960.00
2011/11/11	2.60	2.64	2.58	2.61	29008391	76618632.00
2011/11/14	2.63	2.66	2.61	2.65	28930898	77276968.00
2011/11/15	2.65	2.68	2.62	2.67	38510908	103066512.00
2011/11/16	2.66	2.75	2.64	2.65	90918575	247797344.00
2011/11/17	2.64	2.64	2.61	2.62	37478081	99473936.00
2011/11/18	2.60	2.61	2.50	2.54	41820690	108351624.00
2011/11/21	2.53	2.55	2.49	2.52	21882861	55761680.00
2011/11/22	2.48	2.52	2.47	2.51	29883548	75368704.00
2011/11/23	2.49	2.51	2.47	2.47	18410972	46363080.00
2011/11/24	2.46	2.48	2.43	2.46	28072004	69777688.00
2011/11/25	2.45	2.48	2.44	2.45	18730562	46614288.00
2011/11/28	2.46	2.47	2.42	2.44	19841044	49148104.00
2011/11/30	2.47	2.49	2.35	2.38	49964326	122618136.00
2011/12/01	2.43	2.46	2.41	2.41	34215776	84291168.00
2011/12/02	2.42	2.42	2.37	2.40	18869251	45698112.00
2011/12/05	2.39	2.40	2.35	2.36	17456165	41784608.00
2011/12/06	2.35	2.36	2.30	2.33	23081788	54494000.00
2011/12/07	2.33	2.35	2.31	2.34	14572950	34444820.00
2011/12/08	2.34	2.36	2.30	2.34	17765443	41939200.00
2011/12/09	2.32	2.34	2.31	2.32	13105213	30800036.00
2011/12/12	2.32	2.34	2.30	2.31	12016726	28223870.00
2011/12/13	2.30	2.30	2.20	2.21	45161525	102284368.00
2011/12/14	2.20	2.22	2.18	2.19	19752914	44038332.00
2011/12/15	2.17	2.18	2.10	2.11	32242997	69846248.00
2011/12/16	2.11	2.17	2.11	2.16	24510885	53003848.00
2011/12/19	2.14	2.16	2.09	2.15	25331664	54600504.00
2011/12/20	2.14	2.18	2.13	2.14	20474369	44792404.00
2011/12/22	2.11	2.11	2.02	2.08	31422601	65707416.00
2011/12/23	2.07	2.12	2.05	2.09	20764378	44014968.00
2011/12/26	2.08	2.11	2.06	2.08	18440826	39110544.00
2011/12/27	2.09	2.11	2.06	2.06	20867304	44104232.00
2011/12/28	2.04	2.08	2.04	2.08	25530402	53267800.00
2011/12/29	2.07	2.09	2.05	2.07	17774033	37417824.00
2011/12/30	2.08	2.12	2.08	2.11	22572902	48207640.00
2012/01/04	2.13	2.15	2.08	2.09	21039803	45250412.00
2012/01/05	2.08	2.12	2.07	2.08	25489489	54212120.00
2012/01/06	2.08	2.11	2.06	2.10	17152957	36228000.00
2012/01/09	2.11	2.18	2.10	2.17	42393657	92264464.00
2012/01/10	2.17	2.30	2.15	2.27	72134323	164375248.00
2012/01/11	2.27	2.29	2.23	2.25	44922059	102765152.00
2012/01/12	2.25	2.27	2.22	2.22	26266162	59642936.00
2012/01/13	2.24	2.28	2.20	2.21	44009156	99998072.00
2012/01/16	2.19	2.21	2.15	2.16	21984048	48559344.00
2012/01/17	2.17	2.27	2.15	2.26	35088414	79025832.00
2012/01/18	2.26	2.29	2.22	2.23	29253458	66677056.00
2012/01/19	2.26	2.28	2.23	2.25	27447263	62752600.00
2012/01/20	2.27	2.27	2.24	2.27	20048083	45916216.00
2012/01/30	2.27	2.28	2.21	2.22	25511109	57898328.00
2012/01/31	2.21	2.23	2.20	2.21	14428934	32396302.00
2012/02/01	2.21	2.23	2.19	2.19	17291391	38682688.00
2012/02/02	2.19	2.23	2.18	2.23	20015220	44697780.00
2012/02/03	2.22	2.24	2.20	2.24	32093257	72270008.00
2012/02/06	2.24	2.25	2.21	2.23	29850095	67461712.00
2012/02/07	2.22	2.23	2.17	2.18	28136572	62433112.00
2012/02/08	2.18	2.23	2.17	2.22	29835994	66625956.00
2012/02/09	2.21	2.25	2.20	2.24	48728514	110123864.00
2012/02/10	2.23	2.29	2.22	2.29	66372461	151469264.00
2012/02/13	2.26	2.30	2.24	2.28	45455814	104590768.00
2012/02/14	2.27	2.28	2.24	2.25	32259137	73511152.00
2012/02/15	2.25	2.30	2.24	2.29	54526041	125663224.00
2012/02/16	2.28	2.31	2.26	2.29	48477813	112202080.00
2012/02/17	2.29	2.30	2.26	2.28	29650579	68519096.00
2012/02/20	2.31	2.41	2.28	2.35	152116466	363469152.00
2012/02/21	2.33	2.38	2.31	2.37	63880246	151685984.00
2012/02/22	2.40	2.50	2.36	2.46	130030350	321508416.00
2012/02/23	2.45	2.46	2.41	2.44	75215993	185118240.00
2012/02/24	2.44	2.46	2.40	2.44	59600121	146516640.00
2012/02/27	2.45	2.69	2.42	2.69	270107573	722602816.00
2012/02/28	2.74	2.77	2.68	2.71	225973496	620409408.00
2012/02/29	2.69	2.72	2.63	2.69	130345752	351258848.00
2012/03/01	2.67	2.70	2.65	2.67	59732177	161502592.00
2012/03/02	2.67	2.76	2.66	2.73	105770877	290709056.00
2012/03/05	2.73	2.82	2.66	2.67	208936583	577675968.00
2012/03/06	2.64	2.65	2.56	2.61	94988548	249493792.00
2012/03/07	2.57	2.68	2.56	2.60	77008887	203997264.00
2012/03/08	2.61	2.62	2.58	2.60	68501260	180219360.00
2012/03/09	2.61	2.62	2.57	2.60	59172880	154595376.00
2012/03/12	2.61	2.62	2.57	2.59	55129299	144657936.00
2012/03/13	2.59	2.60	2.56	2.59	58497520	152468432.00
2012/03/14	2.60	2.61	2.44	2.46	89858590	231632176.00
2012/03/15	2.46	2.49	2.36	2.40	68920588	168305904.00
2012/03/16	2.38	2.45	2.38	2.44	48702983	118883072.00
2012/03/19	2.43	2.45	2.38	2.44	46595653	113999000.00
2012/03/20	2.42	2.43	2.39	2.39	28197038	68684448.00
2012/03/21	2.40	2.46	2.39	2.45	125969598	308030208.00
2012/03/22	2.42	2.47	2.39	2.42	58912200	144461344.00
2012/03/23	2.42	2.42	2.36	2.37	40686059	98250080.00
2012/03/26	2.37	2.39	2.34	2.36	25010643	59793756.00
