600841 上柴股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.78	9.99	9.55	9.77	1434866	22733940.00
2011/10/11	10.38	10.38	9.75	9.81	2566280	41538200.00
2011/10/12	9.83	10.09	9.56	10.08	3379166	54470156.00
2011/10/13	10.08	11.08	9.94	10.88	6471137	109709896.00
2011/10/14	10.70	10.70	10.41	10.53	3231656	55406136.00
2011/10/17	10.46	10.79	10.41	10.75	2653341	45553312.00
2011/10/18	10.58	10.61	9.98	10.00	2241172	37682676.00
2011/10/19	9.95	10.09	9.76	9.85	1312783	21135304.00
2011/10/20	9.88	9.91	8.85	8.85	2247887	33457460.00
2011/10/21	8.60	8.87	8.59	8.63	747167	10589340.00
2011/10/24	8.77	8.87	8.50	8.83	924828	13113297.00
2011/10/25	8.83	9.02	8.78	8.95	1166092	16933744.00
2011/10/26	8.93	9.21	8.78	8.97	1472477	21533312.00
2011/10/27	8.98	9.13	8.91	8.93	933393	13668990.00
2011/10/28	9.03	9.29	8.96	9.15	1316997	19593352.00
2011/10/31	9.15	9.15	9.00	9.07	856002	12609571.00
2011/11/01	9.02	9.37	8.93	9.32	1625481	24343208.00
2011/11/02	9.22	9.35	9.03	9.33	1058520	15833465.00
2011/11/03	9.31	9.50	9.26	9.29	1272413	19413492.00
2011/11/04	9.31	9.37	9.11	9.26	1049289	15754317.00
2011/11/07	9.15	9.37	9.15	9.28	766143	11590693.00
2011/11/08	9.27	9.51	9.09	9.13	865716	13168836.00
2011/11/09	9.12	9.19	8.91	9.15	999244	14700419.00
2011/11/10	9.10	9.10	8.98	9.00	429748	6316740.00
2011/11/11	9.08	9.09	8.88	9.00	404185	5929048.00
2011/11/14	9.10	9.33	9.06	9.28	884822	13272148.00
2011/11/15	9.28	9.33	9.20	9.31	968455	14639976.00
2011/11/16	9.29	9.34	9.00	9.03	576966	8614075.00
2011/11/17	9.03	9.12	8.97	9.02	327478	4814063.00
2011/11/18	8.96	8.98	8.64	8.66	614120	8761812.00
2011/11/21	8.68	8.68	8.56	8.62	369719	5188699.00
2011/11/22	8.66	9.41	8.59	9.15	1440156	21396908.00
2011/11/23	9.03	9.09	8.84	8.86	680180	9922504.00
2011/11/24	8.69	8.84	8.60	8.73	535031	7586973.00
2011/11/25	8.64	8.81	8.64	8.69	345247	4906876.00
2011/11/28	8.78	8.78	8.68	8.72	237388	3368163.00
2011/11/29	8.75	8.80	8.70	8.78	492427	7010645.00
2011/11/30	8.77	8.96	8.33	8.46	695971	9834302.00
2011/12/01	8.68	8.77	8.50	8.62	509118	7187189.00
2011/12/02	8.51	8.61	8.40	8.50	326839	4518091.00
2011/12/05	8.50	8.50	8.26	8.27	251320	3435430.00
2011/12/06	8.27	8.36	8.08	8.23	305332	4082863.00
2011/12/07	8.16	8.30	8.16	8.29	175753	2366689.00
2011/12/08	8.23	8.71	8.23	8.38	363451	4994861.00
2011/12/09	8.28	8.40	8.22	8.33	240751	3258716.00
2011/12/12	8.23	8.51	8.23	8.26	203319	2771648.00
2011/12/13	8.11	8.31	8.03	8.09	416251	5509881.00
2011/12/14	8.03	8.15	7.70	7.76	292581	3773501.00
2011/12/15	7.68	7.68	7.41	7.47	299337	3674353.00
2011/12/16	7.43	7.65	7.40	7.64	265891	3276068.00
2011/12/19	7.58	7.62	7.44	7.60	204215	2511477.00
2011/12/20	7.59	7.65	7.53	7.63	280331	3482552.00
2011/12/21	7.73	7.78	7.34	7.45	282007	3491571.00
2011/12/22	7.39	7.42	6.84	7.27	392585	4576653.00
2011/12/23	7.23	7.37	7.23	7.30	240252	2867996.00
2011/12/26	7.28	7.50	7.16	7.38	196403	2365068.00
2011/12/27	7.33	7.58	7.29	7.33	301395	3669946.00
2011/12/28	7.31	7.58	6.93	7.21	213236	2479733.00
2011/12/29	7.13	7.25	7.03	7.11	130171	1525126.00
2011/12/30	7.15	7.22	7.06	7.20	195817	2295553.00
2012/01/04	7.33	7.53	7.24	7.25	370872	4466246.00
2012/01/05	7.37	7.37	6.86	6.93	233201	2700504.00
2012/01/06	6.80	6.91	6.74	6.91	242714	2715577.00
2012/01/09	6.81	7.25	6.81	7.23	338040	3938205.00
2012/01/10	7.37	7.96	7.23	7.93	929903	11469422.00
2012/01/11	7.90	7.90	7.66	7.77	665499	8458778.00
2012/01/12	7.87	8.08	7.71	7.78	364379	4667934.00
2012/01/13	7.81	7.81	7.39	7.43	392595	4806525.00
2012/01/16	7.34	7.43	7.21	7.23	137284	1639370.00
2012/01/17	7.46	7.90	7.21	7.83	346822	4280220.00
2012/01/18	7.78	8.08	7.65	7.66	575849	7356405.00
2012/01/19	7.46	7.89	7.46	7.75	275392	3490554.00
2012/01/20	7.77	7.96	7.71	7.90	326917	4205227.00
2012/01/30	7.81	7.90	7.75	7.80	169750	2171902.00
2012/01/31	7.68	7.86	7.68	7.78	160817	2037680.00
2012/02/01	7.71	7.91	7.71	7.76	219333	2804005.00
2012/02/02	7.78	7.90	7.76	7.88	263172	3376648.00
2012/02/03	7.88	8.05	7.87	8.01	536661	6999150.00
2012/02/06	8.13	8.13	7.89	7.96	328980	4272888.00
2012/02/07	7.87	7.95	7.75	7.81	248991	3176085.00
2012/02/08	7.86	8.03	7.76	8.03	505210	6504150.00
2012/02/09	7.96	8.28	7.91	8.21	719566	9587122.00
2012/02/10	8.21	8.31	8.12	8.20	340380	4549921.00
2012/02/13	8.18	8.31	8.00	8.26	362471	4869244.00
2012/02/14	8.37	8.70	8.35	8.46	1186760	16412034.00
2012/02/15	8.37	8.68	8.31	8.66	1162713	16132492.00
2012/02/16	8.64	8.69	8.45	8.57	424364	5920794.00
2012/02/17	8.58	8.66	8.45	8.48	271348	3765111.00
2012/02/20	8.53	8.68	8.50	8.50	360406	5020423.00
2012/02/21	8.62	8.63	8.36	8.51	347507	4784284.00
2012/02/22	8.55	8.65	8.45	8.63	807008	11286094.00
2012/02/23	8.67	8.78	8.60	8.71	976430	13824295.00
2012/02/24	8.71	8.76	8.63	8.76	550474	7828863.00
2012/02/27	8.73	8.87	8.71	8.72	777636	11123219.00
2012/02/28	8.71	8.80	8.59	8.78	672845	9573290.00
2012/02/29	8.68	8.90	8.68	8.80	527691	7544971.00
2012/03/01	8.81	9.20	8.73	9.05	1327706	19569024.00
2012/03/02	9.09	9.12	8.96	9.10	618769	9132614.00
2012/03/05	9.10	9.24	9.01	9.15	883101	13167611.00
2012/03/06	9.20	9.40	9.10	9.40	1441153	21715720.00
2012/03/07	9.33	9.48	9.20	9.29	957302	14572386.00
2012/03/08	9.31	9.68	9.23	9.67	1165464	17889950.00
2012/03/09	9.66	10.09	9.50	10.07	1382357	22146704.00
2012/03/12	10.03	10.73	10.03	10.63	1669327	28563976.00
2012/03/13	10.71	10.79	10.45	10.67	1073208	18559880.00
2012/03/14	10.61	10.78	9.85	10.00	1779280	29889668.00
2012/03/15	9.93	10.45	9.55	10.11	1172571	19049984.00
2012/03/16	10.11	10.35	10.03	10.34	939380	15634691.00
