600848 自仪股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.67	9.71	9.50	9.69	797436	7660513.00
2011/10/11	9.88	9.88	9.48	9.61	1315899	12688837.00
2011/10/12	9.54	9.79	9.41	9.73	3268263	31487164.00
2011/10/13	9.67	9.77	9.62	9.70	2080004	20184682.00
2011/10/14	9.70	9.70	9.42	9.51	1425688	13583753.00
2011/10/17	9.56	9.56	9.44	9.45	903067	8555884.00
2011/10/18	9.43	9.43	9.00	9.01	1636539	15002720.00
2011/10/19	8.99	9.08	8.85	8.88	882295	7881023.00
2011/10/20	8.86	8.88	8.30	8.40	1255705	10644519.00
2011/10/21	8.20	8.43	8.20	8.36	666268	5551898.00
2011/10/24	8.31	8.48	8.21	8.44	1072330	8943410.00
2011/10/25	8.45	8.64	8.35	8.57	993439	8464954.00
2011/10/26	8.48	8.75	8.45	8.56	1171909	10095247.00
2011/10/27	8.63	8.80	8.58	8.60	1164185	10106969.00
2011/10/28	8.72	8.78	8.64	8.74	1387917	12089594.00
2011/10/31	8.74	8.85	8.69	8.82	1475560	12947443.00
2011/11/01	8.78	8.93	8.70	8.91	1593294	14049590.00
2011/11/02	8.78	9.00	8.68	8.98	2058989	18169104.00
2011/11/03	9.13	9.32	8.98	8.99	2521408	23028698.00
2011/11/04	8.98	9.35	8.98	9.28	2787742	25561312.00
2011/11/07	9.24	9.50	9.16	9.37	2300179	21283802.00
2011/11/08	9.30	9.56	9.14	9.29	2234261	20713786.00
2011/11/09	9.30	9.36	9.07	9.28	2295440	21169582.00
2011/11/10	9.16	9.19	9.00	9.10	1825781	16553869.00
2011/11/11	9.03	9.10	8.91	9.00	1613950	14490894.00
2011/11/14	8.95	9.18	8.95	9.17	1768327	16098806.00
2011/11/15	9.50	10.09	9.40	10.09	7481096	74164024.00
2011/11/16	9.97	10.00	9.65	9.67	7552796	74020416.00
2011/11/17	9.68	9.76	9.56	9.70	3786451	36584408.00
2011/11/18	9.58	9.61	9.20	9.24	3341775	31232798.00
2011/11/21	9.21	9.37	9.18	9.36	1471779	13673371.00
2011/11/22	9.25	9.54	9.19	9.47	2277941	21399816.00
2011/11/23	9.57	9.68	9.29	9.32	2600883	24576986.00
2011/11/24	9.20	9.20	8.84	8.97	2015965	18105720.00
2011/11/25	8.98	9.00	8.68	8.74	1264072	11167312.00
2011/11/28	8.74	8.85	8.70	8.82	621270	5445805.00
2011/11/29	8.85	8.96	8.80	8.95	743696	6614974.00
2011/11/30	8.98	8.98	8.31	8.45	1227018	10590242.00
2011/12/01	8.71	8.78	8.56	8.58	1190092	10308950.00
2011/12/02	8.64	8.64	8.42	8.58	531706	4517404.00
2011/12/05	8.58	8.68	8.42	8.46	616199	5264831.00
2011/12/06	8.49	8.62	8.28	8.55	888261	7507486.00
2011/12/07	8.52	8.65	8.48	8.54	527547	4506392.00
2011/12/08	8.51	8.70	8.33	8.62	748192	6362015.00
2011/12/09	8.63	8.80	8.49	8.61	1081510	9357993.00
2011/12/12	8.57	8.62	8.36	8.37	793585	6703933.00
2011/12/13	8.35	8.37	8.01	8.02	921943	7518885.00
2011/12/14	8.00	8.08	7.62	7.63	546798	4298375.00
2011/12/15	7.60	7.60	7.21	7.22	758839	5569445.00
2011/12/16	7.22	7.51	7.20	7.43	823445	6075783.00
2011/12/19	7.45	7.47	7.22	7.44	453739	3347295.00
2011/12/20	7.45	7.59	7.33	7.45	498399	3731935.00
2011/12/21	7.55	7.60	7.22	7.24	364099	2710515.00
2011/12/22	7.08	7.32	6.55	6.90	875641	6042589.00
2011/12/23	6.90	7.02	6.78	6.92	448704	3107752.00
2011/12/26	6.75	7.03	6.75	6.88	547720	3796850.00
2011/12/27	6.80	7.18	6.53	6.89	1261009	8751749.00
2011/12/28	6.78	6.82	6.57	6.77	614314	4104717.00
2011/12/29	6.76	6.82	6.71	6.72	368400	2494313.00
2011/12/30	6.72	6.84	6.72	6.80	372104	2524476.00
2012/01/04	6.85	6.92	6.51	6.55	412401	2791339.00
2012/01/05	6.55	6.66	6.23	6.27	424826	2710494.00
2012/01/06	6.25	6.46	6.07	6.41	781435	4953077.00
2012/01/09	6.40	6.66	6.38	6.64	535260	3502649.00
2012/01/10	6.66	6.95	6.61	6.88	1104526	7525137.00
2012/01/11	6.88	7.38	6.88	7.06	1412996	10000182.00
2012/01/12	7.05	7.10	6.90	6.98	789519	5519772.00
2012/01/13	6.95	7.00	6.69	6.70	661187	4495121.00
2012/01/16	6.68	6.75	6.48	6.51	294163	1941442.00
2012/01/17	6.66	6.88	6.46	6.86	864257	5831138.00
2012/01/18	7.00	7.30	6.88	6.89	1307540	9239110.00
2012/01/19	6.69	6.95	6.68	6.89	611732	4178767.00
2012/01/20	6.87	7.08	6.87	7.01	681309	4755030.00
2012/01/30	7.05	7.07	6.95	6.97	498800	3497281.00
2012/01/31	7.00	7.06	6.90	7.06	399480	2791953.00
2012/02/01	7.05	7.18	6.95	6.96	564448	3974884.00
2012/02/02	6.96	7.09	6.94	7.08	614413	4315861.00
2012/02/03	7.08	7.30	7.03	7.26	1555421	11139078.00
2012/02/06	7.56	7.77	7.38	7.42	3269330	24536174.00
2012/02/07	7.33	7.69	7.27	7.57	3742850	28104484.00
2012/02/08	7.41	7.87	7.40	7.84	3687033	28095280.00
2012/02/09	7.76	8.38	7.61	8.00	5482326	43216288.00
2012/02/10	7.95	8.58	7.85	8.12	4830882	39140036.00
2012/02/13	8.01	8.18	7.87	8.15	3329554	26777748.00
2012/02/14	8.07	8.12	7.95	8.01	1936658	15545687.00
2012/02/15	8.02	8.14	7.93	8.07	2428655	19551896.00
2012/02/16	8.03	8.10	7.92	8.06	2019767	16189177.00
2012/02/17	8.06	8.18	8.01	8.06	2177365	17602710.00
2012/02/20	8.12	8.17	8.02	8.05	1577941	12767578.00
2012/02/21	8.05	8.49	7.80	8.29	6031491	49446468.00
2012/02/22	8.18	8.29	8.15	8.29	3628554	29816934.00
2012/02/23	8.26	8.35	8.16	8.24	1821684	15002440.00
2012/02/24	8.24	8.29	8.17	8.28	2037716	16779208.00
2012/02/27	8.30	8.38	8.23	8.26	3118646	25895900.00
2012/02/28	8.23	8.24	8.01	8.06	1778790	14401111.00
2012/02/29	8.01	8.13	7.88	7.90	1489863	11912085.00
2012/03/01	7.91	8.01	7.90	7.95	858096	6823473.00
2012/03/02	7.95	8.11	7.95	8.08	1253509	10102616.00
2012/03/05	8.09	8.18	8.09	8.10	1657981	13473685.00
2012/03/06	8.08	8.18	7.98	8.02	1508604	12161280.00
2012/03/07	7.98	8.12	7.88	8.04	1261283	10120946.00
2012/03/08	8.18	8.33	8.09	8.24	2874598	23677548.00
2012/03/09	8.27	8.30	8.19	8.29	2280690	18815980.00
2012/03/12	8.50	8.80	8.46	8.52	5542116	47671352.00
2012/03/13	8.50	9.10	8.45	8.94	6559878	58184636.00
2012/03/14	8.89	8.89	8.32	8.36	5107845	44232704.00
2012/03/15	8.32	8.49	7.97	8.31	3629901	30042220.00
2012/03/16	8.26	8.37	8.00	8.36	2574340	21230780.00
2012/03/19	8.27	8.45	8.24	8.44	1859898	15544141.00
2012/03/20	8.40	8.53	8.25	8.27	1626090	13608727.00
2012/03/21	8.33	8.37	8.11	8.34	1426586	11772110.00
2012/03/22	8.33	8.44	8.18	8.41	1563417	12982869.00
2012/03/23	8.35	8.51	8.25	8.50	2292639	19188046.00
2012/03/26	8.54	8.84	8.54	8.76	5156422	44967324.00
2012/03/27	8.80	8.80	8.38	8.42	2678416	22952460.00
2012/03/28	8.31	8.32	7.73	7.74	2709218	21622728.00
2012/03/29	7.72	7.78	7.51	7.58	1357226	10348283.00
2012/03/30	7.67	7.67	7.42	7.43	694759	5209231.00
2012/04/05	7.46	7.78	7.46	7.73	1121680	8572163.00
2012/04/06	7.87	8.42	7.68	8.31	4080524	32800418.00
2012/04/09	8.34	8.34	7.92	7.92	3502800	28422160.00
2012/04/10	7.88	8.25	7.67	8.14	2883203	23070630.00
2012/04/11	8.02	8.14	7.96	8.07	1983521	15965078.00
2012/04/12	8.11	8.19	7.90	8.17	1830102	14846471.00
2012/04/16	8.17	8.35	8.03	8.30	1975377	16278826.00
2012/04/17	8.29	8.46	8.14	8.16	1662658	13741470.00
2012/04/18	8.16	8.40	8.10	8.36	2248947	18657336.00
2012/04/19	8.37	8.59	8.30	8.40	2843725	24023680.00
2012/04/20	8.38	8.50	8.30	8.43	2067146	17400192.00
2012/04/23	8.48	8.67	8.39	8.47	2889123	24639728.00
2012/04/24	8.46	8.46	8.10	8.35	2496640	20620286.00
2012/04/25	8.28	8.87	8.25	8.66	4466197	38483104.00
2012/04/26	8.60	8.64	8.40	8.47	2707792	23067102.00
2012/04/27	8.43	8.58	8.30	8.32	1139274	9598032.00
2012/05/02	8.40	8.64	8.33	8.52	2327635	19677388.00
2012/05/03	8.43	8.56	8.35	8.52	1583302	13368471.00
2012/05/04	8.51	8.58	8.40	8.50	1216701	10317997.00
2012/05/07	8.51	8.51	8.35	8.42	1148180	9654896.00
2012/05/08	8.42	8.56	8.38	8.53	2121502	17991170.00
2012/05/09	8.46	8.50	8.32	8.33	1549672	13005349.00
2012/05/10	8.43	8.60	8.35	8.43	1382587	11694030.00
2012/05/11	8.35	8.48	8.33	8.37	1067368	8960716.00
2012/05/14	8.39	8.45	8.20	8.25	1083070	9012207.00
2012/05/15	8.12	8.13	7.86	8.02	1809506	14419924.00
2012/05/16	8.03	8.05	7.87	8.02	1063998	8430773.00
2012/05/17	8.30	8.57	8.25	8.42	3867750	32582478.00
2012/05/18	8.41	8.53	8.15	8.19	2323461	19419040.00
2012/05/21	8.19	8.19	8.00	8.09	1076635	8698719.00
2012/05/22	8.08	8.26	8.06	8.24	952073	7776139.00
2012/05/23	8.20	8.20	8.05	8.09	1142509	9263849.00
2012/05/24	8.08	8.22	8.02	8.03	876139	7080624.00
2012/05/25	8.03	8.15	7.95	8.07	935544	7528132.00
2012/05/28	8.00	8.30	7.88	8.21	1586934	12903377.00
2012/05/29	8.23	8.74	8.23	8.64	6578308	56353496.00
2012/05/30	8.58	8.90	8.54	8.87	9018383	78945552.00
2012/05/31	8.78	8.78	8.50	8.74	4477785	38790688.00
2012/06/01	8.80	8.88	8.41	8.48	3840788	32903236.00
2012/06/04	8.25	8.26	8.01	8.05	2618182	21234920.00
2012/06/05	8.05	8.13	8.03	8.08	933270	7533845.00
2012/06/06	8.18	8.18	7.91	7.96	1250215	10011289.00
2012/06/07	8.02	8.12	7.88	7.91	1002300	8001605.00
2012/06/08	7.91	8.04	7.90	7.92	760429	6044538.00
2012/06/11	8.08	8.09	7.93	8.06	628499	5046289.00
2012/06/13	8.11	8.13	7.90	8.12	1104341	8879042.00
2012/06/14	8.11	8.11	7.99	8.00	792202	6367072.00
2012/06/15	8.08	8.10	7.90	8.03	518065	4136109.00
2012/06/18	8.08	8.15	8.00	8.08	1140777	9221268.00
2012/06/19	8.09	8.09	7.93	7.95	722233	5764472.00
2012/06/20	8.07	8.07	7.91	7.92	516895	4101956.00
2012/06/21	7.90	7.95	7.73	7.76	854565	6686341.00
2012/06/25	7.75	7.75	7.38	7.40	907650	6850295.00
2012/06/26	7.40	7.49	7.35	7.43	582095	4323318.00
2012/06/27	7.44	7.52	7.40	7.50	574140	4284875.00
2012/06/28	7.50	7.50	7.30	7.32	448150	3324419.00
2012/06/29	7.20	7.42	7.20	7.41	338967	2486427.00
2012/07/02	7.41	7.55	7.41	7.47	405990	3026152.00
2012/07/03	7.47	7.49	7.36	7.43	528637	3925736.00
2012/07/04	7.41	7.81	7.36	7.67	1764888	13470282.00
2012/07/05	7.55	7.58	7.25	7.33	904772	6689859.00
2012/07/06	7.40	7.47	7.18	7.40	626400	4575428.00
2012/07/09	7.40	7.41	7.05	7.08	617122	4461848.00
2012/07/10	7.02	7.23	7.02	7.09	374776	2662111.00
2012/07/11	7.06	7.15	7.06	7.10	265300	1884453.00
2012/07/12	7.08	7.29	7.00	7.26	818211	5871698.00
2012/07/13	7.19	7.27	7.11	7.15	470800	3380563.00
2012/07/16	7.15	7.15	6.69	6.73	771422	5286660.00
2012/07/17	6.85	6.85	6.70	6.75	272790	1837361.00
2012/07/18	6.82	6.83	6.72	6.82	386859	2622521.00
2012/07/19	6.84	7.26	6.80	7.10	1571564	11147388.00
2012/07/20	7.05	7.18	7.03	7.10	964822	6846471.00
2012/07/23	7.11	7.11	6.96	7.01	582594	4091982.00
2012/07/24	6.85	7.12	6.84	7.02	409074	2885112.00
2012/07/25	7.02	7.08	6.90	6.92	531832	3718421.00
2012/07/26	6.98	6.98	6.86	6.91	466350	3223900.00
2012/07/27	6.91	6.94	6.81	6.83	444001	3043959.00
2012/07/30	6.85	6.92	6.65	6.65	269514	1822165.00
2012/07/31	6.75	6.75	6.42	6.45	436259	2837283.00
2012/08/01	6.41	6.65	6.41	6.52	284166	1868407.00
2012/08/02	6.55	6.62	6.38	6.50	434524	2812853.00
2012/08/03	6.52	6.61	6.40	6.61	479848	3142379.00
2012/08/06	6.57	6.78	6.54	6.74	672787	4509697.00
2012/08/07	6.73	6.79	6.68	6.75	635189	4280400.00
2012/08/08	6.74	6.79	6.69	6.76	556928	3754901.00
2012/08/09	6.80	6.88	6.71	6.85	879669	5998752.00
2012/08/10	6.80	6.94	6.76	6.91	928456	6368408.00
2012/08/13	6.96	6.96	6.69	6.71	626832	4240436.00
2012/08/14	6.71	6.78	6.61	6.76	374525	2505761.00
2012/08/15	6.77	6.77	6.62	6.63	319497	2135167.00
2012/08/16	6.53	6.70	6.53	6.65	333440	2204986.00
2012/08/17	6.58	6.66	6.55	6.65	246871	1629582.00
2012/08/20	6.60	6.66	6.50	6.65	286881	1881266.00
2012/08/21	6.66	6.84	6.63	6.79	688911	4660812.00
2012/08/22	6.85	6.85	6.68	6.72	578363	3906701.00
2012/08/23	6.72	6.79	6.69	6.79	307169	2073454.00
2012/08/24	6.74	7.00	6.68	6.81	1023602	7007321.00
2012/08/27	6.76	6.76	6.50	6.55	650992	4274701.00
2012/08/28	6.56	6.57	6.45	6.49	585128	3797050.00
2012/08/29	6.46	6.57	6.41	6.54	673941	4378556.00
2012/08/30	6.57	6.74	6.46	6.57	1163851	7675228.00
2012/08/31	6.62	6.62	6.45	6.50	695951	4523209.00
2012/09/03	6.52	6.59	6.44	6.55	549510	3586216.00
2012/09/04	6.56	6.56	6.45	6.46	422150	2736969.00
2012/09/05	6.48	6.50	6.41	6.48	512802	3309773.00
2012/09/06	6.51	6.61	6.51	6.58	533650	3502498.00
2012/09/07	6.60	6.87	6.58	6.83	1927161	13019742.00
2012/09/10	6.82	6.93	6.77	6.91	1326376	9092978.00
2012/09/11	6.84	6.91	6.79	6.87	733239	5012430.00
2012/09/12	6.92	6.98	6.83	6.96	1034515	7140658.00
2012/09/13	6.92	7.05	6.89	6.90	1601387	11167147.00
2012/09/14	6.99	6.99	6.80	6.86	1141184	7855151.00
2012/09/17	6.81	6.89	6.66	6.67	664800	4496038.00
2012/09/18	6.78	6.86	6.62	6.74	906466	6144599.00
2012/09/19	6.64	6.94	6.64	6.93	1614439	11024847.00
2012/09/20	6.88	6.90	6.66	6.66	1057386	7107844.00
2012/09/21	6.67	6.78	6.58	6.61	670078	4460587.00
2012/09/24	6.59	6.61	6.50	6.59	423830	2779766.00
2012/09/25	6.60	6.75	6.54	6.63	590450	3926893.00
2012/09/26	6.68	6.72	6.20	6.47	907080	5866357.00
2012/09/27	6.36	6.70	6.36	6.65	1091986	7208965.00
2012/09/28	6.53	6.71	6.53	6.67	548229	3649948.00
2012/10/08	6.67	6.74	6.63	6.66	507210	3382199.00
2012/10/09	6.72	6.89	6.71	6.85	1347599	9191678.00
2012/10/10	6.86	6.89	6.80	6.88	874551	5991054.00
2012/10/11	6.88	7.09	6.85	6.85	1470499	10201018.00
2012/10/12	6.90	6.95	6.80	6.86	1252695	8618248.00
2012/10/15	6.90	6.90	6.75	6.79	540350	3671503.00
2012/10/16	6.86	6.95	6.80	6.85	747014	5137021.00
2012/10/17	6.99	7.04	6.84	6.90	836257	5796443.00
2012/10/18	6.86	6.97	6.81	6.97	845782	5861362.00
2012/10/19	6.94	6.97	6.88	6.91	539687	3735452.00
2012/10/22	6.91	7.03	6.87	7.01	1066465	7437753.00
2012/10/23	6.94	7.35	6.82	7.20	4197966	30257534.00
2012/10/24	7.18	7.40	7.12	7.40	3770343	27499796.00
2012/10/25	7.40	7.54	6.88	6.90	6938254	49931816.00
2012/10/26	6.80	6.81	6.58	6.60	2284149	15231476.00
2012/10/29	6.53	6.66	6.53	6.60	588709	3883503.00
2012/10/30	6.65	6.65	6.50	6.52	767451	5024760.00
2012/10/31	6.55	6.58	6.45	6.55	507642	3301755.00
2012/11/01	6.65	6.76	6.53	6.70	954325	6328993.00
2012/11/02	6.70	6.70	6.59	6.68	1021900	6779113.00
2012/11/05	6.65	6.73	6.59	6.60	967198	6425039.00
2012/11/06	6.60	6.61	6.45	6.50	739997	4828239.00
2012/11/07	6.50	6.62	6.46	6.50	528287	3452464.00
2012/11/08	6.44	6.48	6.25	6.25	861700	5493046.00
2012/11/09	6.26	6.31	6.17	6.19	568770	3536082.00
2012/11/12	6.19	6.26	6.19	6.24	389347	2422510.00
2012/11/13	6.24	6.24	6.10	6.18	616253	3802602.00
2012/11/14	6.16	6.16	6.06	6.11	663170	4045803.00
2012/11/15	6.11	6.12	5.99	5.99	299400	1812209.00
2012/11/16	5.97	6.03	5.94	5.99	247856	1481285.00
2012/11/19	6.00	6.00	5.86	5.97	559300	3307949.00
2012/11/20	5.99	6.14	5.96	6.00	501149	3025864.00
2012/11/21	5.98	6.05	5.88	6.01	532439	3183074.00
2012/11/22	5.96	6.02	5.89	5.90	366330	2175234.00
2012/11/23	5.96	5.99	5.89	5.92	217497	1291642.00
2012/11/26	5.95	5.95	5.87	5.89	190900	1129866.00
2012/11/27	5.89	5.89	5.50	5.52	581271	3285337.00
2012/11/28	5.52	5.53	5.35	5.38	392378	2136323.00
2012/11/29	5.38	5.40	5.29	5.35	188206	1005624.00
2012/11/30	5.39	5.46	5.31	5.34	295275	1587488.00
2012/12/03	5.32	5.36	5.12	5.13	311400	1638840.00
2012/12/04	5.20	5.27	5.00	5.25	447570	2285909.00
2012/12/05	5.24	5.46	5.20	5.41	553270	2980417.00
2012/12/06	5.38	5.45	5.33	5.44	399990	2162535.00
2012/12/07	5.44	5.74	5.41	5.57	649700	3627794.00
2012/12/10	5.62	5.68	5.51	5.65	960750	5392720.00
2012/12/11	5.65	5.66	5.56	5.59	1078339	6052538.00
2012/12/12	5.57	5.62	5.45	5.53	601933	3330228.00
2012/12/13	5.53	5.55	5.41	5.43	424813	2326185.00
2012/12/14	5.36	5.66	5.36	5.65	1042397	5829215.00
2012/12/17	5.63	5.74	5.63	5.71	789457	4500535.00
2012/12/18	5.72	5.80	5.61	5.69	1085520	6192260.00
2012/12/19	5.69	5.75	5.63	5.74	712459	4057032.00
2012/12/20	5.73	5.84	5.70	5.77	1470531	8490996.00
2012/12/21	5.77	5.85	5.70	5.72	866601	5009052.00
2012/12/24	5.71	5.80	5.68	5.69	408827	2342178.00
2012/12/25	5.68	5.94	5.66	5.82	1305658	7582474.00
2012/12/26	5.99	5.99	5.80	5.93	1681337	9901462.00
2012/12/27	5.96	6.09	5.85	5.87	1268519	7482029.00
2012/12/28	5.88	6.35	5.86	6.29	3472088	21191044.00
2012/12/31	6.20	6.64	6.18	6.34	6582927	42016208.00
2013/01/04	6.30	6.70	6.14	6.44	3976493	25256196.00
2013/01/07	6.34	6.42	6.24	6.32	3732914	23582970.00
2013/01/08	6.35	6.56	6.30	6.32	2739300	17545396.00
2013/01/09	6.26	6.30	6.18	6.25	2064633	12872595.00
2013/01/10	6.34	6.47	6.26	6.32	2133902	13559329.00
2013/01/11	6.28	6.35	6.16	6.18	1770447	11049002.00
2013/01/14	6.14	6.35	6.14	6.31	1944698	12246516.00
2013/01/15	6.36	6.45	6.29	6.43	2759146	17594754.00
2013/01/16	6.41	6.45	6.19	6.36	1789945	11372203.00
2013/01/17	6.36	6.43	6.31	6.35	1353995	8625389.00
2013/01/18	6.35	6.42	6.29	6.37	1615545	10288358.00
2013/01/21	6.40	6.62	6.35	6.54	3470967	22522952.00
2013/01/22	6.50	6.68	6.38	6.43	3432776	22326864.00
2013/01/23	6.43	6.58	6.29	6.42	1899975	12232242.00
2013/01/24	6.39	6.50	6.09	6.12	2292534	14373049.00
2013/01/25	6.14	6.17	6.04	6.07	899276	5496601.00
2013/01/28	6.07	6.24	6.07	6.23	750116	4630410.00
2013/01/29	6.26	6.28	6.20	6.27	1212289	7562332.00
2013/01/30	6.31	6.35	6.24	6.33	1469424	9261892.00
2013/01/31	6.35	6.38	6.22	6.28	983409	6192014.00
2013/02/01	6.31	6.35	6.23	6.30	886313	5567000.00
2013/02/04	6.34	6.34	6.22	6.23	1244300	7799288.00
2013/02/05	6.25	6.30	6.15	6.26	1346981	8412919.00
2013/02/06	6.30	6.48	6.26	6.39	2692619	17158192.00
2013/02/07	6.34	6.44	6.30	6.43	2020579	12888734.00
2013/02/08	6.38	6.48	6.38	6.44	1565846	10078267.00
2013/02/18	6.49	6.65	6.43	6.58	2835806	18515036.00
2013/02/19	6.60	6.66	6.45	6.58	2463862	16135091.00
2013/02/20	6.55	6.60	6.45	6.57	1613845	10542377.00
2013/02/21	6.68	6.94	6.58	6.60	8673096	58756268.00
2013/02/22	6.63	6.86	6.35	6.72	7372352	49029608.00
2013/02/25	6.73	6.99	6.56	6.97	6980655	47445728.00
2013/02/26	6.90	6.94	6.76	6.77	5049919	34579988.00
2013/02/27	6.81	6.88	6.62	6.71	2134307	14391845.00
2013/02/28	6.71	6.83	6.58	6.82	2962143	19893708.00
2013/03/01	6.82	6.92	6.74	6.88	2939513	20102208.00
2013/03/04	6.80	6.80	6.34	6.44	3882267	25435316.00
2013/03/05	6.49	6.80	6.36	6.75	3266127	21521832.00
2013/03/06	7.07	7.07	6.77	6.80	3930509	27022288.00
2013/03/07	6.70	6.80	6.61	6.66	1796974	12055561.00
2013/03/08	6.68	6.73	6.61	6.62	1168820	7801649.00
2013/03/11	6.66	6.67	6.51	6.54	1037932	6813427.00
2013/03/12	6.57	6.62	6.27	6.38	1760352	11290322.00
2013/03/13	6.37	6.50	6.21	6.38	1725338	10899590.00
2013/03/14	6.50	6.66	6.39	6.51	2271929	14861391.00
2013/03/15	6.37	6.56	6.30	6.39	1881171	12126590.00
2013/03/18	6.38	6.40	6.19	6.26	949337	5968235.00
2013/03/19	6.29	6.33	6.09	6.21	916018	5683200.00
2013/03/20	6.22	6.38	6.22	6.35	1152497	7267528.00
2013/03/21	6.37	6.52	6.34	6.47	1724547	11139133.00
2013/03/22	6.46	6.69	6.46	6.65	3091882	20413812.00
2013/03/25	6.67	6.71	6.58	6.64	1293900	8583568.00
2013/03/26	6.64	6.65	6.42	6.64	1362362	8930028.00
2013/03/27	6.60	6.76	6.60	6.66	4185147	27904030.00
2013/03/28	6.55	6.58	6.36	6.39	1736891	11212596.00
2013/03/29	6.37	6.53	6.30	6.46	1395880	9044847.00
2013/04/01	6.41	6.65	6.41	6.62	1329356	8683378.00
2013/04/02	6.58	6.67	6.57	6.60	1395211	9223410.00
2013/04/03	6.61	6.97	6.44	6.95	7918241	52964964.00
2013/04/08	6.79	7.27	6.74	7.19	11654997	82044864.00
2013/04/09	7.10	7.79	6.94	7.16	11966091	86009368.00
2013/04/10	7.10	7.25	6.87	7.19	7799855	55054668.00
2013/04/11	7.17	7.33	6.96	7.07	6018346	42762272.00
2013/04/12	7.00	7.14	6.66	6.71	4317050	29536000.00
2013/04/15	6.68	6.68	6.43	6.50	2078959	13517705.00
2013/04/16	6.42	6.61	6.33	6.56	1836589	11886869.00
2013/04/17	6.56	6.57	6.47	6.52	1016707	6629484.00
2013/04/18	6.53	6.55	6.44	6.47	1077890	6988350.00
2013/04/19	6.46	6.61	6.40	6.57	1551951	10159475.00
2013/04/22	6.50	6.54	6.38	6.46	2182473	14059730.00
2013/04/23	6.49	6.57	6.39	6.56	2252719	14620758.00
2013/04/24	6.52	6.80	6.52	6.78	3964451	26456892.00
2013/04/25	6.78	6.82	6.63	6.68	2561548	17204864.00
2013/04/26	6.65	6.73	6.22	6.25	2108814	13592617.00
2013/05/02	6.20	6.24	6.05	6.19	1247624	7654490.00
2013/05/03	6.25	6.37	6.18	6.31	1067667	6733856.00
2013/05/06	6.32	6.48	6.31	6.42	1295083	8271579.00
2013/05/07	6.37	6.42	6.30	6.37	925446	5876456.00
2013/05/08	6.38	6.40	6.31	6.36	1161103	7379523.00
2013/05/09	6.36	6.43	6.30	6.42	1387061	8820709.00
