600855 航天长峰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.94	9.08	8.71	8.74	1655939	14667111.00
2011/10/11	8.98	9.03	8.57	8.61	2319037	20347924.00
2011/10/12	8.61	8.96	8.56	8.87	2589576	22747576.00
2011/10/13	8.83	9.12	8.79	9.05	3464042	31231522.00
2011/10/14	9.03	9.14	8.98	9.07	2514434	22817026.00
2011/10/17	9.16	9.24	9.08	9.16	1791295	16445848.00
2011/10/18	9.17	9.17	8.98	9.11	2915519	26499420.00
2011/10/19	9.09	9.19	8.96	9.08	2010582	18332638.00
2011/10/20	9.08	9.08	8.58	9.05	4253590	37796928.00
2011/10/21	8.93	9.05	8.80	9.01	1518614	13582112.00
2011/10/24	9.03	9.23	8.73	9.22	6222451	56538448.00
2011/10/25	9.17	10.14	9.14	9.81	13878713	134580592.00
2011/10/26	9.53	9.87	9.42	9.56	9509567	91382912.00
2011/10/27	9.54	9.54	9.34	9.45	4776022	45047544.00
2011/10/28	9.54	9.65	9.39	9.60	4998761	47867192.00
2011/10/31	9.62	9.82	9.51	9.66	4654982	45197888.00
2011/11/01	9.56	9.56	9.23	9.41	4226377	39942040.00
2011/11/02	9.36	9.41	9.08	9.39	3448850	31958604.00
2011/11/10	10.33	10.33	10.07	10.33	7575966	78160328.00
2011/11/11	10.57	10.83	10.11	10.17	13428549	140732400.00
2011/11/14	10.14	10.34	9.96	10.24	7476389	76275328.00
2011/11/15	10.23	10.33	10.09	10.29	5093816	52320076.00
2011/11/16	10.25	10.30	9.83	9.88	5292718	53254212.00
2011/11/17	9.93	10.20	9.93	9.97	4613290	46639356.00
2011/11/18	9.87	10.12	9.68	9.87	4943797	49023856.00
2011/11/21	9.97	10.07	9.70	10.03	3032793	30157102.00
2011/11/22	9.97	10.01	9.78	9.96	2162555	21478588.00
2011/11/23	9.93	10.04	9.87	9.89	1558927	15532397.00
2011/11/24	9.79	9.81	9.54	9.59	3092541	29824340.00
2011/11/25	9.59	9.65	9.24	9.35	2093900	19842080.00
2011/11/28	9.26	9.43	9.23	9.26	1263439	11794878.00
2011/11/29	9.35	9.50	9.28	9.49	2469822	23268776.00
2011/11/30	9.43	9.72	9.03	9.15	4005447	37795948.00
2011/12/01	9.47	9.47	9.26	9.29	2609565	24511328.00
2011/12/02	9.28	9.33	8.97	9.00	1816393	16538634.00
2011/12/05	9.00	9.05	8.74	8.75	1549041	13745201.00
2011/12/06	8.78	8.82	8.69	8.77	1110610	9770681.00
2011/12/07	8.78	8.94	8.78	8.87	1374490	12237110.00
2011/12/08	8.83	9.03	8.58	8.95	2224152	19808804.00
2011/12/09	8.85	8.97	8.78	8.83	841624	7476972.00
2011/12/12	8.83	8.94	8.77	8.79	720451	6378990.00
2011/12/13	8.75	8.75	8.08	8.23	2748614	22923628.00
2011/12/14	8.23	8.28	7.78	7.84	1718708	13839056.00
2011/12/15	7.84	7.84	7.43	7.63	2355157	17926034.00
2011/12/16	7.63	7.97	7.53	7.94	1591278	12412774.00
2011/12/19	7.86	8.17	7.62	8.15	2949349	23699800.00
2011/12/20	8.04	8.14	7.93	7.96	1847197	14869345.00
2011/12/21	8.08	8.10	7.59	7.68	1467836	11633013.00
2011/12/22	7.79	7.83	7.34	7.64	2013297	15224814.00
2011/12/23	7.64	7.82	7.53	7.68	1207563	9311631.00
2011/12/26	7.58	7.83	7.58	7.65	1195064	9254111.00
2011/12/27	7.62	7.68	7.49	7.59	1076403	8196225.00
2011/12/28	7.50	7.59	7.26	7.56	1120201	8328638.00
2011/12/29	7.48	7.75	7.44	7.74	1588268	12158451.00
2011/12/30	7.78	8.08	7.78	7.88	2363608	18872674.00
2012/01/04	7.99	8.06	7.58	7.66	1676763	13304831.00
2012/01/05	7.58	7.76	7.37	7.47	1150102	8677400.00
2012/01/06	7.47	7.60	7.21	7.57	1251228	9259470.00
2012/01/09	7.57	8.01	7.47	7.94	2028874	15901087.00
2012/01/10	7.98	8.26	7.90	8.18	2834792	23079680.00
2012/01/11	8.17	8.43	8.09	8.30	3962740	32957440.00
2012/01/12	8.28	8.37	8.09	8.37	3042153	25087256.00
2012/01/13	8.29	8.35	8.06	8.10	2185323	17848172.00
2012/01/16	7.98	8.17	7.90	7.98	1159766	9320312.00
2012/01/17	7.96	8.37	7.90	8.32	2353163	19371904.00
2012/01/18	8.42	8.66	8.22	8.30	3208615	27004852.00
2012/01/19	8.26	8.38	8.20	8.23	1849058	15304092.00
2012/01/20	8.26	8.34	8.18	8.27	994309	8230093.00
2012/01/30	8.27	8.40	8.18	8.19	1266809	10502862.00
2012/01/31	8.19	8.38	8.17	8.34	1832181	15226155.00
2012/02/01	8.36	8.37	8.19	8.26	939060	7765511.00
2012/02/02	8.21	8.36	8.19	8.33	1539430	12832459.00
2012/02/03	8.36	8.52	8.28	8.46	2655404	22436444.00
2012/02/06	8.46	8.58	8.35	8.39	1535824	13006420.00
2012/02/07	8.38	8.38	8.20	8.24	1680580	13965490.00
2012/02/08	8.30	8.45	8.21	8.42	2015843	16895172.00
2012/02/09	8.38	8.56	8.37	8.42	1999470	16986016.00
2012/02/10	8.44	8.58	8.41	8.48	2161688	18414184.00
2012/02/13	8.39	8.69	8.39	8.65	3122230	26944456.00
2012/02/14	8.73	8.73	8.53	8.60	1660668	14314459.00
2012/02/15	8.62	8.89	8.55	8.81	3593054	31464036.00
2012/02/16	8.75	8.85	8.60	8.70	2765821	24185088.00
2012/02/17	8.71	8.88	8.57	8.80	2571928	22590436.00
2012/02/20	8.92	8.92	8.76	8.80	2897666	25639360.00
2012/02/21	8.75	8.86	8.62	8.85	2691293	23576346.00
2012/02/22	8.88	9.12	8.81	9.08	4790938	43313308.00
2012/02/23	8.98	9.33	8.95	9.19	4997210	45976980.00
2012/02/24	9.08	9.33	9.03	9.24	4533242	41731376.00
2012/02/27	9.26	9.36	9.20	9.21	3663206	34069164.00
2012/02/28	9.21	9.34	9.12	9.27	3311401	30715534.00
2012/02/29	9.27	9.38	9.12	9.26	3056199	28500046.00
2012/03/01	9.26	10.19	9.25	9.81	16962182	168075136.00
2012/03/02	9.64	10.55	9.58	10.21	17531726	176489424.00
2012/03/05	10.22	10.67	9.85	9.96	15692889	158979040.00
2012/03/06	9.84	9.94	9.58	9.77	7314995	71559712.00
2012/03/07	9.65	10.03	9.61	9.81	6728125	66589164.00
2012/03/08	9.82	9.87	9.69	9.76	4009900	39235508.00
2012/03/09	9.79	9.83	9.62	9.75	3999996	38894868.00
2012/03/12	9.77	9.92	9.71	9.89	4111666	40475968.00
2012/03/13	9.90	9.93	9.75	9.87	2874118	28305432.00
2012/03/14	9.84	9.92	9.08	9.14	6530596	62660544.00
2012/03/15	9.14	9.28	8.78	8.89	3699961	33479736.00
2012/03/16	8.89	9.12	8.85	9.11	3072308	27652256.00
2012/03/19	9.11	9.23	9.03	9.22	2694742	24657892.00
2012/03/20	9.18	9.21	8.93	8.94	2814894	25509240.00
2012/03/21	8.94	9.09	8.86	9.07	2252659	20247260.00
2012/03/22	9.07	9.09	8.94	8.96	1590713	14365709.00
2012/03/23	8.98	9.06	8.80	8.88	1822843	16311269.00
2012/03/26	8.86	8.92	8.73	8.81	1203720	10645038.00
2012/03/27	8.85	9.29	8.85	9.05	3927272	35718044.00
2012/03/28	8.94	8.95	8.59	8.61	3295543	28989212.00
2012/03/29	8.49	8.61	7.96	8.19	2870251	23935330.00
2012/03/30	8.24	8.29	8.12	8.20	1365727	11238413.00
2012/04/05	8.24	8.47	8.16	8.44	1666068	13960128.00
2012/04/06	8.45	8.68	8.44	8.54	1971711	16928940.00
2012/04/09	8.68	8.70	8.48	8.50	1598645	13778790.00
2012/04/10	8.58	8.59	8.20	8.58	1969450	16593129.00
2012/04/11	8.46	8.76	8.38	8.73	2761405	23849612.00
2012/04/12	8.71	8.92	8.69	8.86	2818817	24897396.00
2012/04/13	8.80	8.91	8.80	8.81	2438726	21605296.00
2012/04/16	8.78	8.97	8.72	8.97	2568554	22849288.00
2012/04/17	8.98	9.28	8.81	9.25	5653762	51267884.00
2012/04/18	9.48	9.95	9.33	9.47	11781229	113919608.00
2012/04/19	9.25	9.84	9.11	9.62	10059690	95260736.00
2012/04/20	9.51	9.68	9.40	9.63	6757931	64784384.00
2012/04/23	9.68	9.93	9.63	9.83	11833326	116038280.00
2012/04/24	9.63	9.67	8.93	9.22	8722338	81130616.00
2012/04/25	9.15	9.38	8.99	9.30	4367943	40383588.00
2012/04/26	9.33	9.42	9.04	9.18	3589635	33085906.00
2012/04/27	9.23	9.29	8.94	8.96	3053371	27813152.00
2012/05/02	9.02	9.21	8.98	9.16	3245611	29555316.00
2012/05/03	9.16	9.30	9.01	9.27	2991233	27606396.00
2012/05/04	9.28	9.33	9.13	9.23	2559905	23634040.00
2012/05/07	9.18	9.28	9.06	9.17	2925147	26765990.00
2012/05/08	9.71	10.09	9.71	10.09	10584406	105935696.00
2012/05/09	10.70	11.08	10.35	10.56	37942208	403663328.00
2012/05/10	10.68	10.83	10.08	10.19	20055056	207008768.00
2012/05/14	9.97	10.08	9.63	9.71	13144808	129320216.00
2012/05/15	9.63	9.83	9.54	9.69	6340454	61484392.00
2012/05/16	9.66	9.68	9.33	9.34	6993550	66093288.00
2012/05/17	9.34	9.50	9.25	9.41	5730121	53825928.00
2012/05/18	9.36	9.41	9.01	9.09	5731391	52964036.00
2012/05/21	9.08	9.21	9.06	9.12	3077649	28161646.00
2012/05/22	9.16	9.34	9.15	9.31	3688036	34253200.00
2012/05/23	9.27	9.34	9.03	9.15	3613977	33228278.00
2012/05/24	9.13	9.27	9.10	9.14	2840751	26136682.00
2012/05/25	9.19	9.20	8.88	8.93	3812492	34393748.00
2012/05/28	8.88	9.03	8.58	9.02	3472533	30626688.00
2012/05/29	9.03	9.22	9.00	9.12	4206364	38501476.00
2012/05/30	9.08	9.35	9.08	9.32	4784299	44307892.00
2012/05/31	9.22	9.31	9.14	9.25	3093656	28598852.00
2012/06/01	9.25	9.32	9.13	9.27	2618080	24179586.00
2012/06/04	9.07	9.18	8.82	8.84	3396868	30767084.00
2012/06/05	8.88	8.97	8.72	8.91	2410677	21403256.00
2012/06/06	8.93	8.95	8.72	8.78	1933876	17152812.00
2012/06/07	8.86	8.93	8.69	8.84	2391498	21182436.00
2012/06/08	8.91	9.38	8.82	9.10	6946095	63528552.00
2012/06/11	9.25	9.53	9.18	9.45	10832443	102196424.00
2012/06/12	9.33	9.33	9.18	9.28	4734862	43927544.00
2012/06/13	9.25	9.41	9.20	9.40	3885973	36222540.00
2012/06/14	9.37	9.49	9.25	9.27	4198065	39398768.00
2012/06/15	9.27	9.33	9.06	9.16	4159331	38359200.00
2012/06/18	9.20	9.28	9.09	9.17	2783918	25573130.00
2012/06/19	9.16	9.16	8.89	8.95	3482115	31371100.00
2012/06/20	8.96	9.03	8.90	8.91	1780018	15963624.00
2012/06/21	8.89	8.92	8.69	8.72	1982153	17424568.00
2012/06/25	8.70	8.80	8.46	8.47	2166668	18733296.00
2012/06/26	8.44	8.52	8.30	8.51	2356067	19858820.00
2012/06/27	8.51	8.54	8.39	8.41	1467852	12487343.00
2012/06/28	8.43	8.49	8.35	8.39	1602633	13495888.00
2012/06/29	8.38	8.87	8.35	8.64	2929079	25184154.00
2012/07/02	8.71	8.72	8.49	8.58	2160253	18636248.00
2012/07/03	8.61	8.68	8.50	8.55	1637878	14119878.00
2012/07/04	8.58	8.73	8.56	8.68	2718166	23592620.00
2012/07/05	8.59	8.62	8.16	8.17	2878438	24075616.00
2012/07/06	8.23	8.30	8.03	8.27	2153962	17655660.00
2012/07/09	8.23	8.23	7.85	7.88	2656316	21481806.00
2012/07/10	7.86	7.96	7.83	7.89	1310177	10366941.00
2012/07/11	7.91	8.20	7.86	8.10	2447612	19722776.00
2012/07/12	7.98	8.16	7.93	8.08	2567298	20678364.00
2012/07/13	8.04	8.19	8.01	8.08	1627854	13237022.00
2012/07/16	8.04	8.16	7.75	7.79	2074670	16578633.00
2012/07/17	7.78	7.90	7.68	7.89	1518837	11887500.00
2012/07/18	7.89	8.15	7.82	8.10	3196813	25759348.00
2012/07/19	8.06	8.27	8.04	8.19	3315189	27225016.00
2012/07/20	8.23	8.29	8.13	8.18	1674135	13764484.00
2012/07/23	8.10	8.22	8.06	8.08	1478316	12054547.00
2012/07/24	8.00	8.18	8.00	8.10	1335114	10861113.00
2012/07/25	8.07	8.15	8.03	8.04	1366552	11069758.00
2012/07/26	8.04	8.11	7.78	7.81	1680775	13443070.00
2012/07/27	7.84	7.88	7.69	7.74	1522793	11859603.00
2012/07/30	7.75	7.89	7.54	7.55	1377338	10652382.00
2012/07/31	7.54	7.63	7.21	7.30	1668969	12271031.00
2012/08/01	7.30	7.47	7.30	7.38	1301813	9647350.00
2012/08/02	7.41	7.41	7.24	7.31	1077601	7908621.00
2012/08/03	7.37	7.50	7.31	7.48	1128712	8380511.00
2012/08/06	7.41	7.71	7.41	7.68	1701929	12975351.00
2012/08/07	7.65	7.86	7.63	7.78	2017999	15750678.00
2012/08/08	7.75	7.78	7.64	7.70	1294687	10010167.00
2012/08/09	7.70	7.88	7.62	7.85	1663388	12923148.00
2012/08/10	7.85	8.00	7.76	7.92	2335941	18478092.00
2012/08/13	7.92	7.92	7.64	7.66	1520829	11830288.00
2012/08/14	7.63	7.82	7.56	7.80	1467904	11295243.00
2012/08/15	7.81	8.00	7.75	7.86	2164128	17102380.00
2012/08/16	8.08	8.17	7.86	7.87	4268247	34252604.00
2012/08/17	7.74	7.83	7.58	7.69	1841194	14180560.00
2012/08/20	7.67	7.68	7.48	7.66	1641343	12464807.00
2012/08/21	7.65	7.84	7.63	7.82	1956299	15199863.00
2012/08/22	7.81	7.89	7.73	7.74	2077066	16296448.00
2012/08/23	7.71	7.89	7.70	7.85	2064615	16177836.00
2012/08/24	7.84	8.06	7.78	7.82	3282535	26132820.00
2012/08/27	7.80	7.82	7.44	7.51	2626279	19979898.00
2012/08/28	7.51	7.68	7.44	7.61	1285729	9759998.00
2012/08/29	7.66	7.75	7.61	7.64	1719570	13249940.00
2012/08/30	7.64	7.78	7.39	7.61	1817017	13900269.00
2012/08/31	7.52	7.68	7.52	7.62	770381	5885375.00
2012/09/03	7.58	7.74	7.49	7.73	1401366	10785588.00
2012/09/04	7.74	7.85	7.69	7.73	1389182	10811265.00
2012/09/05	7.77	8.49	7.73	8.36	11387648	94069152.00
2012/09/06	8.23	8.31	8.16	8.26	5180975	42705588.00
2012/09/07	8.31	8.51	8.19	8.39	9001592	75398336.00
2012/09/10	8.33	8.66	8.32	8.49	7979202	68163840.00
2012/09/11	8.70	8.95	8.48	8.58	7918305	68691680.00
2012/09/12	8.60	9.13	8.42	8.85	11716286	102904800.00
2012/09/13	8.78	9.46	8.68	9.15	16175218	147446912.00
2012/09/14	8.99	9.20	8.84	8.88	10393203	93421312.00
2012/09/17	8.87	9.16	8.59	8.65	8428018	75013360.00
2012/09/18	8.58	8.62	8.24	8.34	4773650	40159940.00
2012/09/19	8.36	8.53	8.32	8.42	3272225	27609832.00
2012/09/20	8.39	8.63	8.14	8.15	4469015	37709160.00
2012/09/21	8.06	8.08	7.69	7.74	4141413	32451306.00
2012/09/24	7.73	7.87	7.68	7.81	2237467	17491524.00
2012/09/25	7.77	7.98	7.75	7.81	2161910	17030410.00
2012/09/26	7.75	7.81	7.39	7.48	2491217	18955388.00
2012/09/27	7.47	7.78	7.44	7.64	1871968	14275245.00
2012/09/28	7.57	7.81	7.54	7.79	1979035	15339343.00
2012/10/08	7.80	7.91	7.75	7.85	1655557	12965691.00
2012/10/09	7.80	8.01	7.80	7.99	2757022	21929628.00
2012/10/10	7.99	8.11	7.91	8.05	2544769	20489576.00
2012/10/11	8.04	8.09	7.86	7.87	2552440	20344890.00
2012/10/12	7.89	8.02	7.75	7.98	2241954	17773740.00
2012/10/15	7.98	8.24	7.87	7.97	2084874	16713044.00
2012/10/16	7.87	8.08	7.87	8.01	1808891	14528805.00
2012/10/17	7.99	8.12	7.92	7.99	1396969	11204643.00
2012/10/18	7.99	8.12	7.93	8.10	3104002	25065792.00
2012/10/19	8.10	8.17	8.01	8.08	2420201	19625702.00
2012/10/22	8.04	8.06	7.94	8.03	1948134	15624888.00
2012/10/23	8.03	8.05	7.90	7.91	2204141	17607092.00
2012/10/24	7.86	7.90	7.80	7.84	1958879	15427141.00
2012/10/25	7.84	7.95	7.80	7.81	1653294	13035226.00
2012/10/26	7.78	7.84	7.63	7.75	1833346	14211991.00
2012/10/29	7.67	7.78	7.58	7.72	1510090	11638379.00
2012/10/30	7.69	7.79	7.68	7.70	1286811	9986996.00
2012/10/31	7.69	7.74	7.58	7.66	1152419	8829868.00
2012/11/01	7.68	7.82	7.68	7.80	2403494	18711608.00
2012/11/02	7.80	7.92	7.76	7.89	2450646	19321012.00
2012/11/05	7.82	7.99	7.82	7.96	2000334	15881103.00
2012/11/06	7.96	7.96	7.71	7.78	1768884	13824801.00
2012/11/07	7.78	7.88	7.74	7.78	1106343	8645251.00
2012/11/08	7.73	7.73	7.55	7.55	1448335	11092682.00
2012/11/09	7.55	7.60	7.47	7.56	956719	7228620.00
2012/11/12	7.60	7.82	7.58	7.67	1282721	9898603.00
2012/11/13	7.71	7.71	7.36	7.37	1677746	12604352.00
2012/11/14	7.35	7.46	7.22	7.41	1708482	12514040.00
2012/11/15	7.37	7.37	7.08	7.13	1507048	10925659.00
2012/11/16	7.11	7.17	6.95	7.03	1653830	11625493.00
2012/11/19	7.08	7.09	6.93	7.04	1048929	7369306.00
2012/11/20	7.09	7.13	7.01	7.02	924284	6560834.00
2012/11/21	7.00	7.11	6.94	7.11	1440732	10169509.00
2012/11/22	7.08	7.08	6.93	6.96	930969	6550289.00
2012/11/23	7.00	7.02	6.93	6.96	1348662	9425001.00
2012/11/26	7.00	7.02	6.79	6.82	1279652	8851347.00
2012/11/27	6.80	6.83	6.50	6.52	1578380	10431367.00
2012/11/28	6.48	6.48	6.27	6.30	1213999	7751530.00
2012/11/29	6.30	6.57	6.18	6.19	1463640	9330687.00
2012/11/30	6.16	6.30	6.16	6.27	1061954	6662170.00
2012/12/03	6.27	6.31	6.08	6.10	938198	5839995.00
2012/12/04	6.10	6.43	5.98	6.33	2432623	15106133.00
2012/12/05	6.25	6.55	6.25	6.49	2854076	18430448.00
2012/12/06	6.55	7.14	6.53	6.74	5694196	39186904.00
2012/12/07	6.64	6.83	6.51	6.80	3933073	26328020.00
2012/12/10	6.80	6.93	6.72	6.85	2747699	18799540.00
2012/12/11	6.83	6.94	6.70	6.75	2961878	20313596.00
2012/12/12	6.74	6.78	6.62	6.67	1992089	13355748.00
2012/12/13	6.79	6.87	6.61	6.64	1871639	12655116.00
2012/12/14	6.58	6.96	6.50	6.89	3096310	21200226.00
2012/12/17	6.97	7.08	6.89	7.00	3215827	22498240.00
2012/12/18	7.00	7.09	6.92	6.98	2208237	15499659.00
2012/12/19	6.95	7.08	6.95	6.99	1821319	12826948.00
2012/12/20	7.06	7.06	6.86	6.95	1807437	12565926.00
2012/12/21	6.97	7.14	6.92	7.05	3139913	22079842.00
2012/12/24	7.03	7.05	6.92	6.95	1995179	13958402.00
2012/12/25	7.03	7.22	7.01	7.16	4609038	32985620.00
2012/12/26	7.14	7.28	7.10	7.28	4179717	30178638.00
2012/12/27	7.28	7.43	7.16	7.17	4705032	34468900.00
2012/12/28	7.18	7.26	7.13	7.22	3241918	23395124.00
2012/12/31	7.27	7.38	7.23	7.29	3537071	25928458.00
2013/01/04	7.33	7.40	7.13	7.16	2945443	21332950.00
2013/01/07	7.16	7.47	7.13	7.40	4534784	33379496.00
2013/01/08	7.43	7.68	7.36	7.61	7355483	55852408.00
2013/01/09	7.61	7.65	7.42	7.53	5001332	37788516.00
2013/01/10	7.57	7.62	7.48	7.61	4135603	31354216.00
2013/01/11	7.67	7.95	7.59	7.77	11519460	90139560.00
2013/01/14	7.65	8.55	7.65	8.55	14460098	119438344.00
2013/01/15	8.78	9.37	8.59	8.64	27164356	242655744.00
2013/01/16	8.50	9.01	8.50	9.00	18015597	158615872.00
2013/01/17	8.88	8.88	8.10	8.10	13971257	117032944.00
2013/01/18	8.05	8.26	8.03	8.18	6090301	49802392.00
2013/01/21	8.18	8.26	8.09	8.24	5473732	44850056.00
2013/01/22	8.21	8.21	7.84	7.93	7123695	57075204.00
2013/01/23	7.86	8.14	7.83	8.08	5776356	46471844.00
2013/01/24	8.05	8.48	8.03	8.14	10782505	89258264.00
2013/01/25	8.33	8.89	8.33	8.50	16210978	139135664.00
2013/01/28	8.50	9.35	8.35	9.23	27165270	245835680.00
2013/01/29	9.00	9.47	8.67	8.97	19078532	172203312.00
2013/01/30	8.88	9.16	8.69	8.85	13757104	122296832.00
2013/01/31	8.98	9.18	8.77	8.94	11165225	100641504.00
2013/02/01	8.78	9.45	8.70	9.27	16926473	155423792.00
2013/02/04	9.27	9.38	8.81	8.86	11727660	105953288.00
2013/02/05	8.79	8.81	8.50	8.72	6751268	58440412.00
2013/02/06	8.83	8.91	8.71	8.79	5036707	44336332.00
2013/02/07	8.80	9.07	8.69	8.98	7434395	66524080.00
2013/02/08	9.01	9.13	8.88	8.93	6114121	55136136.00
2013/02/18	9.01	9.68	8.99	9.53	15807386	147468432.00
2013/02/19	9.48	9.53	9.21	9.40	9751157	91638576.00
2013/02/20	9.40	9.78	9.30	9.64	10460144	100707360.00
2013/02/21	9.59	9.59	9.17	9.23	6838998	64071216.00
2013/02/22	9.17	9.63	9.08	9.26	6603075	61865732.00
