600857 工大首创 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.71	8.84	8.60	8.76	1729056	15310797.00
2011/10/11	8.90	9.29	8.74	8.78	2446278	22351404.00
2011/10/12	8.87	9.23	8.56	9.13	3328678	30392312.00
2011/10/13	9.31	9.41	9.09	9.22	2624189	24706356.00
2011/10/14	9.19	9.20	9.04	9.13	1438399	13341191.00
2011/10/17	9.16	9.20	8.90	9.17	2684097	24622824.00
2011/10/18	9.06	9.32	8.75	8.94	2978052	27432586.00
2011/10/19	8.96	8.96	8.64	8.73	2069446	18405776.00
2011/10/20	8.65	8.73	8.14	8.21	3308051	28204844.00
2011/10/21	8.34	8.53	7.99	8.01	1758502	14720613.00
2011/10/24	8.02	8.17	7.82	8.13	1444093	11847166.00
2011/10/25	8.14	8.51	8.04	8.48	2497225	21222522.00
2011/10/26	8.36	8.66	8.35	8.62	2427082	21091236.00
2011/10/27	8.54	8.67	8.44	8.56	1730460	15014507.00
2011/10/28	8.68	8.83	8.44	8.56	3289873	28733344.00
2011/10/31	8.57	8.68	8.33	8.61	4722911	40953588.00
2011/11/01	8.59	8.96	8.49	8.78	7004677	62452068.00
2011/11/02	8.63	8.93	8.51	8.91	4581203	40729480.00
2011/11/03	8.89	9.12	8.81	8.85	5522897	50471212.00
2011/11/04	8.88	9.04	8.85	8.94	3760370	34234160.00
2011/11/07	8.94	9.00	8.74	8.91	3698035	33437412.00
2011/11/08	8.89	9.01	8.84	8.94	2978158	27101320.00
2011/11/09	8.89	9.17	8.89	9.14	3817586	35174876.00
2011/11/10	9.04	9.12	8.91	9.03	2990244	27426298.00
2011/11/11	9.03	9.11	8.95	8.99	2967257	27274964.00
2011/11/14	9.00	9.20	8.94	9.13	3753070	34629412.00
2011/11/15	9.11	9.39	9.07	9.27	4053827	38154072.00
2011/11/16	9.35	9.35	8.84	8.94	3363271	31146484.00
2011/11/17	8.99	9.02	8.91	8.92	2069329	18857656.00
2011/11/18	8.86	8.89	8.56	8.60	2624078	23239604.00
2011/11/21	8.62	8.69	8.47	8.68	1094771	9566621.00
2011/11/23	8.99	9.53	8.99	9.02	6516870	60921400.00
2011/11/24	8.88	9.94	8.71	9.94	9841464	94049200.00
2011/11/25	9.80	10.19	9.64	9.66	8334033	83861856.00
2011/11/28	9.54	9.92	9.46	9.83	4708115	46687104.00
2011/11/29	9.92	10.13	9.75	9.81	3722178	37483996.00
2011/11/30	9.72	9.80	9.23	9.37	4238999	41055928.00
2011/12/01	9.65	10.13	9.42	9.94	6951213	69224256.00
2011/12/02	9.84	9.94	9.54	9.73	3991398	39497368.00
2011/12/05	9.65	9.71	9.04	9.05	3218542	30398434.00
2011/12/06	9.04	9.09	8.45	8.67	3188347	28112500.00
2011/12/07	8.63	8.72	8.56	8.65	1341508	11812430.00
2011/12/08	8.68	9.53	8.60	9.28	6697117	62424684.00
2011/12/09	9.20	9.97	9.14	9.92	7779793	75402792.00
2011/12/12	9.72	9.95	9.55	9.78	4972126	49372220.00
2011/12/13	9.74	10.43	9.35	10.02	11524427	117061184.00
2011/12/14	9.90	10.33	9.68	9.71	8581623	87422824.00
2011/12/15	9.54	10.11	9.45	10.05	9075799	91253680.00
2011/12/16	10.04	10.27	9.60	10.18	9414204	94958360.00
2011/12/19	10.02	10.02	9.62	9.96	7262523	72658080.00
2011/12/20	9.83	10.57	9.76	10.27	14045128	146198880.00
2011/12/21	10.24	10.35	9.74	9.78	10800486	110355336.00
2011/12/22	9.32	9.38	8.79	9.08	13557058	123964496.00
2011/12/23	8.95	10.00	8.95	10.00	11720355	116668712.00
2011/12/26	10.14	10.49	9.97	10.09	9487232	98432536.00
2011/12/27	10.01	10.27	9.66	9.74	6956126	70248896.00
2011/12/28	9.50	9.53	9.12	9.47	5046835	47859844.00
2011/12/29	9.47	10.02	9.37	9.45	4635275	45694888.00
2011/12/30	9.49	9.76	9.24	9.58	3602167	34960336.00
2012/01/04	9.64	10.39	9.55	10.09	9187664	93829952.00
2012/01/05	9.99	10.47	9.85	10.04	8909376	92192104.00
2012/01/06	10.14	11.00	9.92	10.78	14779994	158009632.00
2012/01/09	10.54	11.25	10.53	11.09	15175475	167866848.00
2012/01/10	11.04	11.33	10.84	11.26	14659868	164897920.00
2012/01/11	11.12	11.59	10.94	11.42	14576760	167232000.00
2012/01/12	11.39	11.45	11.04	11.32	9390123	107333360.00
2012/01/13	11.24	11.27	10.84	11.08	7924072	88773000.00
2012/01/16	10.87	11.21	10.72	10.90	5834268	65016536.00
2012/01/17	10.86	11.44	10.56	11.38	8026363	90404048.00
2012/01/18	11.38	11.93	11.11	11.12	7772163	90948200.00
2012/01/19	11.12	11.19	10.74	10.80	5532775	61225496.00
2012/01/20	10.80	10.98	10.74	10.87	3790513	41822068.00
2012/01/30	10.96	11.91	10.85	11.71	9335088	109783056.00
2012/01/31	11.62	12.04	11.52	11.83	6200905	73982240.00
2012/02/01	11.85	11.99	11.63	11.81	4892663	58426520.00
2012/02/02	11.85	12.02	11.69	11.99	6243239	75351928.00
2012/02/03	12.05	12.44	11.64	11.78	10326887	125176360.00
2012/02/06	11.70	12.71	11.58	12.51	13620806	168372768.00
2012/02/07	12.42	12.63	12.19	12.42	9642400	120950800.00
2012/02/08	12.40	12.59	12.02	12.55	9331069	116569984.00
2012/02/09	12.42	12.84	12.32	12.41	9722377	123770416.00
2012/02/10	12.24	12.45	12.06	12.33	6938557	86102312.00
2012/02/13	12.34	12.34	11.91	12.17	6513119	79976600.00
2012/02/14	12.24	12.76	12.01	12.63	10206903	128989000.00
2012/02/15	12.53	12.64	12.30	12.53	7017364	88554688.00
2012/02/16	12.49	12.93	12.29	12.30	9031624	115301088.00
2012/02/17	12.23	12.26	11.92	11.99	8390342	102381832.00
2012/02/20	12.04	12.27	11.96	12.25	7058254	86784256.00
2012/02/21	12.20	12.24	11.92	12.19	4831017	59132896.00
2012/02/22	12.17	12.60	12.02	12.43	8868170	111267312.00
2012/02/23	12.36	12.73	12.26	12.61	10283709	130309424.00
2012/02/24	12.74	12.84	12.47	12.62	8015401	102625432.00
2012/02/27	12.63	12.78	12.37	12.39	8252343	104832352.00
2012/02/28	12.14	12.27	11.37	11.47	14614349	173116800.00
2012/02/29	11.29	11.62	11.23	11.38	6113072	70867184.00
2012/03/01	11.38	11.56	11.32	11.52	3834375	44550900.00
2012/03/02	11.54	11.63	11.42	11.61	5023104	58655572.00
