600859 王府井 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	37.00	37.46	35.20	35.74	1544473	57325608.00
2011/10/11	36.15	36.42	33.50	34.10	1858050	67029008.00
2011/10/12	33.80	35.80	33.51	35.43	6193241	221592112.00
2011/10/13	34.60	35.70	34.53	35.20	1453658	53272176.00
2011/10/14	35.20	35.47	34.75	34.95	750308	27389532.00
2011/10/17	35.16	36.38	34.87	35.99	889342	32985684.00
2011/10/18	35.55	35.85	35.21	35.42	402110	14857697.00
2011/10/19	35.49	36.20	35.09	35.67	1849559	68950848.00
2011/10/20	35.30	35.76	34.80	35.11	1800732	66268768.00
2011/10/21	35.25	35.61	35.14	35.19	1736641	63934808.00
2011/10/24	35.19	36.94	35.19	35.88	768919	28827530.00
2011/10/25	35.76	37.85	35.52	37.48	1743368	66953052.00
2011/10/26	37.34	38.60	37.01	37.31	1322889	52401596.00
2011/10/27	37.60	38.30	37.00	37.69	1326183	51823544.00
2011/10/28	38.10	39.09	37.15	38.87	1023487	40843536.00
2011/10/31	38.90	39.70	38.00	39.27	1633691	66640252.00
2011/11/01	39.05	40.06	38.40	39.63	1174549	48225252.00
2011/11/02	39.37	41.10	38.92	40.80	1044851	43141272.00
2011/11/03	40.70	41.50	39.82	40.59	1422649	59591648.00
2011/11/04	41.40	41.40	40.10	40.35	884045	37030896.00
2011/11/07	39.70	40.50	39.70	40.24	191921	7999890.00
2011/11/08	40.50	40.50	39.50	39.88	250334	10399459.00
2011/11/09	39.54	40.50	39.20	39.68	926682	37987144.00
2011/11/10	38.95	39.66	38.70	39.41	401502	16450371.00
2011/11/11	39.68	39.85	39.00	39.47	199573	8193597.00
2011/11/14	39.77	39.97	39.03	39.89	756903	31153100.00
2011/11/15	39.86	39.86	39.30	39.61	1177260	48243608.00
2011/11/16	39.69	39.90	38.50	38.73	666196	26942232.00
2011/11/17	38.93	38.99	38.20	38.39	373186	14952090.00
2011/11/18	38.03	38.50	37.50	37.59	293671	11550081.00
2011/11/21	37.73	37.89	37.02	37.86	574339	22427804.00
2011/11/22	37.80	37.80	36.48	36.59	2040826	78709496.00
2011/11/23	36.50	36.73	35.68	36.35	871939	32887426.00
2011/11/24	36.24	36.97	36.16	36.95	414762	15849404.00
2011/11/25	37.15	37.86	36.10	36.30	987353	37691572.00
2011/11/28	36.60	36.71	35.71	36.44	649381	24604960.00
2011/11/29	36.48	37.30	36.32	36.98	1373742	52437324.00
2011/11/30	36.78	37.50	36.01	36.97	1842881	69829560.00
2011/12/01	37.57	37.57	36.50	36.98	1108459	42908988.00
2011/12/02	36.62	36.62	35.20	36.00	2401210	89096312.00
2011/12/05	35.98	35.98	35.22	35.42	750455	27736836.00
2011/12/06	35.40	35.60	35.01	35.22	259802	9566014.00
2011/12/07	34.88	35.70	34.88	35.37	628964	23187360.00
2011/12/08	34.63	35.75	34.62	35.46	863896	31537766.00
2011/12/09	35.00	35.00	33.46	33.50	2366535	84099872.00
2011/12/12	33.51	33.95	32.84	33.21	458568	15937545.00
2011/12/13	33.23	33.46	31.66	32.50	898481	30708828.00
2011/12/14	32.51	32.59	31.99	32.00	388776	13080678.00
2011/12/15	31.95	32.35	31.38	31.50	809074	26778964.00
2011/12/16	31.50	31.69	31.10	31.51	1638350	53948740.00
2011/12/19	31.00	31.70	31.00	31.48	1446544	47552024.00
2011/12/20	31.58	32.45	31.30	31.99	1454262	48806376.00
2011/12/21	32.33	32.33	31.10	31.45	951219	31560294.00
2011/12/22	31.44	31.54	29.55	31.26	840909	27194392.00
2011/12/23	30.61	31.56	30.26	31.50	1100635	36021388.00
2011/12/26	31.22	31.42	30.10	30.22	1089832	35122600.00
2011/12/27	30.68	30.68	28.70	29.16	1586985	49656776.00
2011/12/28	28.80	29.30	27.77	29.19	2352466	69728168.00
2011/12/29	28.85	30.00	28.65	29.66	698274	21524208.00
2011/12/30	29.98	30.85	29.37	30.61	737469	23540394.00
2012/01/04	30.61	30.90	30.00	30.50	754327	24220992.00
2012/01/05	30.40	30.50	28.30	29.23	1217195	37676832.00
2012/01/06	30.46	30.46	27.47	28.46	1243564	37019764.00
2012/01/09	28.27	29.37	28.10	29.29	1440135	43571544.00
2012/01/10	28.80	31.00	28.58	30.78	4927050	154036192.00
2012/01/11	30.55	32.10	30.40	30.94	2067882	67501776.00
2012/01/12	30.70	31.04	29.53	29.72	1397204	44127960.00
2012/01/13	29.94	29.94	27.85	28.46	2499918	75292656.00
2012/01/16	28.10	28.29	25.82	26.52	2153816	62313832.00
2012/01/17	26.55	27.60	25.32	27.40	3820823	106203000.00
2012/01/18	27.03	27.96	25.54	26.38	1787666	51116236.00
2012/01/19	26.29	27.78	25.60	27.21	2791501	79535784.00
2012/01/20	27.21	29.41	26.72	29.31	3728210	111654848.00
2012/01/30	29.10	29.19	28.01	28.48	2052328	61468308.00
2012/01/31	28.30	28.69	28.00	28.40	521351	15604014.00
2012/02/01	28.50	29.20	28.22	28.33	1440368	43487416.00
2012/02/02	28.34	28.80	28.34	28.50	1777049	53318064.00
2012/02/03	28.20	29.10	28.20	28.81	3079849	93487768.00
2012/02/06	28.81	29.90	28.81	29.46	1888628	58605360.00
2012/02/07	29.22	29.95	29.18	29.26	1901166	59287964.00
2012/02/08	29.27	30.10	29.00	29.80	1399240	43605312.00
2012/02/09	29.77	30.05	29.30	29.81	1306397	40847752.00
2012/02/10	29.50	30.62	29.50	30.42	1736129	55136152.00
2012/02/13	29.85	30.95	29.85	30.42	1061927	33986984.00
2012/02/14	30.14	30.66	30.14	30.53	677902	21698524.00
2012/02/15	30.68	31.17	30.35	30.56	799619	25774984.00
2012/02/16	30.53	30.87	30.10	30.26	1442603	46121100.00
2012/02/17	30.44	30.90	29.95	30.06	441330	14060338.00
2012/02/20	30.15	30.98	29.81	30.06	2308483	73462088.00
2012/02/21	30.20	30.32	29.34	29.95	2206269	68645248.00
2012/02/22	29.71	30.20	29.65	30.03	2715848	85233168.00
2012/02/23	30.10	30.66	29.97	30.20	3759608	119597040.00
2012/02/24	30.16	30.75	30.16	30.62	3009240	96280640.00
2012/02/27	30.79	31.10	30.47	30.77	2890850	93398416.00
2012/02/28	30.98	31.10	29.90	30.50	2919219	93242040.00
2012/02/29	30.30	30.60	29.70	29.79	2855825	90535216.00
2012/03/01	29.69	30.01	29.50	29.66	1719229	53849540.00
2012/03/02	29.85	30.03	29.66	29.99	1972934	61796336.00
2012/03/05	30.10	30.10	28.50	29.31	6286989	195807424.00
2012/03/06	29.16	29.16	28.30	28.70	3748812	112296656.00
2012/03/07	28.41	29.06	28.21	28.69	2864502	86219248.00
2012/03/08	28.83	29.00	28.59	28.90	1319627	40046568.00
2012/03/09	28.99	29.60	28.73	29.27	2355161	72549168.00
2012/03/12	29.30	31.00	29.30	30.76	7081292	226365040.00
2012/03/13	30.79	30.99	30.43	30.79	3539806	113979192.00
2012/03/14	31.06	31.65	29.89	30.37	5004839	162861120.00
2012/03/15	30.35	31.45	30.35	31.42	4060033	131468624.00
2012/03/16	31.50	32.20	31.20	32.02	5122870	170159120.00
2012/03/19	32.15	32.73	31.37	31.95	3142602	105321664.00
2012/03/20	31.63	31.91	30.51	30.62	2398660	77751792.00
2012/03/21	30.97	30.97	29.41	30.29	2513097	79202192.00
2012/03/22	30.01	30.38	29.75	30.08	1009960	31820778.00
2012/03/23	29.95	30.06	29.23	29.66	1505675	46722292.00
2012/03/26	29.32	29.96	29.30	29.88	1750480	54391744.00
2012/03/27	29.95	30.17	29.30	29.38	1463233	45717184.00
2012/03/28	29.28	29.31	28.63	29.08	1508066	45826108.00
2012/03/29	29.19	29.20	28.22	28.41	1464439	43997324.00
2012/03/30	28.50	28.60	28.14	28.46	868140	25965536.00
2012/04/05	28.57	29.10	28.16	28.91	1805124	54677652.00
2012/04/06	28.87	28.87	28.49	28.73	2138413	64602960.00
2012/04/09	28.74	28.75	27.90	28.16	2090447	62118360.00
2012/04/10	28.12	28.40	27.87	28.36	1284494	38030760.00
2012/04/11	28.10	28.62	27.83	28.36	1260886	37442844.00
2012/04/12	28.47	28.71	28.10	28.68	2608703	78106384.00
2012/04/13	28.75	29.16	28.66	28.96	3205782	97597472.00
2012/04/16	28.81	29.30	28.70	28.90	1915209	58468300.00
2012/04/17	28.90	29.20	28.75	28.88	1298033	39474136.00
2012/04/18	29.13	29.29	28.60	29.27	3121107	94974064.00
2012/04/19	29.20	29.20	28.65	28.86	1829993	55588848.00
2012/04/20	28.95	29.00	28.52	28.78	2199351	66552548.00
2012/04/23	28.65	28.80	28.22	28.36	1443849	43305864.00
2012/04/24	28.38	28.70	27.37	28.20	1403208	41446612.00
2012/04/25	28.50	29.05	28.50	28.64	2215119	67025496.00
2012/04/26	28.64	28.85	28.22	28.24	2031665	60787368.00
2012/04/27	28.00	28.19	26.39	26.97	5347319	151611664.00
2012/05/02	27.00	27.28	26.52	26.65	5771164	163269936.00
2012/05/03	26.66	27.08	26.66	27.01	3556169	100908576.00
2012/05/04	27.11	27.76	26.90	27.63	4035043	115880232.00
2012/05/07	27.47	28.04	27.18	28.01	4124444	119964016.00
2012/05/08	28.05	28.18	27.72	28.02	2994168	88301392.00
2012/05/09	27.84	27.85	27.34	27.45	1726694	50095336.00
2012/05/10	27.49	27.56	27.00	27.31	1646459	47336544.00
2012/05/11	27.30	27.44	27.11	27.30	1127113	32404476.00
2012/05/14	27.44	27.47	26.90	26.94	2094356	59870508.00
2012/05/15	26.78	27.12	26.58	27.02	1624371	46113852.00
2012/05/16	27.00	27.01	26.53	26.68	1315221	37085580.00
2012/05/17	26.67	26.90	26.50	26.83	1397618	39459796.00
2012/05/18	26.71	26.74	26.34	26.44	2682292	75096176.00
2012/05/21	26.47	26.63	25.55	26.42	1105493	30845308.00
