600862 南通科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.06	5.12	4.99	5.11	3898769	39745004.00
2011/10/11	5.24	5.29	5.00	5.03	7046247	72925368.00
2011/10/12	5.00	5.29	4.90	5.27	8252777	85417096.00
2011/10/13	5.20	5.51	5.20	5.38	12377869	133716184.00
2011/10/14	5.36	5.37	5.19	5.28	7619761	80611208.00
2011/10/17	5.30	5.36	5.21	5.26	4249928	45021940.00
2011/10/18	5.21	5.21	5.02	5.04	4415997	45532620.00
2011/10/19	5.06	5.10	4.98	5.03	2972107	30091178.00
2011/10/20	5.01	5.01	4.73	4.77	4811427	47002560.00
2011/10/21	4.81	4.86	4.72	4.76	2551008	24516654.00
2011/10/24	4.80	4.92	4.73	4.91	4239591	41202440.00
2011/10/25	4.90	5.05	4.86	5.01	6044399	60292520.00
2011/10/26	4.97	5.15	4.93	5.05	7899151	80305472.00
2011/10/27	5.03	5.11	5.02	5.06	4514837	45873424.00
2011/10/28	5.08	5.20	4.99	5.11	11232712	114374008.00
2011/10/31	5.12	5.12	4.99	5.03	6910691	69905912.00
2011/11/01	5.00	5.34	4.96	5.32	16701882	173098912.00
2011/11/02	5.20	5.85	5.19	5.85	32097168	356265312.00
2011/11/03	5.86	5.92	5.74	5.84	28106960	329299136.00
2011/11/04	5.88	6.25	5.78	6.13	30421462	368209664.00
2011/11/07	6.05	6.10	5.95	6.06	14122612	171485424.00
2011/11/08	6.01	6.26	6.00	6.06	14296189	175605408.00
2011/11/09	6.05	6.14	5.80	6.04	17650111	212226960.00
2011/11/10	5.95	6.51	5.88	6.46	47245468	592179712.00
2011/11/11	6.34	6.50	6.32	6.37	30203746	388108672.00
2011/11/14	6.44	6.58	6.35	6.45	30455660	393340000.00
2011/11/15	6.40	6.57	6.39	6.49	25742696	334315200.00
2011/11/16	6.50	6.51	6.28	6.41	15912705	204591808.00
2011/11/17	6.37	6.71	6.33	6.60	31993559	421908448.00
2011/11/18	6.62	6.69	6.48	6.54	25409184	335560320.00
2011/11/22	6.54	6.67	6.20	6.60	43867070	572268416.00
2011/11/23	6.58	6.65	6.45	6.54	35770244	469857984.00
2011/11/24	6.60	6.61	6.40	6.46	42603005	557672256.00
2011/11/25	6.48	6.48	5.93	6.08	45860434	568654848.00
2011/11/28	5.98	6.12	5.93	5.99	15952064	192346912.00
2011/11/29	6.04	6.07	5.88	6.06	29363739	352864672.00
2011/11/30	6.00	6.00	5.45	5.45	23084570	265546896.00
2011/12/01	5.65	5.76	5.53	5.53	17421134	196708000.00
2011/12/02	5.49	5.50	5.20	5.21	12422589	132154144.00
2011/12/05	5.17	5.27	5.05	5.15	7413455	77243864.00
2011/12/06	5.14	5.38	5.13	5.36	9317222	98175992.00
2011/12/07	5.34	5.50	5.29	5.39	11480242	124830656.00
2011/12/08	5.34	5.43	5.19	5.35	9644374	102923856.00
2011/12/09	5.25	5.36	5.20	5.23	7012996	74141920.00
2011/12/12	5.24	5.31	5.16	5.16	4016313	42139408.00
2011/12/13	5.12	5.13	4.78	4.85	7859693	78107104.00
2011/12/14	4.82	4.93	4.76	4.79	4471082	43470480.00
