600865 百大集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.61	7.61	7.28	7.36	1093514	8309624.00
2011/10/11	7.52	7.54	7.27	7.35	1543595	11698910.00
2011/10/12	7.28	7.82	7.20	7.77	3224571	24998046.00
2011/10/13	7.76	8.01	7.73	7.92	7189574	58058328.00
2011/10/14	7.83	7.91	7.72	7.78	1877590	14972440.00
2011/10/17	7.78	7.85	7.61	7.69	2171793	17129876.00
2011/10/18	7.68	7.78	7.47	7.57	1730100	13414525.00
2011/10/19	7.62	7.70	7.52	7.55	1832892	14253729.00
2011/10/20	7.55	7.55	7.33	7.49	1619056	12310023.00
2011/10/21	7.49	7.62	7.37	7.38	954600	7320063.00
2011/10/24	7.45	7.64	7.22	7.61	1848831	14070761.00
2011/10/25	7.55	7.80	7.55	7.71	2587782	20344112.00
2011/10/26	7.73	7.83	7.64	7.71	3150931	25021796.00
2011/10/27	7.72	7.79	7.63	7.72	1984308	15657989.00
2011/10/28	7.81	7.84	7.73	7.76	3264410	25986896.00
2011/10/31	7.80	7.80	7.62	7.68	2767594	21764244.00
2011/11/01	7.63	8.04	7.60	7.94	8723403	70282920.00
2011/11/02	7.84	7.92	7.62	7.88	5512529	43895640.00
2011/11/03	7.89	7.94	7.78	7.87	7532275	60577076.00
2011/11/04	7.84	7.90	7.72	7.77	4262074	33953000.00
2011/11/07	7.72	7.95	7.62	7.92	9357086	74835760.00
2011/11/08	7.90	7.92	7.52	7.61	7199642	57012496.00
2011/11/09	7.58	7.67	7.37	7.59	4801646	37181368.00
2011/11/10	7.56	7.66	7.38	7.41	5237135	40147480.00
2011/11/11	7.39	7.53	7.34	7.40	2770476	21111520.00
2011/11/15	7.47	7.55	7.42	7.50	4124449	31655424.00
2011/11/16	7.51	7.54	7.27	7.34	3102642	23530988.00
2011/11/17	7.32	7.40	7.18	7.24	2349002	17508082.00
2011/11/18	7.24	7.28	6.95	7.09	3223814	23393520.00
2011/11/21	7.09	7.09	6.99	7.07	1543140	11127460.00
2011/11/22	7.06	7.09	6.87	7.07	2583033	18499376.00
2011/11/23	7.08	7.11	7.01	7.03	1268045	9181436.00
2011/11/24	6.97	7.02	6.85	6.88	1608386	11407913.00
2011/11/25	6.89	6.95	6.77	6.79	1557326	10969687.00
2011/11/28	6.82	6.84	6.74	6.83	1007688	7041345.00
2011/11/29	6.89	7.00	6.84	6.96	1590995	11297150.00
2011/11/30	6.96	6.98	6.58	6.58	1991369	13755258.00
2011/12/01	6.72	6.83	6.67	6.68	2521308	17481008.00
2011/12/02	6.68	6.77	6.52	6.77	1726089	11784514.00
2011/12/05	6.77	6.81	6.69	6.80	1523344	10557418.00
2011/12/06	6.77	6.90	6.70	6.85	1730050	12092609.00
2011/12/07	6.86	7.00	6.80	6.95	3478540	24602114.00
2011/12/08	6.95	7.12	6.85	6.86	3859899	27583956.00
2011/12/09	6.83	6.89	6.63	6.64	1325962	9206957.00
2011/12/12	6.62	6.66	6.52	6.59	889708	6014846.00
2011/12/13	6.53	6.57	6.27	6.39	1436900	9458797.00
2011/12/14	6.32	6.41	6.17	6.25	1223700	7898969.00
2011/12/15	6.12	6.24	5.88	5.98	2435313	15067189.00
2011/12/16	5.93	6.01	5.74	5.95	3974343	23956036.00
2011/12/19	5.88	5.88	5.58	5.77	2284396	13463111.00
2011/12/20	5.71	5.85	5.70	5.78	2005434	11986598.00
2011/12/21	5.81	5.85	5.59	5.60	1252400	7432724.00
2011/12/22	5.61	5.61	5.15	5.33	1965290	10856308.00
