600870 *ST厦华 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.25	5.30	5.10	5.24	2871052	14966675.00
2011/10/11	5.35	5.38	5.19	5.25	1771762	9364251.00
2011/10/12	5.25	5.38	5.21	5.37	1615864	8593070.00
2011/10/13	5.39	5.45	5.31	5.37	2526366	13590422.00
2011/10/14	5.37	5.37	5.27	5.31	1818993	9654292.00
2011/10/17	5.29	5.35	5.18	5.21	2523879	13239494.00
2011/10/18	5.20	5.29	5.09	5.09	1823176	9423390.00
2011/10/19	5.14	5.15	5.03	5.09	1300724	6603696.00
2011/10/20	5.13	5.28	4.98	5.27	3388631	17284668.00
2011/10/21	5.40	5.48	5.22	5.32	6495854	34778400.00
2011/10/24	5.30	5.41	5.21	5.36	2628907	13967187.00
2011/10/25	5.35	5.46	5.30	5.45	3032423	16393861.00
2011/10/26	5.48	5.58	5.40	5.49	3953186	21668600.00
2011/10/27	5.53	5.53	5.38	5.38	2969545	16137405.00
2011/10/28	5.39	5.46	5.38	5.43	2034632	11011489.00
2011/10/31	5.47	5.48	5.40	5.48	1972333	10717302.00
2011/11/01	5.48	5.51	5.40	5.48	2529562	13852052.00
2011/11/02	5.41	5.55	5.33	5.54	4249162	23059754.00
2011/11/03	5.57	5.65	5.49	5.61	4744308	26477444.00
2011/11/04	5.63	5.69	5.61	5.67	4040882	22832636.00
2011/11/07	5.77	5.95	5.69	5.95	7695831	45370984.00
2011/11/15	6.25	6.25	6.03	6.25	29341839	182603056.00
2011/11/16	6.19	6.23	5.94	5.94	15176092	92280784.00
2011/11/17	5.82	5.97	5.64	5.72	9835861	56568096.00
2011/11/18	5.64	5.74	5.51	5.72	6610506	37156892.00
2011/11/21	5.70	5.76	5.65	5.74	4043530	23080364.00
2011/11/22	5.75	5.75	5.54	5.59	3293562	18503860.00
2011/11/23	5.59	5.87	5.59	5.82	5715007	33029484.00
2011/11/24	5.75	6.02	5.73	5.90	6105969	36062920.00
2011/11/25	5.93	6.04	5.80	6.03	4716048	28011988.00
2011/11/28	6.03	6.18	5.93	6.04	5213880	31518388.00
2011/11/29	6.08	6.08	5.79	5.90	4849024	28716060.00
2011/11/30	5.94	6.20	5.82	6.12	12818917	76761984.00
2011/12/01	6.19	6.34	6.02	6.26	14191123	87954808.00
2011/12/02	6.20	6.39	6.11	6.24	12212565	76543536.00
2011/12/05	6.23	6.26	6.00	6.10	10993537	67634384.00
2011/12/07	6.07	6.07	5.80	5.80	1383100	8045793.00
2011/12/08	5.51	5.71	5.51	5.55	10600394	58731768.00
2011/12/09	5.53	5.58	5.27	5.36	4946301	26855736.00
2011/12/12	5.36	5.43	5.09	5.10	6377065	32798376.00
2011/12/13	5.09	5.09	4.85	4.85	3479450	17072388.00
2011/12/14	4.74	4.74	4.61	4.61	2970822	13709496.00
2011/12/15	4.38	4.69	4.38	4.59	5640205	25469590.00
2011/12/16	4.58	4.62	4.45	4.54	4578855	20723250.00
2011/12/19	4.54	4.55	4.31	4.38	3959598	17366716.00
2011/12/20	4.40	4.52	4.38	4.43	3751579	16620012.00
2011/12/21	4.49	4.50	4.21	4.21	3448226	14971623.00
2011/12/22	4.20	4.20	4.00	4.00	3997799	16154315.00
2011/12/23	4.04	4.06	3.84	4.04	2393740	9539947.00
2011/12/26	4.06	4.09	3.98	4.04	1696604	6840248.00
2011/12/27	4.06	4.06	3.84	3.98	5572101	21621910.00
2011/12/28	3.95	3.98	3.78	3.86	4490100	17189280.00
2011/12/29	3.85	3.90	3.81	3.89	2260149	8713089.00
2011/12/30	3.89	3.96	3.89	3.95	1622452	6366583.00
2012/01/04	3.96	4.04	3.88	3.92	1785900	7034833.00
2012/01/05	3.92	3.96	3.73	3.77	2184803	8319631.00
2012/01/06	3.80	3.84	3.58	3.81	3844807	13942370.00
2012/01/09	3.79	4.00	3.67	4.00	2944505	11402439.00
2012/01/10	4.05	4.15	3.99	4.13	4577201	18636020.00
2012/01/11	4.14	4.16	4.02	4.09	3440151	14001165.00
2012/01/12	4.09	4.10	4.02	4.08	1876263	7605574.00
2012/01/13	4.08	4.08	3.88	3.89	3112700	12200163.00
2012/01/16	3.94	3.94	3.70	3.70	2053200	7804409.00
2012/01/17	3.72	3.88	3.57	3.84	3017485	11284713.00
2012/01/18	3.81	3.85	3.73	3.81	2833495	10709306.00
2012/01/19	3.79	3.85	3.76	3.84	2329002	8832675.00
2012/01/20	3.86	3.87	3.76	3.86	2592600	9907724.00
2012/01/30	3.88	3.92	3.80	3.91	3163600	12222541.00
2012/01/31	3.94	4.05	3.86	4.04	3916498	15594346.00
2012/02/01	4.05	4.12	3.93	4.01	4183831	16880104.00
2012/02/02	4.07	4.07	3.95	4.04	3194878	12826232.00
2012/02/03	4.04	4.19	4.01	4.17	5498068	22617404.00
2012/02/06	4.16	4.28	4.15	4.25	5442161	22846508.00
2012/02/07	4.26	4.28	4.04	4.18	4983602	20539288.00
2012/02/08	4.17	4.34	4.10	4.33	5350204	22803450.00
2012/02/09	4.30	4.37	4.28	4.34	4201191	18130476.00
2012/02/10	4.34	4.36	4.26	4.34	3303091	14236552.00
2012/02/13	4.35	4.37	4.26	4.34	3693558	15993951.00
2012/02/14	4.33	4.38	4.30	4.36	4400071	19090188.00
2012/02/15	4.39	4.55	4.37	4.48	4303508	19267196.00
2012/02/16	4.50	4.51	4.34	4.36	3626300	15960091.00
2012/02/17	4.40	4.46	4.28	4.33	2018864	8756610.00
2012/02/20	4.40	4.41	4.33	4.35	2205711	9642726.00
2012/02/21	4.37	4.38	4.25	4.37	1955373	8473081.00
2012/02/22	4.39	4.48	4.35	4.47	4650298	20528888.00
2012/02/23	4.47	4.54	4.38	4.44	2735675	12159456.00
2012/02/24	4.42	4.47	4.36	4.44	4085835	17992732.00
2012/02/27	4.44	4.54	4.42	4.48	4805315	21541458.00
2012/02/28	4.47	4.47	4.35	4.40	2854860	12571993.00
2012/02/29	4.41	4.41	4.30	4.32	1922325	8359527.00
2012/03/01	4.30	4.39	4.27	4.35	2122743	9184794.00
2012/03/02	4.38	4.39	4.30	4.39	2127950	9265117.00
2012/03/05	4.39	4.61	4.35	4.61	5847123	26368436.00
2012/03/06	4.62	4.84	4.60	4.68	8058538	37895244.00
2012/03/08	4.66	4.66	4.52	4.61	3587571	16445318.00
2012/03/09	4.61	4.62	4.55	4.60	2153387	9859084.00
2012/03/12	4.56	4.60	4.51	4.55	2120650	9640626.00
2012/03/13	4.55	4.58	4.49	4.58	2292578	10408311.00
2012/03/14	4.60	4.61	4.35	4.35	3956777	17636880.00
2012/03/15	4.27	4.33	4.13	4.13	2530850	10582542.00
2012/03/16	4.21	4.21	4.08	4.20	2601521	10817001.00
2012/03/19	4.22	4.25	4.15	4.24	2498976	10481843.00
2012/03/20	4.23	4.30	4.18	4.21	3622275	15361351.00
2012/03/21	4.21	4.21	4.08	4.15	2178808	9021338.00
2012/03/22	4.16	4.16	4.05	4.13	1932797	7940807.00
2012/03/23	4.12	4.16	4.03	4.11	1808210	7413127.00
