600871 石化油服 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.63	3.68	3.63	3.67	671126	5534287.00
2011/10/11	3.75	3.76	3.63	3.67	747219	6226318.00
2011/10/12	3.61	3.85	3.61	3.85	2442452	20894948.00
2011/10/13	3.82	3.88	3.81	3.86	1290700	11212597.00
2011/10/14	3.85	3.85	3.78	3.82	820299	7063918.00
2011/10/17	3.82	3.85	3.80	3.84	757776	6552740.00
2011/10/18	3.83	3.83	3.72	3.72	1210428	10282904.00
2011/10/19	3.72	3.75	3.64	3.65	977081	8126435.00
2011/10/20	3.64	3.68	3.56	3.63	1159100	9446928.00
2011/10/21	3.63	3.64	3.56	3.62	739867	6018682.00
2011/10/24	3.62	3.66	3.53	3.64	1369047	11079668.00
2011/10/25	3.63	3.73	3.60	3.71	1181320	9794120.00
2011/10/26	3.68	3.74	3.66	3.70	1708321	14307510.00
2011/10/27	3.70	3.74	3.68	3.70	1926432	16110991.00
2011/10/28	3.72	3.76	3.70	3.76	2263353	19032736.00
2011/10/31	3.76	3.76	3.72	3.74	1336731	11280557.00
2011/11/01	3.72	3.76	3.69	3.72	1681142	14144320.00
2011/11/02	3.67	3.77	3.66	3.76	2228444	18757888.00
2011/11/03	3.77	3.84	3.76	3.77	2964306	25399632.00
2011/11/04	3.80	3.89	3.78	3.85	2803892	24283362.00
2011/11/07	3.84	3.90	3.80	3.86	2167260	18868214.00
2011/11/08	3.85	3.92	3.81	3.85	2029131	17698128.00
2011/11/09	3.85	3.89	3.78	3.84	2328208	20128658.00
2011/11/10	3.82	3.94	3.80	3.89	3795331	33331986.00
2011/11/11	4.08	4.08	3.92	4.00	5287710	47878596.00
2011/11/14	4.03	4.03	3.95	4.00	3085687	27794808.00
2011/11/15	3.99	4.04	3.97	4.02	2337358	21182788.00
2011/11/16	4.02	4.03	3.82	3.84	4130324	36234540.00
2011/11/17	3.82	4.03	3.81	4.02	11568020	104407376.00
2011/11/18	3.94	3.94	3.82	3.83	8092510	70432688.00
2011/11/21	3.81	3.92	3.72	3.86	3418218	29548052.00
2011/11/22	3.80	3.87	3.76	3.87	1909502	16455497.00
2011/11/23	3.84	3.88	3.80	3.80	1102283	9536320.00
2011/11/24	3.77	3.81	3.72	3.80	1023140	8732474.00
2011/11/25	3.79	3.85	3.75	3.78	1042315	8959783.00
2011/11/28	3.80	3.80	3.68	3.70	1684692	14172464.00
2011/11/29	3.74	3.77	3.71	3.75	949799	8031035.00
2011/11/30	3.76	3.79	3.56	3.58	2716866	22342696.00
2011/12/01	3.66	3.70	3.58	3.62	2366806	19448144.00
2011/12/02	3.62	3.64	3.57	3.63	1556022	12690049.00
2011/12/05	3.64	3.76	3.59	3.66	1968061	16390672.00
2011/12/06	3.63	3.67	3.57	3.59	896554	7315869.00
2011/12/07	3.60	3.64	3.60	3.64	683582	5592279.00
2011/12/08	3.61	3.66	3.58	3.62	884043	7234896.00
2011/12/09	3.62	3.67	3.58	3.64	868670	7151096.00
2011/12/12	3.66	3.67	3.63	3.64	668909	5508869.00
2011/12/13	3.63	3.63	3.45	3.50	1805808	14263575.00
2011/12/14	3.48	3.51	3.33	3.42	1043858	8076634.00
2011/12/15	3.35	3.39	3.26	3.31	1261181	9447224.00
2011/12/19	3.32	3.34	3.14	3.31	3740656	27045062.00
2011/12/20	3.24	3.32	3.23	3.30	1639134	12115558.00
2011/12/21	3.30	3.33	3.18	3.23	1023000	7511616.00
2011/12/22	3.16	3.26	3.07	3.23	1509980	10797341.00
2011/12/23	3.17	3.27	3.17	3.21	600671	4369190.00
2011/12/26	3.21	3.22	3.16	3.20	422950	3045646.00
2011/12/27	3.15	3.20	3.08	3.14	779559	5503257.00
2011/12/28	3.10	3.16	3.04	3.15	1549932	10858268.00
2011/12/29	3.14	3.19	3.12	3.16	558674	3990937.00
2011/12/30	3.13	3.21	3.13	3.21	505219	3640514.00
2012/01/04	3.22	3.27	3.20	3.20	959140	7007028.00
2012/01/05	3.19	3.20	3.11	3.13	925130	6605021.00
2012/01/06	3.14	3.15	3.06	3.13	693078	4853120.00
2012/01/09	3.15	3.25	3.12	3.23	732549	5309132.00
2012/01/10	3.24	3.35	3.23	3.32	1100209	8181581.00
2012/01/11	3.30	3.37	3.29	3.33	935260	7041490.00
2012/01/12	3.32	3.38	3.32	3.32	929557	7021538.00
2012/01/13	3.35	3.35	3.22	3.26	883638	6500494.00
2012/01/16	3.21	3.21	3.11	3.12	800849	5701636.00
2012/01/17	3.12	3.23	3.05	3.18	5206702	37020528.00
2012/01/18	3.17	3.22	3.09	3.10	1990350	14226675.00
2012/01/19	3.11	3.13	3.07	3.10	1234570	8639749.00
2012/01/20	3.13	3.17	3.10	3.15	1058515	7520544.00
2012/01/30	3.15	3.16	3.13	3.14	744777	5299621.00
2012/01/31	3.15	3.19	3.09	3.18	1761641	12541729.00
2012/02/01	3.17	3.25	3.16	3.18	1642039	11878605.00
2012/02/02	3.18	3.20	3.15	3.19	959653	6885780.00
2012/02/03	3.20	3.24	3.19	3.23	2036218	14830866.00
2012/02/06	3.24	3.24	3.21	3.24	1273650	9285298.00
2012/02/07	3.22	3.22	3.16	3.17	1395205	10006137.00
