600874 创业环保 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.32	5.32	5.19	5.20	1722277	9342363.00
2011/10/11	5.34	5.42	5.19	5.27	2734232	15009803.00
2011/10/12	5.25	5.44	5.20	5.42	3613428	20046384.00
2011/10/13	5.43	5.51	5.38	5.46	3203109	18070494.00
2011/10/14	5.47	5.50	5.36	5.41	2066816	11546763.00
2011/10/17	5.42	5.48	5.38	5.44	1824278	10217870.00
2011/10/18	5.44	5.44	5.23	5.24	3347300	18539660.00
2011/10/19	5.28	5.31	5.18	5.22	1773478	9598610.00
2011/10/20	5.24	5.24	5.02	5.07	3438949	18187264.00
2011/10/21	5.17	5.39	5.17	5.18	7076151	38569260.00
2011/10/24	5.14	5.25	4.98	5.25	5304939	28016766.00
2011/10/25	5.23	5.78	5.18	5.64	11461754	64916992.00
2011/10/26	5.57	5.78	5.52	5.72	14030229	82425272.00
2011/10/27	5.83	6.22	5.74	5.91	25491384	157376544.00
2011/10/28	6.00	6.44	5.87	6.36	34223413	216427968.00
2011/10/31	6.38	6.46	6.27	6.42	29680980	194545984.00
2011/11/01	6.33	6.40	6.19	6.31	17525126	113395336.00
2011/11/02	6.17	6.57	6.13	6.51	26774552	174785648.00
2011/11/03	6.47	6.47	6.25	6.27	27849554	181349936.00
2011/11/04	6.27	6.37	6.20	6.33	13784533	88915424.00
2011/11/07	6.27	6.36	6.18	6.22	11542962	74306584.00
2011/11/08	6.18	6.28	6.06	6.08	13829467	87817888.00
2011/11/09	6.08	6.22	5.94	6.21	16687964	104799216.00
2011/11/10	6.12	6.46	6.04	6.24	27835714	180877104.00
2011/11/11	6.20	6.22	6.02	6.13	12668958	79859256.00
2011/11/14	6.27	6.45	6.24	6.28	19083006	124354304.00
2011/11/15	6.29	6.42	6.20	6.37	16946552	110484832.00
2011/11/16	6.37	6.40	6.07	6.14	12604299	80853544.00
2011/11/17	6.13	6.33	6.12	6.17	13651604	87297784.00
2011/11/18	6.11	6.14	5.82	5.88	13254075	80970088.00
2011/11/21	5.89	5.91	5.73	5.86	7007801	42020172.00
2011/11/22	5.78	5.94	5.72	5.94	7559469	45493704.00
2011/11/23	5.92	5.97	5.82	5.83	5309637	32164996.00
2011/11/24	5.77	5.94	5.72	5.87	6195096	37307024.00
2011/11/25	5.83	5.92	5.82	5.87	4234349	25607838.00
2011/11/28	5.90	6.01	5.89	5.93	7497479	45941276.00
2011/11/29	5.98	6.01	5.86	5.95	5152509	31458984.00
2011/11/30	5.95	6.03	5.62	5.78	9719223	58554536.00
2011/12/01	5.94	6.09	5.90	6.07	15488991	95822672.00
2011/12/02	6.06	6.08	5.84	5.85	8249694	50772560.00
2011/12/05	5.85	5.87	5.60	5.66	6021044	35454056.00
2011/12/06	5.62	5.80	5.57	5.75	4758730	27933224.00
2011/12/07	5.67	5.77	5.62	5.70	3743135	21991876.00
2011/12/08	5.63	5.77	5.48	5.70	7052133	41205140.00
2011/12/09	5.64	5.79	5.58	5.73	4244518	25053132.00
2011/12/12	5.72	5.81	5.68	5.72	4711875	27985358.00
2011/12/13	5.68	5.70	5.47	5.60	5019374	28822092.00
2011/12/14	5.54	5.66	5.31	5.34	5634008	32010090.00
2011/12/15	5.27	5.36	5.20	5.20	4520090	24664184.00
2011/12/16	5.22	5.58	5.07	5.56	9932274	54604252.00
2011/12/19	5.47	5.74	5.37	5.72	9758142	55982124.00
2011/12/20	5.62	5.75	5.50	5.52	7392627	42771104.00
2011/12/21	5.65	5.69	5.33	5.34	7323744	41857792.00
2011/12/22	5.26	5.89	5.09	5.89	29292558	172740080.00
2011/12/23	5.86	6.29	5.74	6.06	37167250	228929152.00
2011/12/26	5.93	6.04	5.83	5.86	16550309	101101864.00
2011/12/27	5.80	6.01	5.68	5.71	14438595	86887680.00
2011/12/28	5.62	5.64	5.29	5.55	12420480	70434248.00
2011/12/29	5.49	5.68	5.43	5.61	10952442	63030012.00
2011/12/30	5.65	5.90	5.60	5.70	11368766	67305840.00
2012/01/04	5.74	5.83	5.42	5.49	11995963	70571648.00
2012/01/05	5.38	5.43	5.04	5.10	14028075	75949336.00
2012/01/06	5.06	5.25	4.98	5.22	8063014	42540496.00
2012/01/09	5.21	5.45	5.13	5.44	9735408	53570064.00
2012/01/10	5.42	5.69	5.34	5.58	13342532	76421552.00
2012/01/11	5.57	5.74	5.48	5.56	12267669	71153016.00
2012/01/12	5.52	5.68	5.47	5.59	9812347	56411068.00
2012/01/13	5.57	5.59	5.29	5.30	9527995	53194832.00
2012/01/16	5.22	5.28	5.12	5.12	4817588	25882808.00
2012/01/17	5.12	5.42	5.12	5.41	6875468	37675280.00
2012/01/18	5.41	5.47	5.24	5.27	6939055	38423136.00
2012/01/19	5.28	5.38	5.24	5.28	5644140	30928710.00
2012/01/20	5.32	5.41	5.30	5.35	5271474	29207020.00
2012/01/30	5.38	5.38	5.29	5.31	3702179	20413748.00
2012/01/31	5.26	5.37	5.25	5.36	3309344	18150346.00
2012/02/01	5.35	5.45	5.31	5.36	6612895	36806316.00
2012/02/02	5.36	5.43	5.30	5.42	6513398	36189616.00
2012/02/03	5.39	5.48	5.39	5.47	7666722	43136800.00
2012/02/06	5.49	5.50	5.41	5.47	6884902	38780392.00
2012/02/07	5.46	5.52	5.39	5.50	9669247	54560948.00
2012/02/08	5.47	5.65	5.43	5.62	10612842	60847296.00
2012/02/09	5.59	5.67	5.55	5.60	15486111	89861656.00
2012/02/10	5.57	5.64	5.50	5.57	9929185	57016120.00
2012/02/13	5.52	5.62	5.48	5.57	7061361	40471968.00
2012/02/14	5.56	5.58	5.47	5.53	6465162	36871592.00
2012/02/15	5.50	5.75	5.50	5.66	13818687	80357080.00
2012/02/16	5.64	5.70	5.60	5.67	10382133	60563680.00
2012/02/17	5.70	5.71	5.56	5.59	6999949	40693060.00
2012/02/20	5.68	5.69	5.59	5.59	5684006	33079482.00
2012/02/21	5.59	5.67	5.51	5.65	5585274	32279678.00
2012/02/22	5.66	5.75	5.62	5.74	11392680	66966480.00
2012/02/23	5.75	5.75	5.65	5.71	6885254	40462640.00
2012/02/24	5.72	5.86	5.68	5.77	12424809	73999104.00
2012/02/27	5.76	5.94	5.74	5.89	18021136	108306712.00
2012/02/28	5.91	5.97	5.74	5.89	19049404	115264488.00
2012/02/29	5.86	5.87	5.72	5.77	9450536	56384632.00
2012/03/01	5.75	5.86	5.75	5.83	8529106	51111464.00
2012/03/02	5.86	5.94	5.82	5.93	12129852	73506952.00
2012/03/05	5.94	5.98	5.85	5.87	9221500	56129380.00
2012/03/06	5.82	5.84	5.71	5.73	7532692	44657096.00
2012/03/07	5.68	5.75	5.66	5.67	5718430	33573600.00
2012/03/08	5.68	5.78	5.68	5.76	4955374	29310182.00
2012/03/09	5.78	5.79	5.70	5.79	6509627	38641044.00
2012/03/12	5.79	5.81	5.73	5.80	5150604	30659416.00
2012/03/13	5.80	5.84	5.77	5.83	6634255	39737364.00
2012/03/14	5.85	5.88	5.48	5.52	11588740	68196048.00
2012/03/15	5.51	5.57	5.33	5.39	7164139	40153952.00
2012/03/16	5.51	5.66	5.44	5.59	8088071	46525496.00
2012/03/19	5.45	5.61	5.45	5.59	4653446	26637006.00
2012/03/20	5.57	5.63	5.45	5.48	4457420	25439394.00
2012/03/21	5.52	5.57	5.42	5.54	4663730	26465082.00
2012/03/22	5.53	5.54	5.46	5.50	2263107	12848319.00
2012/03/23	5.49	5.49	5.34	5.35	4318355	24022704.00
2012/03/26	5.33	5.39	5.30	5.35	2600497	14368685.00
2012/03/27	5.39	5.40	5.31	5.33	2311102	12802297.00
2012/03/28	5.32	5.32	5.12	5.13	4869698	26117700.00
2012/03/29	5.12	5.15	5.05	5.14	3990638	21076920.00
2012/03/30	5.14	5.18	5.08	5.13	2306644	12229176.00
2012/04/05	5.15	5.26	5.10	5.25	3193758	17189280.00
2012/04/06	5.28	5.31	5.22	5.27	3631009	19796628.00
2012/04/09	5.22	5.26	5.18	5.21	2608172	14074653.00
2012/04/10	5.15	5.28	5.14	5.26	2631827	14210761.00
2012/04/11	5.22	5.38	5.19	5.36	5120310	27989624.00
2012/04/12	5.32	5.43	5.30	5.40	5496052	30584680.00
2012/04/13	5.42	5.51	5.36	5.40	7492597	42125148.00
2012/04/16	5.37	5.44	5.34	5.41	6519102	36348356.00
2012/04/17	5.43	5.48	5.34	5.36	5541750	30903420.00
2012/04/18	5.36	5.50	5.34	5.45	7038648	39470120.00
2012/04/19	5.42	5.57	5.41	5.56	11998703	68347664.00
2012/04/20	5.55	5.58	5.47	5.56	8481289	48474064.00
2012/04/23	5.54	5.59	5.48	5.53	7994655	45548952.00
2012/04/24	5.50	5.53	5.21	5.41	7864823	43441964.00
2012/04/25	5.41	5.51	5.38	5.45	4960647	27862106.00
2012/04/26	5.45	5.55	5.41	5.51	9129153	51869208.00
2012/04/27	5.48	5.56	5.41	5.45	5083375	28761984.00
2012/05/02	5.52	5.55	5.45	5.51	5261338	29924832.00
2012/05/03	5.49	5.58	5.48	5.57	7452716	42622548.00
2012/05/04	5.65	5.86	5.65	5.71	24658838	146781936.00
2012/05/07	5.61	5.84	5.59	5.84	17807408	105461288.00
2012/05/08	5.83	5.84	5.68	5.68	11700099	69368512.00
2012/05/09	5.65	5.77	5.57	5.62	8538385	49843388.00
2012/05/10	5.60	5.67	5.58	5.61	4680128	27139954.00
2012/05/14	5.66	5.67	5.51	5.53	5246024	30204698.00
2012/05/15	5.47	5.47	5.36	5.43	4992492	27898058.00
2012/05/16	5.40	5.44	5.34	5.40	3561782	19879300.00
2012/05/17	5.39	5.54	5.35	5.52	7392142	41599852.00
2012/05/18	5.52	5.54	5.36	5.40	7664912	43295860.00
2012/05/21	5.37	5.42	5.27	5.34	3910199	21619388.00
2012/05/22	5.37	5.40	5.35	5.39	3426227	19037584.00
2012/05/23	5.37	5.39	5.27	5.30	3539325	19481308.00
2012/05/24	5.32	5.35	5.25	5.26	3457998	18957736.00
2012/05/25	5.34	5.74	5.34	5.47	16032053	91578712.00
2012/05/28	5.42	5.66	5.40	5.63	14119581	81365936.00
2012/05/29	5.61	5.64	5.52	5.60	10754358	61966536.00
2012/05/30	5.61	5.77	5.59	5.67	14252197	83652096.00
2012/05/31	5.67	5.76	5.61	5.65	12254991	71999760.00
2012/06/01	5.70	5.70	5.53	5.54	7851502	45309076.00
2012/06/04	5.45	5.52	5.36	5.38	6006806	33617984.00
2012/06/05	5.40	5.42	5.34	5.39	3926702	21862740.00
2012/06/06	5.42	5.42	5.31	5.35	3946989	21855506.00
2012/06/07	5.39	5.48	5.34	5.36	4938993	27650688.00
2012/06/08	5.41	5.43	5.34	5.37	3000912	16693408.00
2012/06/11	5.38	5.66	5.37	5.62	11323726	64853432.00
2012/06/12	5.55	5.60	5.48	5.50	6448195	36744808.00
2012/06/13	5.50	5.63	5.49	5.59	7243028	41730212.00
2012/06/14	5.65	5.67	5.51	5.53	7619951	44115056.00
2012/06/15	5.52	5.72	5.45	5.71	13595864	78669336.00
2012/06/18	5.71	5.74	5.62	5.68	12110492	70946616.00
2012/06/19	5.65	5.66	5.52	5.54	6999701	40317380.00
2012/06/20	5.54	5.60	5.50	5.58	5305530	30467762.00
2012/06/21	5.56	5.56	5.42	5.42	5017423	28280140.00
2012/06/25	5.40	5.44	5.33	5.34	3605180	20056532.00
2012/06/26	5.33	5.39	5.30	5.39	3410751	18859300.00
2012/06/27	5.39	5.41	5.30	5.32	3304418	18320144.00
2012/06/28	5.32	5.35	5.23	5.24	3446827	18898120.00
2012/06/29	5.22	5.29	5.11	5.28	4386899	23593160.00
2012/07/02	5.30	5.37	5.25	5.33	4568681	25106636.00
2012/07/03	5.32	5.36	5.26	5.29	3501444	19208200.00
2012/07/04	5.29	5.32	5.22	5.24	2350710	12683412.00
2012/07/05	5.27	5.36	5.25	5.29	5238336	28561350.00
2012/07/06	5.32	5.34	5.15	5.32	4251680	22926724.00
2012/07/09	5.27	5.30	5.18	5.19	2989376	16056514.00
2012/07/10	5.16	5.22	5.15	5.18	1926854	10248728.00
2012/07/11	5.16	5.22	5.16	5.22	1849181	9862802.00
2012/07/12	5.24	5.30	5.21	5.28	4381638	23693514.00
2012/07/13	5.26	5.28	5.21	5.23	2169762	11662165.00
2012/07/16	5.21	5.23	4.92	4.96	4755827	24640844.00
2012/07/17	4.94	5.00	4.90	4.99	1670725	8523953.00
2012/07/18	4.99	5.02	4.91	5.02	2129636	10858105.00
2012/07/19	5.00	5.09	4.97	5.05	2914279	15136504.00
2012/07/20	5.06	5.06	5.00	5.02	1721400	8898306.00
2012/07/23	5.01	5.05	5.00	5.02	1946982	10060005.00
