600876 洛阳玻璃 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.00	8.05	7.80	7.83	1140831	9027308.00
2011/10/11	8.05	8.05	7.70	7.80	1123972	8851005.00
2011/10/12	7.68	8.15	7.60	8.09	2552563	20323616.00
2011/10/13	8.09	8.30	8.01	8.26	3217064	26320690.00
2011/10/14	8.17	8.30	8.06	8.16	1915345	15601596.00
2011/10/17	8.22	8.22	7.90	8.03	2078124	16763203.00
2011/10/18	7.96	7.98	7.72	7.76	1945941	15215211.00
2011/10/19	7.78	8.05	7.70	7.83	2296075	18108260.00
2011/10/20	7.78	8.09	7.58	8.01	4745180	37372992.00
2011/10/21	7.93	8.01	7.21	7.24	3412193	26056840.00
2011/10/24	7.12	7.33	6.90	7.24	2518373	17934856.00
2011/10/25	7.19	7.45	7.16	7.42	1961517	14416116.00
2011/10/26	7.32	7.61	7.32	7.45	2130393	15951855.00
2011/10/27	7.65	8.06	7.52	7.57	3813886	29581620.00
2011/10/28	7.65	8.01	7.57	8.00	4889708	38209160.00
2011/10/31	8.00	8.05	7.69	7.84	5475092	42741508.00
2011/11/01	7.74	7.79	7.64	7.75	4467861	34393844.00
2011/11/02	7.60	7.73	7.51	7.73	3129397	23799656.00
2011/11/03	7.81	8.13	7.74	7.89	5789837	45846524.00
2011/11/04	7.89	7.97	7.81	7.88	3623676	28533344.00
2011/11/07	7.88	8.05	7.85	8.05	3608057	28762772.00
2011/11/08	8.10	8.15	7.87	7.89	2783201	22197852.00
2011/11/09	7.84	8.03	7.83	7.99	2554276	20262568.00
2011/11/10	7.86	7.94	7.70	7.70	2572115	20075740.00
2011/11/11	7.67	7.86	7.66	7.79	1820829	14150066.00
2011/11/14	7.82	7.99	7.82	7.99	3040620	24126768.00
2011/11/15	7.93	8.40	7.93	8.39	9413208	77891336.00
2011/11/16	8.38	8.38	8.04	8.05	4822934	39444744.00
2011/11/17	8.05	8.19	8.02	8.12	2526887	20505676.00
2011/11/18	8.10	8.10	7.78	7.93	2904617	23097612.00
2011/11/21	7.94	8.25	7.78	8.19	2910407	23307658.00
2011/11/22	8.10	8.47	8.03	8.32	6511642	54093708.00
2011/11/23	8.30	8.40	8.15	8.33	3745643	31054384.00
2011/11/24	8.26	8.40	8.16	8.36	4005888	33318552.00
2011/11/25	8.28	8.38	8.10	8.35	4932224	40777512.00
2011/11/28	8.34	8.67	8.28	8.57	8090676	69037408.00
2011/11/29	8.65	8.66	8.43	8.55	5783660	49445976.00
2011/11/30	8.55	8.55	7.81	8.02	4768547	39064844.00
2011/12/01	8.15	8.32	8.02	8.03	3332998	27250004.00
2011/12/02	7.95	7.96	7.28	7.52	4389252	33034112.00
2011/12/05	7.50	7.52	7.11	7.18	1973661	14347487.00
2011/12/06	7.21	7.27	7.06	7.17	888657	6345680.00
2011/12/07	7.20	7.24	7.11	7.16	739553	5307124.00
2011/12/08	7.16	7.33	6.96	7.30	1970622	14065749.00
2011/12/09	7.26	7.37	7.08	7.22	1335601	9606085.00
2011/12/12	7.20	7.25	7.04	7.19	630272	4491201.00
2011/12/13	7.18	7.18	6.61	6.76	1408008	9588071.00
2011/12/14	6.68	7.08	6.45	6.57	1998982	13272598.00
2011/12/15	6.48	6.48	5.98	6.15	2670149	16364894.00
2011/12/16	6.04	6.50	6.04	6.42	1924009	11926130.00
2011/12/19	6.38	6.40	6.08	6.33	1359763	8519023.00
2011/12/20	6.30	6.70	6.21	6.50	2762747	17931386.00
2011/12/21	6.54	6.64	6.26	6.38	1581854	10214587.00
2011/12/22	6.27	6.36	6.05	6.29	1148239	7116348.00
2011/12/23	6.29	6.50	6.19	6.24	2136958	13449966.00
2011/12/26	6.20	6.27	6.06	6.09	949300	5848912.00
2011/12/27	6.11	6.11	5.86	6.01	1339521	8013347.00
2011/12/29	6.01	6.01	5.87	5.88	1395356	8270592.00
2011/12/30	5.93	5.99	5.90	5.98	1222261	7273745.00
2012/01/04	6.03	6.06	5.85	5.92	1173812	6973561.00
2012/01/05	5.85	5.87	5.55	5.57	1210375	6885963.00
2012/01/06	5.57	5.57	5.25	5.47	892315	4816657.00
2012/01/09	5.47	6.02	5.36	5.97	2554677	14524878.00
2012/01/10	5.82	6.27	5.79	6.15	4098022	24912304.00
2012/01/11	6.20	6.20	6.02	6.07	2123027	12892912.00
2012/01/12	6.06	6.18	6.03	6.14	1977883	12055367.00
2012/01/13	6.14	6.14	5.80	5.83	1729107	10192908.00
2012/01/16	5.79	5.79	5.36	5.48	839850	4749341.00
2012/01/17	5.44	5.93	5.44	5.85	2586815	14852139.00
2012/01/18	5.91	5.95	5.70	5.76	1854527	10815274.00
2012/01/19	5.80	5.85	5.70	5.78	1120943	6471255.00
2012/01/20	5.75	5.85	5.70	5.82	761106	4407225.00
2012/01/30	5.92	5.92	5.70	5.76	608540	3517913.00
2012/01/31	5.76	5.79	5.55	5.66	1150177	6490980.00
2012/02/01	5.55	5.70	5.55	5.57	645009	3629081.00
2012/02/02	5.55	5.72	5.55	5.70	860840	4863367.00
2012/02/03	5.72	5.87	5.66	5.81	1513851	8799807.00
2012/02/06	5.81	6.39	5.81	6.39	4870908	31003256.00
2012/02/07	6.50	6.53	6.21	6.23	7901772	50355696.00
2012/02/08	6.20	6.34	6.10	6.32	5120566	31956768.00
2012/02/09	6.26	6.53	6.20	6.40	5484377	35181556.00
2012/02/10	6.34	6.43	6.27	6.34	3166609	20060652.00
2012/02/13	6.28	6.48	6.16	6.47	3514764	22394162.00
2012/02/14	6.43	6.65	6.35	6.46	2952342	19164320.00
2012/02/15	6.46	6.55	6.35	6.53	3546939	23015048.00
2012/02/16	6.56	6.98	6.48	6.85	7536712	50919720.00
2012/02/17	6.79	7.34	6.75	7.24	8778114	61732212.00
2012/02/20	7.26	7.36	7.02	7.08	6632115	47351276.00
2012/02/21	7.05	7.07	6.76	7.02	4095038	28467140.00
2012/02/22	7.08	7.20	7.03	7.14	3932985	28002858.00
2012/02/23	7.15	7.17	6.94	7.04	3367449	23704896.00
2012/02/24	7.04	7.21	6.93	7.09	3904057	27633272.00
2012/02/27	7.11	7.24	7.05	7.09	4663049	33468006.00
2012/02/28	7.09	7.09	6.85	6.93	2948248	20464786.00
2012/02/29	6.79	6.99	6.79	6.83	1634264	11277355.00
2012/03/01	6.86	6.95	6.79	6.86	1456107	10033845.00
2012/03/02	6.86	7.04	6.86	7.03	1882754	13093175.00
2012/03/05	7.10	7.20	7.04	7.06	2335328	16592112.00
2012/03/06	7.01	7.04	6.80	6.93	2030443	14012535.00
2012/03/07	6.81	6.95	6.70	6.75	2142135	14628314.00
2012/03/08	6.72	6.97	6.72	6.95	2245585	15477516.00
2012/03/09	6.99	7.02	6.88	6.98	2020059	14066996.00
2012/03/12	6.94	7.08	6.94	7.02	1657017	11634219.00
2012/03/13	7.03	7.72	7.00	7.72	7094629	53140588.00
2012/03/14	7.90	7.90	7.23	7.44	11136832	85611848.00
2012/03/15	7.28	7.46	7.09	7.38	4629652	33823356.00
2012/03/16	7.30	7.72	7.29	7.66	5904137	44385956.00
2012/03/19	7.60	7.62	7.37	7.54	3718276	27836232.00
2012/03/20	7.49	7.49	7.20	7.25	2293818	16799850.00
2012/03/21	7.22	7.38	7.15	7.28	1806103	13128647.00
2012/03/22	7.25	7.68	7.20	7.49	3765596	28227624.00
2012/03/23	7.40	7.45	7.15	7.17	1885649	13700521.00
2012/03/26	7.11	7.20	6.99	7.06	1282703	9045631.00
2012/03/27	7.12	7.12	6.84	6.90	1216266	8493303.00
2012/03/28	6.90	6.90	6.21	6.21	3897868	24993912.00
2012/03/29	6.26	6.26	5.90	6.04	2325447	14107246.00
2012/03/30	6.02	6.07	5.92	5.97	1560047	9381418.00
2012/04/05	6.05	6.18	5.99	6.15	2896949	17621260.00
2012/04/06	6.14	6.35	6.12	6.27	2386522	14921722.00
2012/04/09	6.24	6.30	6.10	6.22	1743818	10836602.00
2012/04/10	6.12	6.31	6.12	6.31	1719410	10722591.00
2012/04/11	6.28	6.42	6.15	6.35	1944675	12278643.00
2012/04/12	6.30	6.52	6.30	6.48	2507729	16143662.00
2012/04/13	6.44	6.55	6.42	6.51	2658051	17287344.00
2012/04/16	6.45	6.64	6.38	6.60	2378972	15597261.00
2012/04/17	6.59	7.08	6.47	6.80	5792424	39396944.00
2012/04/18	6.80	6.95	6.50	6.82	5122811	34510608.00
2012/04/19	6.78	6.86	6.70	6.76	2429722	16434624.00
2012/04/20	6.74	6.82	6.66	6.72	2456497	16538449.00
2012/04/23	6.72	6.84	6.48	6.51	2483129	16592198.00
2012/04/24	6.42	6.48	6.02	6.26	2795709	17474304.00
2012/04/25	6.16	6.78	6.16	6.46	2891991	18581004.00
2012/04/26	6.43	6.59	6.38	6.49	1724538	11189184.00
2012/04/27	6.46	6.48	6.25	6.30	1556662	9832842.00
2012/05/02	6.22	6.53	6.22	6.35	1713555	10911237.00
2012/05/03	6.36	6.37	6.18	6.23	1691856	10586259.00
2012/05/04	6.15	6.65	6.15	6.54	3880014	24980462.00
2012/05/07	6.45	6.64	6.44	6.59	3586283	23535068.00
2012/05/08	6.60	6.63	6.47	6.52	2095409	13710779.00
2012/05/09	6.51	6.51	6.26	6.30	1629914	10345213.00
2012/05/10	6.27	6.39	6.27	6.32	886491	5613972.00
2012/05/11	6.30	6.43	6.28	6.36	1132548	7202108.00
2012/05/14	6.45	6.45	6.29	6.29	931207	5915994.00
2012/05/15	6.20	6.25	6.12	6.21	1083967	6688832.00
2012/05/16	6.20	6.25	6.10	6.11	844121	5192143.00
2012/05/17	6.12	6.24	6.12	6.19	1012192	6262257.00
2012/05/18	6.18	6.18	5.95	6.04	1479828	8959391.00
2012/05/21	6.10	6.10	5.91	6.05	930966	5605356.00
2012/05/22	6.14	6.18	6.06	6.15	951016	5820153.00
2012/05/23	6.15	6.18	6.02	6.07	756550	4609690.00
2012/05/24	6.02	6.35	6.02	6.14	1618042	10048102.00
2012/05/25	6.14	6.16	6.03	6.05	1058618	6448581.00
2012/05/28	6.05	6.28	6.04	6.26	2441989	15185371.00
2012/05/29	6.30	6.89	6.30	6.89	4110265	27941886.00
2012/05/30	7.18	7.32	6.98	7.09	12994986	92297992.00
2012/05/31	7.03	7.05	6.77	6.82	6879028	47204596.00
2012/06/01	6.80	6.92	6.56	6.63	4215480	28353644.00
2012/06/04	6.46	6.86	6.42	6.60	3981232	26528840.00
2012/06/05	6.50	6.69	6.50	6.54	2517559	16561687.00
2012/06/06	6.52	6.58	6.31	6.39	2294410	14733262.00
2012/06/07	6.45	6.48	6.30	6.40	1848270	11801425.00
2012/06/08	6.45	6.47	6.35	6.38	1720663	11011440.00
2012/06/12	6.40	6.80	6.40	6.64	5066077	33695352.00
2012/06/13	6.55	6.79	6.53	6.66	2917324	19296656.00
2012/06/14	6.72	7.12	6.71	6.75	4904339	33657328.00
2012/06/15	6.66	7.00	6.53	6.97	7030227	48180428.00
2012/06/18	6.92	7.07	6.86	6.91	5115595	35603132.00
2012/06/19	6.78	6.88	6.65	6.73	3058193	20537284.00
2012/06/20	6.70	6.75	6.54	6.60	2004790	13290067.00
2012/06/21	6.57	6.58	6.36	6.46	2023033	13025439.00
2012/06/25	6.46	6.46	6.28	6.30	1190874	7527892.00
2012/06/26	6.26	6.43	6.12	6.34	928962	5820451.00
2012/06/27	6.29	6.40	6.16	6.23	885265	5575770.00
2012/06/28	6.23	6.30	6.07	6.07	1086650	6713327.00
2012/06/29	6.00	6.19	5.93	6.17	856891	5218891.00
2012/07/02	6.16	6.21	6.02	6.16	869915	5348652.00
2012/07/03	6.16	6.30	6.08	6.21	1150176	7150379.00
2012/07/04	6.15	6.23	6.11	6.18	640758	3945609.00
2012/07/05	6.15	6.16	6.00	6.04	904045	5467580.00
2012/07/06	6.15	6.19	6.01	6.18	835652	5094480.00
2012/07/09	6.17	6.26	6.00	6.06	1299846	7993464.00
2012/07/10	6.10	6.11	5.66	5.73	1611443	9346543.00
2012/07/11	5.68	5.78	5.62	5.77	803864	4594437.00
2012/07/12	5.75	5.86	5.62	5.82	1060491	6075112.00
2012/07/13	5.82	5.82	5.70	5.73	733035	4210969.00
2012/07/16	5.70	5.70	5.16	5.24	1814950	9725992.00
2012/07/17	5.23	5.32	5.15	5.30	704117	3708162.00
2012/07/18	5.29	5.30	5.20	5.28	727949	3816873.00
2012/07/19	5.28	5.48	5.21	5.40	1365022	7363936.00
2012/07/20	5.40	5.44	5.30	5.31	933257	4994962.00
2012/07/23	5.31	5.31	5.18	5.25	642580	3351728.00
2012/07/24	5.25	5.78	5.25	5.53	2861539	15845547.00
2012/07/25	5.42	5.55	5.40	5.44	1140866	6241658.00
2012/07/26	5.45	5.58	5.38	5.40	964300	5270177.00
2012/07/27	5.40	5.42	5.28	5.33	1040131	5559124.00
2012/07/30	5.34	5.38	5.10	5.12	860400	4489945.00
2012/07/31	5.05	5.28	4.81	5.05	1149396	5776658.00
2012/08/01	4.98	5.26	4.88	5.19	1149606	5874654.00
2012/08/02	5.11	5.28	5.06	5.10	904576	4658859.00
2012/08/03	5.03	5.16	5.00	5.15	841049	4297006.00
2012/08/06	5.09	5.27	5.09	5.24	1150873	5998143.00
2012/08/07	5.24	5.39	5.22	5.34	1563278	8281547.00
2012/08/08	5.34	5.34	5.24	5.29	1248069	6579731.00
2012/08/09	5.30	5.50	5.23	5.42	1865802	10005267.00
2012/08/10	5.44	5.47	5.28	5.33	1300827	6950027.00
2012/08/13	5.35	5.35	5.10	5.11	975910	5102622.00
2012/08/14	5.10	5.18	5.03	5.15	831901	4245840.00
2012/08/15	5.10	5.29	5.05	5.20	828291	4291944.00
2012/08/16	5.15	5.32	5.15	5.27	1191542	6242029.00
2012/08/17	5.21	5.28	5.12	5.25	754565	3930738.00
2012/08/20	5.25	5.25	5.08	5.17	786600	4037305.00
2012/08/21	5.17	5.29	5.17	5.23	1034333	5414728.00
2012/08/22	5.21	5.50	5.18	5.30	2102708	11235263.00
2012/08/23	5.32	5.33	5.19	5.28	1384310	7294027.00
2012/08/24	5.20	5.29	5.14	5.16	871251	4549508.00
2012/08/27	5.16	5.16	4.97	4.97	945400	4753693.00
2012/08/28	4.96	5.05	4.92	4.98	941301	4689639.00
2012/08/29	4.93	5.01	4.92	4.93	697028	3453780.00
2012/08/30	4.90	4.95	4.70	4.79	1098410	5331533.00
2012/08/31	4.79	4.85	4.75	4.81	449719	2165293.00
2012/09/03	4.86	4.98	4.80	4.91	662010	3246951.00
2012/09/04	4.94	4.95	4.76	4.85	808878	3902783.00
2012/09/05	4.80	4.86	4.69	4.85	1036572	4953878.00
2012/09/06	4.84	4.92	4.80	4.89	861901	4187442.00
2012/09/07	4.87	5.16	4.87	5.09	2563046	13000156.00
2012/09/10	5.27	5.32	5.02	5.23	2728797	14119209.00
2012/09/11	5.15	5.23	5.10	5.23	2037475	10547551.00
2012/09/12	5.24	5.75	5.20	5.75	9546658	53178916.00
2012/09/13	5.36	5.75	5.36	5.58	7211533	40451148.00
2012/09/14	5.56	5.80	5.39	5.71	5934837	33126472.00
2012/09/17	5.61	5.92	5.44	5.64	6591741	37459040.00
2012/09/18	5.50	6.20	5.48	5.91	9303559	54998948.00
2012/09/19	5.80	6.30	5.66	6.04	9062774	54318016.00
2012/09/20	5.91	5.93	5.69	5.78	5362997	31040572.00
2012/09/21	5.62	5.72	5.40	5.51	3767185	20791096.00
2012/09/24	5.45	5.60	5.32	5.57	2986246	16352848.00
2012/09/25	5.54	5.55	5.32	5.40	2288002	12377359.00
2012/09/26	5.38	5.47	5.12	5.23	2369117	12561765.00
2012/09/27	5.25	5.42	5.10	5.30	1907499	10075725.00
2012/09/28	5.30	5.58	5.19	5.45	3320276	17886156.00
2012/10/08	5.44	5.49	5.30	5.38	1766482	9523463.00
2012/10/09	5.42	5.62	5.36	5.59	3424939	18920928.00
2012/10/10	5.59	5.88	5.48	5.77	4532258	25735716.00
2012/10/11	5.64	5.70	5.46	5.49	2720455	15162513.00
2012/10/12	5.47	5.57	5.37	5.40	1493980	8140984.00
2012/10/15	5.40	5.42	5.31	5.34	918848	4922876.00
2012/10/16	5.35	5.66	5.34	5.50	2655172	14751190.00
2012/10/17	5.42	5.60	5.38	5.44	1056804	5736720.00
2012/10/18	5.41	5.56	5.38	5.52	1466222	8086334.00
2012/10/19	5.50	5.76	5.48	5.66	3278948	18511322.00
2012/10/22	5.58	5.75	5.55	5.67	1973856	11197982.00
2012/10/23	5.67	5.70	5.55	5.68	1842128	10356315.00
2012/10/24	5.76	6.25	5.76	5.90	7462448	44948312.00
2012/10/25	5.73	6.32	5.65	6.14	8875141	53864560.00
2012/10/26	6.00	6.08	5.75	5.85	4940988	29057234.00
2012/10/29	5.80	5.80	5.58	5.71	2895319	16357647.00
2012/10/30	5.69	5.69	5.47	5.60	2608213	14510021.00
2012/10/31	5.58	5.63	5.38	5.57	2239107	12291234.00
2012/11/01	5.48	5.73	5.48	5.69	2354685	13318303.00
2012/11/02	5.70	5.75	5.61	5.72	1967117	11161376.00
2012/11/05	5.70	6.04	5.70	5.97	4925532	29116270.00
2012/11/06	5.87	5.97	5.52	5.78	3220158	18540100.00
2012/11/07	5.70	6.28	5.70	6.17	8499271	51869188.00
2012/11/08	6.00	6.42	5.90	5.92	8933211	55098124.00
2012/11/09	5.82	5.91	5.64	5.78	4321262	24797630.00
2012/11/12	5.70	5.81	5.60	5.79	2647709	15126951.00
2012/11/13	5.80	5.80	5.51	5.51	2837233	15911152.00
2012/11/14	5.51	5.51	5.27	5.44	2267389	12213678.00
2012/11/15	5.41	5.45	5.30	5.31	986044	5291936.00
2012/11/16	5.30	5.30	5.20	5.24	946885	4958497.00
2012/11/19	5.25	5.36	5.24	5.35	887999	4713887.00
2012/11/20	5.36	5.40	5.26	5.27	648240	3455688.00
2012/11/21	5.28	5.36	5.09	5.33	1432695	7477262.00
2012/11/22	5.30	5.30	5.10	5.15	1019358	5309979.00
2012/11/23	5.19	5.25	5.12	5.20	704216	3655975.00
2012/11/26	5.22	5.30	5.18	5.21	866699	4541608.00
2012/11/27	5.20	5.23	4.96	4.97	1327001	6697861.00
2012/11/28	4.97	5.10	4.85	5.07	1385758	6947954.00
2012/11/29	5.01	5.14	4.92	4.96	998748	5044986.00
2012/11/30	4.98	5.14	4.90	5.13	1378062	6960265.00
2012/12/03	5.11	5.14	4.84	4.85	1252843	6289836.00
2012/12/04	4.80	4.80	4.42	4.72	2010828	9293347.00
2012/12/05	4.65	5.06	4.65	4.90	1847398	9021739.00
2012/12/06	4.90	5.09	4.82	4.96	1834146	9153422.00
2012/12/07	4.95	5.10	4.83	5.10	2669945	13446897.00
2012/12/10	5.08	5.17	5.02	5.17	2444980	12519261.00
2012/12/11	5.14	5.33	5.03	5.08	2697184	13901143.00
2012/12/12	5.06	5.21	5.01	5.10	1803340	9197830.00
2012/12/13	5.07	5.10	4.98	4.98	1370899	6881378.00
2012/12/14	4.98	5.25	4.98	5.16	2406462	12365686.00
2012/12/17	5.15	5.24	5.15	5.17	2103375	10929807.00
2012/12/18	5.20	5.34	5.13	5.19	2879836	15135107.00
2012/12/19	5.16	5.23	5.12	5.19	1591934	8228422.00
2012/12/20	5.19	5.34	5.16	5.24	2266740	11914212.00
2012/12/21	5.21	5.65	5.20	5.39	5432514	29659380.00
2012/12/24	5.31	5.39	5.23	5.28	2679860	14144351.00
2012/12/25	5.28	5.37	5.18	5.35	3139736	16671722.00
2012/12/26	5.32	5.40	5.29	5.39	2743029	14698969.00
2012/12/27	5.39	5.43	5.28	5.28	1973130	10552333.00
2012/12/28	5.23	5.30	5.21	5.27	1839536	9670996.00
2012/12/31	5.28	5.34	5.25	5.30	1532512	8104728.00
2013/01/04	5.37	5.59	5.25	5.58	6226287	34109952.00
2013/01/07	5.56	5.58	5.42	5.52	4017467	22062768.00
2013/01/08	5.50	5.52	5.35	5.49	2550389	13921767.00
2013/01/09	5.46	5.54	5.43	5.51	2342833	12841060.00
2013/01/10	5.46	5.57	5.46	5.53	2499930	13795281.00
2013/01/11	5.56	5.60	5.31	5.32	2501160	13571147.00
2013/01/14	5.34	5.54	5.26	5.53	3083658	16744125.00
2013/01/15	5.55	6.03	5.44	5.85	8381694	48235796.00
2013/01/16	5.70	5.77	5.58	5.66	4637795	26264136.00
2013/01/17	5.63	5.66	5.50	5.53	2250772	12505816.00
2013/01/18	5.58	5.62	5.51	5.61	1924045	10732842.00
2013/01/21	5.61	5.66	5.57	5.62	1679775	9409721.00
2013/01/22	5.62	5.62	5.42	5.46	1991075	10971916.00
2013/01/23	5.45	5.49	5.37	5.48	1281934	6962248.00
2013/01/24	5.47	5.54	5.10	5.22	2422903	13001463.00
2013/01/25	5.16	5.27	5.15	5.19	1107844	5763693.00
2013/01/28	5.18	5.40	5.18	5.36	1181520	6260405.00
2013/01/29	5.39	5.45	5.34	5.37	1603016	8624590.00
2013/01/30	5.36	5.40	5.28	5.33	1689959	9006065.00
2013/01/31	5.33	5.33	5.25	5.30	1424828	7536306.00
2013/02/01	5.28	5.38	5.25	5.36	1502834	7990610.00
2013/02/04	5.36	5.48	5.27	5.40	1950719	10467393.00
2013/02/05	5.34	5.48	5.27	5.47	1863535	10057867.00
2013/02/06	5.46	5.51	5.40	5.44	1339007	7311950.00
2013/02/07	5.43	5.46	5.34	5.41	1262470	6828155.00
2013/02/08	5.43	5.46	5.37	5.44	1029874	5591981.00
2013/02/18	5.48	5.56	5.43	5.53	1996871	10992882.00
2013/02/19	5.53	5.75	5.45	5.57	4796568	26836008.00
2013/02/20	5.55	5.59	5.42	5.58	2355787	12992946.00
2013/02/21	5.52	5.58	5.38	5.39	2130424	11641059.00
2013/02/22	5.38	5.45	5.32	5.36	1278601	6853234.00
2013/02/25	5.30	5.41	5.23	5.32	1745501	9249973.00
2013/02/26	5.27	5.33	5.21	5.23	1396357	7383829.00
2013/02/27	5.17	5.30	5.17	5.28	1178487	6173516.00
2013/02/28	5.33	5.40	5.22	5.37	1691682	9052484.00
2013/03/01	5.36	5.42	5.32	5.41	1453442	7830262.00
2013/03/04	5.38	5.39	5.22	5.34	2652598	14149343.00
2013/03/05	5.36	5.87	5.26	5.87	12000974	68495224.00
2013/03/06	5.88	5.99	5.75	5.94	6856768	40127212.00
2013/03/07	5.80	5.97	5.68	5.91	5193709	30398124.00
2013/03/08	5.85	5.90	5.71	5.73	2200834	12783859.00
2013/03/11	5.65	5.85	5.62	5.82	2096796	12094733.00
2013/03/12	5.80	6.40	5.74	6.40	15478011	95695168.00
2013/03/13	6.27	6.41	6.06	6.35	15060723	93435832.00
2013/03/14	6.18	6.45	6.08	6.11	17671905	109459200.00
2013/03/15	6.18	6.18	5.82	5.97	14026351	84561976.00
2013/03/18	5.99	5.99	5.43	5.57	10151133	57372840.00
2013/03/19	5.50	5.62	5.28	5.60	6665801	36252512.00
2013/03/20	5.54	5.66	5.49	5.65	5138961	28759052.00
2013/03/21	5.64	5.73	5.57	5.68	4713725	26588564.00
2013/03/22	5.76	5.76	5.56	5.61	3610264	20355776.00
2013/03/25	5.59	5.65	5.55	5.64	2309255	12938200.00
2013/03/26	5.62	5.62	5.40	5.48	3487943	19103912.00
2013/03/27	5.45	5.55	5.44	5.52	2549156	14001935.00
2013/03/28	5.49	5.49	5.19	5.21	3061837	16230166.00
2013/03/29	5.23	5.28	5.18	5.24	1616326	8457433.00
2013/04/01	5.20	5.29	5.20	5.28	1553985	8158730.00
2013/04/02	5.33	5.34	5.22	5.24	1539542	8118033.00
2013/04/03	5.24	5.24	5.11	5.15	1498618	7728624.00
2013/04/08	5.09	5.25	4.90	5.21	1789134	9039045.00
2013/04/09	5.21	5.28	5.15	5.25	1500991	7857818.00
2013/04/10	5.26	5.31	5.19	5.23	1290497	6774621.00
2013/04/11	5.25	5.27	5.18	5.19	1111602	5792102.00
2013/04/12	5.15	5.20	5.09	5.09	1167591	6003688.00
2013/04/15	5.02	5.07	4.97	5.01	1056601	5305373.00
2013/04/16	4.98	5.09	4.91	5.09	801356	4032398.00
2013/04/17	5.08	5.12	5.03	5.10	766349	3891717.00
2013/04/18	5.10	5.11	5.03	5.10	644456	3275229.00
2013/04/19	5.08	5.22	5.06	5.19	1421116	7351847.00
2013/04/22	5.18	5.33	5.18	5.21	1731242	9071679.00
2013/04/23	5.21	5.21	4.98	5.02	1608110	8154560.00
2013/04/24	5.02	5.12	5.02	5.11	949857	4820015.00
2013/04/25	5.11	5.11	5.02	5.03	939943	4764483.00
2013/04/26	5.04	5.08	4.93	4.94	847610	4218887.00
2013/05/02	4.94	5.02	4.93	4.96	509219	2532270.00
2013/05/03	5.00	5.09	4.97	5.07	956746	4827989.00
2013/05/06	5.10	5.11	5.00	5.11	1223080	6199084.00
