600879 航天电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.45	8.51	8.26	8.27	3598227	32842136.00
2011/10/11	8.44	8.49	8.19	8.27	3405335	31131732.00
2011/10/12	8.26	8.46	8.19	8.46	5788951	53377844.00
2011/10/13	8.46	8.54	8.43	8.53	5011651	46809852.00
2011/10/14	8.51	8.51	8.28	8.43	5132209	47273736.00
2011/10/17	8.43	8.52	8.38	8.44	4454935	41288220.00
2011/10/18	8.46	8.64	8.41	8.43	10127012	95232640.00
2011/10/19	8.43	8.50	8.27	8.30	4259303	38903664.00
2011/10/20	8.24	8.27	7.86	8.14	6603324	57597376.00
2011/10/21	8.14	8.44	7.97	8.04	4101268	36309640.00
2011/10/24	8.11	8.15	7.91	8.10	3976629	34769424.00
2011/10/25	8.08	8.43	8.08	8.32	6354225	57488464.00
2011/10/26	8.29	8.49	8.24	8.38	6541832	60089784.00
2011/10/27	8.40	8.55	8.40	8.44	6332606	59025076.00
2011/10/28	8.54	8.62	8.46	8.59	7560222	71117776.00
2011/10/31	8.67	8.80	8.59	8.68	10333985	99164400.00
2011/11/01	8.68	8.68	8.48	8.50	7508795	70605008.00
2011/11/02	8.39	8.62	8.26	8.59	8692466	79907784.00
2011/11/03	8.81	8.81	8.59	8.59	10691557	102574096.00
2011/11/04	8.64	8.76	8.60	8.69	9442308	90503224.00
2011/11/07	8.64	8.81	8.64	8.79	10120162	97881640.00
2011/11/08	8.79	8.79	8.56	8.59	6617020	63287240.00
2011/11/09	8.62	8.81	8.60	8.73	7462530	71733776.00
2011/11/10	8.62	8.86	8.59	8.73	12134385	117718944.00
2011/11/11	8.71	8.79	8.59	8.65	6535183	62541208.00
2011/11/14	8.76	8.91	8.68	8.83	9391903	91559760.00
2011/11/15	8.85	9.14	8.81	8.96	12107456	121277176.00
2011/11/16	8.96	8.99	8.69	8.73	8052352	78399616.00
2011/11/17	8.82	9.30	8.82	8.99	19053243	192363616.00
2011/11/18	8.85	8.91	8.66	8.74	8860157	86174544.00
2011/11/21	8.70	8.83	8.49	8.79	6632002	63084340.00
2011/11/22	8.65	8.85	8.59	8.83	5123601	49398480.00
2011/11/23	8.80	9.25	8.78	9.19	21403345	216001872.00
2011/11/24	9.08	9.26	8.98	9.12	18415394	187289584.00
2011/11/25	9.06	9.16	8.99	9.01	8153086	82123016.00
2011/11/28	9.03	9.15	8.83	8.92	11183671	112172584.00
2011/11/29	9.03	9.50	8.88	9.44	30072551	311339936.00
2011/11/30	9.27	9.49	8.93	9.10	33044835	342438880.00
2011/12/01	9.33	9.46	9.14	9.16	18882241	195702496.00
2011/12/02	9.12	9.18	8.82	8.85	8949225	89068848.00
2011/12/05	8.77	8.77	8.32	8.36	9400259	88047424.00
2011/12/06	8.31	8.73	8.29	8.64	7386845	68974752.00
2011/12/07	8.63	8.73	8.56	8.66	10241598	98024984.00
2011/12/08	8.62	8.89	8.41	8.82	9103527	87079816.00
2011/12/09	8.74	8.93	8.59	8.60	12103867	117666880.00
2011/12/12	8.54	8.69	8.46	8.47	3633779	34123348.00
2011/12/13	8.44	8.50	8.13	8.15	5564744	50729480.00
2011/12/14	8.14	8.23	7.91	7.94	7043052	62094848.00
2011/12/15	7.98	8.06	7.75	7.76	6212370	53096504.00
2011/12/19	7.83	8.06	7.77	8.05	9790373	84252600.00
2011/12/20	7.97	8.12	7.93	7.99	6031522	52708980.00
2011/12/21	8.07	8.12	7.69	7.74	5479905	47341560.00
2011/12/22	7.69	7.80	7.39	7.72	5395519	44209972.00
2011/12/23	7.70	7.85	7.62	7.76	2773311	23264620.00
2011/12/26	7.73	7.81	7.58	7.59	2812204	23380324.00
2011/12/27	7.59	7.66	7.42	7.46	3069411	24739764.00
2011/12/28	7.50	7.60	7.42	7.55	3763435	30358510.00
2011/12/29	7.52	7.60	7.50	7.53	3322522	26988494.00
2011/12/30	7.59	7.66	7.57	7.63	4060215	33308194.00
2012/01/04	7.69	7.82	7.46	7.52	4480562	37275736.00
2012/01/05	7.47	7.82	7.35	7.43	4905872	39615848.00
2012/01/06	7.44	7.48	7.12	7.38	4682406	36209720.00
2012/01/09	7.37	7.66	7.29	7.63	5546199	44923592.00
2012/01/10	7.63	7.88	7.61	7.86	7713647	64853776.00
2012/01/11	7.85	7.93	7.78	7.89	7291960	62102648.00
2012/01/12	7.85	7.94	7.78	7.81	4735042	40273120.00
2012/01/13	7.82	7.85	7.45	7.50	6686684	54529892.00
2012/01/16	7.46	7.50	7.30	7.31	2786719	22085408.00
2012/01/17	7.36	7.66	7.27	7.64	6061658	48999584.00
2012/01/18	7.66	7.77	7.54	7.56	6560455	54053472.00
2012/01/19	7.62	7.63	7.45	7.49	8089852	65198420.00
2012/01/20	7.50	7.62	7.47	7.58	4401027	35692892.00
2012/01/30	7.61	7.71	7.56	7.59	5243058	43124476.00
2012/01/31	7.59	7.68	7.49	7.67	3204558	26129370.00
2012/02/01	7.64	7.68	7.49	7.53	3302520	26974288.00
2012/02/02	7.55	7.64	7.53	7.63	3025598	24694682.00
2012/02/03	7.63	7.85	7.60	7.82	9673739	81053088.00
2012/02/06	7.77	7.86	7.73	7.81	5639390	47561624.00
2012/02/07	7.80	7.81	7.66	7.73	5183127	43244432.00
2012/02/08	7.73	8.05	7.69	7.94	9090740	77832272.00
2012/02/09	7.92	7.99	7.87	7.94	6373254	54932448.00
2012/02/10	7.93	7.97	7.88	7.89	5272767	45320092.00
2012/02/13	7.85	8.22	7.81	8.06	11608921	101529144.00
2012/02/14	8.07	8.26	7.99	8.16	9758426	86727728.00
2012/02/15	8.13	8.23	8.06	8.19	6716202	59753064.00
2012/02/16	8.19	8.25	8.01	8.14	6933375	61601040.00
2012/02/17	8.22	8.22	8.00	8.12	4748217	41861728.00
2012/02/20	8.23	8.26	8.13	8.15	8050838	71978704.00
2012/02/21	8.19	8.23	7.99	8.16	6404934	56527280.00
2012/02/22	8.12	8.36	8.12	8.32	16020922	144037600.00
2012/02/23	8.29	8.34	8.22	8.32	11223976	101871088.00
2012/02/24	8.28	8.38	8.23	8.35	11868115	108010408.00
2012/02/27	8.37	8.47	8.32	8.33	12385366	114036080.00
2012/02/28	8.33	8.37	8.21	8.26	10062405	91114920.00
2012/02/29	8.28	8.29	8.13	8.18	7082500	63756280.00
2012/03/01	8.12	8.36	8.10	8.25	8331025	75395696.00
2012/03/02	8.26	8.36	8.23	8.35	9491894	86316736.00
2012/03/05	8.41	8.57	8.31	8.32	16195760	150067568.00
2012/03/06	8.28	8.41	8.16	8.36	11697442	106201808.00
2012/03/07	8.32	8.53	8.27	8.46	14940377	138260896.00
2012/03/08	8.49	8.50	8.42	8.47	10152847	94373392.00
2012/03/09	8.49	8.56	8.46	8.52	8275823	77434832.00
2012/03/12	8.54	8.62	8.49	8.58	9134599	85965840.00
2012/03/13	8.57	8.61	8.44	8.53	8954444	83875160.00
2012/03/14	8.57	8.72	8.21	8.26	20576955	193180176.00
2012/03/15	8.26	8.39	8.13	8.20	11176303	101001096.00
2012/03/16	8.20	8.36	8.18	8.34	8065453	73003584.00
2012/03/19	8.32	8.49	8.29	8.46	9144412	84449168.00
2012/03/20	8.47	8.48	8.25	8.32	9781360	89380824.00
2012/03/21	8.37	8.47	8.30	8.44	11985192	110481680.00
2012/03/22	8.40	8.53	8.36	8.38	7489055	69390560.00
2012/03/23	8.31	8.50	8.16	8.32	19365331	177753392.00
2012/03/26	8.26	8.43	8.07	8.25	9132218	82106048.00
2012/03/27	8.36	8.45	8.23	8.34	13816146	126402776.00
2012/03/28	8.29	8.29	7.85	7.92	9549063	84161592.00
2012/03/29	7.91	7.91	7.56	7.63	6979285	58067416.00
2012/03/30	7.65	7.72	7.54	7.61	4234292	34737372.00
2012/04/05	7.62	7.77	7.60	7.76	6139928	51021076.00
2012/04/06	7.76	7.79	7.71	7.76	5031026	42149248.00
2012/04/09	7.77	7.86	7.71	7.75	4809812	40431072.00
2012/04/10	7.73	7.79	7.46	7.74	6948599	57209616.00
2012/04/11	7.62	7.81	7.57	7.79	6002482	50118360.00
2012/04/12	7.79	7.93	7.79	7.90	8469975	72341624.00
2012/04/13	7.93	7.93	7.84	7.89	7523007	64281116.00
2012/04/16	7.86	7.90	7.79	7.86	3906573	33163324.00
2012/04/17	7.87	8.00	7.86	7.88	7812299	67239888.00
2012/04/18	7.91	8.03	7.89	7.98	8871824	76916968.00
2012/04/19	7.96	8.04	7.93	7.98	4943759	42943996.00
