600885 宏发股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/14	8.21	8.21	8.21	8.21	365114	2997586.00
2011/10/17	8.62	8.62	8.62	8.62	106071	914332.00
2011/10/18	9.05	9.05	9.05	9.05	292098	2643487.00
2011/10/19	9.50	9.50	9.50	9.50	829488	7880136.00
2011/10/20	9.98	9.98	9.98	9.98	1129076	11268178.00
2011/10/21	10.48	10.48	10.48	10.48	1700387	17820056.00
2011/10/24	11.00	11.00	10.02	10.61	43941801	476403072.00
2011/10/25	10.08	10.42	10.08	10.09	27250019	275867296.00
2011/10/26	9.90	10.59	9.80	10.59	11384685	118175168.00
2011/10/27	11.00	11.12	10.86	11.12	3853533	42581104.00
2011/10/28	11.68	11.68	11.68	11.68	897255	10479938.00
2011/10/31	12.26	12.26	11.10	11.10	18333659	212861440.00
2011/11/01	10.91	11.23	10.70	11.17	14175031	155152384.00
2011/11/02	10.96	11.28	10.83	11.10	9128457	100593992.00
2011/11/03	11.05	11.55	10.92	11.17	9337936	104261096.00
2011/11/04	11.07	11.23	10.65	11.08	9931129	108847880.00
2011/11/07	11.02	11.29	10.95	11.24	5766089	64315096.00
2011/11/08	11.24	11.80	11.19	11.80	15138513	177498096.00
2011/11/09	11.60	11.78	11.21	11.67	8076479	92781880.00
2011/11/10	11.42	11.48	11.09	11.09	7164251	80162464.00
2011/11/11	10.89	11.13	10.75	10.95	3944677	43187536.00
2011/11/14	11.25	11.25	10.72	10.76	7950215	86798384.00
2011/11/15	10.71	11.08	10.66	10.97	4956297	54148960.00
2011/11/16	10.97	11.08	10.53	10.57	4507663	48578800.00
2011/11/17	10.56	10.71	10.35	10.53	3718377	39069436.00
2011/11/18	10.44	10.69	10.21	10.32	3415005	35523360.00
2011/11/21	10.39	10.84	10.36	10.73	6545737	70364536.00
2011/11/22	10.77	10.82	10.50	10.71	2806200	29837420.00
2011/11/23	10.77	10.99	10.69	10.71	3254319	35183248.00
2011/11/24	10.62	10.85	10.33	10.74	2837848	30053240.00
2011/11/25	10.74	10.85	10.50	10.62	3207315	34290632.00
2011/11/29	10.65	10.72	10.32	10.54	3686717	38780692.00
2011/11/30	10.53	10.58	10.01	10.01	3684779	37499232.00
2011/12/01	10.16	10.33	9.92	9.95	3418283	34633380.00
2011/12/02	9.89	9.89	9.45	9.45	5027172	47926072.00
2011/12/05	9.12	9.39	8.98	8.98	2738610	25139268.00
2011/12/06	8.80	8.95	8.57	8.77	3193159	27836716.00
2011/12/07	8.70	9.00	8.68	8.86	1783504	15794636.00
2011/12/08	8.80	9.14	8.49	9.00	3654244	32387100.00
2011/12/09	8.98	8.98	8.72	8.89	1418601	12616960.00
2011/12/12	8.88	9.16	8.74	8.89	1789032	16056679.00
2011/12/13	8.81	8.87	8.45	8.45	1733710	14957724.00
2011/12/14	8.38	8.59	8.03	8.03	1867267	15487725.00
2011/12/15	7.66	7.90	7.63	7.63	3268848	25233468.00
2011/12/16	7.59	7.99	7.50	7.88	1987942	15394284.00
2011/12/19	7.88	7.88	7.49	7.72	2087470	15962909.00
2011/12/22	7.73	8.11	7.57	8.11	8399161	67415560.00
2011/12/23	8.00	8.22	7.88	8.01	4705286	37838904.00
2011/12/26	7.92	8.08	7.78	7.82	2556582	20320528.00
2011/12/27	7.74	7.89	7.43	7.43	2561371	19132216.00
2011/12/28	7.28	7.28	7.06	7.08	2678923	18936738.00
2011/12/29	7.06	7.43	6.93	7.17	1829283	13353086.00
2011/12/30	7.17	7.36	7.17	7.29	1448384	10514293.00
2012/01/04	7.48	7.65	7.29	7.38	2617516	19540708.00
2012/01/05	7.31	7.52	7.05	7.14	1783494	13030090.00
2012/01/06	7.14	7.30	7.02	7.30	1050155	7528528.00
2012/01/09	7.33	7.65	7.20	7.63	1776768	13324030.00
2012/01/10	7.64	7.87	7.55	7.73	2743866	21205188.00
2012/01/11	7.73	7.97	7.68	7.75	2964598	23039718.00
2012/01/12	7.69	7.90	7.60	7.79	2292237	17845860.00
2012/01/13	7.78	7.84	7.50	7.55	1820944	13925579.00
2012/01/16	7.51	7.59	7.17	7.17	1890391	13781505.00
2012/01/17	7.15	7.47	6.91	7.44	2304636	16701716.00
