600888 新疆众和 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	13.67	13.73	12.87	13.05	1355212	28169608.00
2011/10/11	13.42	13.67	12.91	13.04	1096293	22811786.00
2011/10/12	12.91	13.59	12.91	13.56	985326	20857306.00
2011/10/13	13.61	13.94	13.55	13.76	1028310	22352960.00
2011/10/14	13.61	13.84	13.35	13.60	783730	16789588.00
2011/10/17	13.66	13.87	13.47	13.73	647440	14057939.00
2011/10/18	13.57	13.78	13.01	13.10	681433	14390071.00
2011/10/19	13.12	13.27	12.64	12.75	1616558	32875172.00
2011/10/20	12.75	12.82	12.33	12.65	1118112	22089992.00
2011/10/21	12.49	12.64	11.90	11.97	925243	17926586.00
2011/10/24	11.99	12.25	10.98	11.78	2640508	48416440.00
2011/10/25	11.78	12.54	11.69	12.52	2178123	41732892.00
2011/10/26	12.49	12.88	12.14	12.56	1783237	35541680.00
2011/10/27	12.52	12.63	12.33	12.41	1267109	24947176.00
2011/10/28	12.65	13.10	12.60	12.83	2779080	56272868.00
2011/10/31	12.85	12.99	12.76	12.92	1812029	36923828.00
2011/11/01	12.71	12.90	12.55	12.63	1648801	33133236.00
2011/11/03	12.92	13.27	12.92	12.97	2528789	52187740.00
2011/11/04	13.08	13.39	12.98	13.10	1598644	33261730.00
2011/11/07	13.21	13.21	12.87	12.91	1410403	29025224.00
2011/11/08	12.85	13.06	12.85	12.86	730012	14918591.00
2011/11/09	12.88	13.00	12.58	12.91	1821918	36654940.00
2011/11/10	12.60	12.75	12.47	12.68	2155129	42897152.00
2011/11/11	12.67	12.84	12.58	12.73	1388145	27961724.00
2011/11/14	12.84	13.37	12.81	13.35	2468144	51571240.00
2011/11/15	13.35	13.38	13.21	13.37	982091	20639186.00
2011/11/16	13.34	13.34	12.84	12.85	1481967	30618772.00
2011/11/17	12.85	12.97	12.74	12.84	803159	16306785.00
2011/11/18	12.71	12.74	12.32	12.33	965046	19049038.00
2011/11/21	12.33	12.37	12.06	12.24	596579	11530559.00
2011/11/22	12.08	12.18	11.88	12.12	575947	10972684.00
2011/11/23	12.14	12.30	12.12	12.17	679911	13138481.00
2011/11/24	12.02	12.25	11.88	12.04	596458	11342663.00
2011/11/25	12.12	12.35	12.03	12.13	794873	15360894.00
2011/11/28	12.02	12.31	11.94	12.24	703621	13441414.00
2011/11/29	12.26	12.60	12.19	12.55	1042190	20473764.00
2011/11/30	12.64	12.64	11.75	11.85	1200430	22991526.00
2011/12/01	12.24	12.52	12.01	12.01	1574746	30509180.00
2011/12/02	12.01	12.01	11.69	11.72	845915	15757089.00
2011/12/05	11.63	11.65	11.37	11.41	523962	9537678.00
2011/12/06	11.41	11.49	11.17	11.42	1131604	20308136.00
2011/12/07	11.52	11.67	11.18	11.23	920832	16494421.00
2011/12/08	11.24	11.27	10.85	11.11	905042	15850730.00
2011/12/09	10.98	11.11	10.91	10.99	414132	7216352.00
2011/12/12	11.01	11.04	10.74	10.87	322794	5601460.00
2011/12/13	10.78	11.17	10.41	10.41	740720	12476663.00
2011/12/14	10.46	10.47	10.01	10.02	1451711	23435590.00
2011/12/15	9.83	9.89	9.48	9.50	1615032	24989260.00
2011/12/16	9.63	9.87	9.25	9.85	1770022	26636554.00
2011/12/19	9.71	10.07	9.39	10.01	1767385	26863264.00
2011/12/20	9.95	10.10	9.78	9.92	1223133	19330216.00
2011/12/21	10.01	10.07	9.44	9.44	976733	15139037.00
2011/12/22	9.24	9.67	9.14	9.52	1217280	18094148.00
2011/12/23	9.44	9.73	9.32	9.51	1497452	22827768.00
2011/12/26	9.51	9.67	9.32	9.33	886714	13339774.00
2011/12/27	9.30	9.44	9.19	9.23	944342	13937704.00
2011/12/28	9.12	9.14	8.76	8.85	2898783	40803480.00
2011/12/29	8.74	8.95	8.68	8.87	1913713	26910946.00
2011/12/30	8.90	9.04	8.87	8.98	1522720	21651368.00
2012/01/04	9.07	9.17	8.76	8.78	1853444	26449908.00
2012/01/05	8.75	8.75	8.21	8.23	2163885	28859948.00
2012/01/06	8.21	8.40	7.96	8.37	1502486	19545724.00
2012/01/09	8.34	9.22	8.23	9.16	3606220	51029536.00
2012/01/10	9.19	9.94	9.08	9.70	5164143	78057008.00
2012/01/11	9.73	9.80	9.43	9.76	3900159	59463836.00
2012/01/12	9.64	10.15	9.53	9.97	4022404	63021344.00
2012/01/13	9.89	9.99	9.38	9.57	3265745	50119432.00
2012/01/16	9.41	9.42	8.60	8.60	5160593	73210576.00
2012/01/17	8.64	9.48	8.48	9.48	9415013	137893472.00
2012/01/18	9.64	10.13	9.32	9.41	11745139	182497072.00
2012/01/19	9.21	9.76	8.94	9.71	7018928	105634840.00
2012/01/20	9.73	9.82	9.38	9.62	4545570	69070432.00
2012/01/30	9.73	9.88	9.43	9.48	3926839	60331640.00
2012/01/31	9.39	9.54	9.24	9.45	3539159	52837896.00
2012/02/01	9.38	9.52	9.23	9.24	2590979	38510372.00
2012/02/02	9.26	9.62	9.16	9.61	4184024	62407224.00
2012/02/03	9.54	10.21	9.51	9.99	7051090	110429896.00
2012/02/06	10.01	10.52	9.99	10.30	9236146	151118624.00
2012/02/07	10.26	10.27	9.92	10.19	4757394	75992712.00
2012/02/08	10.12	11.23	10.06	10.99	9827407	167637168.00
2012/02/09	10.91	11.16	10.78	10.89	5757491	100032944.00
2012/02/10	10.86	11.01	10.66	10.91	4162461	71522496.00
2012/02/13	10.73	11.11	10.64	10.94	4612625	79798664.00
2012/02/14	10.89	10.92	10.55	10.76	5805388	98407480.00
2012/02/15	10.73	11.24	10.57	11.24	8208506	143383200.00
2012/02/16	11.12	11.32	10.79	11.00	5324094	93725976.00
2012/02/17	11.01	11.12	10.88	10.92	2795499	48623312.00
2012/02/20	11.11	11.15	10.73	10.78	5678401	98090528.00
2012/02/21	10.71	10.97	10.64	10.96	5243286	89691232.00
2012/02/22	11.03	11.17	10.89	11.07	4871521	85089584.00
2012/02/23	11.03	11.42	10.73	11.37	7198454	128300712.00
2012/02/24	11.35	12.19	11.30	11.98	9997085	185501664.00
2012/02/28	11.82	11.99	11.44	11.66	5865579	108292768.00
2012/02/29	11.59	11.87	11.49	11.58	5224919	96848352.00
