600889 南京化纤 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.96	7.96	7.57	7.64	1871547	14519553.00
2011/10/11	7.90	7.91	7.60	7.70	1774103	13837608.00
2011/10/12	7.67	8.02	7.57	8.01	2794413	22072552.00
2011/10/13	7.98	8.12	7.92	8.06	2828120	22783800.00
2011/10/14	8.02	8.04	7.90	7.97	2168994	17344234.00
2011/10/17	7.97	8.03	7.89	7.97	1989387	15913882.00
2011/10/18	7.83	7.91	7.56	7.56	3112863	24031222.00
2011/10/19	7.59	7.65	7.34	7.36	2377146	17778084.00
2011/10/20	7.35	7.38	7.10	7.33	2003446	14509784.00
2011/10/21	7.26	7.30	7.08	7.08	1263170	9087996.00
2011/10/24	7.07	7.16	6.87	7.12	2703812	19093936.00
2011/10/25	7.13	7.45	7.04	7.31	4398667	31910100.00
2011/10/26	7.27	7.47	7.22	7.33	6768883	49980636.00
2011/10/27	7.33	7.63	7.33	7.47	4866541	36723360.00
2011/10/28	7.52	7.71	7.47	7.63	4652913	35448964.00
2011/10/31	7.63	7.75	7.58	7.71	3766309	29025522.00
2011/11/01	7.62	7.82	7.58	7.79	5094342	39429836.00
2011/11/02	7.66	7.86	7.62	7.86	5325456	41300244.00
2011/11/03	7.87	8.03	7.82	7.92	5307001	42340296.00
2011/11/04	7.95	8.20	7.92	8.16	6438035	52377480.00
2011/11/07	8.19	8.25	8.06	8.17	6166549	50470340.00
2011/11/08	8.22	8.29	8.07	8.20	4697149	38613936.00
2011/11/09	8.22	8.31	8.04	8.30	3587311	29578916.00
2011/11/10	8.21	8.46	8.13	8.39	9901950	82499856.00
2011/11/11	8.39	9.07	8.30	8.93	24134084	211537792.00
2011/11/14	8.77	9.06	8.72	8.98	23562190	210281456.00
2011/11/15	8.88	9.01	8.62	8.64	15421232	135074640.00
2011/11/16	8.61	8.61	8.14	8.21	11007644	92131368.00
2011/11/17	8.16	8.29	8.06	8.10	5146383	42157884.00
2011/11/18	8.06	8.26	8.00	8.02	4531692	36849136.00
2011/11/21	8.02	8.55	8.02	8.35	10279230	86117576.00
2011/11/22	8.22	8.22	7.94	8.01	5696013	46081068.00
2011/11/23	8.06	8.06	7.59	7.62	6574057	51015760.00
2011/11/24	7.47	7.60	7.37	7.47	4058705	30394980.00
2011/11/25	7.52	7.64	7.38	7.40	3321065	25001440.00
2011/11/28	7.44	7.47	7.05	7.14	7872574	56780456.00
2011/11/29	7.20	7.31	7.12	7.30	4093737	29694582.00
2011/11/30	7.28	7.28	6.88	6.94	5419110	38277080.00
2011/12/01	7.17	7.22	7.07	7.12	4451233	31993480.00
2011/12/02	7.08	7.11	6.91	6.94	2708297	18989194.00
2011/12/05	6.95	7.12	6.77	6.93	3723261	26090276.00
2011/12/06	6.92	7.03	6.85	7.02	2333556	16331445.00
2011/12/07	6.99	7.12	6.98	7.02	2145559	15192509.00
2011/12/08	7.02	7.05	6.69	6.88	2810712	19422324.00
2011/12/09	6.80	6.90	6.71	6.72	1868501	12726375.00
2011/12/12	6.74	6.77	6.39	6.41	2563635	16932040.00
2011/12/13	6.33	6.37	5.84	5.87	5990794	36178412.00
2011/12/14	5.86	5.98	5.59	5.66	3646955	21255988.00
2011/12/15	5.62	5.63	5.48	5.53	3906989	21777636.00
2011/12/16	5.52	5.68	5.52	5.67	3305085	18599874.00
2011/12/19	5.64	5.68	5.50	5.66	2834286	15897921.00
2011/12/20	5.63	5.85	5.59	5.71	3525028	20374674.00
2011/12/21	5.77	5.80	5.55	5.56	2627556	14968448.00
2011/12/22	5.51	5.51	5.19	5.32	3442895	18417676.00
2011/12/23	5.30	5.46	5.23	5.36	2767621	14957094.00
2011/12/26	5.32	5.40	5.19	5.24	2196634	11742152.00
2011/12/27	5.24	5.24	4.87	5.02	2750904	14075445.00
2011/12/28	4.91	5.03	4.83	5.00	2247027	11127103.00
2011/12/29	4.94	5.05	4.94	4.98	1982584	9976140.00
2011/12/30	5.01	5.08	4.99	5.05	2061646	10444267.00
2012/01/04	5.11	5.16	4.95	4.97	2185398	11133137.00
2012/01/05	4.94	5.04	4.86	4.87	2124230	10567668.00
2012/01/06	4.79	5.04	4.77	5.02	1734782	8589062.00
2012/01/09	5.02	5.27	5.00	5.23	2881305	15015942.00
2012/01/10	5.28	5.47	5.24	5.47	4194620	22741188.00
2012/01/11	5.47	5.49	5.39	5.43	2969781	16249389.00
2012/01/12	5.43	5.98	5.42	5.65	7674944	44574860.00
2012/01/13	5.56	5.66	5.32	5.34	4034369	22091684.00
2012/01/16	5.23	5.42	5.22	5.24	2275179	12170914.00
2012/01/17	5.33	5.59	5.23	5.58	3411121	18680696.00
2012/01/18	5.60	5.80	5.50	5.52	4435581	25211512.00
2012/01/19	5.52	5.64	5.45	5.63	3088808	17308214.00
2012/01/20	5.70	5.70	5.55	5.61	2322314	13100839.00
2012/01/30	5.64	5.67	5.50	5.51	1765890	9885545.00
2012/01/31	5.55	5.56	5.36	5.49	1316762	7194329.00
2012/02/01	5.49	5.54	5.37	5.41	1578247	8659355.00
2012/02/02	5.41	5.57	5.38	5.56	1943518	10682646.00
2012/02/03	5.55	5.75	5.52	5.67	3746143	21299468.00
2012/02/06	5.69	5.93	5.63	5.92	5201970	30071700.00
2012/02/07	5.90	5.91	5.67	5.77	5943252	34534144.00
2012/02/08	5.69	5.94	5.68	5.88	5358399	31569288.00
2012/02/09	5.89	5.95	5.83	5.86	4335489	25654488.00
2012/02/10	5.84	5.91	5.79	5.86	3709419	21793496.00
2012/02/13	5.77	5.94	5.77	5.93	4147164	24479072.00
2012/02/14	5.92	6.14	5.86	6.00	5405655	32556464.00
2012/02/15	5.95	6.41	5.93	6.36	11094464	69431992.00
2012/02/16	6.32	6.38	6.23	6.30	5725796	36324344.00
2012/02/17	6.30	6.32	6.15	6.17	4031543	25123044.00
2012/02/20	6.22	6.32	6.12	6.13	4414075	27524232.00
2012/02/22	6.18	6.34	6.17	6.33	4634056	29088786.00
2012/02/23	6.31	6.40	6.21	6.27	3470045	21915316.00
2012/02/24	6.30	6.37	6.21	6.35	4832762	30588228.00
2012/02/27	6.35	6.74	6.35	6.54	10094477	66542640.00
2012/02/28	6.53	6.53	6.33	6.43	4848219	31346288.00
2012/02/29	6.42	6.42	6.16	6.21	5804204	36582036.00
2012/03/01	6.17	6.31	6.13	6.27	3202152	20133436.00
2012/03/02	6.28	6.60	6.28	6.57	9689872	63013724.00
2012/03/05	6.58	7.16	6.54	7.12	17137346	117126976.00
2012/03/06	7.07	7.69	6.95	7.44	30094364	216261264.00
2012/03/07	7.32	7.61	7.12	7.40	26188172	192661632.00
2012/03/08	7.32	7.40	7.09	7.12	16393116	118506944.00
2012/03/09	7.09	7.20	6.97	7.11	9751469	69095688.00
2012/03/12	7.04	7.11	6.97	7.06	6528709	46121696.00
2012/03/13	7.04	7.14	7.00	7.12	6248712	44463248.00
2012/03/14	7.15	7.28	6.50	6.55	12274018	85246976.00
2012/03/15	6.47	6.59	6.14	6.26	7693790	48977244.00
2012/03/16	6.22	6.52	6.22	6.49	6628310	42582156.00
2012/03/19	6.50	6.68	6.37	6.68	6644697	43705352.00
2012/03/20	6.60	6.62	6.42	6.42	5031238	32929232.00
2012/03/21	6.46	6.63	6.33	6.61	4956841	32153124.00
2012/03/22	6.61	6.73	6.49	6.71	5873560	39150788.00
2012/03/23	6.69	6.72	6.42	6.63	5808204	38422432.00
2012/03/26	6.61	6.69	6.43	6.64	3881333	25579904.00
2012/03/27	6.77	6.79	6.56	6.64	7021279	46924032.00
2012/03/28	6.74	6.74	6.12	6.18	6905163	43926712.00
2012/03/29	6.05	6.09	5.80	5.82	3668160	21984122.00
2012/03/30	5.81	5.97	5.70	5.74	2294641	13349795.00
2012/04/05	5.75	5.99	5.73	5.94	2746057	16218559.00
2012/04/06	5.97	6.05	5.92	5.99	2617595	15745696.00
2012/04/09	5.95	5.98	5.77	5.78	2556067	15157091.00
2012/04/10	5.72	5.85	5.52	5.84	3988926	22755504.00
2012/04/11	5.77	5.92	5.68	5.89	3859208	22608772.00
2012/04/12	5.87	6.09	5.86	6.06	5307680	31943670.00
2012/04/13	6.06	6.20	6.06	6.14	4333024	26657516.00
2012/04/16	6.11	6.26	6.05	6.24	3723836	23069292.00
2012/04/17	6.24	6.31	6.00	6.02	4021330	24900538.00
2012/04/18	5.97	6.44	5.81	6.40	14149135	87250632.00
2012/04/19	6.28	6.55	6.28	6.40	8796135	56756460.00
2012/04/20	6.42	6.76	6.40	6.75	13435171	89041168.00
2012/04/23	6.70	7.05	6.61	6.92	22322811	151526560.00
2012/04/24	6.84	6.90	6.63	6.83	22231868	150643968.00
2012/04/25	6.77	6.78	6.57	6.73	17112221	115363576.00
2012/04/26	6.68	6.75	6.32	6.38	15687612	102350624.00
2012/04/27	6.30	6.35	6.10	6.15	6821738	42332256.00
2012/05/02	6.21	6.21	6.00	6.14	7155815	43959952.00
2012/05/03	6.15	6.17	6.02	6.14	3725020	22861282.00
2012/05/04	6.14	6.21	6.10	6.18	3042412	18855312.00
2012/05/07	6.16	6.16	6.03	6.07	4327002	26399522.00
2012/05/08	6.07	6.11	6.05	6.09	3728272	22805440.00
2012/05/09	6.07	6.07	5.97	5.98	3454832	20843692.00
2012/05/10	5.99	6.07	5.94	5.95	4264450	25660130.00
2012/05/11	5.95	5.95	5.77	5.79	4232070	24893416.00
2012/05/14	5.83	5.88	5.73	5.79	2757688	16073166.00
2012/05/15	5.75	5.75	5.57	5.67	3970654	22501202.00
2012/05/16	5.67	5.71	5.59	5.60	2279972	12920752.00
