600892 宝诚股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	15.45	15.56	14.74	15.21	319900	4826016.00
2011/10/11	15.30	15.36	15.00	15.04	198600	3002941.00
2011/10/12	15.00	15.43	15.00	15.38	334749	5132376.00
2011/10/13	15.23	15.40	15.20	15.35	135118	2066683.00
2011/10/14	15.21	15.39	15.01	15.27	154100	2339740.00
2011/10/17	15.32	15.34	15.14	15.17	166771	2534719.00
2011/10/18	15.02	15.17	14.90	14.96	183901	2768090.00
2011/10/19	14.86	15.06	14.80	14.84	103162	1539253.00
2011/10/20	14.83	14.84	14.10	14.37	590595	8417803.00
2011/10/21	14.10	14.28	13.95	14.21	273090	3848012.00
2011/10/24	14.11	14.36	14.11	14.31	172589	2452490.00
2011/10/25	14.20	14.37	14.01	14.37	355019	5053769.00
2011/10/26	14.30	14.39	14.18	14.36	385590	5503192.00
2011/10/27	14.38	14.38	14.18	14.20	303251	4317658.00
2011/10/28	14.21	14.52	14.20	14.52	289450	4150165.00
2011/10/31	14.41	14.60	14.40	14.47	214320	3100813.00
2011/11/01	14.35	14.54	14.35	14.49	146143	2113236.00
2011/11/02	14.49	14.50	14.12	14.49	196734	2814976.00
2011/11/03	14.50	14.66	14.46	14.49	376000	5468107.00
2011/11/04	14.56	14.75	14.50	14.68	367401	5378418.00
2011/11/07	14.59	14.80	14.52	14.74	341999	5018391.00
2011/11/08	14.77	14.77	14.60	14.60	78200	1147090.00
2011/11/09	14.62	14.80	14.51	14.78	223421	3277454.00
2011/11/10	14.71	14.76	14.28	14.52	326799	4721050.00
2011/11/11	14.43	14.60	14.32	14.44	199310	2892005.00
2011/11/14	14.46	14.75	14.46	14.69	250050	3666410.00
2011/11/15	14.57	14.88	14.57	14.84	233300	3451689.00
2011/11/16	14.89	15.58	14.73	15.36	1412952	21854220.00
2011/11/17	15.36	15.73	15.20	15.38	618552	9603080.00
2011/11/18	15.30	15.37	15.08	15.23	397580	6039701.00
2011/11/21	15.20	15.21	14.50	14.78	329259	4905496.00
2011/11/22	14.61	14.85	14.61	14.81	82145	1208816.00
2011/11/23	14.81	14.87	14.57	14.67	114396	1675558.00
2011/11/24	14.75	14.75	14.37	14.47	185196	2676859.00
2011/11/25	14.40	14.50	14.23	14.44	109391	1571911.00
2011/11/28	14.40	15.15	14.37	14.57	177218	2591960.00
2011/11/29	14.80	14.80	14.40	14.53	178636	2593928.00
2011/11/30	14.70	14.70	13.80	13.88	208709	2938996.00
2011/12/01	14.19	14.20	14.01	14.08	205755	2902635.00
2011/12/02	14.02	14.02	13.40	13.40	441900	6022966.00
2011/12/05	13.60	13.65	12.73	12.73	824481	10588856.00
2011/12/06	12.80	12.80	12.22	12.76	240785	3039675.00
2011/12/07	12.80	12.90	12.63	12.76	273415	3485616.00
2011/12/08	12.25	12.79	12.20	12.71	235349	2960771.00
2011/12/09	12.60	12.70	12.39	12.54	84841	1060738.00
2011/12/12	12.51	12.97	12.41	12.57	55100	695321.00
2011/12/13	12.50	12.50	11.94	11.94	266100	3186803.00
2011/12/14	11.76	11.76	11.34	11.34	600900	6831776.00
2011/12/15	11.29	11.29	10.77	10.77	278000	2994785.00
2011/12/16	10.23	10.34	10.23	10.23	597081	6109577.00
2011/12/19	10.20	10.20	9.72	10.00	615004	6015222.00
2011/12/20	9.80	10.38	9.73	10.12	513576	5197671.00
2011/12/21	10.26	10.28	9.96	10.08	312751	3168820.00
2011/12/22	10.03	10.03	9.58	9.83	394626	3822141.00
2011/12/23	9.71	9.96	9.71	9.87	148900	1469951.00
2011/12/26	9.80	9.88	9.63	9.88	99322	974340.00
2011/12/27	9.85	9.96	9.60	9.67	657658	6371767.00
2011/12/28	9.52	9.80	9.42	9.63	213900	2043320.00
2011/12/29	9.45	9.69	9.45	9.62	108869	1045234.00
2011/12/30	9.69	9.77	9.59	9.72	192230	1856481.00
2012/01/04	9.42	9.81	9.42	9.64	197400	1911870.00
2012/01/05	9.23	9.62	9.23	9.36	109228	1024383.00
2012/01/06	9.60	9.79	9.25	9.56	85802	815317.00
2012/01/09	9.50	9.72	9.38	9.67	1270971	12185520.00
2012/01/10	9.62	10.00	9.60	9.93	1295682	12622790.00
2012/01/11	9.90	9.93	9.66	9.72	834478	8161714.00
2012/01/12	9.60	9.79	9.50	9.51	686063	6616030.00
2012/01/13	9.33	9.52	9.03	9.03	613126	5593118.00
2012/01/16	8.78	8.78	8.58	8.58	449415	3863005.00
2012/01/17	8.58	8.84	8.34	8.82	634637	5470674.00
2012/01/18	8.82	8.89	8.53	8.55	355950	3124576.00
2012/01/19	8.53	8.71	8.33	8.56	326607	2788425.00
2012/01/20	8.77	8.95	8.60	8.94	298268	2625840.00
2012/01/30	9.00	9.15	8.94	9.04	371942	3366348.00
2012/01/31	9.04	9.49	9.01	9.39	371441	3458819.00
2012/02/01	9.48	9.48	9.11	9.30	334934	3115101.00
2012/02/02	9.25	9.48	9.09	9.44	399447	3682213.00
2012/02/03	9.39	9.78	9.38	9.70	583225	5634040.00
2012/02/06	9.72	10.19	9.65	10.19	1025859	10338265.00
2012/02/07	10.09	10.50	9.80	10.00	980793	9955340.00
2012/02/08	9.82	10.07	9.52	10.03	671093	6614919.00
2012/02/09	10.00	10.28	9.85	10.10	568300	5700497.00
2012/02/10	10.00	10.16	9.90	9.98	420649	4216975.00
2012/02/13	10.01	10.48	9.95	10.48	436340	4521303.00
2012/02/14	10.97	11.00	10.81	11.00	1519697	16707083.00
2012/02/15	11.08	11.55	10.92	11.55	601353	6815588.00
2012/02/24	12.13	12.13	11.80	12.13	865903	10489261.00
2012/02/27	12.70	12.74	12.50	12.74	432574	5495985.00
2012/02/28	13.28	13.38	13.20	13.38	421556	5612986.00
2012/02/29	14.05	14.05	12.72	13.37	2121229	29135820.00
2012/03/01	13.41	13.99	12.70	13.56	1865780	24660548.00
2012/03/02	13.29	13.75	13.00	13.53	849453	11434675.00
2012/03/05	13.58	14.21	13.32	14.21	1362040	19180592.00
2012/03/06	14.22	14.48	13.50	13.54	1526084	21173556.00
2012/03/07	13.40	13.63	13.16	13.42	726723	9762018.00
2012/03/08	13.40	13.60	13.30	13.42	297905	3995325.00
2012/03/09	13.56	13.56	13.31	13.44	444183	5946960.00
2012/03/12	13.20	13.40	13.10	13.20	450810	5965898.00
2012/03/13	13.02	13.54	13.02	13.51	378930	5066914.00
2012/03/14	13.60	13.60	12.83	12.84	562385	7369577.00
2012/03/15	12.84	12.90	12.36	12.53	432152	5445416.00
2012/03/16	12.67	12.80	12.38	12.74	202830	2567363.00
2012/03/19	12.71	13.38	12.51	13.38	251483	3261556.00
2012/03/20	13.24	14.04	13.23	13.92	652021	9002239.00
2012/03/22	13.92	13.92	13.42	13.61	236897	3227077.00
2012/03/23	13.70	13.70	13.27	13.53	203000	2727592.00
2012/03/26	13.59	13.78	13.28	13.45	267120	3597012.00
2012/03/27	13.38	13.39	13.00	13.09	143077	1877929.00
2012/03/28	12.93	12.93	12.44	12.49	238951	3002894.00
2012/03/29	12.30	12.49	11.87	11.87	276558	3320267.00
2012/03/30	11.72	12.17	11.61	11.72	222667	2647682.00
2012/04/05	11.75	12.30	11.61	12.23	226752	2722175.00
2012/04/06	12.08	12.59	12.08	12.40	143880	1767238.00
2012/04/09	12.38	12.66	12.06	12.42	227242	2819783.00
2012/04/10	12.35	12.62	12.20	12.59	142961	1776906.00
2012/04/11	12.15	12.77	12.15	12.56	91358	1146836.00
