600917 重庆燃气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/09/30	4.68	4.68	4.68	4.68	450350	2107638.00
2014/10/08	5.15	5.15	5.15	5.15	120050	618258.00
2014/10/09	5.67	5.67	5.67	5.67	145288	823783.00
2014/10/10	6.24	6.24	6.24	6.24	423500	2642640.00
2014/10/13	6.86	6.86	6.86	6.86	1363700	9354982.00
2014/10/14	7.55	7.55	7.55	7.55	1429898	10795730.00
2014/10/15	8.31	8.31	8.31	8.31	1299732	10800773.00
2014/10/16	9.14	9.14	9.14	9.14	1389093	12696310.00
2014/10/17	10.05	10.05	9.00	9.51	101019600	957065088.00
2014/10/20	9.13	9.23	8.85	9.09	46523070	420925248.00
2014/10/21	9.03	9.26	8.90	9.13	41225187	376111424.00
2014/10/22	9.05	9.19	8.81	8.84	31264548	280442720.00
2014/10/23	8.76	9.16	8.76	8.94	26833118	240921136.00
2014/10/24	8.81	8.92	8.52	8.55	24038221	208823056.00
2014/10/27	8.50	8.52	8.04	8.14	18445693	150532432.00
2014/10/28	8.19	8.36	8.19	8.33	14101932	116856752.00
2014/10/29	8.38	9.16	8.32	9.07	41783417	367805504.00
2014/10/30	8.92	8.98	8.77	8.83	25910205	229347248.00
2014/10/31	8.85	8.92	8.70	8.83	20336214	179264576.00
2014/11/03	8.82	9.01	8.82	8.92	19375658	172689104.00
2014/11/04	8.91	8.92	8.70	8.75	15534270	136348864.00
2014/11/05	8.72	9.28	8.65	9.00	31865328	287110592.00
2014/11/06	8.90	9.90	8.86	9.90	56708456	536850592.00
2014/11/07	10.06	10.89	10.05	10.89	76133186	816943232.00
2014/11/10	11.30	11.98	10.90	11.98	79114754	922022272.00
2014/11/11	12.30	13.18	11.86	13.18	67988219	876958656.00
2014/11/12	13.50	14.25	11.86	12.95	86925192	1143149952.00
2014/11/13	12.04	13.08	12.00	12.04	48304348	598363328.00
2014/11/14	11.80	11.84	10.84	10.97	36953486	412629792.00
2014/11/17	10.87	12.00	10.77	11.87	37656071	438888032.00
2014/11/18	11.58	11.90	11.40	11.65	22417371	260067344.00
2014/11/19	11.48	11.65	11.10	11.43	18821025	213715744.00
2014/11/20	11.28	12.35	11.21	12.10	35664096	421668608.00
2014/11/21	11.89	12.90	11.80	12.41	42365564	528585024.00
2014/11/24	12.49	12.83	12.12	12.43	31248886	389313344.00
2014/11/25	12.20	12.42	12.00	12.28	24785862	301374240.00
2014/11/26	12.28	13.45	12.09	13.05	43647360	556538112.00
2014/11/27	12.79	13.25	12.60	12.75	30878955	396430720.00
