600962 *ST中鲁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.63	9.75	9.07	9.10	1314903	16150299.00
2011/10/11	9.44	9.44	8.62	9.01	2015140	24058016.00
2011/10/12	8.88	9.39	8.85	9.35	2638927	31867324.00
2011/10/13	9.27	9.52	9.27	9.37	2769182	34180044.00
2011/10/14	9.34	9.43	9.15	9.36	977763	11930199.00
2011/10/17	9.37	9.59	9.33	9.53	2352308	29161252.00
2011/10/18	9.42	9.59	9.04	9.33	2309061	28110390.00
2011/10/19	9.30	9.32	8.97	9.00	1498828	17851176.00
2011/10/20	9.00	9.11	8.55	8.67	1321384	15089889.00
2011/10/21	8.55	8.74	8.55	8.58	422900	4787539.00
2011/10/24	8.83	8.83	8.51	8.77	1131612	12960674.00
2011/10/25	8.67	9.27	8.67	9.24	3706729	44076748.00
2011/10/26	9.23	9.40	9.01	9.20	2846762	34338856.00
2011/10/27	9.20	9.37	9.15	9.21	1351524	16399036.00
2011/10/28	9.29	9.49	9.21	9.41	2599001	31866872.00
2011/10/31	9.33	9.80	9.33	9.73	3081055	38875176.00
2011/11/01	9.64	9.76	9.50	9.70	2562895	32377424.00
2011/11/02	9.53	9.74	9.44	9.71	2596391	32655952.00
2011/11/03	9.75	10.03	9.69	10.01	4402669	56824300.00
2011/11/04	9.91	10.20	9.82	9.90	2944705	38392728.00
2011/11/07	9.82	10.29	9.70	9.98	3210794	42185660.00
2011/11/08	9.93	10.07	9.80	9.82	1471370	19169820.00
2011/11/09	9.91	10.01	9.79	9.99	3216338	41654608.00
2011/11/10	9.88	9.89	9.63	9.64	1835687	23531276.00
2011/11/11	9.67	9.75	9.53	9.53	1437733	18172888.00
2011/11/14	9.63	9.81	9.60	9.80	1945256	24794828.00
2011/11/15	9.76	10.13	9.76	10.12	3389856	44351064.00
2011/11/16	10.17	10.23	9.85	9.90	2502828	32837340.00
2011/11/17	9.99	10.03	9.83	9.91	1360790	17723394.00
2011/11/18	9.88	9.89	9.42	9.47	1658269	20973120.00
2011/11/21	9.43	9.66	9.43	9.53	1142534	14337809.00
2011/11/22	9.47	9.64	9.42	9.63	1104878	13851415.00
2011/11/23	9.63	9.90	9.57	9.83	2090047	26835460.00
2011/11/24	9.73	10.83	9.60	10.82	12838121	178592208.00
2011/11/25	10.68	10.76	10.43	10.57	6285461	87263312.00
2011/11/28	10.52	10.72	10.27	10.60	4148098	57109984.00
2011/11/29	10.82	10.82	10.49	10.63	3480250	48543256.00
2011/11/30	10.59	10.72	9.56	9.67	6107111	79837344.00
2011/12/01	10.00	10.07	9.68	9.78	4851162	63091636.00
2011/12/02	9.67	10.07	8.97	9.81	4938385	60326920.00
2011/12/05	9.60	9.60	9.14	9.16	1980510	24471266.00
2011/12/06	9.00	9.21	8.92	9.14	1565066	18644464.00
2011/12/07	9.16	9.37	9.11	9.35	1336309	16212907.00
2011/12/08	9.25	9.49	9.14	9.33	1635527	20075700.00
2011/12/09	9.18	9.34	8.99	9.11	1306143	15671017.00
2011/12/12	9.19	9.19	8.90	8.91	866153	10270352.00
2011/12/13	8.87	8.87	8.46	8.63	1638653	18506708.00
2011/12/14	8.57	8.67	8.24	8.39	1303638	14525123.00
2011/12/15	8.30	8.30	7.93	7.93	1932315	20442894.00
2011/12/16	7.95	8.17	7.82	8.10	1705358	17918328.00
2011/12/19	8.03	8.22	7.87	8.20	2650453	28174400.00
2011/12/20	8.13	8.31	8.11	8.24	2247049	24324884.00
2011/12/21	8.26	8.43	7.90	7.93	1969410	21304928.00
2011/12/22	8.01	8.22	7.42	8.13	2251937	22910820.00
2011/12/23	8.12	8.28	7.93	8.10	1366708	14663666.00
2011/12/26	8.17	8.30	8.13	8.20	984125	10621434.00
2011/12/27	8.36	8.37	7.75	7.87	1047699	11194294.00
2011/12/28	7.60	8.00	7.50	7.89	942587	9538083.00
2011/12/29	7.76	8.04	7.76	7.85	589892	6123108.00
2011/12/30	7.87	8.04	7.87	7.96	1248110	13015827.00
2012/01/04	7.96	8.10	7.53	7.55	2074733	21018116.00
2012/01/05	7.55	7.63	7.14	7.17	1289915	12637247.00
2012/01/06	7.23	7.23	6.85	7.03	2216110	20311424.00
2012/01/09	7.07	7.37	6.89	7.33	1786786	16894370.00
2012/01/10	7.33	7.80	7.27	7.74	2675812	26765510.00
2012/01/11	7.70	8.15	7.67	8.00	4723097	49298700.00
2012/01/12	7.91	8.02	7.83	7.93	2608592	27166584.00
2012/01/13	7.93	8.03	7.57	7.67	1656614	16919616.00
2012/01/16	7.60	7.76	7.24	7.44	2091758	20581632.00
2012/01/17	7.42	8.13	7.27	7.76	5170307	52649580.00
2012/01/18	7.80	7.84	7.43	7.43	2226525	22469386.00
2012/01/19	7.42	7.52	7.30	7.43	2072892	20215728.00
