600967 北方创业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.33	4.39	4.27	4.38	653968	10554850.00
2011/10/11	4.51	4.54	4.36	4.45	1690327	27865492.00
2011/10/12	4.46	4.62	4.39	4.60	2429098	41019216.00
2011/10/13	4.58	4.67	4.56	4.60	2321333	39830168.00
2011/10/14	4.60	4.63	4.52	4.55	969098	16381402.00
2011/10/17	4.56	4.63	4.54	4.61	911924	15521470.00
2011/10/18	4.59	4.60	4.42	4.44	1015200	16991484.00
2011/10/19	4.44	4.63	4.41	4.56	2334147	39457956.00
2011/10/20	4.56	4.56	4.26	4.26	2228065	36229408.00
2011/10/21	4.21	4.30	3.83	3.92	3985155	58861148.00
2011/10/24	3.90	4.04	3.81	4.00	1875086	27404724.00
2011/10/25	4.00	4.21	3.98	4.21	2419935	37255044.00
2011/10/26	4.18	4.37	4.17	4.29	2630722	42191520.00
2011/10/27	4.31	4.40	4.25	4.33	1426903	22999570.00
2011/10/28	4.36	4.61	4.33	4.57	2568020	42521380.00
2011/10/31	4.53	4.55	4.44	4.51	1693071	28233100.00
2011/11/01	4.47	4.60	4.45	4.51	1286824	21701760.00
2011/11/02	4.43	4.58	4.43	4.56	1619385	27225264.00
2011/11/03	4.60	4.71	4.53	4.62	3978947	68436368.00
2011/11/04	4.64	4.66	4.59	4.61	1129177	19358748.00
2011/11/07	4.61	4.64	4.54	4.55	837792	14206612.00
2011/11/08	4.57	4.57	4.49	4.52	1015234	17000728.00
2011/11/09	4.55	4.61	4.53	4.59	1233942	20939836.00
2011/11/11	4.53	4.71	4.53	4.61	2776930	47853136.00
2011/11/14	4.64	4.84	4.64	4.83	3370497	59403024.00
2011/11/15	4.86	4.90	4.77	4.83	1299084	23206456.00
2011/11/16	4.84	4.95	4.78	4.82	4971604	89887824.00
2011/11/17	4.76	5.11	4.76	5.02	5799485	107233688.00
2011/11/23	4.94	4.94	4.58	4.70	12875422	225068976.00
2011/11/24	4.63	4.84	4.54	4.74	3991519	70427112.00
2011/11/25	4.69	4.91	4.66	4.68	4795405	85581320.00
2011/11/28	4.62	4.75	4.62	4.70	2942344	51301088.00
2011/11/29	4.74	4.96	4.71	4.94	5448805	98179608.00
2011/11/30	4.89	5.04	4.81	4.89	5921707	107654136.00
2011/12/01	5.03	5.18	4.89	4.98	6885213	128883408.00
2011/12/02	5.00	5.06	4.91	5.02	2685736	49645988.00
2011/12/05	4.94	5.03	4.86	4.90	2790359	50939588.00
2011/12/06	4.86	4.91	4.64	4.80	3256776	57688832.00
2011/12/07	4.77	5.01	4.76	4.96	2942827	53567052.00
2011/12/08	4.95	5.06	4.92	5.03	3006217	55606836.00
2011/12/09	5.00	5.16	4.93	5.00	2428583	45469072.00
2011/12/12	4.98	5.04	4.89	4.92	1295796	23652364.00
2011/12/13	4.90	4.95	4.58	4.61	3150205	54838392.00
2011/12/14	4.61	4.70	4.38	4.40	2304307	38583012.00
2011/12/15	4.40	4.40	4.25	4.25	2265225	36163664.00
2011/12/16	4.20	4.44	4.17	4.44	1948506	31420908.00
2011/12/19	4.42	4.56	4.34	4.54	1716973	28596932.00
2011/12/20	4.50	4.57	4.44	4.45	983198	16451070.00
2011/12/21	4.53	4.59	4.40	4.41	1177785	19735952.00
2011/12/22	4.35	4.43	4.20	4.33	1440578	22937608.00
2011/12/23	4.35	4.46	4.28	4.36	741100	12018577.00
2011/12/26	4.35	4.46	4.34	4.44	1206739	19803112.00
2011/12/27	4.41	4.51	4.41	4.45	865983	14367135.00
2011/12/28	4.40	4.45	4.15	4.25	1963973	31132168.00
2011/12/29	4.25	4.46	4.25	4.46	893141	14478907.00
2011/12/30	4.49	4.55	4.44	4.53	816852	13645356.00
2012/01/04	4.57	4.63	4.46	4.48	833825	14091884.00
2012/01/05	4.51	4.51	4.02	4.03	1962968	30784884.00
2012/01/06	4.03	4.04	3.72	4.02	1804244	26129716.00
2012/01/09	4.03	4.34	3.98	4.33	853547	13194324.00
2012/01/10	4.33	4.58	4.26	4.58	1468596	24497816.00
2012/01/11	4.61	4.63	4.47	4.51	1819983	30779652.00
2012/01/12	4.53	4.57	4.41	4.44	1364835	22674980.00
2012/01/13	4.45	4.45	4.09	4.34	1282827	20609190.00
2012/01/16	4.31	4.33	4.17	4.17	1207982	18889176.00
2012/01/17	4.17	4.47	4.17	4.44	2529419	40379336.00
2012/01/18	4.42	4.51	4.39	4.41	1568019	25947380.00
2012/01/19	4.41	4.46	4.31	4.37	1298128	21241880.00
2012/01/20	4.32	4.44	4.24	4.40	1081774	17405720.00
2012/01/30	4.39	4.48	4.32	4.47	1397931	23048008.00
2012/01/31	4.47	4.50	4.42	4.50	778715	12892862.00
2012/02/01	4.48	4.51	4.27	4.41	2916702	47518036.00
2012/02/02	4.41	4.43	4.16	4.31	3762710	59376300.00
2012/02/03	4.28	4.28	4.16	4.21	4510446	70661200.00
2012/02/06	4.21	4.27	4.10	4.27	5790804	90023504.00
2012/02/07	4.19	4.23	4.18	4.20	2200808	34389100.00
2012/02/08	4.20	4.26	4.16	4.24	2819015	44255860.00
2012/02/09	4.24	4.29	4.23	4.25	3750281	59455396.00
2012/02/10	4.26	4.31	4.24	4.29	3181127	50597928.00
2012/02/13	4.26	4.30	4.21	4.29	2307788	36607700.00
2012/02/14	4.30	4.43	4.29	4.37	4455961	72311328.00
2012/02/15	4.38	4.42	4.31	4.38	3001450	48716672.00
2012/02/16	4.39	4.49	4.36	4.43	3585798	58757072.00
2012/02/17	4.47	4.47	4.39	4.44	2645954	43461980.00
2012/02/21	4.44	4.52	4.36	4.51	3765847	62319536.00
2012/02/22	4.44	4.68	4.42	4.66	6759792	114417776.00
2012/02/23	4.64	4.83	4.58	4.74	4079529	71668304.00
2012/02/24	4.75	4.80	4.67	4.78	3129836	54947124.00
2012/02/27	4.78	4.83	4.70	4.73	2637241	46534068.00
2012/02/28	4.72	4.72	4.55	4.65	3782097	64933972.00
2012/02/29	4.66	4.78	4.63	4.65	2248566	39178576.00
2012/03/01	4.63	4.71	4.63	4.69	2320573	40169012.00
2012/03/02	4.73	4.77	4.69	4.77	2059483	36112936.00
2012/03/05	4.78	4.95	4.73	4.84	3299755	59661932.00
2012/03/06	4.86	4.94	4.71	4.79	3087020	54654816.00
2012/03/07	4.77	4.78	4.68	4.73	2753194	48223516.00
2012/03/09	4.76	4.93	4.73	4.92	4968995	88877344.00
2012/03/12	4.91	4.97	4.86	4.90	1921316	34915268.00
2012/03/13	4.92	5.09	4.92	5.03	4649549	86305784.00
2012/03/14	5.03	5.07	4.72	4.77	3850749	69990616.00
2012/03/15	4.75	4.80	4.61	4.76	1479682	25850864.00
2012/03/16	4.76	4.90	4.75	4.89	2200211	39472676.00
2012/03/19	4.89	4.94	4.82	4.91	1377190	24916318.00
2012/03/20	4.91	4.94	4.75	4.78	2105683	37481908.00
2012/03/21	4.78	4.89	4.73	4.77	2317922	41320704.00
2012/03/22	4.83	5.00	4.82	4.92	4384570	79873264.00
2012/03/23	4.91	4.91	4.72	4.76	2234148	39855536.00
