600969 郴电国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	16.53	16.65	16.33	16.40	192800	3265728.00
2011/10/11	16.40	16.80	16.31	16.35	401100	6734916.00
2011/10/12	16.64	16.70	16.21	16.67	410404	6955452.00
2011/10/13	16.65	17.09	16.61	17.05	744360	12836649.00
2011/10/14	17.10	17.10	16.69	16.73	245718	4214085.00
2011/10/17	17.05	17.05	16.71	16.77	216035	3706623.00
2011/10/18	16.80	16.80	16.45	16.50	274150	4637252.00
2011/10/19	16.63	16.63	16.28	16.54	353265	5937983.00
2011/10/20	16.32	16.42	15.93	16.09	375591	6186760.00
2011/10/21	16.06	16.23	15.95	16.08	140577	2306862.00
2011/10/24	16.08	16.60	15.81	16.32	307526	5155854.00
2011/10/25	16.15	16.51	16.15	16.49	353270	5912614.00
2011/10/26	16.36	16.65	16.35	16.50	356760	6030570.00
2011/10/27	16.69	16.98	16.37	16.85	523418	8941263.00
2011/10/28	17.00	17.08	16.62	16.91	901791	15551494.00
2011/10/31	16.72	17.15	16.72	16.94	819881	14231005.00
2011/11/01	16.94	16.99	16.73	16.76	630158	10863804.00
2011/11/02	16.75	16.81	16.40	16.77	1189891	20180078.00
2011/11/03	16.66	17.29	16.66	17.13	3274171	57012164.00
2011/11/04	17.16	17.45	17.05	17.30	2574878	45458164.00
2011/11/07	17.50	17.55	16.69	17.00	2269220	39871256.00
2011/11/08	16.96	17.03	16.65	16.98	780304	13386961.00
2011/11/09	16.98	17.07	16.65	17.03	908207	15618523.00
2011/11/10	16.88	17.30	16.69	17.09	1146155	19855560.00
2011/11/11	17.11	17.26	16.86	17.00	530700	9227366.00
2011/11/14	17.00	17.47	16.96	17.44	764942	13451630.00
2011/11/15	17.35	17.65	17.30	17.63	1033892	18472544.00
2011/11/16	17.33	17.80	17.06	17.37	1352855	23908964.00
2011/11/17	17.25	17.50	17.15	17.47	851400	15038537.00
2011/11/18	17.25	17.44	16.65	16.72	685099	11951614.00
2011/11/21	16.66	16.89	16.65	16.86	373183	6384644.00
2011/11/22	16.85	17.00	16.70	16.92	169459	2920082.00
2011/11/23	16.77	17.03	16.77	16.85	369729	6371920.00
2011/11/24	16.85	16.94	16.73	16.81	382849	6573750.00
2011/11/25	16.91	16.94	16.57	16.69	205500	3519041.00
2011/11/28	16.57	17.23	16.57	17.19	1262874	21791622.00
2011/11/29	17.30	17.65	17.04	17.30	1005406	17770988.00
2011/11/30	17.29	17.45	16.67	16.95	775851	13499633.00
2011/12/01	17.20	17.55	16.75	17.29	972100	17093602.00
2011/12/02	16.95	17.17	16.72	16.81	417279	7177027.00
2011/12/05	16.91	16.94	16.25	16.30	284650	4826886.00
2011/12/06	16.35	16.79	16.05	16.77	406529	6823152.00
2011/12/07	16.65	16.93	16.42	16.49	294709	4981853.00
2011/12/08	16.45	16.77	16.23	16.45	157921	2653788.00
2011/12/09	16.35	16.60	15.85	15.95	576847	9482774.00
2011/12/12	15.86	16.10	15.45	15.73	374380	6031153.00
2011/12/13	15.70	15.70	14.57	15.06	685004	10491591.00
2011/12/14	14.83	15.02	14.16	14.60	775626	11603728.00
2011/12/15	14.35	14.74	13.95	14.15	530649	7700038.00
2011/12/16	13.86	15.15	13.86	14.93	897214	13117604.00
2011/12/19	14.75	14.95	14.25	14.93	465832	6944213.00
2011/12/20	14.62	14.95	14.43	14.44	517187	7736083.00
2011/12/21	14.59	14.64	14.15	14.42	336693	4951675.00
2011/12/22	14.39	14.64	13.75	14.56	589969	8598027.00
2011/12/23	14.15	14.73	14.13	14.72	180700	2685532.00
2011/12/26	14.68	14.73	14.17	14.46	368200	5495569.00
2011/12/27	14.57	14.68	14.25	14.51	649200	9635745.00
2011/12/28	14.30	14.55	14.15	14.54	741200	10897810.00
2011/12/29	14.30	14.83	14.30	14.74	533549	7987721.00
2011/12/30	14.75	14.80	14.50	14.64	272051	4079625.00
2012/01/04	14.64	14.79	14.18	14.44	402402	5925781.00
2012/01/05	14.16	14.45	14.05	14.14	505329	7372581.00
2012/01/06	14.14	14.59	14.13	14.39	685320	10077397.00
2012/01/09	14.31	14.75	14.18	14.71	291299	4351199.00
2012/01/10	14.90	15.08	14.51	14.91	733876	11185555.00
2012/01/11	15.05	15.05	14.66	14.89	550074	8357709.00
2012/01/12	14.80	14.98	14.80	14.84	466319	7106218.00
2012/01/13	14.80	14.85	14.33	14.61	293199	4367333.00
2012/01/16	14.45	14.70	14.25	14.35	138500	2046772.00
2012/01/17	14.45	14.75	14.30	14.65	641898	9556344.00
2012/01/18	14.74	14.74	14.13	14.35	530301	7830651.00
2012/01/19	14.24	14.49	14.17	14.47	513700	7531549.00
2012/01/20	14.35	14.78	14.15	14.64	1509131	22367068.00
2012/01/30	14.57	15.03	14.57	14.68	276400	4165151.00
2012/01/31	14.62	14.69	14.39	14.63	249198	3716319.00
2012/02/01	14.65	14.95	14.48	14.74	577870	8735153.00
2012/02/02	14.93	15.59	14.79	15.53	1101042	17082116.00
2012/02/03	15.54	16.00	15.53	15.75	2052551	33012156.00
2012/02/06	15.35	16.03	15.35	15.79	351635	5636666.00
2012/02/07	15.65	15.79	15.50	15.65	93270	1485890.00
2012/02/08	15.66	16.36	15.47	16.26	446695	7329217.00
2012/02/09	16.03	16.29	16.03	16.13	170579	2812322.00
2012/02/10	15.95	16.15	15.95	16.05	134193	2203377.00
2012/02/13	15.95	16.55	15.95	16.23	326337	5396925.00
2012/02/14	16.05	16.25	16.05	16.14	586551	9681538.00
2012/02/15	16.29	16.29	16.06	16.17	149378	2461733.00
2012/02/16	16.25	16.25	15.98	16.03	624320	10288457.00
2012/02/17	15.82	16.01	15.78	15.83	203030	3291282.00
2012/02/20	16.00	16.08	15.84	15.92	136975	2228862.00
2012/02/21	15.85	16.02	15.80	15.96	86100	1395380.00
2012/02/22	15.98	16.30	15.83	16.16	299762	4953204.00
2012/02/23	16.00	16.30	16.00	16.14	210225	3457755.00
2012/02/24	16.16	16.35	16.02	16.29	421357	6936610.00
2012/02/27	16.25	16.39	16.08	16.11	678870	11238746.00
2012/02/28	16.14	16.14	15.45	15.75	957481	15399038.00
2012/02/29	15.65	15.75	15.43	15.55	313329	4976174.00
2012/03/01	15.53	15.63	15.43	15.46	583999	9233984.00
2012/03/02	15.51	15.85	15.48	15.63	892509	14262774.00
2012/03/05	15.65	15.76	15.43	15.45	733103	11653412.00
2012/03/06	15.45	15.54	15.05	15.52	539025	8425830.00
2012/03/07	15.45	15.45	15.24	15.33	208419	3272447.00
2012/03/08	15.43	15.50	15.30	15.42	827894	13024163.00
2012/03/09	15.42	15.48	15.23	15.29	990468	15509147.00
2012/03/12	15.40	15.65	15.35	15.54	1057018	16725699.00
2012/03/13	15.59	15.61	15.37	15.49	815905	12907144.00
2012/03/14	15.59	15.97	15.40	15.56	2063755	33167450.00
2012/03/15	15.52	15.61	14.61	15.14	1616361	24689432.00
2012/03/16	14.95	15.12	14.79	15.03	937169	14400444.00
2012/03/19	15.02	15.05	14.61	14.83	1689469	25524036.00
2012/03/20	14.86	14.95	14.63	14.71	660237	9993720.00
2012/03/21	14.75	14.75	14.33	14.48	833627	12400383.00
2012/03/22	14.50	14.52	14.14	14.29	1109025	16174539.00
2012/03/23	14.18	14.84	14.18	14.52	1311331	19537322.00
2012/03/26	14.63	14.64	14.35	14.42	462589	6838020.00
2012/03/27	14.45	14.56	14.33	14.45	298559	4414829.00
2012/03/28	14.47	14.51	13.90	14.13	600398	8738355.00
2012/03/29	13.98	14.34	13.88	14.13	562249	8150070.00
2012/03/30	14.20	14.29	14.02	14.12	450392	6500053.00
2012/04/05	14.05	14.26	14.00	14.23	762250	11068302.00
2012/04/06	14.20	14.29	14.03	14.06	723253	10477026.00
2012/04/09	14.05	14.61	13.91	14.52	1132449	16643579.00
2012/04/10	14.53	14.56	14.29	14.55	658278	9735917.00
2012/04/11	14.52	14.53	14.17	14.18	890745	13091086.00
2012/04/12	14.18	14.30	14.13	14.30	1105821	16106443.00
2012/04/13	14.31	14.45	14.20	14.44	996159	14656870.00
2012/04/16	14.42	14.44	13.99	14.00	1859438	26872192.00
2012/04/17	13.95	14.13	13.90	14.08	997931	14332855.00
2012/04/18	14.08	14.28	13.96	14.21	923014	13386967.00
2012/04/19	14.22	14.27	14.10	14.24	977713	14226232.00
2012/04/20	14.24	14.90	14.24	14.84	2127915	31801560.00
2012/04/23	14.85	14.94	14.50	14.55	1064667	15937445.00
2012/04/24	14.55	14.73	14.17	14.38	848451	12555274.00
2012/04/25	14.35	14.53	14.16	14.43	732851	10767181.00
2012/04/26	14.43	14.51	14.11	14.15	1063468	15527586.00
