600980 北矿磁材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	17.94	18.19	17.82	18.01	1383800	24898660.00
2011/10/11	18.72	18.89	17.38	17.98	1667880	30380292.00
2011/10/12	17.51	18.82	17.51	18.68	3263935	60399632.00
2011/10/13	18.50	18.95	18.40	18.76	2479460	46549508.00
2011/10/14	18.87	20.15	18.53	19.80	5237652	101594296.00
2011/10/17	19.60	20.09	19.45	19.61	4365351	85937632.00
2011/10/18	19.47	19.47	18.35	18.40	3013132	56880088.00
2011/10/19	18.58	18.95	18.26	18.49	1856204	34513576.00
2011/10/20	18.39	18.98	17.96	18.64	2165565	39920416.00
2011/10/21	18.45	18.45	17.10	17.12	2653833	46579552.00
2011/10/24	17.15	17.50	16.81	17.39	1746062	29960284.00
2011/10/25	17.42	18.35	17.23	17.87	2339628	41794344.00
2011/10/26	17.78	18.12	17.59	17.73	2158823	38525960.00
2011/10/27	17.73	18.06	17.40	17.49	1959140	34666088.00
2011/10/28	17.79	18.24	17.65	18.05	2818498	50695364.00
2011/10/31	18.01	19.46	17.85	18.99	5359518	100297944.00
2011/11/01	18.70	19.28	18.31	18.90	5246688	98815456.00
2011/11/02	18.40	18.90	18.21	18.80	3403841	63100476.00
2011/11/03	18.86	19.45	18.86	18.95	4627495	88811280.00
2011/11/04	19.00	19.35	18.84	19.22	3915255	74863544.00
2011/11/07	19.18	19.20	18.71	18.76	2450447	46440992.00
2011/11/08	18.76	19.05	18.32	18.45	2253437	42069932.00
2011/11/09	18.48	18.87	18.08	18.79	2421584	44929824.00
2011/11/10	18.48	18.73	18.35	18.42	1902109	35257692.00
2011/11/11	18.68	19.40	18.26	18.80	3498232	66005224.00
2011/11/14	19.06	19.40	18.85	19.30	4388202	84327240.00
2011/11/15	19.30	20.07	19.23	19.40	5670579	111490168.00
2011/11/16	19.39	19.70	18.95	19.13	4259022	82055768.00
2011/11/17	19.00	19.42	18.91	19.02	2319115	44363784.00
2011/11/18	18.90	18.90	17.97	18.00	2745232	50270496.00
2011/11/21	18.02	18.30	17.90	18.28	1012406	18316972.00
2011/11/22	18.17	18.39	17.90	18.32	1217604	22154668.00
2011/11/23	18.32	18.58	18.10	18.24	1547741	28410872.00
2011/11/24	17.88	18.35	17.44	17.95	1920310	34552464.00
2011/11/25	17.64	18.20	17.64	17.74	1066982	19106194.00
2011/11/28	18.10	18.10	17.50	17.63	1241796	22040342.00
2011/11/29	17.92	18.00	17.66	17.98	1278853	22853320.00
2011/11/30	17.90	18.04	16.76	16.98	1824273	31544940.00
2011/12/01	17.55	17.70	17.30	17.32	1600415	27983988.00
2011/12/02	17.30	17.30	16.73	16.76	1415402	23904512.00
2011/12/05	16.63	16.85	16.00	16.05	1024606	16627445.00
2011/12/06	16.06	16.25	15.84	16.06	923264	14835594.00
2011/12/07	16.19	16.21	15.88	16.06	615566	9879094.00
2011/12/08	16.07	16.29	15.73	16.20	1018587	16378095.00
2011/12/09	16.00	16.19	15.87	15.98	580042	9274798.00
2011/12/12	15.99	16.17	15.85	15.85	518850	8304308.00
2011/12/13	15.79	15.80	14.27	14.72	1440382	21523496.00
2011/12/14	14.70	14.98	14.30	14.39	771983	11275754.00
2011/12/15	14.39	14.39	13.50	13.50	1470904	20181258.00
2011/12/16	13.50	13.79	13.06	13.78	1337611	18092392.00
2011/12/19	13.88	13.88	13.30	13.66	1088622	14738109.00
2011/12/20	13.50	13.90	13.50	13.82	1355234	18693120.00
2011/12/21	13.94	13.98	12.98	13.00	1460221	19736104.00
2011/12/22	12.77	12.98	11.90	12.55	1781137	21965552.00
2011/12/23	12.43	12.75	12.30	12.50	1041910	13094040.00
2011/12/26	12.53	12.85	12.30	12.51	867219	10973558.00
2011/12/27	12.45	12.56	11.93	11.96	850449	10409655.00
2011/12/28	11.95	12.60	11.39	12.30	2389510	28897724.00
2011/12/29	12.20	12.73	12.04	12.59	2821240	35213308.00
2011/12/30	12.60	13.85	12.60	13.54	3636721	48535348.00
2012/01/04	13.60	13.60	12.85	12.94	2286957	30240276.00
2012/01/05	12.60	13.31	12.41	12.56	2256582	29011372.00
2012/01/06	12.50	13.21	12.33	13.16	2566321	33081984.00
2012/01/09	13.20	13.73	12.83	13.65	2890331	38747608.00
2012/01/10	13.63	14.18	13.43	14.06	4343340	60238296.00
2012/01/11	14.00	14.50	13.70	14.09	4320768	60967748.00
2012/01/12	13.95	15.30	13.85	14.43	5097135	74554944.00
2012/01/13	14.37	14.94	14.02	14.60	4811640	69946856.00
2012/01/16	14.17	14.25	13.14	13.14	3111328	42541320.00
2012/01/17	12.86	14.38	12.86	14.36	3565551	49403904.00
2012/01/18	14.39	15.10	13.85	14.00	3886275	56603176.00
2012/01/19	13.98	14.40	13.82	14.06	1782970	25102148.00
2012/01/20	14.00	14.00	13.40	13.67	2789700	38202816.00
2012/01/30	13.66	14.00	13.50	13.76	1715077	23629376.00
2012/01/31	13.63	14.45	13.63	14.34	3777372	53778072.00
2012/02/01	14.20	14.55	13.80	13.97	2689905	38090752.00
2012/02/02	13.97	14.30	13.90	14.27	2173906	30728084.00
2012/02/03	14.29	14.45	14.10	14.40	2756250	39439360.00
2012/02/06	14.39	14.54	14.18	14.29	2156268	30937672.00
2012/02/07	14.30	14.30	13.73	13.90	1927854	26811998.00
2012/02/08	13.85	14.78	13.81	14.60	3714008	53486028.00
2012/02/09	14.60	15.12	14.45	14.73	5266874	78363008.00
2012/02/10	14.60	14.88	14.51	14.72	2946458	43255380.00
2012/02/13	14.54	15.25	14.45	14.97	3654710	54489116.00
2012/02/14	14.88	15.00	14.62	14.89	2414000	35676688.00
2012/02/15	14.89	16.38	14.65	15.76	6593395	102132832.00
2012/02/16	15.60	15.76	15.25	15.46	4303707	66722016.00
2012/02/17	15.48	15.80	15.28	15.38	2500480	38808696.00
2012/02/20	15.65	15.75	15.33	15.36	2818630	43799036.00
2012/02/21	15.20	15.49	15.11	15.49	2091609	32026894.00
2012/02/22	15.50	15.95	15.50	15.85	4482752	70905056.00
2012/02/23	15.90	16.87	15.90	16.32	7523365	124091512.00
2012/02/24	16.01	16.30	16.01	16.21	3249378	52502704.00
2012/02/27	16.22	16.70	16.15	16.27	4354435	71327904.00
2012/02/28	16.15	16.27	15.79	16.01	2679371	42887012.00
2012/02/29	16.00	16.31	15.80	15.81	2173807	34852636.00
2012/03/01	15.75	15.98	15.68	15.83	1388310	22023416.00
2012/03/02	15.87	16.15	15.87	16.11	1657499	26601390.00
2012/03/05	16.27	16.27	15.97	15.99	1992046	32051772.00
2012/03/06	15.89	16.25	15.70	15.74	2020770	32171420.00
2012/03/07	15.67	15.67	15.30	15.31	2303009	35638756.00
2012/03/08	15.45	16.15	15.36	15.90	3054373	48260884.00
2012/03/09	15.91	16.14	15.74	16.09	3308688	52915880.00
2012/03/12	16.09	16.50	16.07	16.20	4088425	66446560.00
2012/03/13	16.06	16.21	15.94	16.20	2181160	35088184.00
2012/03/14	16.24	17.82	16.24	17.57	17599017	308063264.00
2012/03/15	17.00	17.42	16.63	16.98	9503906	162157568.00
2012/03/16	16.88	17.70	16.54	17.58	10747572	185840016.00
2012/03/19	17.50	18.13	17.20	17.94	9242590	164398176.00
2012/03/20	17.90	17.90	17.30	17.30	4886962	85482000.00
2012/03/21	17.32	17.94	17.16	17.51	4602440	80808704.00
2012/03/22	17.50	17.57	16.84	17.09	3322400	56944692.00
2012/03/23	16.90	17.25	16.55	16.68	2546420	42949768.00
2012/03/26	16.60	16.82	16.12	16.35	1961677	32226354.00
2012/03/27	16.55	16.88	16.48	16.50	2137946	35675360.00
2012/03/28	16.38	16.38	15.14	15.21	2837408	44386016.00
2012/03/29	14.98	15.17	14.08	14.46	2119394	31108124.00
2012/03/30	14.58	14.79	14.18	14.33	1592320	23052964.00
2012/04/05	14.41	15.15	14.41	15.10	2353302	35206428.00
2012/04/06	15.11	15.50	15.00	15.26	2000698	30466644.00
2012/04/09	15.26	15.55	15.07	15.09	1621555	24796936.00
2012/04/10	14.96	15.25	14.23	15.24	1881581	27810758.00
2012/04/11	15.10	15.18	14.80	15.08	1227646	18400492.00
2012/04/12	15.07	15.38	15.07	15.36	1988093	30385952.00
2012/04/13	15.44	16.00	15.43	15.73	3670296	57852404.00
2012/04/16	15.52	15.71	15.36	15.58	1828075	28386816.00
2012/04/17	15.53	15.68	15.14	15.17	1696205	26133426.00
2012/04/18	15.15	15.56	15.11	15.50	2064787	31747682.00
2012/04/19	15.50	15.65	15.30	15.36	1467966	22744794.00
2012/04/20	15.36	15.53	15.10	15.39	1838477	28121416.00
2012/04/23	15.39	15.45	14.65	14.68	2066787	31004384.00
2012/04/24	14.47	14.80	13.90	14.34	1983903	28377760.00
2012/04/25	14.30	14.60	14.23	14.47	1308229	18907576.00
2012/04/26	14.47	14.66	14.22	14.55	1384627	20097420.00
2012/04/27	14.34	14.94	14.34	14.63	1720687	25311336.00
2012/05/02	14.89	15.21	14.72	15.11	2658849	39970540.00
2012/05/03	15.09	15.16	14.95	14.99	1572600	23660532.00
2012/05/04	14.99	15.33	14.85	15.22	1774813	26966866.00
2012/05/07	15.22	15.39	15.05	15.27	2006878	30582396.00
2012/05/08	15.20	15.75	14.94	15.51	3365944	51683440.00
2012/05/09	15.35	15.60	15.00	15.04	2880453	43922876.00
2012/05/11	15.39	16.54	15.36	16.54	8878960	145102176.00
2012/05/14	16.98	16.98	16.04	16.67	11771173	192731808.00
2012/05/15	16.00	16.50	15.97	16.42	4922604	80117272.00
