600981 汇鸿股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.47	5.62	5.46	5.51	1434882	8056400.00
2011/10/11	5.61	5.66	5.40	5.49	1127895	6367835.00
2011/10/12	5.45	5.67	5.41	5.66	2126994	12135396.00
2011/10/13	5.64	5.72	5.61	5.68	1695096	9782972.00
2011/10/14	5.64	5.70	5.60	5.68	1327204	7617892.00
2011/10/17	5.70	5.73	5.61	5.69	1395321	8029108.00
2011/10/18	5.65	5.65	5.41	5.43	1656186	9283531.00
2011/10/19	5.48	5.48	5.38	5.38	1318287	7260376.00
2011/10/20	5.50	5.70	5.39	5.42	5127736	28841156.00
2011/10/21	5.21	5.34	5.16	5.22	2641863	14058651.00
2011/10/24	5.27	5.28	5.11	5.28	2052224	10871765.00
2011/10/25	5.22	5.41	5.21	5.39	1883510	10240201.00
2011/10/26	5.36	5.81	5.33	5.62	8075788	46188496.00
2011/10/27	5.76	5.76	5.50	5.54	3476677	19830346.00
2011/10/28	5.59	5.64	5.55	5.61	1980065	11260641.00
2011/10/31	5.55	5.63	5.55	5.61	1238304	7040617.00
2011/11/01	5.58	5.81	5.46	5.50	5576914	31535914.00
2011/11/02	5.40	5.58	5.35	5.52	3471162	19216448.00
2011/11/03	5.55	5.65	5.52	5.58	3688096	20988940.00
2011/11/04	5.58	5.70	5.58	5.69	4139563	23766284.00
2011/11/07	5.67	5.78	5.63	5.66	2561308	14834472.00
2011/11/08	5.69	5.71	5.57	5.59	2612751	14934683.00
2011/11/09	5.59	5.63	5.45	5.62	2502448	14119637.00
2011/11/10	5.59	5.59	5.43	5.44	2387557	13322516.00
2011/11/11	5.45	5.50	5.41	5.44	1431398	7940678.00
2011/11/14	5.48	5.63	5.47	5.59	2182148	12352729.00
2011/11/15	5.63	5.77	5.59	5.72	4731326	27403152.00
2011/11/16	5.72	5.75	5.51	5.55	3260579	18555042.00
2011/11/17	5.51	5.60	5.47	5.53	1642248	9251112.00
2011/11/18	5.49	5.50	5.33	5.37	1968300	10810622.00
2011/11/21	5.36	5.45	5.29	5.36	1295157	7026372.00
2011/11/22	5.35	5.37	5.22	5.32	1104541	5948153.00
2011/11/23	5.37	5.37	5.28	5.29	895265	4833163.00
2011/11/24	5.29	5.31	5.21	5.27	996936	5325851.00
2011/11/25	5.30	5.32	5.19	5.21	1127548	6027625.00
2011/11/28	5.23	5.25	5.16	5.23	1191165	6313605.00
2011/11/29	5.26	5.34	5.25	5.34	1173912	6325545.00
2011/11/30	5.34	5.34	4.95	5.00	2248567	11639383.00
2011/12/01	5.16	5.21	5.07	5.08	2186815	11419086.00
2011/12/02	5.08	5.08	4.89	4.93	1676391	8448514.00
2011/12/05	4.94	4.96	4.75	4.76	1473723	7241599.00
2011/12/06	4.81	4.89	4.71	4.83	1218678	5941138.00
2011/12/07	4.83	4.89	4.78	4.79	1140250	5615720.00
2011/12/08	4.72	4.82	4.58	4.78	2328759	11149472.00
2011/12/09	4.67	4.76	4.65	4.67	923910	4413565.00
2011/12/12	4.71	4.72	4.61	4.64	641377	3041986.00
2011/12/13	4.61	4.63	4.38	4.41	1618674	7359927.00
2011/12/14	4.41	4.44	4.21	4.24	1433760	6298495.00
2011/12/15	4.26	4.30	4.03	4.06	1640333	6892494.00
2011/12/16	4.06	4.19	4.03	4.15	1412366	5923592.00
2011/12/19	4.09	4.18	4.02	4.15	1469957	6163273.00
2011/12/20	4.16	4.25	4.14	4.18	1136214	4868284.00
2011/12/21	4.22	4.24	4.03	4.03	844520	3590650.00
2011/12/22	3.96	4.02	3.78	3.82	2609491	10284907.00
2011/12/23	3.82	3.92	3.78	3.86	1203119	4749652.00
2011/12/26	3.87	3.95	3.85	3.87	922138	3669211.00
2011/12/27	3.88	3.90	3.71	3.74	1215013	4732704.00
2011/12/28	3.74	3.77	3.67	3.75	1304436	4974845.00
2011/12/29	3.74	3.79	3.67	3.74	836484	3216546.00
2011/12/30	3.76	3.87	3.76	3.84	1296606	5066974.00
2012/01/04	3.88	3.90	3.76	3.77	1035900	4071111.00
2012/01/05	3.73	3.76	3.56	3.57	1168849	4375570.00
2012/01/06	3.55	3.65	3.51	3.64	895055	3281789.00
2012/01/09	3.68	3.82	3.62	3.81	1184984	4558271.00
2012/01/10	3.80	4.20	3.80	4.20	5643536	23292002.00
2012/01/11	4.16	4.20	4.08	4.11	4826412	20380596.00
2012/01/12	4.09	4.16	4.03	4.14	2147016	9005096.00
2012/01/13	4.09	4.14	3.93	3.94	1942289	7982563.00
2012/01/16	3.91	4.01	3.87	3.90	1228700	4951040.00
2012/01/17	3.90	4.30	3.90	4.29	8394693	36323300.00
2012/01/18	4.21	4.26	4.11	4.19	4762834	20445718.00
2012/01/19	4.17	4.24	4.14	4.21	2885552	12348127.00
2012/01/20	4.21	4.24	4.18	4.22	1980714	8526124.00
2012/01/30	4.22	4.24	4.11	4.15	1502874	6402763.00
2012/01/31	4.15	4.16	4.09	4.15	1372251	5799032.00
2012/02/01	4.15	4.23	4.09	4.10	1965694	8352583.00
2012/02/02	4.10	4.21	4.10	4.20	1550624	6590108.00
2012/02/03	4.20	4.37	4.16	4.31	3893368	17118368.00
2012/02/06	4.31	4.49	4.26	4.37	4082185	18209024.00
2012/02/07	4.31	4.31	4.17	4.20	3133692	13518018.00
2012/02/08	4.21	4.32	4.13	4.30	2724083	11875092.00
2012/02/09	4.30	4.40	4.27	4.34	3135713	13912548.00
2012/02/10	4.30	4.38	4.30	4.35	2396215	10621353.00
2012/02/13	4.32	4.46	4.31	4.42	3123884	14031016.00
2012/02/14	4.40	4.43	4.34	4.40	2327290	10412280.00
2012/02/15	4.39	4.62	4.37	4.52	5169448	23738100.00
2012/02/16	4.53	4.61	4.44	4.56	3794706	17510078.00
2012/02/17	4.58	4.61	4.43	4.50	2152129	9887905.00
2012/02/20	4.56	4.58	4.47	4.48	2120751	9803882.00
2012/02/21	4.48	4.54	4.41	4.53	1989098	9080805.00
2012/02/22	4.53	4.60	4.50	4.59	3307840	15388229.00
2012/02/23	4.58	4.66	4.53	4.57	3266351	15295908.00
