600983 惠而浦 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.54	9.65	9.46	9.47	658930	6421111.00
2011/10/11	9.60	9.80	9.46	9.51	1276690	12507500.00
2011/10/12	9.51	9.86	9.41	9.83	1812366	17895414.00
2011/10/13	9.77	10.09	9.77	9.99	1909909	19441432.00
2011/10/14	10.01	10.09	9.82	9.95	998738	10110362.00
2011/10/17	9.94	10.03	9.84	9.90	1046140	10568401.00
2011/10/18	9.81	9.88	9.60	9.63	1724106	17162944.00
2011/10/19	9.64	9.71	9.52	9.59	1137783	11155903.00
2011/10/20	9.53	9.68	9.36	9.37	1932079	18666778.00
2011/10/21	9.50	9.50	9.08	9.09	1256309	11827063.00
2011/10/24	9.20	9.35	8.98	9.29	1184650	11086916.00
2011/10/25	9.29	9.57	9.19	9.54	1538605	14790864.00
2011/10/26	9.46	9.70	9.39	9.53	2709799	26391268.00
2011/10/27	9.58	9.78	9.56	9.60	2881175	28312796.00
2011/10/28	9.72	9.79	9.64	9.78	3102623	30707068.00
2011/10/31	9.77	9.82	9.70	9.79	2379891	23656068.00
2011/11/01	9.77	10.06	9.66	9.96	3215708	32188228.00
2011/11/02	9.79	10.12	9.72	10.06	3977887	40399968.00
2011/11/03	10.08	10.56	10.04	10.54	9004113	94776768.00
2011/11/04	10.56	10.59	10.36	10.42	3467153	36882208.00
2011/11/07	10.45	11.08	10.34	10.93	8162809	88876824.00
2011/11/08	10.81	11.03	10.65	10.72	12782778	141002512.00
2011/11/09	10.71	10.85	10.56	10.77	4388191	47766408.00
2011/11/10	10.59	11.11	10.56	10.75	5748936	63335648.00
2011/11/11	10.72	10.96	10.59	10.73	11152070	122016672.00
2011/11/14	10.75	10.88	10.61	10.76	7655947	83543752.00
2011/11/15	10.65	10.76	10.43	10.49	4932427	52923920.00
2011/11/16	10.46	10.56	10.07	10.15	3570417	37439696.00
2011/11/17	10.14	10.40	10.07	10.14	3335088	34680444.00
2011/11/18	10.04	10.11	9.82	9.85	2649780	26840424.00
2011/11/21	10.01	10.01	9.64	9.82	2481482	24728402.00
2011/11/22	9.73	10.08	9.65	10.05	2527264	25459060.00
2011/11/23	10.09	10.34	9.96	10.24	6892845	71600512.00
2011/11/24	10.16	10.24	10.04	10.09	1931515	19908496.00
2011/11/25	10.09	10.11	9.82	9.85	1631108	16557777.00
2011/11/28	9.85	9.99	9.64	9.88	2603150	25919236.00
2011/11/29	9.94	10.05	9.85	9.96	3354233	34001216.00
2011/11/30	9.95	10.00	9.26	9.59	3773214	36836668.00
2011/12/01	9.82	10.16	9.71	10.12	8702472	87989936.00
2011/12/02	10.01	10.01	9.71	9.82	3960384	40010780.00
2011/12/05	9.69	9.79	9.42	9.49	1793498	17580708.00
2011/12/06	9.48	9.77	9.47	9.67	1756723	17296188.00
2011/12/07	9.73	9.73	9.53	9.58	852711	8372771.00
2011/12/08	9.60	9.70	9.36	9.54	1225350	11951805.00
2011/12/09	9.46	9.61	9.41	9.42	686902	6646139.00
2011/12/12	9.43	9.53	9.05	9.05	1514341	14260355.00
2011/12/13	9.04	9.04	8.13	8.18	4308514	36950688.00
2011/12/14	8.23	8.36	7.98	7.99	2814232	23608612.00
2011/12/15	7.98	7.98	7.42	7.43	2378868	18661708.00
2011/12/16	7.37	7.61	7.08	7.57	4660501	34541380.00
2011/12/19	7.49	7.49	7.13	7.38	3106218	23143848.00
2011/12/20	7.31	7.48	7.26	7.34	2362530	17893520.00
2011/12/21	7.41	7.50	7.13	7.13	1791409	13442222.00
2011/12/22	7.11	7.11	6.62	6.80	2261948	15792255.00
2011/12/23	6.76	7.01	6.61	6.87	1660825	11749013.00
2011/12/27	6.80	6.80	6.51	6.55	1588675	10883796.00
2011/12/28	6.48	6.55	6.29	6.45	1421999	9386199.00
2011/12/29	6.50	6.65	6.45	6.57	1418095	9602492.00
2011/12/30	6.57	6.80	6.57	6.78	1786334	12398118.00
2012/01/04	6.82	7.04	6.68	6.69	2315397	16365231.00
2012/01/05	6.55	6.74	6.46	6.60	1690691	11427392.00
2012/01/06	6.57	6.80	6.51	6.79	1262399	8633444.00
2012/01/09	6.76	7.17	6.76	7.15	4145787	29981426.00
2012/01/10	7.12	7.55	7.07	7.49	5702125	43237240.00
2012/01/11	7.49	7.56	7.31	7.43	2458131	18720854.00
2012/01/12	7.34	7.53	7.32	7.38	1750422	13332515.00
2012/01/13	7.44	7.71	7.04	7.11	2963860	22143714.00
2012/01/16	6.91	7.05	6.71	6.72	2179056	15383748.00
2012/01/17	6.72	7.33	6.72	7.31	2600550	18811852.00
2012/01/18	7.34	7.37	7.13	7.15	2164643	16077991.00
2012/01/19	7.09	7.28	7.01	7.26	1762473	13058034.00
2012/01/20	7.31	7.39	7.22	7.37	1889257	14209067.00
2012/01/30	7.42	7.44	7.22	7.23	1453649	10961572.00
2012/01/31	7.21	7.26	6.88	7.00	3996370	28671936.00
2012/02/01	7.02	7.07	6.85	6.89	2169583	15521647.00
2012/02/02	6.91	7.08	6.86	7.08	2265340	16223599.00
2012/02/03	7.04	7.26	7.02	7.25	2587597	19043388.00
2012/02/06	7.24	7.38	7.23	7.35	3251011	24366216.00
2012/02/07	7.31	7.31	7.00	7.03	2180066	15976545.00
2012/02/08	7.04	7.34	6.96	7.33	2837079	20941508.00
2012/02/09	7.33	7.61	7.23	7.46	5060164	38713360.00
2012/02/10	7.45	7.65	7.41	7.55	4355797	33710148.00
2012/02/13	7.49	7.71	7.37	7.63	3269173	25500292.00
2012/02/14	7.61	7.68	7.55	7.62	2468929	19300448.00
2012/02/15	7.59	7.85	7.51	7.76	4635012	36535100.00
2012/02/16	7.76	8.06	7.74	7.89	5254834	42565544.00
2012/02/17	7.89	8.05	7.52	8.03	5316717	42513960.00
2012/02/20	8.11	8.11	7.89	7.92	5341292	43803584.00
2012/02/21	7.90	8.15	7.70	8.13	4915265	39895828.00
2012/02/22	8.11	8.50	8.04	8.31	7502337	63827140.00
2012/02/23	8.33	8.68	8.26	8.63	9059400	78989984.00
2012/02/24	8.59	8.75	8.57	8.73	6992835	61729376.00
2012/02/27	8.67	9.18	8.51	8.75	11208126	101495728.00
2012/02/28	8.69	8.73	8.35	8.48	5135000	44837484.00
2012/02/29	8.41	8.55	8.21	8.25	4381480	37537152.00
2012/03/01	8.17	8.38	8.17	8.32	3366647	28510320.00
2012/03/02	8.33	8.68	8.33	8.67	6005279	52614056.00
2012/03/05	8.71	9.11	8.67	8.96	9661231	88092408.00
2012/03/06	8.85	8.99	8.64	8.83	5366254	48358616.00
2012/03/07	8.70	8.99	8.66	8.72	4324245	39098904.00
2012/03/08	8.76	8.87	8.68	8.74	3339577	29842192.00
2012/03/09	8.80	8.84	8.69	8.81	2855305	25584892.00
2012/03/12	8.76	8.82	8.46	8.49	7514409	65851400.00
2012/03/13	8.49	8.69	8.49	8.69	4335263	38097904.00
2012/03/14	8.70	8.90	7.95	8.13	8116171	71228704.00
2012/03/15	8.14	8.26	7.72	7.87	7883075	63807980.00
2012/03/19	8.03	8.14	7.92	8.13	6778919	55579328.00
2012/03/20	8.13	8.13	7.86	7.87	5031990	40907440.00
2012/03/21	7.91	7.97	7.69	7.85	3821900	30641824.00
2012/03/22	7.84	7.93	7.75	7.91	2702511	21745124.00
2012/03/23	7.88	7.89	7.62	7.67	2763534	21927580.00
2012/03/26	7.67	7.71	7.59	7.62	1932747	15124799.00
2012/03/27	7.66	7.79	7.65	7.67	1673941	13235193.00
2012/03/28	7.65	7.65	7.15	7.20	3905890	29298216.00
2012/03/29	7.21	7.24	7.06	7.10	2312420	16952892.00
2012/03/30	7.13	7.22	7.06	7.15	1642502	12058749.00
2012/04/05	7.16	7.41	7.16	7.40	2250471	16876636.00
2012/04/06	7.40	7.45	7.33	7.44	1974794	14975799.00
2012/04/09	7.40	7.40	7.21	7.21	1862624	13932562.00
2012/04/10	7.21	7.29	6.96	7.29	2116281	15482062.00
2012/04/11	7.18	7.44	7.12	7.43	2585974	19386516.00
2012/04/12	7.43	7.93	7.37	7.88	7227733	56912056.00
2012/04/13	7.88	7.91	7.72	7.80	3705132	29667336.00
2012/04/16	7.76	7.96	7.71	7.95	4128948	33280178.00
2012/04/17	7.92	8.05	7.84	7.89	4348944	35442248.00
2012/04/18	7.92	8.61	7.78	8.47	11202842	94207464.00
2012/04/19	8.41	8.46	8.23	8.26	10000360	85698776.00
2012/04/20	8.15	8.79	8.15	8.54	15496235	134174456.00
2012/04/23	8.48	8.76	8.31	8.47	12375252	107859088.00
2012/04/24	8.26	8.39	7.89	8.16	6192186	51480192.00
2012/04/25	8.16	8.37	8.07	8.30	4056913	34272752.00
2012/04/26	8.29	8.36	8.12	8.14	3007662	25290568.00
