600987 航民股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.88	3.91	3.85	3.89	649945	4235701.00
2011/10/11	3.97	3.99	3.87	3.91	1279924	8481443.00
2011/10/12	3.88	4.07	3.88	4.06	1294399	8698309.00
2011/10/13	4.04	4.11	4.04	4.10	1002449	6843733.00
2011/10/14	4.05	4.09	4.01	4.05	680681	4601045.00
2011/10/17	4.05	4.09	4.04	4.08	699354	4764630.00
2011/10/18	4.08	4.08	3.96	3.97	922400	6202562.00
2011/10/19	4.03	4.18	4.03	4.13	3115359	21378334.00
2011/10/20	4.11	4.13	3.99	4.03	1752419	11874469.00
2011/10/21	4.07	4.17	4.03	4.15	2151846	14787996.00
2011/10/24	4.13	4.26	4.09	4.25	3602756	25194660.00
2011/10/25	4.21	4.36	4.19	4.32	3541389	25223292.00
2011/10/26	4.27	4.37	4.25	4.28	2789388	19967636.00
2011/10/27	4.27	4.32	4.23	4.26	1816230	12915030.00
2011/10/28	4.30	4.35	4.26	4.32	2673628	19100984.00
2011/10/31	4.32	4.32	4.24	4.29	1562000	11125286.00
2011/11/01	4.27	4.31	4.25	4.29	1590599	11342157.00
2011/11/02	4.24	4.32	4.15	4.31	2384560	16813956.00
2011/11/03	4.32	4.40	4.31	4.32	2503156	18092792.00
2011/11/04	4.32	4.38	4.31	4.37	2189843	15809634.00
2011/11/07	4.37	4.39	4.33	4.35	1636693	11865097.00
2011/11/08	4.32	4.35	4.23	4.27	1853823	13253982.00
2011/11/09	4.30	4.33	4.23	4.33	1417998	10109440.00
2011/11/10	4.29	4.35	4.27	4.30	2005892	14379955.00
2011/11/11	4.35	4.36	4.29	4.31	1472377	10592177.00
2011/11/14	4.33	4.41	4.32	4.37	2851206	20687910.00
2011/11/16	4.41	4.41	4.24	4.25	2665210	19271504.00
2011/11/17	4.27	4.28	4.20	4.23	1565433	11050124.00
2011/11/18	4.20	4.21	4.06	4.07	1459893	10064957.00
2011/11/21	4.09	4.11	4.05	4.09	833244	5681499.00
2011/11/22	4.09	4.09	3.97	4.07	1264946	8546656.00
2011/11/23	4.07	4.08	3.99	4.03	1051030	7106036.00
2011/11/24	3.98	4.04	3.97	4.03	938225	6287248.00
2011/11/25	4.03	4.05	3.97	3.98	1051029	7046092.00
2011/11/28	3.98	4.00	3.95	3.97	495800	3307364.00
2011/11/29	4.01	4.11	3.99	4.10	2096875	14232933.00
2011/11/30	4.11	4.11	3.85	4.00	2136840	14195764.00
2011/12/01	4.09	4.18	4.05	4.14	3201300	22019658.00
2011/12/02	4.15	4.23	4.11	4.16	3765107	26204766.00
2011/12/05	4.11	4.17	3.99	4.14	2457751	16807726.00
2011/12/06	4.10	4.17	4.05	4.14	1091351	7515227.00
2011/12/07	4.22	4.42	4.05	4.35	8822647	62524796.00
2011/12/08	4.27	4.39	4.17	4.25	9264950	65305040.00
2011/12/09	4.17	4.17	3.93	3.95	4458843	30002856.00
2011/12/12	3.95	3.99	3.73	3.77	2008019	13036642.00
2011/12/13	3.77	3.77	3.65	3.66	1651380	10309262.00
2011/12/14	3.63	3.71	3.58	3.61	943290	5821012.00
2011/12/15	3.61	3.61	3.45	3.46	1529749	9157946.00
2011/12/16	3.46	3.58	3.45	3.56	1099513	6567438.00
2011/12/19	3.56	3.57	3.45	3.55	1232696	7352432.00
2011/12/20	3.55	3.61	3.51	3.55	1153094	6994912.00
2011/12/21	3.59	3.61	3.41	3.43	1245199	7464152.00
