600993 马应龙 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	16.86	17.07	16.39	16.45	476766	8155695.00
2011/10/11	16.84	16.96	16.43	16.51	549506	9362551.00
2011/10/12	16.53	17.44	16.44	17.16	759962	13232466.00
2011/10/13	17.18	17.76	17.06	17.74	1640345	29489848.00
2011/10/14	17.66	17.72	17.18	17.62	850445	15243234.00
2011/10/17	17.62	17.86	17.56	17.67	782824	14207733.00
2011/10/18	17.55	17.56	17.16	17.30	648936	11510297.00
2011/10/19	17.36	17.46	17.09	17.24	314110	5557621.00
2011/10/20	17.24	17.36	16.66	16.89	733104	12750673.00
2011/10/21	16.89	16.89	16.14	16.54	1931014	32534380.00
2011/10/24	16.46	16.65	16.01	16.60	900450	15091583.00
2011/10/25	16.64	17.11	16.35	16.96	881852	15090537.00
2011/10/26	16.86	17.47	16.66	17.01	1484078	26076148.00
2011/10/27	16.88	17.27	16.74	16.87	735667	12862409.00
2011/10/28	17.01	17.27	16.94	17.25	1147754	20169020.00
2011/10/31	17.26	17.82	17.17	17.78	1780099	32068094.00
2011/11/01	17.59	17.93	17.55	17.74	1143079	20766376.00
2011/11/02	17.41	18.06	17.41	17.99	1701813	30911016.00
2011/11/03	18.02	18.82	18.02	18.27	3354264	63222260.00
2011/11/04	18.27	18.46	18.16	18.30	1032988	19336332.00
2011/11/07	18.27	18.49	18.16	18.42	1144691	21558876.00
2011/11/08	18.44	18.54	18.23	18.49	1168084	22015388.00
2011/11/09	18.48	18.64	18.17	18.63	1080352	20408626.00
2011/11/10	18.55	18.96	18.36	18.56	2744428	52537432.00
2011/11/11	18.47	18.80	18.47	18.56	1071373	20391924.00
2011/11/14	18.64	18.98	18.64	18.91	1932107	37325628.00
2011/11/15	18.91	19.20	18.76	19.14	1642439	31927768.00
2011/11/16	19.19	19.31	18.36	18.56	1644638	31495436.00
2011/11/17	18.56	18.76	18.06	18.27	1354914	25474854.00
2011/11/18	18.08	18.26	17.68	18.20	1288301	23715260.00
2011/11/21	18.20	18.20	17.86	18.07	866603	15993075.00
2011/11/22	18.04	18.38	17.88	18.34	1216537	22549272.00
2011/11/23	18.43	18.46	18.24	18.40	659622	12401665.00
2011/11/24	18.26	18.88	18.07	18.86	1633552	31171800.00
2011/11/25	19.02	19.06	18.57	18.85	1659830	32022848.00
2011/11/28	18.76	19.13	18.38	19.06	1671471	32180436.00
2011/11/29	19.09	20.06	19.04	20.04	7923536	158094880.00
2011/11/30	19.91	19.96	18.76	18.85	3786780	75095504.00
2011/12/01	19.35	19.72	18.96	19.09	3493656	68980384.00
2011/12/02	18.87	19.39	18.62	18.64	2219044	43284844.00
2011/12/05	18.59	18.59	17.73	18.14	1494407	27705920.00
2011/12/06	18.06	18.30	17.66	18.02	821489	15048961.00
2011/12/07	18.11	18.25	17.95	18.18	435508	8083218.00
2011/12/08	18.18	18.32	17.86	17.99	606827	11212559.00
2011/12/09	17.96	18.09	17.74	17.84	563952	10348537.00
2011/12/12	17.71	17.96	17.59	17.62	448801	8130481.00
2011/12/13	17.62	17.74	16.96	17.24	1007239	17742034.00
2011/12/14	17.06	17.36	17.02	17.18	425137	7491312.00
2011/12/15	17.06	17.16	16.58	16.64	629524	10847174.00
2011/12/16	16.73	17.26	16.66	17.24	648211	11288254.00
2011/12/19	17.24	17.36	16.96	17.32	475179	8349869.00
2011/12/20	17.32	17.46	17.07	17.23	372030	6617867.00
2011/12/21	17.33	17.46	16.96	16.96	400038	7058060.00
2011/12/22	16.96	17.06	16.58	16.86	447534	7687016.00
2011/12/23	16.76	17.31	16.76	17.23	351897	6169224.00
2011/12/26	17.06	17.45	16.96	17.06	358548	6333245.00
2011/12/27	16.97	17.23	16.56	16.67	377335	6493780.00
2011/12/28	16.81	16.81	16.26	16.66	615780	10396260.00
2011/12/29	16.66	16.91	16.01	16.35	1793427	30073644.00
2011/12/30	16.37	17.05	16.36	16.85	1308047	22444812.00
2012/01/04	17.02	17.02	16.34	16.37	525369	8962052.00
2012/01/05	16.36	16.36	14.96	15.06	1624870	25983120.00
2012/01/06	15.06	15.30	13.96	15.04	3751535	55880288.00
2012/01/09	14.76	15.67	14.61	15.51	1802532	28267376.00
2012/01/10	15.45	16.07	15.30	16.00	1564539	25535262.00
2012/01/11	16.06	16.06	15.68	15.72	978464	15949891.00
2012/01/12	15.89	15.89	15.41	15.42	1149308	18396672.00
2012/01/13	15.41	15.41	14.46	14.55	4219493	63701144.00
2012/01/16	14.50	14.58	13.87	13.93	1266763	18609864.00
2012/01/17	13.92	14.56	13.71	14.42	1818750	26629330.00
2012/01/18	14.46	14.70	13.86	14.01	1921095	28096700.00
2012/01/19	14.01	14.27	13.77	14.07	1515422	21807696.00
2012/01/20	14.10	14.62	14.08	14.56	2824052	41633360.00
2012/01/30	14.59	14.59	14.06	14.15	1840968	27214460.00
2012/01/31	14.16	14.31	13.88	14.19	1449976	21036472.00
2012/02/01	14.26	14.31	14.11	14.24	952072	13975226.00
2012/02/02	14.26	14.55	14.21	14.50	1425198	21045266.00
2012/02/03	14.50	14.90	14.38	14.79	2570043	38748632.00
2012/02/06	14.78	15.08	14.61	14.74	2285480	34929368.00
2012/02/07	14.73	14.74	14.31	14.40	1515479	22616268.00
2012/02/08	14.47	14.80	14.31	14.70	1648594	24779700.00
2012/02/09	14.70	15.02	14.67	14.88	2415206	36865152.00
2012/02/10	14.86	15.00	14.76	14.90	1499629	22999680.00
2012/02/13	14.88	15.45	14.72	15.22	2970361	46276792.00
2012/02/14	15.22	15.22	14.91	15.06	2427801	37596300.00
2012/02/15	15.06	15.21	14.80	15.11	3193561	49407068.00
2012/02/16	15.10	15.32	14.88	15.09	2861014	44515620.00
2012/02/17	15.09	15.20	14.90	15.04	1401310	21663072.00
2012/02/20	15.21	15.24	14.96	14.99	2261540	35110920.00
2012/02/21	14.99	15.07	14.76	15.06	1762919	27088620.00
2012/02/22	15.08	15.36	14.98	15.30	3189673	49904464.00
2012/02/23	15.45	15.59	15.16	15.34	3237760	51142836.00
2012/02/24	15.34	15.80	15.19	15.66	5330273	84439072.00
2012/02/27	15.66	15.96	15.53	15.54	6186000	100034384.00
2012/02/28	15.45	15.53	15.08	15.31	4353772	68439840.00
2012/02/29	15.29	15.34	15.08	15.20	2584877	40377072.00
2012/03/01	15.09	15.35	15.09	15.23	1514258	23726368.00
2012/03/02	15.25	15.43	15.21	15.43	2184448	34430660.00
2012/03/05	15.43	15.61	15.29	15.39	2661953	42332372.00
2012/03/06	15.40	15.45	15.11	15.14	1714246	26822806.00
2012/03/07	15.01	15.41	14.97	15.11	1850393	28926336.00
2012/03/08	15.25	15.25	14.96	15.09	3341007	51932544.00
2012/03/09	15.15	15.36	15.06	15.32	3015050	47257340.00
2012/03/12	15.30	16.14	15.30	16.04	7314089	118376032.00
2012/03/13	15.96	16.32	15.87	16.10	6200006	102478528.00
2012/03/14	16.12	16.32	15.16	15.41	5894862	96381896.00
2012/03/15	15.36	15.69	14.91	15.55	3882709	61204096.00
2012/03/16	15.61	16.04	15.51	15.99	5317913	86138368.00
2012/03/19	15.99	16.15	15.68	16.00	4550592	74680840.00
2012/03/20	16.03	16.03	15.43	15.45	3521723	56660264.00
2012/03/21	15.55	15.80	15.21	15.58	2459752	39120556.00
2012/03/22	15.56	15.56	15.28	15.37	1245763	19726908.00
2012/03/23	15.31	15.31	14.99	15.08	1893938	29434892.00
2012/03/26	15.10	15.13	14.90	15.04	1494808	23057968.00
2012/03/27	15.04	15.17	14.87	14.91	1274874	19706524.00
2012/03/28	14.86	14.86	14.26	14.31	2536550	37806548.00
2012/03/29	14.27	14.64	13.95	14.61	2216353	32658100.00
2012/03/30	14.52	14.58	14.29	14.36	1981151	29454000.00
2012/04/05	14.27	14.61	14.27	14.57	1841966	27547588.00
2012/04/06	14.57	14.61	14.39	14.47	1438150	21498482.00
2012/04/09	14.48	14.55	14.15	14.16	1373477	20298160.00
2012/04/10	14.16	14.28	13.81	14.26	1473354	21270460.00
2012/04/11	14.16	14.25	13.97	14.10	1052461	15293942.00
2012/04/12	14.05	14.32	13.95	14.31	2632445	38417596.00
2012/04/13	14.31	14.61	14.25	14.59	2178046	32496022.00
2012/04/16	14.58	14.72	14.46	14.54	1296209	19460540.00
2012/04/17	14.56	14.70	14.46	14.54	1450169	21793560.00
2012/04/18	14.56	14.83	14.47	14.72	1964542	29672412.00
2012/04/19	14.69	14.81	14.67	14.75	1050474	15934595.00
2012/04/20	14.75	14.81	14.51	14.56	3129883	47077820.00
2012/04/23	14.56	14.60	14.26	14.49	3053582	45258224.00
2012/04/24	14.33	14.59	14.02	14.32	3040904	44765728.00
2012/04/25	14.31	14.48	14.26	14.45	1598435	23710028.00
2012/04/26	14.45	14.63	14.45	14.61	2693349	40333136.00
2012/04/27	14.66	15.01	14.62	14.77	4618575	70601376.00
2012/05/02	15.05	15.05	14.79	14.91	2818801	43260272.00
2012/05/03	14.90	15.36	14.86	15.07	4068774	63307540.00
2012/05/04	15.07	15.20	14.87	15.17	2956770	45743936.00
2012/05/07	15.11	15.50	15.03	15.39	3902465	61459396.00
2012/05/08	15.39	15.46	15.15	15.25	1885070	29652728.00
2012/05/09	15.22	15.22	14.84	14.86	2396901	36896804.00
2012/05/10	14.86	15.25	14.86	14.99	2749444	42667812.00
2012/05/11	15.09	15.21	14.99	15.16	2131981	33194454.00
2012/05/14	15.34	15.59	14.99	15.21	4326099	68233120.00
2012/05/16	15.10	15.10	14.69	15.01	3331112	50939496.00
2012/05/17	14.82	15.00	14.71	14.94	1643086	25126340.00
2012/05/18	14.86	14.86	14.44	14.45	2010025	30261568.00
