601001 大同煤业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	16.18	16.26	15.99	16.00	5414451	88395096.00
2011/10/11	16.40	16.59	15.08	15.37	10897889	173587248.00
2011/10/12	15.18	15.67	14.88	15.65	7399326	115153136.00
2011/10/13	15.65	15.74	15.42	15.64	4934989	77962176.00
2011/10/14	15.65	15.79	15.46	15.59	4511586	71377088.00
2011/10/17	15.70	15.72	15.41	15.53	3429145	54026840.00
2011/10/18	15.44	15.46	15.08	15.12	4013219	61933736.00
2011/10/19	15.29	15.32	15.03	15.07	2560464	39269716.00
2011/10/20	15.03	15.15	14.50	14.55	4856157	72640416.00
2011/10/21	14.64	14.70	14.30	14.33	3642332	53275060.00
2011/10/24	14.24	14.77	14.24	14.71	3551281	52318032.00
2011/10/25	14.73	15.31	14.52	15.08	5325496	80753816.00
2011/10/26	14.99	15.24	14.89	15.00	5488500	83824104.00
2011/10/27	15.09	15.14	14.95	14.98	3261882	49586968.00
2011/10/28	15.28	15.68	15.12	15.48	7720542	120383904.00
2011/10/31	15.55	15.55	15.30	15.36	4638532	72182792.00
2011/11/01	15.21	15.47	15.15	15.29	4007905	62134672.00
2011/11/02	15.10	15.35	14.82	15.32	6306502	96013520.00
2011/11/03	15.46	15.58	15.34	15.35	7994243	125150064.00
2011/11/04	15.51	15.66	15.38	15.50	5851416	91840288.00
2011/11/07	15.47	15.74	15.37	15.51	5292102	83431992.00
2011/11/08	15.57	15.87	15.55	15.69	8101830	129162496.00
2011/11/09	15.80	15.93	15.54	15.80	5594859	89411264.00
2011/11/10	15.60	15.68	15.50	15.50	5216930	82208352.00
2011/11/11	15.60	15.80	15.49	15.57	4470778	70855928.00
2011/11/14	15.69	15.94	15.69	15.90	7818050	125573456.00
2011/11/15	15.88	15.93	15.77	15.82	4976357	79829160.00
2011/11/16	15.83	15.91	15.34	15.47	7688401	121880136.00
2011/11/17	15.47	15.77	15.45	15.54	4433852	69975048.00
2011/11/18	15.35	15.35	15.15	15.24	4605673	71058496.00
2011/11/21	15.10	15.21	15.02	15.10	2879974	44058260.00
2011/11/22	15.06	15.06	14.67	14.82	4881635	73273920.00
2011/11/23	14.90	14.93	14.70	14.72	2292080	34359428.00
2011/11/24	14.64	14.85	14.34	14.70	2258253	33416400.00
2011/11/25	14.70	14.82	14.58	14.65	1906506	28378758.00
2011/11/28	14.70	14.80	14.59	14.65	1887462	28081756.00
2011/11/29	14.80	15.14	14.70	15.02	4076289	61616664.00
2011/11/30	15.08	15.08	14.37	14.49	4030540	59675500.00
2011/12/01	14.91	15.06	14.60	14.73	6623145	99568432.00
2011/12/02	14.65	14.65	14.26	14.42	3207760	46920572.00
2011/12/05	14.39	14.41	14.01	14.04	3751786	53947680.00
2011/12/06	14.04	14.15	13.88	14.01	3333658	47403436.00
2011/12/07	14.02	14.10	13.83	13.91	3769291	53258540.00
2011/12/08	13.92	14.00	13.50	13.74	3985523	55529680.00
2011/12/09	13.74	13.74	13.56	13.63	1750779	24226648.00
2011/12/12	13.67	13.74	13.60	13.66	1975272	27357200.00
2011/12/13	13.64	13.64	13.12	13.14	3539238	47760812.00
2011/12/14	13.15	13.29	13.00	13.02	2100111	27996140.00
2011/12/15	13.00	13.00	12.06	12.10	5239186	65576896.00
2011/12/16	12.10	12.29	11.88	12.29	4253089	52304216.00
2011/12/19	12.17	12.17	11.64	12.02	4589911	55397892.00
2011/12/20	11.99	12.20	11.92	12.01	2717659	33312126.00
2011/12/21	12.20	12.24	11.78	11.80	2404381	29469616.00
2011/12/22	11.62	12.02	11.47	11.82	3240119	38566080.00
2011/12/23	11.82	12.12	11.80	11.97	2530309	30830800.00
2011/12/26	11.99	12.09	11.81	11.88	1712055	20835622.00
2011/12/27	11.96	12.01	11.66	11.84	2563305	30640068.00
2011/12/28	11.69	11.90	11.60	11.85	2039069	24324874.00
2011/12/29	11.75	11.90	11.71	11.75	1595161	19136524.00
2011/12/30	11.81	12.02	11.81	11.96	2367823	28743140.00
2012/01/04	12.06	12.15	11.68	11.69	2317120	28144224.00
2012/01/05	11.55	11.84	11.52	11.57	1818781	21597854.00
2012/01/09	11.77	12.65	11.57	12.62	8029776	100362736.00
2012/01/10	12.63	13.70	12.50	13.44	12538294	166104304.00
2012/01/11	13.36	13.61	13.02	13.19	8853256	119693624.00
2012/01/12	13.04	13.26	12.96	13.12	4733586	63049528.00
2012/01/13	13.18	13.18	12.55	12.71	5572510	72869192.00
2012/01/16	12.68	13.28	12.43	12.48	6168858	80283640.00
