601003 柳钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.03	4.09	3.97	4.03	909400	3686525.00
2011/10/11	4.11	4.14	3.97	4.02	886200	3619169.00
2011/10/12	4.00	4.14	3.98	4.13	1416510	5842172.00
2011/10/13	4.12	4.36	4.08	4.22	2710680	11506719.00
2011/10/14	4.20	4.22	4.12	4.15	1215256	5070329.00
2011/10/17	4.18	4.19	4.12	4.13	881801	3685857.00
2011/10/18	4.13	4.15	4.05	4.06	1072900	4417361.00
2011/10/19	4.07	4.08	4.02	4.05	644241	2626731.00
2011/10/20	4.04	4.04	3.94	3.96	1343239	5367839.00
2011/10/21	3.98	4.00	3.94	3.97	523211	2090114.00
2011/10/24	3.97	4.02	3.92	4.02	873779	3501155.00
2011/10/25	4.02	4.09	3.98	4.07	1784791	7276660.00
2011/10/26	4.06	4.12	4.03	4.10	2018842	8301073.00
2011/10/27	4.10	4.17	4.06	4.11	1838547	7638775.00
2011/10/28	4.16	4.19	4.11	4.18	2727338	11417313.00
2011/10/31	4.19	4.22	4.07	4.13	1689077	7004976.00
2011/11/01	4.10	4.14	4.07	4.12	1721560	7123218.00
2011/11/02	4.04	4.13	4.02	4.13	1533228	6281882.00
2011/11/03	4.17	4.22	4.14	4.15	3166740	13350910.00
2011/11/04	4.16	4.20	4.13	4.20	1977388	8310763.00
2011/11/07	4.24	4.33	4.21	4.22	3881246	16660519.00
2011/11/08	4.24	4.27	4.14	4.14	1887888	8001590.00
2011/11/09	4.14	4.20	4.10	4.17	1183067	4936675.00
2011/11/10	4.14	4.57	4.10	4.30	7620279	33392676.00
2011/11/11	4.28	4.34	4.20	4.22	3581618	15243827.00
2011/11/14	4.24	4.26	4.20	4.25	2265978	9676212.00
2011/11/15	4.25	4.29	4.21	4.26	1959702	8386838.00
2011/11/16	4.26	4.26	4.12	4.13	1987229	8355642.00
2011/11/17	4.13	4.16	4.10	4.12	1255458	5216609.00
2011/11/18	4.11	4.11	4.02	4.03	1519059	6201816.00
2011/11/21	4.03	4.12	4.03	4.05	643587	2623111.00
2011/11/22	4.03	4.05	4.00	4.03	752680	3051753.00
2011/11/23	4.02	4.06	4.00	4.00	796295	3225224.00
2011/11/24	3.99	4.02	3.96	3.98	1205847	4837107.00
2011/11/25	4.00	4.02	3.96	3.97	753404	3025550.00
2011/11/28	4.01	4.01	3.95	3.98	756685	3030294.00
2011/11/29	4.03	4.03	3.96	4.01	856740	3444579.00
2011/11/30	3.99	4.00	3.83	3.84	1579775	6215965.00
2011/12/01	3.88	3.97	3.88	3.92	1140229	4530262.00
2011/12/02	3.94	3.94	3.83	3.84	742261	2891343.00
2011/12/05	3.83	3.85	3.77	3.77	786375	3003561.00
2011/12/06	3.78	3.79	3.73	3.76	588650	2229074.00
2011/12/07	3.75	3.79	3.74	3.76	591272	2247582.00
2011/12/08	3.77	3.84	3.75	3.80	815479	3125932.00
2011/12/09	3.77	3.77	3.70	3.73	751660	2827145.00
2011/12/12	3.73	3.76	3.70	3.71	589161	2209126.00
2011/12/13	3.72	3.73	3.57	3.57	1050000	3818640.00
2011/12/14	3.57	3.59	3.46	3.47	603659	2150284.00
2011/12/15	3.47	3.47	3.22	3.29	1309093	4380032.00
2011/12/16	3.27	3.35	3.25	3.35	1115913	3735333.00
2011/12/19	3.35	3.35	3.23	3.35	970489	3214637.00
2011/12/20	3.33	3.40	3.31	3.37	846105	2867848.00
2011/12/21	3.37	3.41	3.30	3.31	853219	2883736.00
2011/12/22	3.31	3.32	3.17	3.30	991709	3245601.00
2011/12/23	3.27	3.36	3.24	3.31	610465	2044787.00
2011/12/26	3.30	3.43	3.28	3.37	1422535	4861358.00
2011/12/27	3.37	3.39	3.29	3.34	828716	2774445.00
2011/12/28	3.30	3.39	3.21	3.37	967776	3236924.00
2011/12/29	3.37	3.37	3.31	3.34	598807	2024984.00
2011/12/30	3.34	3.45	3.33	3.44	1392153	4775351.00
2012/01/04	3.44	3.59	3.44	3.48	2853855	10132987.00
2012/01/05	3.48	3.51	3.37	3.41	1395980	4846083.00
2012/01/06	3.38	3.50	3.38	3.49	1080316	3756141.00
2012/01/09	3.54	3.62	3.47	3.62	1480106	5307400.00
2012/01/10	3.62	3.78	3.57	3.77	2825097	10488004.00
2012/01/11	3.78	3.91	3.70	3.77	2802803	10756957.00
2012/01/12	3.77	3.80	3.71	3.73	1484371	5595062.00
2012/01/13	3.73	3.78	3.63	3.68	1149917	4282656.00
2012/01/16	3.66	3.72	3.61	3.61	773500	2852158.00
2012/01/17	3.61	3.83	3.61	3.80	1342745	5085220.00
2012/01/18	3.80	3.91	3.74	3.76	1000763	3845840.00
2012/01/19	3.72	3.84	3.72	3.78	804586	3071488.00
2012/01/20	3.79	3.85	3.78	3.82	865864	3322992.00
2012/01/30	3.82	3.85	3.77	3.78	526429	2020605.00
2012/01/31	3.78	3.82	3.69	3.75	462595	1743094.00
2012/02/01	3.72	3.75	3.69	3.70	519747	1942807.00
2012/02/03	3.75	3.83	3.73	3.81	1182961	4527549.00
2012/02/06	3.81	3.81	3.74	3.80	961314	3651983.00
2012/02/07	3.80	3.80	3.70	3.71	821244	3092514.00
2012/02/08	3.72	3.81	3.69	3.79	975695	3690190.00
2012/02/09	3.78	3.83	3.77	3.80	1559136	5975335.00
2012/02/10	3.81	3.92	3.77	3.85	2311080	8998744.00
2012/02/13	3.85	3.85	3.73	3.80	1533851	5852491.00
