601005 重庆钢铁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.34	3.35	3.29	3.29	1033887	3424063.00
2011/10/11	3.34	3.37	3.27	3.28	1158401	3839115.00
2011/10/12	3.28	3.39	3.25	3.39	2059375	6887545.00
2011/10/13	3.36	3.58	3.36	3.47	4338098	15086193.00
2011/10/14	3.44	3.45	3.38	3.44	2069824	7057166.00
2011/10/17	3.44	3.48	3.40	3.42	1144863	3935422.00
2011/10/18	3.42	3.42	3.31	3.32	1319502	4419763.00
2011/10/19	3.33	3.36	3.30	3.32	988900	3285772.00
2011/10/20	3.32	3.32	3.25	3.27	1477590	4835808.00
2011/10/21	3.27	3.30	3.25	3.29	1036272	3394348.00
2011/10/24	3.29	3.35	3.22	3.33	1477586	4883845.00
2011/10/25	3.32	3.40	3.31	3.39	2221995	7478458.00
2011/10/26	3.37	3.44	3.35	3.42	3158052	10743274.00
2011/10/27	3.40	3.50	3.39	3.42	4424135	15179377.00
2011/10/28	3.46	3.49	3.41	3.47	5569060	19214620.00
2011/10/31	3.46	3.46	3.40	3.43	2903511	9949514.00
2011/11/01	3.40	3.44	3.36	3.40	2441339	8287389.00
2011/11/02	3.35	3.41	3.32	3.41	2965533	9965992.00
2011/11/03	3.42	3.47	3.40	3.46	4837641	16681615.00
2011/11/04	3.46	3.51	3.45	3.47	3703196	12876177.00
2011/11/07	3.47	3.55	3.47	3.52	5927264	20897364.00
2011/11/08	3.51	3.55	3.46	3.48	2929158	10262173.00
2011/11/09	3.48	3.51	3.43	3.48	2184187	7568689.00
2011/11/10	3.49	3.83	3.47	3.64	16018475	59053796.00
2011/11/11	3.65	3.70	3.52	3.56	7317539	26088450.00
2011/11/14	3.56	3.59	3.51	3.59	5905194	20971664.00
2011/11/15	3.58	3.58	3.50	3.55	4179859	14807231.00
2011/11/16	3.54	3.56	3.46	3.47	3513833	12305759.00
2011/11/17	3.45	3.49	3.44	3.45	1773358	6136248.00
2011/11/18	3.43	3.44	3.35	3.36	2831201	9579837.00
2011/11/21	3.35	3.42	3.30	3.40	2115506	7073955.00
2011/11/22	3.37	3.42	3.35	3.40	1644030	5572262.00
2011/11/23	3.40	3.43	3.37	3.37	927401	3139698.00
2011/11/24	3.37	3.40	3.32	3.37	1258201	4231459.00
2011/11/25	3.38	3.39	3.32	3.34	685475	2295351.00
2011/11/28	3.31	3.34	3.27	3.31	1572081	5200090.00
