601006 大秦铁路 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.97	6.02	5.94	5.95	22962943	164853568.00
2011/10/11	6.09	6.14	5.95	6.02	31346873	227072848.00
2011/10/12	5.97	6.28	5.97	6.23	42359050	312577248.00
2011/10/13	6.19	6.31	6.17	6.30	41083670	307567456.00
2011/10/14	6.29	6.35	6.21	6.32	29701917	222430288.00
2011/10/17	6.31	6.33	6.25	6.29	20950968	157119840.00
2011/10/18	6.24	6.28	6.14	6.14	20710645	153088912.00
2011/10/19	6.18	6.25	6.14	6.22	16087290	119286960.00
2011/10/20	6.17	6.26	6.08	6.13	26201151	192960608.00
2011/10/21	6.17	6.25	6.13	6.19	22299204	165307456.00
2011/10/24	6.25	6.50	6.23	6.47	40134322	305885024.00
2011/10/25	6.40	6.52	6.38	6.49	46007282	352744576.00
2011/10/26	6.40	6.61	6.40	6.45	50176925	387043168.00
2011/10/27	6.45	6.70	6.45	6.49	58941867	456533312.00
2011/10/28	6.56	6.67	6.47	6.51	51023649	395642976.00
2011/10/31	6.48	6.57	6.46	6.47	31974294	246581712.00
2011/11/01	6.44	6.64	6.44	6.55	41469790	321804192.00
2011/11/02	6.45	6.66	6.44	6.64	35109974	272590976.00
2011/11/03	6.63	6.70	6.54	6.56	38950467	305116096.00
2011/11/04	6.64	6.66	6.53	6.61	31734979	247410752.00
2011/11/07	6.56	6.63	6.55	6.58	14499877	113106704.00
2011/11/08	6.61	6.62	6.48	6.52	21290056	165081744.00
2011/11/09	6.57	6.61	6.50	6.60	22584564	175550784.00
2011/11/10	6.56	6.66	6.52	6.57	30440740	237991840.00
2011/11/11	6.59	6.70	6.56	6.65	26620820	208931536.00
2011/11/14	6.72	6.84	6.69	6.82	41054361	328168288.00
2011/11/15	6.78	6.83	6.72	6.76	19651837	156509712.00
2011/11/16	6.78	6.79	6.39	6.47	38479560	299615136.00
2011/11/17	6.47	6.52	6.23	6.27	72090822	544864832.00
2011/11/18	6.25	6.30	6.19	6.25	39674213	295774272.00
2011/11/21	6.28	6.38	6.25	6.38	24337373	183282384.00
2011/11/22	6.35	6.38	6.26	6.36	24818055	186996528.00
