601007 金陵饭店 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.94	8.04	7.90	7.95	343652	2795924.00
2011/10/11	8.07	8.19	7.61	7.77	1769841	14232073.00
2011/10/12	7.73	7.99	7.69	7.96	1027109	8286691.00
2011/10/13	7.93	8.06	7.92	8.00	713785	5846619.00
2011/10/14	7.97	8.03	7.87	7.95	542902	4420422.00
2011/10/17	7.93	8.04	7.93	7.99	472700	3871228.00
2011/10/18	7.96	8.03	7.86	7.87	525816	4289293.00
2011/10/19	7.87	7.92	7.73	7.74	730525	5844863.00
2011/10/20	7.69	7.78	7.51	7.54	729801	5690247.00
2011/10/21	7.53	7.59	7.49	7.55	428231	3309468.00
2011/10/24	7.61	7.67	7.46	7.66	568473	4417279.00
2011/10/25	7.67	7.81	7.61	7.79	758728	5999869.00
2011/10/26	7.72	7.90	7.72	7.84	879289	7069634.00
2011/10/27	7.86	7.96	7.81	7.85	637434	5143962.00
2011/10/28	7.90	8.07	7.87	8.01	1595528	12979298.00
2011/10/31	8.02	8.24	7.97	8.05	909740	7514509.00
2011/11/01	8.05	8.11	7.98	8.10	1184847	9767606.00
2011/11/02	8.00	8.15	7.94	8.11	1089951	8975084.00
2011/11/03	8.13	8.23	8.11	8.15	1494218	12518752.00
2011/11/04	8.16	8.23	8.12	8.17	896242	7499528.00
2011/11/07	8.16	8.19	8.08	8.09	563784	4696975.00
2011/11/08	8.06	8.18	8.01	8.03	810691	6714338.00
2011/11/09	8.04	8.14	7.99	8.13	601821	4963354.00
2011/11/10	8.11	8.11	7.87	7.92	1748000	14261283.00
2011/11/11	7.92	8.02	7.90	7.91	808085	6594665.00
2011/11/14	7.97	8.20	7.94	8.19	1680271	13979773.00
2011/11/15	8.20	8.57	8.20	8.49	4806279	41298132.00
2011/11/16	8.42	8.46	8.17	8.20	2264348	19206064.00
2011/11/17	8.19	8.27	8.14	8.16	982620	8248055.00
2011/11/18	8.11	8.15	7.94	7.97	1217755	10005156.00
2011/11/21	7.94	8.06	7.94	8.05	912435	7469044.00
2011/11/22	8.00	8.10	7.94	8.06	548441	4511523.00
2011/11/23	8.06	8.16	8.03	8.05	726330	6009413.00
2011/11/24	7.98	8.06	7.89	8.01	582953	4770503.00
2011/11/25	8.02	8.05	7.88	7.91	551521	4500936.00
2011/11/28	7.93	7.99	7.89	7.95	422050	3430516.00
2011/11/29	8.04	8.09	7.97	8.06	556732	4582749.00
2011/11/30	8.05	8.05	7.66	7.75	1090564	8770772.00
2011/12/01	7.92	8.02	7.88	7.89	1213889	9882552.00
2011/12/02	7.89	7.89	7.49	7.55	2309217	18002588.00
2011/12/05	7.54	7.54	7.36	7.38	736192	5594975.00
2011/12/06	7.34	7.43	7.34	7.41	595310	4506774.00
2011/12/07	7.42	7.48	7.37	7.42	393830	3000311.00
2011/12/08	7.37	7.49	7.34	7.46	487188	3711133.00
2011/12/09	7.39	7.49	7.37	7.44	564059	4300227.00
2011/12/12	7.43	7.48	7.38	7.39	384479	2925867.00
2011/12/13	7.38	7.38	7.01	7.01	1806958	13238383.00
2011/12/14	7.01	7.05	6.80	6.82	703985	5007659.00
2011/12/15	6.78	6.84	6.69	6.74	810499	5642179.00
2011/12/16	6.81	6.92	6.72	6.91	1008607	7059723.00
2011/12/19	6.83	6.90	6.69	6.86	656492	4581127.00
2011/12/20	6.88	6.94	6.84	6.87	568200	4024796.00
2011/12/21	6.92	6.95	6.69	6.76	618885	4334174.00
2011/12/22	6.69	6.77	6.53	6.74	1077357	7398952.00
2011/12/23	6.62	6.96	6.62	6.87	907421	6410054.00
2011/12/26	6.87	6.94	6.81	6.81	651541	4601328.00
2011/12/27	6.81	6.81	6.61	6.63	535989	3688783.00
2011/12/28	6.61	6.65	6.44	6.57	602110	4049917.00
2011/12/29	6.53	6.69	6.53	6.62	578818	3958055.00
2011/12/30	6.62	6.77	6.31	6.54	1305701	8908111.00
2012/01/04	6.65	6.74	6.42	6.44	1455612	9877452.00
2012/01/05	6.44	6.44	6.24	6.26	890136	5789291.00
2012/01/06	6.23	6.34	6.13	6.29	529586	3399594.00
2012/01/09	6.27	6.54	6.23	6.52	1058626	7040683.00
2012/01/10	6.51	6.76	6.47	6.73	1933338	13180236.00
2012/01/12	6.64	6.78	6.61	6.67	1300636	8954787.00
2012/01/13	6.67	6.69	6.36	6.38	1394278	9307626.00
2012/01/16	6.29	6.37	6.23	6.23	875392	5690802.00
2012/01/17	6.27	6.59	6.21	6.59	1226175	8098768.00
2012/01/18	6.61	6.69	6.46	6.51	918493	6218463.00
2012/01/19	6.47	6.59	6.44	6.56	1085440	7285322.00
2012/01/20	6.59	6.67	6.58	6.66	913849	6235448.00
2012/01/30	6.69	6.71	6.58	6.59	998207	6819161.00
2012/01/31	6.59	6.64	6.53	6.62	563567	3815941.00
2012/02/01	6.61	6.66	6.50	6.51	617480	4178645.00
2012/02/02	6.52	6.71	6.52	6.71	1075276	7348061.00
2012/02/03	6.71	6.76	6.67	6.74	1229459	8496394.00
2012/02/06	6.74	6.77	6.71	6.76	1006567	6978799.00
2012/02/07	6.73	6.73	6.62	6.65	646931	4437214.00
2012/02/08	6.65	6.79	6.62	6.77	900948	6234415.00
2012/02/09	6.78	6.86	6.75	6.81	1156717	8102806.00
2012/02/10	6.81	6.93	6.75	6.85	1084535	7646002.00
2012/02/13	6.82	6.94	6.79	6.94	971373	6884793.00
2012/02/14	6.93	7.07	6.91	7.00	1386413	9965635.00
2012/02/15	7.06	7.09	6.96	7.08	1244018	8985968.00
2012/02/16	7.08	7.13	6.99	7.04	1023449	7428268.00
2012/02/17	7.08	7.19	7.07	7.11	1642886	12021663.00
2012/02/20	7.22	7.24	7.05	7.06	1680287	12336694.00
2012/02/21	7.02	7.10	6.98	7.10	1285299	9293413.00
2012/02/22	7.09	7.20	7.06	7.19	1295684	9507832.00
2012/02/23	7.17	7.21	7.13	7.19	953274	7019883.00
2012/02/24	7.16	7.32	7.12	7.31	2134573	15863481.00
2012/02/27	7.30	7.38	7.26	7.27	2040816	15352006.00
2012/02/28	7.25	7.26	7.15	7.20	1236903	9139781.00
2012/02/29	7.18	7.33	7.15	7.19	1304899	9686735.00
2012/03/01	7.19	7.25	7.18	7.21	602943	4467398.00
2012/03/02	7.24	7.36	7.22	7.31	1091810	8166762.00
2012/03/05	7.37	7.42	7.32	7.33	1454874	11005394.00
2012/03/06	7.34	7.34	7.18	7.27	1445054	10767860.00
2012/03/07	7.25	7.33	7.17	7.22	787505	5869244.00
2012/03/08	7.25	7.34	7.24	7.32	1346931	10093034.00
2012/03/09	7.31	7.49	7.31	7.48	2016990	15325591.00
2012/03/12	7.51	7.72	7.47	7.62	3476177	27139252.00
2012/03/13	7.60	7.63	7.52	7.60	1091934	8477261.00
2012/03/14	7.63	7.66	7.20	7.25	2077645	15882636.00
2012/03/15	7.23	7.30	7.02	7.14	1438810	10570161.00
2012/03/16	7.19	7.41	7.17	7.41	1444404	10820035.00
2012/03/19	7.39	7.75	7.36	7.65	3164625	24752836.00
2012/03/20	7.61	7.64	7.51	7.52	1721681	13361536.00
2012/03/21	7.57	7.64	7.43	7.60	1420688	10987080.00
2012/03/22	7.56	7.59	7.48	7.58	867313	6693017.00
2012/03/23	7.56	7.56	7.31	7.37	2248943	17024556.00
2012/03/26	7.32	7.43	7.24	7.31	1075868	8094114.00
2012/03/27	7.36	7.40	7.27	7.30	633174	4762529.00
2012/03/28	7.30	7.30	6.94	6.97	1434199	10402432.00
2012/03/29	7.00	7.09	6.86	6.99	1039427	7448414.00
2012/03/30	6.99	7.06	6.89	6.96	1021620	7298870.00
2012/04/05	7.00	7.15	6.93	7.15	1182174	8590800.00
2012/04/06	7.14	7.19	7.06	7.14	1111574	8146397.00
2012/04/09	7.09	7.16	7.06	7.09	765167	5579281.00
2012/04/10	7.08	7.36	7.07	7.34	1584658	11736970.00
2012/04/11	7.28	7.51	7.24	7.48	2145429	16229230.00
2012/04/12	7.48	7.63	7.43	7.56	2617426	20241706.00
2012/04/13	7.52	7.61	7.49	7.55	1922944	14890287.00
