601015 陕西黑猫 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/11/05	7.38	8.86	7.38	8.86	134600	1192408.00
2014/11/06	9.75	9.75	9.75	9.75	59100	576225.00
2014/11/07	10.73	10.73	10.73	10.73	57500	616975.00
2014/11/10	11.80	11.80	11.80	11.80	151700	1790060.00
2014/11/11	12.98	12.98	12.98	12.98	292400	3795352.00
2014/11/12	14.28	14.28	14.28	14.28	438550	6262494.00
2014/11/13	15.71	15.71	15.71	15.71	419900	6596629.00
2014/11/14	17.28	17.28	17.28	17.28	2928970	50612600.00
2014/11/17	19.00	19.01	17.81	19.01	59749519	1124766976.00
2014/11/18	19.40	20.85	18.51	19.07	67416372	1323012992.00
2014/11/19	18.06	20.15	17.30	18.74	38744407	719275904.00
2014/11/20	18.04	20.61	18.02	20.61	63110336	1250142976.00
2014/11/21	20.10	21.68	20.00	20.16	56192279	1157992448.00
2014/11/24	19.88	20.37	19.32	19.99	34687578	692586688.00
2014/11/25	19.63	19.80	18.52	19.14	31665840	605102336.00
2014/11/26	19.15	19.35	18.78	19.20	17938166	341944704.00
2014/11/27	19.31	19.49	18.80	19.00	17930829	343357920.00
2014/11/28	18.90	19.09	18.50	18.63	16556596	308860160.00
2014/12/01	18.75	20.49	18.32	20.49	46384040	920392320.00
2014/12/02	21.00	22.54	21.00	22.54	33582899	737176960.00
2014/12/03	23.60	24.19	21.00	21.43	54732214	1219576960.00
2014/12/04	20.96	22.50	20.70	21.51	37790081	814696960.00
2014/12/05	20.98	20.98	19.36	19.52	33477556	672746176.00
2014/12/08	19.01	19.50	18.78	19.02	21471827	409942176.00
2014/12/09	18.85	18.85	17.12	17.12	28593708	514857632.00
2014/12/10	16.80	17.72	16.01	17.39	18785668	320758432.00
2014/12/11	17.07	18.49	16.80	18.10	20011601	356862272.00
2014/12/12	17.85	18.20	17.46	17.60	13066439	230598096.00
2014/12/15	17.57	17.59	17.02	17.41	8182683	142012880.00
2014/12/16	17.30	17.99	17.30	17.81	13740017	242584832.00
2014/12/17	17.61	17.61	16.81	17.02	12351199	212406352.00
2014/12/18	16.88	17.38	16.60	16.63	9500400	160431008.00
2014/12/19	16.30	16.57	15.02	15.42	13028525	205770784.00
2014/12/22	15.29	15.29	13.88	13.89	14003243	200359664.00
2014/12/23	13.80	15.15	13.58	14.58	12684623	185363536.00
2014/12/24	14.67	14.98	14.45	14.96	9614608	142293632.00
2014/12/25	15.50	15.51	14.60	14.95	9756040	145904944.00
2014/12/26	14.76	14.97	14.60	14.68	6629956	97548744.00
2014/12/29	14.60	14.60	14.18	14.28	5856509	84238936.00
2014/12/30	14.35	14.68	14.11	14.27	4925603	70597208.00
2014/12/31	14.27	14.32	13.93	14.26	5626251	79561208.00
2015/01/05	14.23	15.69	14.10	15.69	15836953	240473328.00
2015/01/06	16.00	16.83	15.75	16.40	27008554	441222496.00
2015/01/07	16.18	16.21	15.57	15.96	10789321	171492768.00
2015/01/08	15.77	16.98	15.61	16.19	17726255	291649440.00
2015/01/09	15.90	15.90	15.43	15.53	10288030	161059520.00
2015/01/12	15.29	15.29	14.58	14.65	7375139	109170456.00
2015/01/13	14.50	15.33	14.41	14.90	6118513	91426776.00
2015/01/14	14.77	15.27	14.55	14.66	4534155	67420992.00
2015/01/15	14.56	14.90	14.56	14.77	4171006	61349288.00
2015/01/16	14.77	15.25	14.73	14.96	5576150	83487360.00
2015/01/19	14.75	15.42	14.01	14.52	7999269	118809104.00
2015/01/20	14.35	15.38	14.35	15.35	10417061	156600576.00
2015/01/21	15.50	15.65	15.15	15.56	11831353	182028912.00
