601058 赛轮金宇 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.19	7.29	7.09	7.18	5180969	39636916.00
2011/10/11	7.36	7.47	7.10	7.20	4788516	37245600.00
2011/10/12	7.11	7.88	7.10	7.74	8615311	69228336.00
2011/10/13	7.65	8.42	7.58	8.27	7782278	64302404.00
2011/10/14	8.15	8.52	8.10	8.44	10492947	91747120.00
2011/10/17	8.70	9.02	8.55	8.78	12272983	112193632.00
2011/10/18	8.68	8.68	8.25	8.27	7891273	70333672.00
2011/10/19	8.35	8.59	8.24	8.43	5732051	50834400.00
2011/10/20	8.42	8.49	8.05	8.22	5094255	44561056.00
2011/10/21	8.27	8.39	8.19	8.23	3568104	31151226.00
2011/10/24	8.29	8.51	8.02	8.50	7631997	67163944.00
2011/10/25	8.51	8.71	8.31	8.55	9777278	87974848.00
2011/10/26	8.45	9.05	8.39	8.73	11181082	103315648.00
2011/10/27	8.93	9.65	8.93	9.04	13362618	128182936.00
2011/10/28	9.23	9.34	8.99	9.09	9552434	91382840.00
2011/10/31	9.33	9.39	9.02	9.17	10160957	97753408.00
2011/11/01	9.11	9.35	9.03	9.25	8556862	82743216.00
2011/11/02	9.13	9.53	9.01	9.48	11565995	112993624.00
2011/11/03	9.55	9.71	9.37	9.48	11253681	112383384.00
2011/11/04	9.85	9.88	9.40	9.51	8019389	80075768.00
2011/11/07	9.55	10.03	9.46	9.73	9695682	98416600.00
2011/11/08	10.03	10.14	9.75	9.84	11880115	122887760.00
2011/11/09	10.03	10.03	9.33	9.45	12898074	128785520.00
2011/11/10	9.30	9.33	8.95	8.99	8071094	77262744.00
2011/11/11	8.95	9.16	8.90	8.97	3635022	34429824.00
2011/11/14	9.05	9.18	8.98	9.15	4219264	40342688.00
2011/11/15	9.15	9.62	9.08	9.38	7889567	77840648.00
2011/11/16	9.38	9.38	8.83	8.86	6039163	57443272.00
2011/11/17	8.87	8.96	8.75	8.79	3364694	31237672.00
2011/11/18	8.75	8.75	8.21	8.35	4297565	38122560.00
2011/11/21	8.35	8.45	8.23	8.44	1838362	16164128.00
2011/11/22	8.29	8.41	8.25	8.36	1476276	12997761.00
2011/11/23	8.35	8.43	8.30	8.31	1342729	11832857.00
2011/11/24	8.24	8.30	7.94	8.16	1937151	16606715.00
2011/11/25	8.24	8.30	8.09	8.16	1832742	15877419.00
2011/11/28	8.20	8.24	8.04	8.12	1230701	10565178.00
2011/11/29	8.28	8.33	8.16	8.30	1700681	14825400.00
2011/11/30	8.35	8.41	7.83	7.90	3048691	25991848.00
2011/12/01	8.07	8.28	8.06	8.08	2675500	23073674.00
2011/12/02	8.08	8.11	7.65	7.78	1668609	13880726.00
2011/12/05	7.75	7.82	7.55	7.57	1286856	10415792.00
