601100 恒立油缸 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/28	14.88	15.62	14.35	15.40	66347839	1546351360.00
2011/10/31	16.05	16.45	15.62	15.94	34531918	850092352.00
2011/11/01	16.18	16.58	15.89	16.10	26333826	656522624.00
2011/11/02	15.82	16.78	15.67	16.68	22286307	558689984.00
2011/11/03	16.35	16.58	15.63	15.76	28360661	702329344.00
2011/11/04	16.08	16.35	15.82	15.97	18550764	459297824.00
2011/11/07	15.75	15.81	15.18	15.21	15055149	358211840.00
2011/11/08	15.15	15.60	15.12	15.48	10603255	250849040.00
2011/11/09	15.48	15.58	15.22	15.54	7839781	186629168.00
2011/11/10	15.35	15.71	15.19	15.24	8099292	193114688.00
2011/11/11	15.12	15.27	14.67	14.86	11876301	273134624.00
2011/11/14	14.95	15.24	14.84	15.12	9422592	218651312.00
2011/11/15	15.04	15.20	14.90	15.12	6489412	150692016.00
2011/11/16	15.10	15.41	14.81	14.90	7996344	187224912.00
2011/11/17	14.86	15.20	14.86	14.97	4434115	102889744.00
2011/11/18	14.88	14.97	14.22	14.25	7924121	178022592.00
2011/11/21	14.25	14.47	14.03	14.42	4464663	98743592.00
2011/11/22	14.22	14.34	13.82	14.15	4275566	93172232.00
2011/11/23	14.20	14.35	13.98	14.06	3115460	68251280.00
2011/11/24	13.87	14.09	13.75	13.86	3647137	78614768.00
2011/11/25	13.88	14.14	13.82	13.97	3692473	79918824.00
2011/11/28	13.96	14.19	13.94	14.12	3632108	79146760.00
2011/11/29	14.22	14.27	14.00	14.18	3424842	74917320.00
2011/11/30	14.12	14.20	13.24	13.27	5981380	126185664.00
2011/12/01	13.65	13.77	13.28	13.30	6281101	131750032.00
2011/12/02	13.14	13.21	12.75	13.12	4605432	92853776.00
2011/12/05	13.02	13.11	12.56	12.60	2696663	53675004.00
2011/12/06	12.54	12.64	12.22	12.36	3879365	74901448.00
2011/12/07	12.36	12.54	12.29	12.50	2341873	45165228.00
2011/12/08	12.52	12.60	12.09	12.26	4798746	91955176.00
2011/12/09	12.09	12.32	11.80	11.87	3584481	67077804.00
2011/12/12	11.82	11.95	11.67	11.71	2494054	45892012.00
2011/12/13	11.68	11.75	11.24	11.33	3589211	63917820.00
2011/12/14	11.23	11.46	10.85	10.90	3826755	66351748.00
2011/12/16	10.63	11.19	10.61	11.16	5132862	86969224.00
2011/12/19	10.96	11.26	10.82	11.22	3934606	67625912.00
2011/12/20	11.15	11.40	10.55	10.86	3015200	52530200.00
2011/12/21	11.01	11.07	10.20	10.23	4588165	76236096.00
