601101 昊华能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	20.72	20.98	20.58	20.63	8417662	216548832.00
2011/10/11	21.31	21.39	18.93	19.40	17310192	428248928.00
2011/10/12	19.02	19.92	18.20	19.84	11055864	264028128.00
2011/10/13	19.69	20.01	19.52	19.76	7836298	191991440.00
2011/10/14	19.90	20.13	19.53	19.77	5343043	131305864.00
2011/10/17	19.98	20.09	19.67	19.73	4435427	109063016.00
2011/10/18	19.59	19.67	18.78	18.81	6418852	152514928.00
2011/10/19	18.93	19.05	18.53	18.66	3618636	84367016.00
2011/10/20	18.52	18.68	17.08	17.43	9944142	218784768.00
2011/10/21	17.23	17.59	16.99	17.03	4766611	102357320.00
2011/10/24	17.15	17.54	16.48	17.36	5419776	115426560.00
2011/10/25	17.48	18.31	17.15	18.21	8582061	190664112.00
2011/10/26	18.08	18.68	17.89	18.25	10465199	238334608.00
2011/10/27	18.27	18.48	18.15	18.30	5413128	123009736.00
2011/10/28	18.68	19.31	18.58	19.02	11565248	272378080.00
2011/10/31	18.92	19.05	18.73	18.81	6059412	141913120.00
2011/11/01	18.52	18.93	18.36	18.57	6870595	158883280.00
2011/11/02	18.16	18.68	17.86	18.65	7025596	159220832.00
2011/11/03	18.73	19.23	18.73	18.80	9575282	225354000.00
2011/11/04	19.03	19.21	18.89	19.01	6275369	148207488.00
2011/11/07	18.93	19.48	18.78	19.08	6212458	147899296.00
2011/11/08	19.20	19.56	19.08	19.38	10097082	242916176.00
2011/11/09	19.48	19.70	19.13	19.55	6999917	168914304.00
2011/11/10	19.35	19.55	19.18	19.18	7372466	176500064.00
2011/11/11	19.35	19.59	19.03	19.16	6246617	149945120.00
2011/11/14	19.48	19.83	19.37	19.78	10383071	253097904.00
2011/11/15	19.75	19.99	19.67	19.81	7365305	180899088.00
2011/11/16	19.85	19.87	19.06	19.11	8039330	193186512.00
2011/11/17	19.20	19.32	18.77	18.79	11042389	259556736.00
2011/11/18	18.48	18.48	17.75	17.79	11080331	247707712.00
2011/11/21	17.78	17.93	17.53	17.68	4367959	95873168.00
2011/11/22	17.61	17.73	17.37	17.66	4279077	93420704.00
2011/11/23	17.68	17.81	17.27	17.28	3875454	84307656.00
2011/11/24	17.17	17.38	16.93	17.11	4670776	99440112.00
2011/11/25	17.10	17.27	16.94	17.09	2780227	59234952.00
2011/11/28	17.25	17.26	16.91	17.10	2725472	58010480.00
2011/11/29	17.43	17.65	17.23	17.62	5323106	115672000.00
2011/11/30	17.62	17.62	16.53	16.63	5886591	124593216.00
2011/12/01	17.27	17.55	16.85	16.88	9087471	195093952.00
2011/12/02	16.77	16.77	16.18	16.33	5092666	103968200.00
2011/12/05	16.18	16.43	15.88	15.91	3666828	73370920.00
2011/12/06	15.91	16.25	15.84	16.04	2847631	56982692.00
2011/12/07	16.06	16.23	16.00	16.08	2594328	52146968.00
2011/12/08	16.10	16.33	15.60	16.06	3857396	77065952.00
2011/12/09	15.85	16.18	15.73	15.92	2027736	40357616.00
2011/12/12	15.89	15.89	15.43	15.48	2712451	52914580.00
2011/12/13	15.27	15.43	14.69	14.72	4526184	84795200.00
2011/12/14	14.77	14.93	14.19	14.25	3327649	60916444.00
2011/12/15	13.93	14.08	13.25	13.36	6367932	109138848.00
2011/12/16	13.36	13.93	13.31	13.88	5133144	87765336.00
2011/12/19	13.74	13.74	13.10	13.59	4806706	81266928.00
2011/12/20	13.52	13.86	13.46	13.56	3885035	66717508.00
2011/12/21	14.02	14.22	13.31	13.33	4300978	74472304.00
2011/12/22	13.03	13.77	12.85	13.52	5978832	100147792.00
2011/12/23	13.45	13.93	13.32	13.70	5513708	94769696.00
2011/12/26	13.53	13.91	13.45	13.52	3785955	65067072.00
2011/12/27	13.52	13.70	13.29	13.36	2799482	47443816.00
2011/12/28	13.26	13.49	12.97	13.46	3020447	50449652.00
2011/12/29	13.31	13.67	13.20	13.53	3166739	53849396.00
2011/12/30	13.67	13.86	13.56	13.80	4400752	76056568.00
2012/01/04	13.98	14.02	13.38	13.38	4306970	74287664.00
2012/01/05	13.24	13.61	13.15	13.21	3091356	51962192.00
2012/01/06	13.15	13.43	12.69	13.41	2706501	45024384.00
2012/01/09	13.37	14.82	13.37	14.82	14861416	270092640.00
2012/01/10	15.02	16.33	14.94	15.82	23008768	446919232.00
2012/01/11	15.73	16.14	15.48	15.81	16511003	325620128.00
2012/01/12	15.52	15.93	15.44	15.66	8882530	174114608.00
2012/01/13	15.71	15.98	15.04	15.27	10384096	201328272.00
2012/01/16	15.03	15.85	14.93	14.96	7840540	150549824.00
2012/01/17	15.14	16.52	14.83	16.52	15883732	314384576.00
2012/01/18	16.89	16.89	15.75	15.99	14481972	294644704.00
2012/01/19	15.99	16.41	15.75	16.26	11357141	228363008.00
2012/01/20	16.26	16.43	15.98	16.11	7976061	160837920.00
2012/01/30	16.22	16.22	15.70	15.73	6298580	125035512.00
2012/01/31	15.73	16.01	15.43	15.84	5455091	107146384.00
2012/02/01	15.72	15.89	15.07	15.13	7189890	138907056.00
2012/02/02	15.18	15.76	15.11	15.61	12015784	233032960.00
2012/02/03	15.42	15.68	15.30	15.63	8032135	155829088.00
2012/02/06	15.79	16.08	15.60	15.84	10843634	215190464.00
2012/02/07	15.76	15.77	15.32	15.59	6778637	131384792.00
2012/02/08	15.58	16.77	15.50	16.48	16615827	336086560.00
2012/02/09	16.48	16.88	16.31	16.51	15733125	326104064.00
2012/02/10	16.43	16.68	16.31	16.51	10548705	217321936.00
2012/02/13	16.29	17.02	16.18	16.83	11874803	247417856.00
2012/02/14	16.85	16.93	16.41	16.67	8986647	186396448.00
2012/02/15	16.62	17.12	16.39	16.79	11852725	248450512.00
2012/02/16	16.68	16.78	16.28	16.48	9675386	199731952.00
2012/02/17	16.63	16.73	16.28	16.38	5653613	116059416.00
2012/02/20	16.68	16.80	16.43	16.47	7789969	161531376.00
