601116 三江购物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	11.93	12.07	11.60	11.67	1045509	12858818.00
2011/10/11	12.05	12.11	11.43	11.67	1578457	19474072.00
2011/10/12	11.57	12.20	11.44	12.17	2551515	31997372.00
2011/10/13	12.15	12.43	12.06	12.29	2775311	35535288.00
2011/10/14	12.29	12.59	12.16	12.40	2594561	33476466.00
2011/10/17	12.42	12.54	12.21	12.40	1928701	24909394.00
2011/10/18	12.31	12.41	11.86	11.89	1771570	22369012.00
2011/10/19	11.95	12.01	11.65	11.79	1472557	18211808.00
2011/10/20	11.76	11.83	11.34	11.53	1804250	21774172.00
2011/10/21	11.40	11.61	11.30	11.35	1005335	12032196.00
2011/10/24	11.37	11.64	11.00	11.62	1784703	21258016.00
2011/10/25	11.56	11.90	11.41	11.83	2344561	28702880.00
2011/10/26	11.73	12.11	11.72	11.90	2894548	36173304.00
2011/10/27	11.80	12.08	11.71	11.74	2124915	26403708.00
2011/10/28	11.89	12.30	11.81	12.24	3930771	49885808.00
2011/10/31	12.25	12.35	12.05	12.23	2229625	28524106.00
2011/11/01	12.10	12.35	12.05	12.16	2586434	32992112.00
2011/11/02	11.97	12.40	11.82	12.37	3241164	40905540.00
2011/11/03	12.35	12.67	12.30	12.49	5035637	65544172.00
2011/11/04	12.54	12.62	12.33	12.50	2765343	35918872.00
2011/11/07	12.51	12.94	12.51	12.60	3849725	51093512.00
2011/11/08	12.52	12.63	12.14	12.21	3443304	44376464.00
2011/11/09	12.21	12.36	12.05	12.35	2035144	26002496.00
2011/11/10	12.16	12.30	11.99	12.00	2529461	32052404.00
2011/11/11	12.03	12.10	11.84	11.90	1653021	20673680.00
2011/11/14	12.03	12.29	11.97	12.26	2238347	28535608.00
2011/11/16	12.30	12.49	12.05	12.07	2758158	35316384.00
2011/11/17	12.05	12.11	11.80	11.94	1666220	20808694.00
2011/11/18	11.85	11.90	11.36	11.45	1818399	22125448.00
2011/11/21	11.45	11.65	11.36	11.64	1094041	13186729.00
2011/11/22	11.54	11.75	11.46	11.73	995867	12118553.00
2011/11/23	11.67	11.78	11.48	11.54	755602	9218875.00
2011/11/24	11.46	11.67	11.31	11.62	1017052	12263466.00
2011/11/25	11.60	11.81	11.50	11.70	1268988	15534810.00
2011/11/28	11.78	11.99	11.76	11.91	2227114	27717352.00
2011/11/29	12.00	12.04	11.84	11.99	1588264	19847120.00
2011/11/30	11.91	11.91	11.34	11.50	2414887	29284164.00
2011/12/01	11.82	12.23	11.68	12.09	3652450	45560304.00
2011/12/02	12.00	12.52	11.92	12.29	8456505	107867000.00
2011/12/05	12.05	12.23	11.55	11.55	3013578	37313912.00
2011/12/06	11.43	11.53	10.97	11.15	2632580	30916136.00
2011/12/07	11.13	11.29	11.06	11.17	1161929	13614099.00
2011/12/08	11.12	11.35	10.87	11.25	1690819	19771558.00
2011/12/09	11.15	11.24	10.95	11.02	1016097	11818847.00
2011/12/12	11.02	11.11	10.91	10.97	567638	6560326.00
2011/12/13	10.87	10.97	10.34	10.38	1668904	18586628.00
2011/12/14	10.38	10.39	9.93	10.00	1335605	14303227.00
2011/12/15	9.76	9.93	9.71	9.77	1095970	11339512.00
2011/12/16	9.77	10.23	9.77	10.21	1149977	12089037.00
2011/12/19	10.11	10.26	9.90	10.24	1004348	10652094.00
2011/12/20	10.12	10.39	10.12	10.26	1043404	11294181.00
2011/12/21	10.43	10.43	9.71	9.80	1133585	12088022.00
2011/12/22	9.75	9.76	9.27	9.62	1166157	11762548.00
2011/12/23	9.55	9.90	9.46	9.71	989308	10182828.00
2011/12/26	9.65	9.85	9.62	9.73	779871	8039411.00
2011/12/27	9.65	9.75	9.35	9.38	906820	9103996.00
2011/12/28	9.26	9.41	9.15	9.39	738056	7254880.00
2011/12/29	9.33	9.50	9.25	9.47	660006	6581142.00
2011/12/30	9.55	9.66	9.47	9.62	672414	6824745.00
2012/01/04	9.67	9.86	9.46	9.51	794842	8140541.00
2012/01/05	9.45	9.57	9.17	9.26	618507	6132276.00
2012/01/06	9.26	9.44	9.13	9.41	565889	5563394.00
2012/01/09	9.36	9.81	9.33	9.79	1136608	11581547.00
2012/01/10	9.76	10.25	9.65	10.19	2477598	26392088.00
2012/01/11	10.13	10.21	9.95	10.08	1908503	20293256.00
2012/01/12	9.96	10.13	9.94	10.00	1172702	12411485.00
2012/01/13	10.00	10.07	9.62	9.64	1053891	10841038.00
2012/01/16	9.51	9.62	9.26	9.29	675666	6755122.00
2012/01/17	9.23	9.81	9.23	9.81	838345	8525847.00
2012/01/18	9.78	9.90	9.47	9.53	1048044	10756323.00
2012/01/19	9.59	9.74	9.45	9.72	821097	8362255.00
2012/01/20	9.71	9.90	9.66	9.85	961300	9965481.00
2012/01/30	9.85	9.85	9.61	9.63	714553	7336396.00
2012/01/31	9.71	9.71	9.49	9.55	537187	5424194.00
2012/02/01	9.61	9.71	9.48	9.56	655774	6633159.00
2012/02/02	9.52	9.69	9.52	9.66	746789	7579983.00
2012/02/03	9.64	9.84	9.56	9.81	1237361	12755669.00
2012/02/06	9.82	10.03	9.80	9.90	1636219	17145774.00
2012/02/07	9.87	9.89	9.71	9.75	771293	7947993.00
2012/02/08	9.80	10.00	9.75	9.99	1342073	14045758.00
2012/02/09	9.99	10.23	9.96	10.10	2228460	23694648.00
2012/02/10	10.00	10.43	10.00	10.29	2733876	29450448.00
2012/02/13	10.14	10.69	10.10	10.59	5299311	58282744.00
2012/02/14	10.58	10.73	10.29	10.35	3834948	41890340.00
2012/02/15	10.34	10.43	10.13	10.39	3371995	36552044.00
2012/02/16	10.35	10.41	10.20	10.27	2216142	24046224.00
2012/02/17	10.35	10.36	10.20	10.25	1124144	12173221.00
2012/02/20	10.36	10.48	10.25	10.31	1496145	16328348.00
2012/02/21	10.31	10.36	10.16	10.36	1447303	15674827.00
2012/02/22	10.36	10.55	10.30	10.50	2469660	27163552.00
2012/02/23	10.48	10.58	10.36	10.49	2244484	24790116.00
2012/02/24	10.55	10.60	10.46	10.59	2491737	27601254.00
2012/02/27	10.60	10.77	10.52	10.55	3517551	39425896.00
2012/02/28	10.46	10.59	10.39	10.51	2185235	24106076.00
2012/02/29	10.46	10.68	10.46	10.50	1863508	20666124.00
2012/03/01	10.56	10.80	10.50	10.62	2692539	30216446.00
2012/03/02	10.63	10.97	10.63	10.85	4027575	45902688.00
2012/03/05	10.92	11.58	10.77	11.24	7172831	84110064.00
2012/03/06	11.20	11.20	10.88	10.92	3258017	37658004.00
2012/03/07	10.79	11.45	10.76	11.13	5945795	69931168.00
2012/03/08	11.08	11.45	11.08	11.26	6005096	70934736.00
2012/03/09	11.26	11.26	11.01	11.21	2802206	32715800.00
2012/03/12	11.15	11.45	11.03	11.44	3913673	46224020.00
2012/03/13	11.45	11.60	11.30	11.49	5030964	60448564.00
2012/03/14	11.56	11.57	10.60	10.64	4801930	56190868.00
2012/03/15	10.68	10.80	10.23	10.43	2689786	29706662.00
2012/03/16	10.40	10.83	10.40	10.82	2572408	28867172.00
2012/03/19	10.81	11.21	10.66	11.10	3165313	36702684.00
2012/03/20	11.10	11.13	10.76	10.80	2421328	27813696.00
2012/03/21	10.85	10.94	10.60	10.77	1395019	15756419.00
2012/03/22	10.80	10.84	10.61	10.65	1151778	12966327.00
2012/03/23	10.70	10.70	10.18	10.31	2128506	23238628.00
2012/03/26	10.23	10.41	10.23	10.38	931849	10130628.00
2012/03/27	10.44	10.48	10.23	10.29	1018756	11086939.00
2012/03/28	10.18	10.21	9.57	9.66	1596171	16506745.00
2012/03/29	9.70	9.75	9.47	9.51	1050352	10660128.00
2012/03/30	9.55	9.61	9.40	9.52	658062	6618554.00
2012/04/05	9.46	9.84	9.46	9.82	1382241	14163365.00
2012/04/06	9.85	9.85	9.66	9.75	1056980	10891248.00
2012/04/09	9.74	9.88	9.55	9.72	1161682	11972637.00
2012/04/10	9.71	9.84	9.49	9.83	1057261	10789700.00
2012/04/11	9.75	9.93	9.68	9.91	1464029	15187452.00
2012/04/12	9.84	10.34	9.84	10.12	2727461	29156424.00
2012/04/13	10.08	10.25	9.96	10.15	1703180	18171250.00
2012/04/16	10.12	10.20	10.00	10.12	958111	10189579.00
2012/04/17	10.18	10.30	9.95	9.96	1676740	18028438.00
2012/04/18	10.00	10.29	9.94	10.28	1566413	16786880.00
2012/04/19	10.40	10.60	10.26	10.35	2378839	26119292.00
2012/04/20	10.28	10.49	10.25	10.45	2261420	24746716.00
2012/04/23	10.40	10.77	10.35	10.56	2860227	31914688.00
2012/04/24	10.47	10.65	10.13	10.42	1704560	18679232.00
2012/04/26	10.65	11.45	10.65	11.07	6427250	73847600.00
2012/04/27	10.85	11.13	10.73	10.96	3055154	35005264.00
2012/05/02	11.00	11.41	10.80	11.29	6980632	81492952.00
2012/05/03	11.16	11.25	11.03	11.24	2436236	28502068.00
2012/05/04	11.17	11.33	10.89	11.19	2055262	23970064.00
2012/05/07	11.10	11.53	10.90	11.27	5383675	63553296.00
2012/05/08	11.24	11.30	11.01	11.15	2264174	26366276.00
2012/05/09	11.04	11.20	10.88	11.03	1706627	19676192.00
2012/05/10	11.01	11.11	10.87	11.02	1527309	17653920.00
2012/05/11	11.02	11.05	10.73	10.96	1596311	18299802.00
2012/05/14	11.05	11.05	10.77	10.87	972921	11124343.00
2012/05/15	10.75	11.65	10.75	11.58	6665073	78757376.00
2012/05/16	11.37	11.53	11.21	11.29	3047446	36261672.00
2012/05/17	11.33	11.92	11.21	11.29	10123243	120373616.00
