601137 博威合金 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	17.87	18.15	17.77	17.79	307116	5653284.00
2011/10/11	18.15	18.45	17.83	18.10	734188	13733167.00
2011/10/12	18.10	18.91	17.82	18.83	714609	13675742.00
2011/10/13	18.77	19.12	18.63	19.01	756002	14706040.00
2011/10/14	18.97	18.97	18.60	18.74	590441	11360518.00
2011/10/17	18.57	18.86	18.57	18.76	409152	7890800.00
2011/10/18	18.44	18.65	17.97	18.13	481614	9069695.00
2011/10/19	18.09	18.28	17.99	18.02	254079	4737669.00
2011/10/20	17.97	18.05	17.10	17.27	633600	11394818.00
2011/10/21	17.27	17.43	16.58	16.66	634491	11113253.00
2011/10/24	16.87	17.02	16.27	16.87	809520	13913184.00
2011/10/25	16.82	17.56	16.76	17.40	760336	13457386.00
2011/10/26	17.39	17.56	17.20	17.34	814232	14618922.00
2011/10/27	17.34	17.48	17.12	17.17	646337	11543191.00
2011/10/28	17.48	17.76	17.40	17.65	928470	16817568.00
2011/10/31	17.65	17.76	17.53	17.68	537431	9779695.00
2011/11/01	17.64	17.73	17.39	17.50	587792	10625246.00
2011/11/02	17.42	17.59	16.87	17.58	1259893	22280750.00
2011/11/03	17.85	18.26	17.71	17.95	1546650	28660392.00
2011/11/04	18.08	18.47	17.97	18.17	1174667	22007564.00
2011/11/07	17.91	18.64	17.91	18.39	1496598	28382668.00
2011/11/08	18.32	18.52	17.76	17.79	957226	17812822.00
2011/11/09	17.79	18.08	17.59	18.00	675637	12417207.00
2011/11/10	17.67	17.89	17.47	17.55	774890	14128511.00
2011/11/11	17.56	17.75	17.49	17.56	505412	9164072.00
2011/11/14	17.72	18.15	17.72	18.13	914055	16955426.00
2011/11/15	18.07	18.27	18.00	18.26	772932	14462405.00
2011/11/16	18.26	18.39	17.60	17.66	716156	13228344.00
2011/11/17	17.70	17.86	17.65	17.72	491168	8972124.00
2011/11/18	17.53	17.67	17.07	17.08	839998	15010925.00
2011/11/21	17.06	17.21	16.95	17.20	406462	7160267.00
2011/11/22	17.10	17.67	16.92	17.41	555624	9795940.00
2011/11/23	17.31	17.47	17.23	17.25	304799	5447211.00
2011/11/24	17.17	17.26	16.96	17.22	313206	5511013.00
2011/11/25	17.27	17.46	17.07	17.16	325056	5789031.00
2011/11/28	17.16	17.30	17.03	17.19	237627	4201779.00
2011/11/29	17.37	17.51	17.19	17.48	479819	8592637.00
2011/11/30	17.50	18.42	17.32	18.26	4473930	83079176.00
2011/12/01	19.12	20.03	18.67	19.67	5631632	111051568.00
2011/12/02	19.28	19.56	18.71	18.92	2551847	50045560.00
2011/12/05	19.07	19.36	18.37	18.48	2536800	49448200.00
2011/12/06	18.37	18.62	17.67	18.57	2305006	42934708.00
2011/12/07	18.41	18.97	18.27	18.74	2166013	41620680.00
2011/12/08	18.57	18.72	17.87	18.23	1802188	33902104.00
2011/12/09	17.88	18.22	17.37	17.43	1494261	27351456.00
2011/12/12	17.47	17.81	17.30	17.68	885489	16016427.00
2011/12/13	17.47	17.53	16.78	17.00	958480	16819704.00
2011/12/14	16.91	17.11	16.55	16.75	899084	15621852.00
2011/12/15	16.54	16.77	16.25	16.49	760366	12973644.00
2011/12/16	16.49	16.98	16.35	16.97	674240	11610276.00
2011/12/19	16.85	17.02	16.49	16.96	523323	9040781.00
2011/12/20	16.90	17.10	16.86	16.87	676657	11855717.00
2011/12/21	17.14	17.16	15.48	15.86	799596	13694979.00
2011/12/22	15.66	15.67	14.93	15.17	960869	15250322.00
2011/12/23	15.18	15.75	15.18	15.49	685584	10989579.00
2011/12/27	15.28	15.36	14.84	14.86	449685	6992440.00
2011/12/28	14.77	14.77	14.05	14.36	753728	11187802.00
