601139 深圳燃气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.63	6.77	6.63	6.67	748029	7922255.00
2011/10/11	6.88	6.92	6.58	6.67	766107	8158706.00
2011/10/12	6.60	6.85	6.60	6.83	2157791	23147936.00
2011/10/13	6.85	7.10	6.83	7.03	6835142	75222832.00
2011/10/14	7.01	7.01	6.78	6.87	3139412	34123716.00
2011/10/17	6.87	6.95	6.67	6.76	2368301	25352448.00
2011/10/18	6.73	6.73	6.60	6.62	1796510	18934932.00
2011/10/19	6.61	6.69	6.52	6.54	1288754	13420708.00
2011/10/20	6.54	6.54	6.15	6.37	2929413	29375820.00
2011/10/21	6.29	6.37	6.21	6.25	698471	6969537.00
2011/10/24	6.29	6.53	6.25	6.48	1294227	13084709.00
2011/10/25	6.47	6.60	6.39	6.55	1643198	16978464.00
2011/10/26	6.57	6.64	6.47	6.60	2494331	25968066.00
2011/10/27	6.63	6.63	6.53	6.59	1370867	14296706.00
2011/10/28	6.60	6.73	6.60	6.69	1478098	15585122.00
2011/10/31	6.69	6.71	6.57	6.63	1249875	13072296.00
2011/11/01	6.63	6.73	6.57	6.67	1367227	14476064.00
2011/11/02	6.57	6.93	6.51	6.87	2429198	26048952.00
2011/11/03	6.86	6.97	6.81	6.88	2973209	32351596.00
2011/11/04	6.87	7.04	6.80	6.96	2300225	25306764.00
2011/11/07	6.85	7.03	6.84	6.97	1142562	12567660.00
2011/11/08	6.97	7.01	6.82	6.90	1343502	14693645.00
2011/11/09	6.91	6.94	6.79	6.93	1913143	20699224.00
2011/11/10	6.84	6.97	6.82	6.87	2362408	25644292.00
2011/11/11	6.85	7.17	6.83	7.06	3291757	36722588.00
2011/11/14	7.07	7.38	7.07	7.26	3658072	41604200.00
2011/11/15	7.26	7.43	7.17	7.33	3157833	36329960.00
2011/11/16	7.30	7.39	7.17	7.27	2877939	33016324.00
2011/11/17	7.30	7.55	7.29	7.31	4488512	52158472.00
2011/11/18	7.37	7.39	7.24	7.35	6097864	70302864.00
2011/11/21	7.33	7.44	7.20	7.35	2148787	24783668.00
2011/11/22	7.35	7.49	7.29	7.40	2689867	31327060.00
2011/11/23	7.43	7.64	7.43	7.55	4481265	53387972.00
2011/11/24	7.53	7.61	6.98	7.27	5103861	59706644.00
2011/11/25	7.19	7.45	7.17	7.41	2107393	24445512.00
2011/11/28	7.41	7.61	7.41	7.61	2662680	31691466.00
2011/11/29	7.66	7.67	7.50	7.59	2354692	28088338.00
2011/11/30	7.61	7.61	7.25	7.45	2143835	25132704.00
2011/12/01	7.60	7.75	7.41	7.42	4827736	57274416.00
2011/12/02	7.45	7.59	7.30	7.41	1673733	19655710.00
2011/12/05	7.31	7.43	6.94	6.97	3941686	44225068.00
2011/12/06	6.97	7.09	6.77	6.96	3074697	33549792.00
2011/12/07	6.97	6.97	6.83	6.87	1335594	14495340.00
2011/12/08	6.81	6.95	6.77	6.87	1029088	11170757.00
2011/12/09	6.87	7.41	6.82	7.23	3454384	39111104.00
2011/12/12	7.17	7.30	7.07	7.18	1318584	14924077.00
2011/12/13	7.02	7.15	6.89	7.03	2131794	23580346.00
2011/12/14	7.03	7.19	6.95	7.10	866478	9715767.00
2011/12/15	7.11	7.20	6.92	7.10	1267334	14129434.00
2011/12/16	7.03	7.31	6.92	7.30	1613098	18084734.00
2011/12/19	7.24	7.42	7.17	7.37	5559692	64099668.00
2011/12/20	7.29	7.43	7.27	7.36	1364937	15801432.00
2011/12/21	7.37	7.44	7.25	7.30	789469	9122093.00
2011/12/22	7.20	7.35	7.03	7.31	1303073	14811271.00
2011/12/23	7.17	7.43	7.17	7.33	1554176	17885984.00
2011/12/26	7.24	7.33	7.10	7.13	670077	7586890.00
2011/12/27	7.17	7.17	6.98	7.02	645899	7196963.00
2011/12/28	7.11	7.69	7.09	7.23	3854956	44214384.00
2011/12/29	7.04	7.15	6.93	7.03	2557758	28223056.00
2011/12/30	6.97	7.07	6.83	7.04	2075023	22751756.00
2012/01/04	7.05	7.13	6.97	7.01	770238	8553920.00
2012/01/05	7.02	7.07	6.43	6.69	2372857	25034768.00
2012/01/06	6.55	6.63	6.46	6.57	1146952	11835706.00
2012/01/09	6.57	6.79	6.50	6.73	1259416	13319646.00
2012/01/10	6.70	7.05	6.67	7.01	1471292	16095469.00
2012/01/11	7.01	7.13	6.91	7.00	615391	6809097.00
2012/01/12	6.91	7.13	6.85	7.00	1336860	14848855.00
2012/01/13	7.06	7.06	6.71	6.79	819279	8844445.00
2012/01/16	6.79	6.79	6.52	6.63	499933	5255940.00
2012/01/17	6.69	6.93	6.61	6.90	2041873	21704620.00
2012/01/18	6.83	7.05	6.67	6.78	1449852	15792637.00
2012/01/19	6.63	6.90	6.63	6.85	978792	10586285.00
2012/01/20	6.80	6.94	6.80	6.93	1261051	13672294.00
