601168 西部矿业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	12.25	12.31	12.05	12.14	6472749	80327504.00
2011/10/11	12.55	12.59	12.10	12.20	9806841	123467808.00
2011/10/12	12.15	12.71	12.06	12.61	16277624	207163536.00
2011/10/13	12.52	12.92	12.48	12.72	17290175	224155024.00
2011/10/14	12.66	12.73	12.50	12.59	9137686	117411240.00
2011/10/17	12.67	12.81	12.49	12.60	8826463	113794632.00
2011/10/18	12.50	12.51	12.05	12.08	13942566	174359456.00
2011/10/19	12.10	12.33	12.05	12.10	8595401	106545120.00
2011/10/20	12.05	12.09	11.65	11.77	13058907	157848352.00
2011/10/21	11.76	11.85	11.35	11.37	11667795	137558448.00
2011/10/24	11.45	11.73	11.09	11.63	13120097	153782784.00
2011/10/25	11.68	12.31	11.51	12.06	20614359	251935552.00
2011/10/26	11.85	12.24	11.82	11.94	20522932	252169184.00
2011/10/27	12.04	12.08	11.85	11.95	13053847	159342272.00
2011/10/28	12.25	12.34	12.11	12.17	19346801	241393616.00
2011/10/31	12.10	12.14	11.95	11.99	13454376	165230080.00
2011/11/01	11.84	12.11	11.80	11.91	12187984	148842144.00
2011/11/02	11.65	12.05	11.49	12.04	17157137	205487504.00
2011/11/04	12.26	12.60	12.26	12.44	33764166	428054048.00
2011/11/07	12.40	12.45	12.27	12.28	14029516	176525872.00
2011/11/08	12.36	12.44	12.20	12.23	12532918	157569824.00
2011/11/09	12.29	12.44	12.02	12.33	15077579	188312896.00
2011/11/10	12.05	12.16	11.99	12.00	12957755	159579088.00
2011/11/11	12.09	12.11	11.90	11.96	8608630	105265120.00
2011/11/14	12.06	12.34	12.05	12.25	14636136	182270160.00
2011/11/15	12.23	12.30	12.16	12.27	11353758	141787152.00
2011/11/16	12.27	12.28	11.76	11.82	16805063	205351056.00
2011/11/17	11.82	11.94	11.73	11.78	9350011	112877512.00
2011/11/18	11.65	11.70	11.43	11.46	11458796	134990208.00
2011/11/21	11.44	11.59	11.38	11.58	7960465	93387504.00
2011/11/22	11.43	11.54	11.25	11.44	7528669	87748728.00
2011/11/23	11.48	11.51	11.26	11.29	5518678	64012512.00
2011/11/24	11.24	11.36	11.08	11.26	7472286	85610232.00
2011/11/25	11.26	11.40	11.13	11.15	6616148	76139080.00
2011/11/28	11.21	11.31	11.07	11.16	6177941	70619288.00
2011/11/29	11.31	11.39	11.20	11.38	8086891	93277984.00
2011/11/30	11.35	11.36	10.52	10.65	15402163	171741472.00
2011/12/01	11.08	11.40	10.97	10.98	19769549	225942656.00
2011/12/02	10.97	10.97	10.60	10.63	9841830	108245512.00
2011/12/05	10.62	10.69	10.34	10.36	8648248	92741368.00
2011/12/06	10.36	10.48	10.29	10.41	5635807	59827908.00
2011/12/07	10.41	10.48	10.34	10.45	5065752	53996876.00
2011/12/08	10.47	10.47	10.04	10.22	10607952	111306016.00
2011/12/09	10.12	10.16	9.93	9.96	7727242	79414120.00
2011/12/12	9.95	10.01	9.74	9.75	8299025	83724040.00
2011/12/13	9.75	9.75	9.41	9.45	12079349	117918040.00
