601226 华电重工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/12/11	12.00	14.40	12.00	14.40	125400	1798320.00
2014/12/12	15.84	15.84	15.84	15.84	59500	942480.00
2014/12/15	17.42	17.42	17.42	17.42	104400	1818648.00
2014/12/16	19.16	19.16	19.16	19.16	166700	3193972.00
2014/12/17	21.08	21.08	20.02	21.08	67243710	1390518912.00
2014/12/18	20.94	23.19	20.51	23.19	45376414	1014012864.00
2014/12/19	24.00	25.51	23.36	24.26	82847626	2053547392.00
2014/12/22	22.40	22.40	21.83	21.83	11304411	249521856.00
2014/12/23	19.65	22.49	19.65	19.98	57428014	1167131776.00
2014/12/24	19.80	20.73	19.30	20.30	35723840	717341632.00
2014/12/25	20.00	21.66	19.52	20.91	40216911	832595648.00
2014/12/26	20.40	20.96	20.14	20.39	32001126	652936128.00
2014/12/29	20.19	20.19	18.89	19.29	29562487	574591488.00
2014/12/30	19.51	19.78	18.39	18.48	21229760	402852992.00
2014/12/31	18.39	18.83	18.03	18.56	14036834	258675280.00
2015/01/05	18.43	18.50	18.01	18.21	15803542	287859648.00
2015/01/06	18.08	19.12	17.80	18.85	24014130	447110784.00
2015/01/07	18.77	18.86	18.21	18.39	13904360	256332448.00
2015/01/08	18.22	18.88	18.11	18.26	14775864	273651136.00
2015/01/09	18.15	18.83	18.10	18.57	18241694	337594016.00
2015/01/12	18.55	18.55	17.25	17.30	17033583	303104768.00
2015/01/13	17.11	17.58	17.04	17.24	8543232	147495584.00
2015/01/14	17.24	17.67	17.20	17.53	9566389	167097232.00
2015/01/15	17.54	18.06	17.18	17.61	11286778	199050656.00
2015/01/16	17.50	18.25	17.40	17.89	13423886	240361104.00
2015/01/19	17.28	18.26	17.11	17.42	16014551	284090976.00
2015/01/20	17.47	18.68	17.47	18.62	23268974	424454560.00
2015/01/21	18.60	18.87	18.38	18.72	19752713	366863488.00
2015/01/22	18.83	19.48	18.60	19.18	22094740	421073216.00
2015/01/23	19.20	19.20	18.50	18.59	14690839	275752608.00
2015/01/26	18.45	18.75	18.40	18.62	7927349	146917360.00
2015/01/27	18.55	18.65	18.11	18.29	9312421	170902128.00
2015/01/28	18.19	18.48	17.93	18.14	6742366	122968528.00
2015/01/29	18.01	18.19	17.91	17.93	6037519	108693680.00
2015/01/30	18.06	19.72	17.94	19.72	18005306	346337088.00
2015/02/02	20.09	20.78	19.40	19.76	40336280	808643968.00
2015/02/03	19.11	19.49	18.88	19.20	19671050	375935552.00
2015/02/04	19.26	19.37	18.55	18.67	12761127	241951776.00
2015/02/05	18.80	18.97	18.42	18.45	8970050	167320416.00
2015/02/06	18.31	18.40	17.34	17.43	12834556	227343104.00
2015/02/09	17.22	17.55	17.08	17.38	4907065	84797408.00
2015/02/10	17.38	17.50	17.22	17.47	4179490	72542232.00
2015/02/11	17.42	17.89	17.42	17.69	5923094	104444752.00
2015/02/12	17.70	17.86	17.50	17.67	4704373	83136560.00
2015/02/13	17.76	18.17	17.76	17.87	6128404	109956888.00
2015/02/16	18.00	18.05	17.80	17.87	5608923	100288168.00
2015/02/17	17.88	18.26	17.88	18.08	6022196	108958728.00
2015/02/25	18.10	18.13	17.81	17.85	3752637	67198512.00
2015/02/26	17.83	18.49	17.81	18.48	10164718	185643296.00
2015/02/27	18.50	18.55	18.33	18.50	8243617	151879968.00
2015/03/02	18.49	18.90	18.39	18.89	9738286	181887424.00
2015/03/03	18.80	18.93	18.61	18.89	10937617	205061088.00
2015/03/04	18.95	19.18	18.82	18.92	9484043	179693184.00
2015/03/05	18.92	19.17	18.60	19.08	25858577	490017728.00
2015/03/06	19.08	19.24	18.88	18.88	14160618	269903872.00
2015/03/09	18.72	18.72	18.09	18.49	8281052	152100944.00
