601258 庞大集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.80	10.98	10.65	10.82	769362	20832068.00
2011/10/11	11.07	11.09	10.61	10.94	1847119	50215260.00
2011/10/12	10.77	11.37	10.22	11.12	2037854	22795242.00
2011/10/13	10.97	11.26	10.69	10.92	4035487	44236068.00
2011/10/14	10.87	10.87	10.66	10.80	2990568	32174022.00
2011/10/17	10.81	10.86	10.66	10.70	1706304	18367160.00
2011/10/18	10.64	11.46	10.25	11.07	12295123	135469408.00
2011/10/19	11.02	11.32	10.77	11.04	5550497	61221792.00
2011/10/20	10.98	11.02	10.47	10.81	2809880	30230828.00
2011/10/21	10.57	10.75	10.45	10.64	2321835	24653548.00
2011/10/24	10.57	10.84	10.23	10.77	4119450	43464280.00
2011/10/25	10.52	10.72	10.34	10.62	5474179	58009944.00
2011/10/27	10.50	11.02	9.99	10.07	32103265	335309408.00
2011/10/28	10.02	10.02	9.48	9.78	21523535	208181120.00
2011/11/01	10.17	10.76	10.02	10.76	52925856	565985856.00
2011/11/02	10.37	10.71	10.27	10.67	32502650	342448736.00
2011/11/03	10.65	10.80	10.41	10.57	23503566	249260736.00
2011/11/04	10.55	10.67	10.40	10.56	14713431	155248080.00
2011/11/07	10.46	10.59	10.15	10.18	10683524	111117008.00
2011/11/08	10.10	10.22	10.03	10.04	9123924	92379856.00
2011/11/09	10.07	10.13	9.90	10.10	6823950	68566216.00
2011/11/10	9.96	10.02	9.78	9.79	9335201	92545832.00
2011/11/11	9.84	9.90	9.79	9.84	5352959	52804256.00
2011/11/14	9.96	10.05	9.87	10.02	7883200	78871736.00
2011/11/15	10.01	10.14	9.97	10.08	5836010	58857412.00
2011/11/16	10.03	10.14	9.81	9.92	7638436	76605144.00
2011/11/17	9.88	9.99	9.82	9.83	4150455	41104280.00
2011/11/18	9.78	9.78	9.49	9.53	4579534	44078696.00
2011/11/21	9.57	9.60	9.38	9.48	2409081	22868448.00
2011/11/22	9.43	10.14	9.39	9.89	9180128	91090984.00
