601299 中国北车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.92	3.93	3.85	3.89	23868733	105895544.00
2011/10/11	3.97	4.01	3.85	3.91	23806201	107041384.00
2011/10/12	3.89	4.14	3.86	4.09	72292677	336364768.00
2011/10/13	4.09	4.27	4.09	4.25	102214146	496248608.00
2011/10/14	4.21	4.32	4.18	4.26	66110231	323812416.00
2011/10/17	4.26	4.34	4.25	4.29	54729671	271149344.00
2011/10/18	4.25	4.28	4.17	4.18	43529431	211181488.00
2011/10/19	4.18	4.30	4.14	4.25	48530108	236927072.00
2011/10/20	4.22	4.29	4.15	4.25	61698843	298590208.00
2011/10/21	4.23	4.33	4.20	4.26	47095236	232311776.00
2011/10/24	4.29	4.37	4.21	4.35	86825986	429591424.00
2011/10/26	4.42	4.75	4.40	4.51	176597885	932186816.00
2011/10/27	4.52	4.57	4.44	4.45	68915311	358612736.00
2011/10/28	4.50	4.64	4.49	4.54	77849777	410926240.00
2011/10/31	4.53	4.53	4.43	4.51	47320492	245116528.00
2011/11/01	4.45	4.61	4.44	4.53	66766579	351320352.00
2011/11/02	4.49	4.73	4.45	4.70	108021746	578296064.00
2011/11/03	4.73	4.74	4.65	4.67	76247688	415551104.00
2011/11/04	4.71	4.81	4.63	4.69	54620376	297594976.00
2011/11/07	4.65	4.68	4.58	4.60	46181223	247397984.00
2011/11/08	4.58	4.61	4.44	4.45	58491472	303318400.00
2011/11/09	4.45	4.50	4.38	4.47	42927541	220363072.00
2011/11/10	4.43	4.45	4.37	4.39	35930805	182963152.00
2011/11/11	4.41	4.45	4.37	4.41	24646262	125634560.00
2011/11/14	4.45	4.47	4.43	4.45	46573711	239729968.00
2011/11/15	4.46	4.48	4.40	4.46	35266654	181015344.00
2011/11/16	4.46	4.46	4.33	4.37	52655078	265271200.00
2011/11/17	4.37	4.43	4.31	4.41	30596598	154243120.00
2011/11/18	4.37	4.45	4.34	4.40	27031570	136761168.00
2011/11/21	4.40	4.44	4.37	4.44	24038380	122794104.00
2011/11/22	4.40	4.43	4.33	4.41	19306582	97696512.00
2011/11/23	4.41	4.41	4.32	4.33	18757807	94128488.00
2011/11/24	4.29	4.37	4.20	4.37	28627679	140728160.00
2011/11/25	4.33	4.33	4.26	4.26	14785652	73143392.00
2011/11/28	4.27	4.31	4.24	4.28	13052280	64305424.00
2011/11/29	4.33	4.36	4.29	4.32	13492849	67165664.00
2011/11/30	4.31	4.33	4.12	4.22	22238145	108323376.00
2011/12/01	4.29	4.35	4.26	4.33	27999071	139369824.00
2011/12/02	4.33	4.38	4.29	4.37	29195655	146677840.00
2011/12/05	4.37	4.37	4.23	4.35	16979012	84147776.00
2011/12/06	4.31	4.33	4.26	4.33	10761885	53313776.00
2011/12/07	4.33	4.33	4.29	4.33	14791985	73571648.00
2011/12/08	4.32	4.34	4.25	4.32	14878808	73725992.00
2011/12/09	4.28	4.32	4.25	4.28	12921446	63802896.00
2011/12/12	4.28	4.28	4.21	4.24	11044090	53962816.00
2011/12/13	4.23	4.23	4.02	4.06	25862147	120972320.00
2011/12/14	4.04	4.07	3.97	4.01	18783421	86007376.00
2011/12/15	3.97	4.01	3.89	3.91	21930942	98544576.00
2011/12/16	3.91	4.00	3.86	3.98	30214407	134941648.00
2011/12/19	3.94	3.97	3.89	3.93	19734275	88546808.00
2011/12/20	3.93	3.97	3.92	3.92	13801304	62177880.00
2011/12/21	3.94	3.97	3.85	3.89	11672784	52233356.00
2011/12/22	3.87	3.90	3.81	3.87	19311205	85135224.00
2011/12/23	3.87	3.97	3.85	3.91	21021344	94010512.00
2011/12/26	3.89	3.89	3.69	3.76	48071323	208297280.00
2011/12/27	3.72	3.84	3.64	3.73	29793641	125909696.00
2011/12/28	3.70	3.73	3.63	3.68	25156143	104987440.00
2011/12/29	3.69	3.77	3.68	3.72	41224324	174339072.00
2011/12/30	3.73	3.74	3.69	3.73	20493394	86723448.00
2012/01/04	3.75	3.76	3.65	3.66	26342240	111422704.00
2012/01/05	3.65	3.73	3.61	3.65	25413741	105944032.00
