601333 广深铁路 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	2.95	2.99	2.92	2.94	7686840	24658206.00
2011/10/11	2.99	3.02	2.93	2.95	12133024	39185696.00
2011/10/12	2.93	3.03	2.93	3.03	17205705	56054924.00
2011/10/13	3.02	3.08	2.99	3.05	29157909	96344160.00
2011/10/14	3.04	3.07	3.01	3.05	13746761	45279696.00
2011/10/17	3.05	3.12	3.04	3.07	14594707	48818704.00
2011/10/18	3.05	3.06	2.99	3.01	8206281	26985452.00
2011/10/19	3.02	3.06	3.00	3.02	7295584	23975866.00
2011/10/20	3.03	3.03	2.93	2.97	7850768	25389608.00
2011/10/21	2.97	3.00	2.96	2.97	4991144	16151674.00
2011/10/24	2.99	3.05	2.96	3.04	10579015	34598576.00
2011/10/25	3.03	3.10	3.03	3.09	15599973	52012680.00
2011/10/26	3.09	3.22	3.08	3.13	32125721	110222320.00
2011/10/27	3.15	3.23	3.11	3.14	14571887	49941564.00
2011/10/28	3.18	3.21	3.13	3.18	15732349	53982768.00
2011/10/31	3.18	3.25	3.15	3.19	20433980	70792864.00
2011/11/01	3.17	3.23	3.15	3.19	19638656	67815776.00
2011/11/02	3.16	3.22	3.14	3.22	20306147	69720704.00
2011/11/03	3.20	3.24	3.19	3.20	17907130	62267656.00
2011/11/04	3.21	3.25	3.20	3.23	17697850	61724008.00
2011/11/07	3.21	3.24	3.19	3.21	9539416	33149252.00
2011/11/08	3.22	3.26	3.21	3.23	16597866	58032920.00
2011/11/09	3.24	3.25	3.19	3.23	13260240	46089424.00
2011/11/11	3.20	3.21	3.17	3.19	10328949	35597648.00
2011/11/14	3.22	3.22	3.19	3.22	10689261	37074928.00
2011/11/15	3.22	3.22	3.18	3.21	10793872	37329716.00
2011/11/16	3.20	3.21	3.07	3.11	17608639	59690504.00
2011/11/17	3.12	3.13	3.06	3.08	11546461	38703176.00
2011/11/18	3.06	3.08	3.03	3.03	8682855	28732360.00
2011/11/21	3.04	3.06	3.01	3.05	4855495	16040617.00
2011/11/22	3.05	3.06	3.03	3.05	5830774	19274232.00
2011/11/23	3.06	3.07	3.01	3.05	5629563	18569156.00
2011/11/24	3.03	3.10	3.03	3.09	10752423	35786660.00
2011/11/25	3.09	3.11	3.06	3.07	8285420	27729098.00
2011/11/28	3.07	3.10	3.07	3.08	5893057	19732698.00
2011/11/29	3.09	3.11	3.08	3.11	5571499	18695094.00
2011/11/30	3.10	3.10	3.03	3.04	17295288	57152000.00
2011/12/01	3.08	3.11	3.04	3.06	12000580	40086776.00
2011/12/02	3.04	3.06	3.03	3.04	7412554	24467956.00
2011/12/05	3.04	3.06	3.03	3.04	8614695	28442320.00
2011/12/06	3.04	3.05	3.01	3.03	7889302	25989908.00
2011/12/07	3.03	3.16	3.02	3.15	26769575	90602232.00
2011/12/08	3.16	3.18	3.12	3.15	11235005	38337028.00
2011/12/09	3.16	3.19	3.13	3.18	6630130	22657844.00
2011/12/12	3.15	3.24	3.15	3.21	12827841	44395292.00
2011/12/13	3.20	3.22	3.17	3.18	15294533	52745788.00
2011/12/14	3.17	3.25	3.16	3.22	26449234	92315064.00
2011/12/15	3.21	3.22	3.16	3.19	12652085	43660404.00
2011/12/16	3.18	3.20	3.09	3.14	20299088	68967248.00
2011/12/19	3.12	3.20	3.07	3.19	11279149	38294656.00
2011/12/20	3.19	3.23	3.15	3.20	10162589	35182656.00
2011/12/21	3.20	3.23	3.20	3.22	10451940	36346336.00
2011/12/22	3.21	3.23	3.14	3.22	10588779	36571288.00
2011/12/23	3.21	3.28	3.20	3.25	19509366	68403624.00
2011/12/26	3.24	3.25	3.16	3.23	10213625	35397680.00
2011/12/27	3.22	3.22	3.14	3.18	9745983	33482708.00
2011/12/28	3.17	3.19	3.08	3.18	13389354	45575272.00
2011/12/29	3.17	3.20	3.14	3.17	5585732	19172244.00
