601336 新华保险 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/12/16	24.44	26.24	24.34	25.88	117177275	3013978368.00
2011/12/19	25.65	26.93	25.44	26.40	52416127	1393215744.00
2011/12/20	26.54	27.03	26.09	26.32	27480230	744248000.00
2011/12/21	26.58	27.09	25.73	25.83	22180360	599846784.00
2011/12/22	25.40	26.64	25.00	26.24	14722866	386845504.00
2011/12/23	25.96	26.61	25.26	26.53	12658980	337348512.00
2011/12/26	26.15	26.76	25.93	26.15	7469975	200983856.00
2011/12/27	25.89	28.82	25.46	26.51	13944132	385938080.00
2011/12/28	25.91	26.86	24.57	26.56	10747748	284469280.00
2011/12/29	26.05	27.74	26.05	27.56	9982846	277077408.00
2011/12/30	27.41	28.13	27.24	27.31	11365897	320882272.00
2012/01/04	27.36	27.99	27.14	27.41	7659030	215469104.00
2012/01/05	27.38	27.86	26.32	26.54	8982348	248863760.00
2012/01/06	26.04	27.65	26.04	27.58	6134233	168226624.00
2012/01/09	27.53	28.99	27.05	28.82	6715869	192597712.00
2012/01/10	28.82	29.74	28.44	29.56	8405120	250574176.00
2012/01/11	29.39	29.64	28.54	29.31	4795160	142677152.00
2012/01/12	29.06	30.39	29.06	29.82	5555409	168174288.00
2012/01/13	29.92	30.02	28.39	29.31	4972570	147160096.00
2012/01/16	28.94	29.21	27.57	27.72	3600578	105667096.00
2012/01/17	28.02	30.36	27.94	30.31	9177673	271016896.00
2012/01/18	29.98	30.34	28.62	29.17	6458792	195056032.00
2012/01/19	29.17	30.04	28.81	29.65	3814065	115275976.00
2012/01/20	29.54	31.66	29.54	31.33	6631448	207219248.00
2012/01/30	31.23	31.23	29.64	29.69	5263418	162543296.00
2012/01/31	29.57	30.01	29.24	29.97	2167097	65397656.00
2012/02/01	29.69	30.19	29.21	29.41	4416194	133139480.00
2012/02/02	29.10	30.74	28.37	30.53	5974537	179946080.00
2012/02/03	30.14	30.79	30.14	30.50	5294399	164317440.00
2012/02/06	30.44	30.54	29.42	29.91	5162336	157284176.00
2012/02/07	29.45	29.71	28.35	28.58	7208458	211658384.00
2012/02/08	28.60	30.40	28.52	30.12	4550580	136481968.00
2012/02/09	29.99	30.10	29.34	29.64	4249277	128594912.00
2012/02/10	29.33	30.67	29.33	29.84	3018026	92335496.00
2012/02/13	29.44	30.19	28.97	29.41	3820403	114491592.00
2012/02/14	29.39	29.43	28.92	29.16	2226764	66015324.00
2012/02/15	28.99	29.89	28.95	29.89	3710523	111913352.00
2012/02/16	29.89	29.97	29.07	29.28	3153273	94630216.00
2012/02/17	29.48	29.79	28.74	29.12	2461452	73077104.00
2012/02/20	29.59	29.88	29.19	29.29	5729514	172375088.00
2012/02/21	29.29	29.56	28.85	29.55	2488423	74217784.00
2012/02/22	29.44	30.20	29.23	30.01	5367417	162679744.00
2012/02/23	30.13	30.43	29.87	30.40	3865792	118509160.00
2012/02/24	30.43	30.66	30.04	30.40	4352743	134237376.00
2012/02/27	30.44	31.29	29.74	29.99	6887152	214045872.00
2012/02/28	29.83	30.03	29.02	29.29	8992529	268844416.00
2012/02/29	28.79	29.47	28.73	29.21	4910929	145645712.00
2012/03/01	29.04	29.34	28.84	29.06	1946705	57723568.00
2012/03/02	29.06	30.00	29.06	29.77	4090656	123082672.00
2012/03/05	29.89	29.99	28.54	28.91	5854879	173724336.00
2012/03/06	28.54	29.00	28.15	28.59	6182373	180050416.00
2012/03/07	28.04	28.64	28.00	28.45	3134396	90863864.00
2012/03/08	28.73	28.82	28.44	28.58	2582684	75303880.00
2012/03/09	28.57	29.04	28.55	28.76	2058899	60520400.00
2012/03/12	28.76	28.93	28.25	28.47	1570745	45567008.00
2012/03/13	28.58	29.49	28.24	29.40	6105810	181115744.00
2012/03/14	29.70	29.77	28.42	28.68	4377537	129905360.00
2012/03/15	28.54	29.58	28.54	29.41	4979819	148035584.00
2012/03/16	29.24	30.72	28.74	30.23	10241240	306638272.00
2012/03/19	29.95	30.42	29.57	29.95	4939596	150344416.00
2012/03/21	29.52	29.72	28.54	28.84	4003654	119088632.00
2012/03/22	28.84	29.08	28.60	28.88	1626079	47761880.00
2012/03/23	28.83	28.83	28.14	28.35	2532278	73262648.00
2012/03/26	28.29	29.70	28.15	29.09	2862989	84921832.00
2012/03/27	29.10	29.34	28.84	29.17	1774739	52710936.00
2012/03/28	28.65	28.94	28.24	28.30	2704450	79020640.00
2012/03/29	27.94	29.02	27.24	28.36	3435151	98861016.00
2012/03/30	28.04	28.54	27.76	28.15	1631093	46626036.00
2012/04/05	28.32	29.32	27.79	28.94	2022148	59371148.00
2012/04/06	28.96	30.02	28.58	29.78	3553350	106491720.00
2012/04/09	29.44	29.84	28.97	29.72	2333434	70182152.00
2012/04/10	29.64	29.65	28.85	29.56	1776415	52908440.00
2012/04/11	29.15	29.94	29.14	29.43	1593883	47901008.00
2012/04/12	29.24	30.74	29.09	30.43	4991775	152917904.00
2012/04/13	30.42	31.22	30.24	30.60	4995640	156366576.00
2012/04/16	30.47	30.77	30.15	30.52	1246302	38762496.00
2012/04/17	30.44	30.74	29.44	29.60	1656898	50343904.00
2012/04/18	29.72	30.70	29.27	30.35	3668675	112448968.00
2012/04/19	30.34	33.24	30.14	32.94	13419788	442018400.00
2012/04/20	32.84	34.84	32.45	34.79	12835633	440259488.00
2012/04/23	34.46	35.24	33.99	34.41	7900300	277029376.00
2012/04/24	33.74	35.92	33.24	34.65	11402995	402033856.00
2012/04/25	34.30	34.94	33.74	34.36	7274749	252845248.00
2012/04/26	34.15	34.83	33.21	33.60	6903373	237237072.00
2012/04/27	33.75	34.01	33.05	33.41	5818495	198031216.00
2012/05/02	33.78	35.94	33.72	34.28	8111518	285067840.00
2012/05/03	34.23	34.90	33.94	34.43	4846766	169527808.00
2012/05/04	34.19	34.74	34.10	34.40	2967949	103745776.00
2012/05/07	34.23	34.24	32.94	33.48	5132456	174645712.00
2012/05/08	33.32	33.56	32.74	33.04	3441561	115656872.00
2012/05/09	32.69	33.44	32.62	33.11	3105569	104715616.00
2012/05/10	32.94	33.39	32.69	33.06	2562560	86055016.00
2012/05/11	32.99	33.24	32.44	32.60	2493758	83364320.00
2012/05/14	32.89	32.89	31.86	31.91	5424079	178845056.00
2012/05/15	31.52	32.64	31.44	32.52	7197941	235427376.00
2012/05/16	32.35	32.51	31.95	32.07	5248614	172178640.00
2012/05/17	32.04	33.39	31.85	33.27	6218093	207440880.00
2012/05/18	32.85	33.24	32.16	32.59	3887418	129228952.00
2012/05/21	32.47	32.87	31.99	32.52	2093999	69087200.00
2012/05/22	32.82	33.28	32.43	33.11	3138517	104881152.00
2012/05/23	33.04	33.10	32.62	32.99	2692569	90088992.00
2012/05/24	32.84	33.44	32.17	32.24	2792880	93020064.00
2012/05/25	32.06	32.26	30.92	31.23	3434584	110137632.00
2012/05/28	31.19	31.92	31.04	31.62	2105938	67517248.00
2012/05/29	31.47	33.04	31.00	32.57	5801882	191087280.00
2012/05/30	32.39	32.56	32.05	32.29	2015812	66147328.00
2012/05/31	31.84	32.27	31.64	32.15	1714607	55810872.00
2012/06/01	32.15	32.82	32.12	32.22	3416668	112795416.00
2012/06/04	31.44	31.90	30.33	30.35	4995087	158066928.00
2012/06/05	30.42	30.84	30.04	30.59	3345473	103852720.00
2012/06/06	30.64	30.72	29.59	29.82	3986861	122610288.00
2012/06/07	30.24	30.44	29.47	29.89	4586035	139679648.00
2012/06/08	29.95	30.43	29.69	30.15	5802584	178239872.00
2012/06/11	30.16	31.07	30.16	30.75	5339428	166421120.00
2012/06/12	30.73	31.29	30.62	30.79	4807865	151533088.00
2012/06/13	30.69	33.93	30.59	33.93	10005219	329715040.00
2012/06/14	34.14	35.40	34.14	34.71	11813902	418142176.00
2012/06/15	34.74	35.76	34.00	35.05	9988410	353726272.00
