601515 东风股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/02/16	6.86	7.31	6.84	7.29	40925012	634496000.00
2012/02/17	7.21	7.24	6.91	7.13	23016782	356260544.00
2012/02/20	7.22	7.45	7.11	7.21	16158692	256423584.00
2012/02/21	7.15	7.37	7.05	7.35	14952065	236377952.00
2012/02/22	7.30	7.44	7.19	7.39	13422843	214880320.00
2012/02/23	7.35	7.55	7.30	7.36	10290702	166308672.00
2012/02/24	7.38	7.55	7.25	7.47	10983888	177513840.00
2012/02/27	7.56	7.56	7.31	7.41	9583339	155309360.00
2012/02/28	7.26	7.34	7.18	7.23	5845109	92854136.00
2012/02/29	7.20	7.41	7.18	7.24	4176267	66551072.00
2012/03/01	7.12	7.23	7.06	7.18	3397496	53287268.00
2012/03/02	7.20	7.35	7.16	7.33	4695296	74897432.00
2012/03/05	7.32	7.39	7.26	7.34	5491730	88241496.00
2012/03/06	7.31	7.31	7.16	7.24	4131613	65354296.00
2012/03/07	7.13	7.45	7.11	7.37	5851906	93775072.00
2012/03/08	7.44	7.55	7.33	7.40	8501966	138113984.00
2012/03/09	7.36	7.49	7.33	7.41	6041400	97921672.00
2012/03/12	7.41	7.72	7.35	7.56	9059944	148747712.00
2012/03/13	7.52	7.63	7.45	7.59	6288312	103442408.00
2012/03/14	7.59	7.59	6.81	6.95	7961793	126864368.00
2012/03/15	7.00	7.02	6.61	6.84	5720160	85708456.00
2012/03/16	6.76	6.98	6.76	6.94	4122709	62356228.00
2012/03/19	6.87	6.95	6.81	6.92	3180513	48190976.00
2012/03/20	6.91	6.95	6.65	6.75	4369282	65277012.00
2012/03/21	6.76	6.80	6.56	6.67	2863368	42246936.00
2012/03/22	6.67	6.89	6.57	6.83	3260380	48598924.00
2012/03/23	6.91	6.91	6.71	6.79	2379787	35772468.00
2012/03/26	6.82	6.95	6.73	6.89	2432804	36765128.00
2012/03/27	6.91	6.96	6.80	6.84	1694690	25628212.00
2012/03/28	6.92	6.92	6.34	6.42	2311534	33693724.00
2012/03/29	6.35	6.47	6.13	6.41	2542075	35693412.00
2012/03/30	6.34	6.53	6.21	6.33	2006590	28248086.00
2012/04/05	6.31	6.58	6.28	6.49	3330960	47658456.00
2012/04/06	6.47	6.69	6.42	6.51	2301043	33294608.00
2012/04/09	6.71	6.71	6.34	6.39	1885104	27126028.00
2012/04/10	6.39	6.41	6.15	6.40	1443947	20081604.00
2012/04/11	6.31	6.42	6.25	6.33	1109549	15584426.00
2012/04/12	6.33	6.55	6.27	6.47	3030631	43354336.00
2012/04/13	6.46	6.60	6.41	6.48	3335412	47937424.00
2012/04/16	6.45	6.63	6.36	6.58	3734542	54040004.00
2012/04/17	6.59	6.68	6.50	6.64	3929570	57266224.00
2012/04/18	6.64	6.76	6.62	6.70	3506277	51681548.00
2012/04/19	6.67	6.71	6.53	6.61	2741112	40058624.00
2012/04/20	6.58	6.79	6.58	6.73	4710090	69750672.00
2012/04/23	6.64	6.67	6.58	6.60	1983130	28976768.00
2012/04/24	6.54	6.64	6.31	6.53	2515248	35989372.00
2012/04/25	6.42	6.64	6.42	6.58	2479834	35963152.00
2012/04/26	6.65	6.68	6.56	6.60	1903197	27856944.00
2012/04/27	6.57	6.69	6.51	6.60	1993308	29081702.00
2012/05/03	6.77	6.77	6.61	6.65	4981857	73439848.00
2012/05/04	6.61	6.85	6.61	6.81	4544120	67362704.00
2012/05/07	6.76	6.90	6.72	6.80	2800393	41935096.00
2012/05/08	6.80	6.90	6.70	6.86	3806415	57165368.00
2012/05/09	6.78	6.83	6.68	6.70	1927791	28669492.00
2012/05/10	6.67	6.78	6.66	6.70	1576494	23350504.00
2012/05/11	6.66	6.69	6.46	6.50	2761510	40105764.00
2012/05/14	6.58	6.65	6.47	6.56	2546656	36949424.00
2012/05/15	6.54	6.67	6.48	6.65	2828954	41279024.00
2012/05/16	6.63	6.63	6.24	6.28	6254416	88873688.00
2012/05/17	6.21	6.42	6.21	6.36	3800698	53547636.00
2012/05/18	6.31	6.46	6.15	6.28	2714179	38018968.00
2012/05/21	6.21	6.39	6.21	6.35	2202294	30970044.00
2012/05/22	6.40	6.47	6.35	6.40	3261161	46366996.00
2012/05/23	6.40	6.41	6.30	6.36	1736173	24452082.00
2012/05/24	6.38	6.50	6.35	6.40	2445604	34763112.00
2012/05/25	6.42	6.42	6.25	6.25	1319898	18500160.00
2012/05/28	6.22	6.37	6.14	6.37	2283799	31795586.00
2012/05/29	6.35	6.49	6.33	6.46	5051428	71858232.00
2012/05/30	6.49	6.54	6.39	6.50	2732895	38207224.00
2012/05/31	6.49	6.60	6.44	6.54	2472000	34791940.00
2012/06/01	6.58	6.62	6.49	6.59	3584103	50817496.00
2012/06/04	6.48	6.63	6.44	6.47	2278692	32056754.00
2012/06/05	6.49	6.52	6.32	6.38	1709445	23636976.00
2012/06/06	6.36	6.43	6.30	6.32	1548493	21265380.00
2012/06/07	6.38	6.47	6.29	6.33	1582821	21761248.00
2012/06/08	6.37	6.44	6.28	6.43	4125899	56963840.00
2012/06/11	6.41	6.64	6.41	6.54	5047418	71006928.00
2012/06/12	6.48	6.56	6.42	6.45	1979141	27640376.00
2012/06/13	6.47	6.57	6.42	6.55	3489837	49077344.00
2012/06/14	6.54	6.62	6.51	6.58	4125378	58326188.00
2012/06/15	6.56	6.65	6.54	6.62	3748798	53296312.00
2012/06/18	6.63	6.66	6.56	6.59	2783627	39611712.00
2012/06/19	6.59	6.60	6.52	6.55	1888287	26683732.00
2012/06/20	6.57	6.62	6.53	6.55	2416339	34277684.00
2012/06/21	6.57	6.58	6.38	6.39	2150990	29915916.00
2012/06/25	6.39	6.41	6.10	6.11	1626635	22042042.00
2012/06/26	6.09	6.17	6.05	6.07	1649370	21817388.00
2012/06/27	6.09	6.13	5.97	5.98	1932928	25411136.00
2012/06/28	6.00	6.07	5.92	5.93	1538548	19967156.00
