601566 九牧王 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	22.00	22.00	21.50	21.85	523214	12505411.00
2011/10/11	22.45	22.50	21.59	21.78	845962	20347632.00
2011/10/12	21.51	22.50	21.20	22.30	1280622	30798146.00
2011/10/13	22.20	23.04	22.11	22.36	2074929	51078524.00
2011/10/14	22.20	22.69	21.50	22.17	1761175	42590104.00
2011/10/17	22.40	23.00	22.17	22.55	1821475	44968824.00
2011/10/18	22.41	22.92	22.00	22.38	1090453	26780148.00
2011/10/19	22.65	22.65	21.81	21.85	782351	18807076.00
2011/10/20	21.73	21.73	21.10	21.30	1554692	36325052.00
2011/10/21	21.38	21.38	20.86	21.02	615585	14232652.00
2011/10/24	21.12	21.83	20.93	21.60	702395	16441682.00
2011/10/25	21.60	22.99	21.60	22.76	1017961	24899304.00
2011/10/26	22.60	23.49	22.60	23.00	1600663	40331640.00
2011/10/27	22.83	23.36	22.81	23.04	492843	12344493.00
2011/10/28	23.42	23.60	23.10	23.34	1118104	28334388.00
2011/10/31	23.50	24.15	23.21	23.74	1340070	34657512.00
2011/11/01	23.51	24.62	23.38	24.27	1871620	49048296.00
2011/11/02	24.05	25.18	23.85	25.08	1056636	27924262.00
2011/11/03	25.08	25.86	24.28	24.46	2235100	60428320.00
2011/11/04	24.68	24.98	23.98	24.33	1219745	32197492.00
2011/11/07	24.40	25.00	23.88	24.02	1631057	42912240.00
2011/11/08	23.90	24.80	23.90	24.39	1197898	31663444.00
2011/11/09	24.47	24.61	24.15	24.57	801674	21180972.00
2011/11/10	24.33	24.55	23.72	24.28	1198930	31302248.00
2011/11/11	24.25	24.60	23.76	24.49	1130255	29666184.00
2011/11/14	24.70	25.03	24.49	24.89	1576743	42341748.00
2011/11/15	24.98	25.00	24.56	24.59	483032	12898935.00
2011/11/16	24.77	24.77	23.50	23.94	1098603	28515476.00
2011/11/17	23.88	24.11	23.62	23.76	523204	13531140.00
2011/11/18	23.74	23.75	22.80	23.22	1470634	37186520.00
2011/11/21	22.80	24.20	22.73	24.02	1435540	36519596.00
2011/11/22	23.74	24.60	23.60	24.50	1734728	45394840.00
2011/11/23	24.23	24.85	24.21	24.46	949552	25260244.00
2011/11/24	24.50	24.80	24.20	24.79	808651	21539552.00
2011/11/25	24.79	24.98	24.00	24.52	852240	22604800.00
2011/11/28	24.58	24.66	24.05	24.25	633328	16643079.00
2011/11/29	24.55	25.00	24.34	24.54	1090242	29078876.00
2011/11/30	24.30	24.79	23.40	24.10	1466053	37888384.00
2011/12/01	24.50	25.50	24.39	25.00	1408412	38014428.00
2011/12/02	24.64	24.94	24.08	24.50	751264	19902402.00
2011/12/05	24.59	24.59	22.80	23.02	2640092	66730144.00
2011/12/06	22.99	23.25	21.81	23.00	2484463	60807928.00
2011/12/07	22.71	23.16	22.16	22.58	1689533	41594272.00
2011/12/08	22.64	23.15	22.32	22.70	435690	10766446.00
2011/12/09	22.74	22.85	22.50	22.80	926508	22813800.00
2011/12/12	22.75	22.99	22.19	22.30	775600	18927504.00
2011/12/13	22.10	22.28	21.45	22.00	744170	17707606.00
2011/12/14	22.00	22.15	21.41	21.84	796560	18966024.00
2011/12/15	21.70	22.58	21.70	22.24	1299881	31369104.00
2011/12/16	22.37	23.27	22.21	23.24	1053027	26177980.00
2011/12/19	23.20	23.68	22.56	23.09	931664	23520484.00
2011/12/20	22.61	23.27	21.50	22.03	1824191	44028476.00
2011/12/21	22.03	22.39	21.25	21.38	1375006	32725260.00
2011/12/22	21.05	21.33	20.12	20.69	2436564	54861916.00
2011/12/23	20.42	20.97	20.30	20.87	891546	20199642.00
2011/12/26	20.87	21.00	20.48	20.49	693326	15783503.00
2011/12/27	20.49	20.49	19.40	19.49	1398821	30482300.00
2011/12/28	19.34	19.86	18.58	19.20	1576351	33442188.00
2011/12/29	19.10	19.40	18.70	18.91	899055	18848306.00
2011/12/30	18.80	19.48	18.80	19.41	1188095	25234436.00
2012/01/04	19.50	20.00	19.41	19.53	1350134	29326868.00
2012/01/05	19.40	19.88	18.26	18.84	1370275	28428776.00
2012/01/06	18.74	19.50	18.20	19.37	1352050	28021464.00
2012/01/09	19.21	20.42	19.12	20.35	880061	19244956.00
2012/01/10	20.12	20.84	20.12	20.65	1404115	31737168.00
2012/01/11	20.60	20.60	19.86	20.09	1451007	32194768.00
2012/01/12	20.07	20.38	19.08	19.32	2487493	53404508.00
2012/01/13	19.25	19.31	18.33	18.61	3837205	79490184.00
2012/01/16	18.51	18.65	17.85	17.89	1139390	22900200.00
2012/01/17	17.89	18.51	16.50	18.39	2998359	58964300.00
2012/01/18	18.05	18.48	16.66	16.81	3292722	64165248.00
2012/01/19	17.09	17.95	16.53	17.26	951772	18297720.00
2012/01/20	17.64	18.58	17.25	18.49	1916154	38515244.00
2012/01/30	18.40	19.03	18.05	18.33	1220974	25149688.00
2012/01/31	18.33	18.66	18.14	18.31	382123	7763210.00
2012/02/01	18.32	18.48	18.06	18.37	879093	17856452.00
2012/02/02	18.37	18.48	18.03	18.44	1154815	23531376.00
2012/02/07	18.63	19.35	18.09	19.09	5351521	111520624.00
2012/02/08	18.95	19.30	18.70	19.22	2364062	49502160.00
2012/02/09	19.15	19.68	19.02	19.56	2028578	43296076.00
2012/02/10	19.49	19.85	19.23	19.59	1943561	41986748.00
2012/02/13	19.41	20.18	19.26	19.99	1481087	32321172.00
2012/02/14	20.01	20.25	19.71	20.09	1738976	38163956.00
2012/02/15	20.25	20.35	19.85	20.05	1114638	24567586.00
2012/02/16	20.00	20.26	19.43	19.83	1530147	33571920.00
2012/02/17	19.81	19.97	19.35	19.46	987857	21354196.00
2012/02/20	19.62	19.85	19.36	19.45	532995	11532258.00
2012/02/21	19.45	20.09	19.38	20.04	1562220	33993776.00
2012/02/22	20.03	20.79	19.95	20.70	2563845	57801892.00
2012/02/23	20.90	21.77	20.45	21.30	2421142	55593188.00
2012/02/24	21.05	21.98	21.05	21.90	1957158	46370336.00
2012/02/27	21.80	21.99	21.20	21.65	1755287	41465392.00
2012/02/28	21.55	21.55	20.80	21.22	2684047	62001300.00
2012/02/29	21.10	21.45	20.80	21.29	765173	17818398.00
2012/03/01	21.11	21.46	20.95	21.33	301412	7014282.00
2012/03/02	21.39	21.56	21.05	21.38	861126	20021100.00
2012/03/05	21.38	21.40	20.95	21.26	1345093	31217252.00
2012/03/06	21.26	21.26	20.60	20.91	827645	18870162.00
2012/03/07	20.66	20.89	20.45	20.60	628365	14271941.00
2012/03/08	20.73	21.27	20.38	20.62	1503154	34170628.00
2012/03/09	20.66	21.24	20.66	21.15	1297232	29838564.00
2012/03/12	21.15	22.00	21.02	21.88	1399553	33094540.00
2012/03/13	21.78	22.20	21.55	21.82	1058991	25310544.00
2012/03/14	21.80	22.25	20.91	21.02	1579404	37230648.00
2012/03/15	21.10	21.36	20.89	21.08	723867	16755533.00
2012/03/16	21.05	22.10	21.05	22.08	1012638	24022830.00
2012/03/19	22.06	22.79	22.06	22.43	1816425	44422840.00
2012/03/20	22.52	22.55	21.39	21.48	2069423	49519992.00
2012/03/21	21.60	21.70	20.80	21.26	1140630	26420718.00
2012/03/22	21.20	21.25	20.81	21.11	399999	9208581.00
2012/03/23	21.10	21.17	20.89	21.01	392772	9044615.00
2012/03/26	20.98	21.29	20.72	21.24	385430	8870902.00
2012/03/27	21.10	21.84	20.90	21.27	730192	17056628.00
2012/03/28	21.27	21.30	20.71	20.93	649617	14918608.00
2012/03/29	20.65	21.00	19.90	20.49	691090	15490406.00
2012/03/30	20.45	20.70	20.10	20.67	541734	12213969.00
2012/04/05	20.67	21.50	20.67	21.48	707239	16403930.00
2012/04/06	21.49	21.95	21.30	21.60	638765	15083376.00
2012/04/09	21.36	21.90	21.36	21.80	765904	18186914.00
2012/04/10	21.70	21.90	21.06	21.69	420827	9853525.00
2012/04/11	21.60	22.04	21.22	21.32	615828	14590389.00
2012/04/12	21.46	21.57	20.70	21.00	2122706	48869132.00
2012/04/13	21.00	21.50	20.82	21.21	1642678	38020144.00
2012/04/16	20.88	21.30	20.88	20.95	713225	16511049.00
2012/04/17	20.90	21.08	20.74	20.74	527443	12043531.00
2012/04/18	20.79	20.88	20.65	20.76	1843414	41915420.00
2012/04/19	21.00	21.00	19.45	19.81	3574121	78452864.00
2012/04/20	19.78	20.22	19.71	20.16	2394077	52558652.00
2012/04/23	20.25	20.95	20.16	20.60	2748402	62008568.00
2012/04/24	20.35	21.10	20.30	21.02	1217182	27730908.00
2012/04/25	21.10	21.35	20.70	20.93	1660323	38332336.00
2012/04/26	20.65	21.40	20.65	21.36	1172337	27053768.00
2012/04/27	21.27	21.80	21.25	21.58	1006684	23660214.00
2012/05/02	21.80	22.11	21.43	22.01	2102137	50266168.00
2012/05/03	22.07	22.28	21.62	22.00	1173692	28146128.00
2012/05/04	21.96	22.24	21.72	22.11	916227	22044172.00
2012/05/07	21.98	22.75	21.86	22.60	1216811	29757764.00
2012/05/08	22.40	23.06	22.39	23.00	982924	24398428.00
2012/05/09	22.97	22.97	22.35	22.57	528134	12983538.00
2012/05/10	22.30	22.70	22.30	22.38	426129	10417054.00
2012/05/11	22.38	23.02	22.22	22.61	667035	16484537.00
2012/05/15	22.44	22.95	21.58	22.85	1030956	25124178.00
2012/05/16	22.80	22.95	22.45	22.51	352740	8742632.00
2012/05/17	22.50	22.86	22.21	22.66	602263	14810950.00
2012/05/18	22.60	22.60	22.05	22.45	699504	16949956.00
2012/05/22	22.46	23.07	22.38	22.91	574796	14280715.00
2012/05/23	22.93	22.93	22.51	22.89	495457	12244747.00
2012/05/24	22.85	22.94	22.47	22.50	821384	20286432.00
2012/05/25	22.66	22.66	21.85	21.98	278456	6715976.00
2012/05/28	21.81	22.35	21.80	22.22	515954	12488108.00
2012/05/29	22.22	22.77	22.00	22.63	729596	17946204.00
2012/05/30	22.79	23.28	22.78	23.03	1289944	32232880.00
2012/05/31	23.01	23.94	22.72	23.77	1093180	27349508.00
2012/06/01	23.60	23.90	23.60	23.66	591871	14881339.00
2012/06/04	23.50	24.10	23.05	23.41	1412078	35313968.00
2012/06/05	23.25	25.00	23.25	24.39	1632778	41481696.00
2012/06/06	24.14	24.76	23.90	24.35	1713036	44012928.00
2012/06/07	24.35	24.58	23.70	24.34	919869	23582100.00
2012/06/08	24.55	25.29	24.22	25.03	1304086	34194660.00
2012/06/11	25.10	25.80	24.91	25.30	1621096	43435740.00
2012/06/12	25.38	25.69	24.66	24.69	1547156	41291272.00
2012/06/13	24.68	25.80	24.68	25.79	1785381	47549176.00
2012/06/14	25.80	26.40	25.40	26.15	1570973	43175956.00
2012/06/15	25.92	26.45	25.92	26.23	1023914	28265312.00
2012/06/18	26.46	26.46	25.61	25.86	1128660	30998860.00
2012/06/19	26.00	26.35	25.60	25.75	1695581	46366112.00
2012/06/20	25.82	26.28	25.15	25.52	1069583	28962064.00
2012/06/21	25.51	25.81	24.70	25.25	1939828	51177080.00
