601601 中国太保 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	17.49	17.70	17.39	17.49	8494553	158321616.00
2011/10/11	18.11	18.20	17.70	17.85	16718511	318235008.00
2011/10/12	17.72	18.89	17.64	18.70	19596171	383723872.00
2011/10/13	18.68	18.78	18.52	18.63	7921384	156278720.00
2011/10/14	18.64	18.74	18.49	18.63	7640841	150659584.00
2011/10/17	18.71	19.17	18.63	18.76	10031669	200827888.00
2011/10/18	18.58	18.75	18.11	18.21	10264278	198829360.00
2011/10/19	18.37	18.39	17.40	17.50	30465025	572397120.00
2011/10/20	17.39	17.39	16.60	16.96	21872687	395695904.00
2011/10/21	16.92	17.25	16.72	16.79	13273198	239859504.00
2011/10/24	16.92	17.82	16.92	17.64	21205147	391028608.00
2011/10/25	17.59	18.01	17.46	17.78	17674369	333943680.00
2011/10/26	17.82	18.49	17.78	18.34	20469519	395546976.00
2011/10/27	18.40	18.54	18.18	18.52	13097536	254894288.00
2011/10/28	18.80	19.40	18.73	18.87	21409268	431392096.00
2011/10/31	18.72	19.18	18.58	18.69	12764256	255182800.00
2011/11/01	18.55	19.93	18.50	19.25	31189591	639654272.00
2011/11/02	18.73	20.19	18.73	20.01	25209791	521707872.00
2011/11/03	20.05	20.85	19.96	20.19	30230876	653222912.00
2011/11/04	20.37	20.62	20.18	20.23	15034659	323176864.00
2011/11/07	19.96	20.06	19.50	19.65	20602996	428263648.00
2011/11/08	19.75	19.91	19.53	19.73	11207759	233635040.00
2011/11/09	19.86	20.45	19.78	20.19	17249526	365858336.00
2011/11/10	19.90	20.06	19.59	19.64	10136367	211330608.00
2011/11/11	19.56	19.82	19.44	19.48	8995264	186651216.00
2011/11/14	19.80	20.10	19.62	19.99	9951134	209070016.00
2011/11/15	19.91	20.10	19.59	19.82	6468965	135405840.00
2011/11/16	19.87	19.89	18.50	18.73	25360678	507908448.00
2011/11/17	18.75	18.78	18.03	18.34	24702763	478137664.00
2011/11/18	18.16	18.20	17.78	17.87	20553478	392117472.00
2011/11/21	17.88	18.04	17.74	18.03	11188854	211935968.00
2011/11/22	17.92	18.40	17.84	18.03	18500153	355462464.00
2011/11/23	18.12	18.17	17.50	17.60	16004296	300678688.00
2011/11/24	17.50	18.01	17.46	17.78	10040727	188888976.00
2011/11/25	17.76	17.76	17.33	17.43	14693212	273024544.00
2011/11/28	17.59	17.69	17.33	17.36	11875173	220500880.00
2011/11/29	17.54	17.89	17.36	17.80	21127891	394953120.00
2011/11/30	17.61	17.67	17.01	17.03	16574780	306130304.00
